GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
protostuff :: json,io.protostuff,JsonIOUtil.new Pipe() {...},80,0,10,0,17,0,8,0,3,0
protostuff :: json,io.protostuff,JsonOutput,547,170,84,16,177,57,70,10,20,10
protostuff :: json,io.protostuff,SmileIOUtil.Factory,18,0,0,0,6,0,6,0,6,0
protostuff :: json,io.protostuff,JsonXIOUtil,323,0,32,0,89,0,24,0,8,0
protostuff :: json,io.protostuff,JsonIOUtil,603,162,18,4,166,50,33,9,22,9
protostuff :: json,io.protostuff,JsonInput,513,197,106,34,124,58,83,18,22,9
protostuff :: json,io.protostuff,JsonInputException,4,0,0,0,2,0,1,0,1,0
protostuff :: json,io.protostuff,SmileIOUtil,454,0,0,0,137,0,21,0,21,0
protostuff :: json,io.protostuff,JsonIOUtil.Factory,0,12,0,0,0,4,0,4,0,4
protostuff :: json,io.protostuff,JsonXOutput,1626,0,104,0,497,0,91,0,39,0
