GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
protostuff :: msgpack,io.protostuff,MsgpackIOUtil,257,92,5,1,79,27,18,7,15,7
protostuff :: msgpack,io.protostuff,MsgpackGenerator.ArrayValueImpl,167,37,14,2,38,9,18,4,11,3
protostuff :: msgpack,io.protostuff,MsgpackIOUtil.new Pipe() {...},32,0,6,0,8,0,6,0,3,0
protostuff :: msgpack,io.protostuff,MsgpackWriteSink,305,147,45,11,51,28,32,13,5,12
protostuff :: msgpack,io.protostuff,MsgpackXIOUtil,212,31,25,3,60,9,19,2,6,1
protostuff :: msgpack,io.protostuff,MsgpackOutput,210,119,6,2,37,26,18,9,15,8
protostuff :: msgpack,io.protostuff,MsgpackInputException,4,0,0,0,2,0,1,0,1,0
protostuff :: msgpack,io.protostuff,MsgpackGenerator.ImmutableFloatValueImpl,110,0,12,0,30,0,23,0,17,0
protostuff :: msgpack,io.protostuff,MsgpackGenerator,27,93,2,6,8,23,5,8,3,6
protostuff :: msgpack,io.protostuff,MsgpackXOutput,351,439,49,27,88,114,54,21,19,18
protostuff :: msgpack,io.protostuff,MsgpackInput,121,23,4,0,34,7,22,5,20,5
protostuff :: msgpack,io.protostuff,MsgpackParser,102,91,7,9,30,26,18,8,12,6
protostuff :: msgpack,io.protostuff,MsgpackGenerator.AbstractValue,88,3,0,0,22,1,22,1,22,1
