GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
protostuff :: parser,io.protostuff.parser,ProtoParser.header_syntax_return,6,0,0,0,2,0,2,0,2,0
protostuff :: parser,io.protostuff.parser,ProtoParser.ignore_block_return,6,0,0,0,2,0,2,0,2,0
protostuff :: parser,io.protostuff.parser,FieldHolder,10,0,0,0,4,0,3,0,3,0
protostuff :: parser,io.protostuff.parser,Field.Modifier,64,0,0,0,6,0,5,0,5,0
protostuff :: parser,io.protostuff.parser,ErrorMap,52,0,0,0,15,0,14,0,14,0
protostuff :: parser,io.protostuff.parser,Field.UInt64,2,3,0,0,1,1,1,1,1,1
protostuff :: parser,io.protostuff.parser,ProtoParser.parse_return,6,0,0,0,2,0,2,0,2,0
protostuff :: parser,io.protostuff.parser,ProtoParser.extend_body_return,6,0,0,0,2,0,2,0,2,0
protostuff :: parser,io.protostuff.parser,Service.RpcMethod,312,0,32,0,63,0,37,0,21,0
protostuff :: parser,io.protostuff.parser,ProtoParser.message_field_return,6,0,0,0,2,0,2,0,2,0
protostuff :: parser,io.protostuff.parser,Message,1406,0,140,0,291,0,160,0,90,0
protostuff :: parser,io.protostuff.parser,ConfiguredReference,119,0,16,0,30,0,12,0,4,0
protostuff :: parser,io.protostuff.parser,ProtoParser.message_block_return,6,0,0,0,2,0,2,0,2,0
protostuff :: parser,io.protostuff.parser,ProtoParser.field_type_return,6,0,0,0,2,0,2,0,2,0
protostuff :: parser,io.protostuff.parser,EnumField,283,0,24,0,55,0,26,0,14,0
protostuff :: parser,io.protostuff.parser,Field.Int32,2,3,0,0,1,1,1,1,1,1
protostuff :: parser,io.protostuff.parser,Field.SFixed64,2,3,0,0,1,1,1,1,1,1
protostuff :: parser,io.protostuff.parser,ProtoParser.extensions_range_return,6,0,0,0,2,0,2,0,2,0
protostuff :: parser,io.protostuff.parser,TextFormat.InvalidEscapeSequenceException,4,0,0,0,2,0,1,0,1,0
protostuff :: parser,io.protostuff.parser,Service,251,0,16,0,49,0,29,0,21,0
protostuff :: parser,io.protostuff.parser,AbstractLexer,15,0,0,0,6,0,3,0,3,0
protostuff :: parser,io.protostuff.parser,ProtoParser.doc_entry_return,6,0,0,0,2,0,2,0,2,0
protostuff :: parser,io.protostuff.parser,TextFormat,655,0,115,0,159,0,81,0,14,0
