GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
protostuff :: runtime,io.protostuff.runtime,RuntimeCollectionField,15,0,0,0,3,0,1,0,1,0
protostuff :: runtime,io.protostuff.runtime,PolymorphicSchemaFactories.8.new PolymorphicPojoSchema() {...},16,0,0,0,3,0,2,0,2,0
protostuff :: runtime,io.protostuff.runtime,ArraySchemas.Int32Array,223,15,35,0,55,5,25,1,7,1
protostuff :: runtime,io.protostuff.runtime,PolymorphicSchemaFactories.11.new ObjectSchema() {...},6,10,0,0,2,1,1,1,1,1
protostuff :: runtime,io.protostuff.runtime,RuntimeFieldFactory,135,309,26,30,51,86,22,15,3,6
protostuff :: runtime,io.protostuff.runtime,RuntimeReflectionFieldFactory.17.new Field() {...},64,0,2,0,17,0,5,0,4,0
protostuff :: runtime,io.protostuff.runtime,RuntimeMapFieldFactory,254,105,0,0,42,19,12,6,12,6
protostuff :: runtime,io.protostuff.runtime,RuntimeDerivativeField,0,18,0,0,0,4,0,1,0,1
protostuff :: runtime,io.protostuff.runtime,ArraySchemas.BigDecimalArray.new Pipe.Schema() {...},10,7,0,0,3,1,1,1,1,1
protostuff :: runtime,io.protostuff.runtime,RuntimeReflectionFieldFactory.2.new Field() {...},90,0,6,0,23,0,7,0,4,0
protostuff :: runtime,io.protostuff.runtime,ArraySchemas.DateArray.new Pipe.Schema() {...},10,7,0,0,3,1,1,1,1,1
protostuff :: runtime,io.protostuff.runtime,RuntimeUnsafeFieldFactory.19.new Field() {...},53,0,2,0,9,0,5,0,4,0
protostuff :: runtime,io.protostuff.runtime,ArraySchemas.ShortArray.new Pipe.Schema() {...},10,7,0,0,3,1,1,1,1,1
protostuff :: runtime,io.protostuff.runtime,ClassSchema,231,11,34,0,73,4,36,1,12,1
protostuff :: runtime,io.protostuff.runtime,RuntimeUnsafeFieldFactory.11.new Field() {...},16,29,1,1,4,5,3,2,2,2
protostuff :: runtime,io.protostuff.runtime,RuntimeUnsafeFieldFactory.6.new Field() {...},46,31,5,1,10,5,5,2,2,2
protostuff :: runtime,io.protostuff.runtime,PolymorphicPojoMapSchema,191,0,18,0,52,0,25,0,16,0
protostuff :: runtime,io.protostuff.runtime,PolymorphicPojoSchema,170,0,16,0,44,0,24,0,16,0
protostuff :: runtime,io.protostuff.runtime,IdStrategy.new Pipe.Schema() {...},8,7,0,0,3,1,1,1,1,1
protostuff :: runtime,io.protostuff.runtime,IdStrategy.new Schema() {...},37,6,0,0,13,1,9,1,9,1
protostuff :: runtime,io.protostuff.runtime,IdStrategy.new Pipe.Schema() {...},8,7,0,0,3,1,1,1,1,1
protostuff :: runtime,io.protostuff.runtime,IdStrategy.new Schema() {...},37,6,0,0,13,1,9,1,9,1
protostuff :: runtime,io.protostuff.runtime,PolymorphicPojoCollectionSchema.new Pipe.Schema() {...},16,0,0,0,3,0,2,0,2,0
protostuff :: runtime,io.protostuff.runtime,IdStrategy.new Schema() {...},37,6,0,0,12,1,9,1,9,1
protostuff :: runtime,io.protostuff.runtime,DefaultIdStrategy.RuntimeMapFactory,18,0,0,0,6,0,3,0,3,0
protostuff :: runtime,io.protostuff.runtime,RuntimeUnsafeFieldFactory.new RuntimeFieldFactory() {...},45,4,0,0,11,1,6,1,6,1
protostuff :: runtime,io.protostuff.runtime,HashFieldMap.FieldComparator,6,15,3,1,0,3,2,3,0,3
protostuff :: runtime,io.protostuff.runtime,RuntimeUnsafeFieldFactory.new RuntimeFieldFactory() {...},45,4,0,0,11,1,6,1,6,1
protostuff :: runtime,io.protostuff.runtime,PolymorphicPojoCollectionSchema,191,0,18,0,53,0,25,0,16,0
protostuff :: runtime,io.protostuff.runtime,PolymorphicCollectionSchema,1871,0,261,0,621,0,216,0,27,0
protostuff :: runtime,io.protostuff.runtime,IdStrategy.new ArraySchemas.Int32Array() {...},72,9,8,0,15,1,8,1,4,1
protostuff :: runtime,io.protostuff.runtime,RuntimeUnsafeFieldFactory.new RuntimeFieldFactory() {...},13,35,0,0,4,8,3,4,3,4
protostuff :: runtime,io.protostuff.runtime,IdStrategy.new ArraySchemas.CharArray() {...},72,9,8,0,15,1,8,1,4,1
protostuff :: runtime,io.protostuff.runtime,RuntimeUnsafeFieldFactory.new RuntimeFieldFactory() {...},15,35,0,0,4,8,3,4,3,4
protostuff :: runtime,io.protostuff.runtime,IdStrategy.new ArraySchemas.ShortArray() {...},72,9,8,0,15,1,8,1,4,1
protostuff :: runtime,io.protostuff.runtime,PolymorphicSchemaFactories.9.new PolymorphicPojoMapSchema() {...},16,0,0,0,3,0,2,0,2,0
protostuff :: runtime,io.protostuff.runtime,IdStrategy.new Pipe.Schema() {...},8,7,0,0,3,1,1,1,1,1
protostuff :: runtime,io.protostuff.runtime,RuntimeUnsafeFieldFactory.new RuntimeFieldFactory() {...},45,4,0,0,11,1,6,1,6,1
protostuff :: runtime,io.protostuff.runtime,IdStrategy.new ArraySchemas.BoolArray() {...},72,9,8,0,15,1,8,1,4,1
protostuff :: runtime,io.protostuff.runtime,RuntimeUnsafeFieldFactory.new RuntimeFieldFactory() {...},13,35,0,0,4,8,3,4,3,4
protostuff :: runtime,io.protostuff.runtime,RuntimeUnsafeFieldFactory.new RuntimeFieldFactory() {...},9,32,0,0,3,8,2,5,2,5
protostuff :: runtime,io.protostuff.runtime,RuntimeUnsafeFieldFactory.new RuntimeFieldFactory() {...},15,35,0,0,4,8,3,4,3,4
protostuff :: runtime,io.protostuff.runtime,RuntimeUnsafeFieldFactory.new RuntimeFieldFactory() {...},16,35,2,0,4,8,4,4,3,4
protostuff :: runtime,io.protostuff.runtime,ArraySchemas.DelegateArray,142,0,21,0,39,0,15,0,4,0
protostuff :: runtime,io.protostuff.runtime,NumberSchema,317,11,56,0,105,4,55,1,12,1
protostuff :: runtime,io.protostuff.runtime,RuntimeSchema,261,398,32,48,61,87,34,42,14,22
protostuff :: runtime,io.protostuff.runtime,ArraySchemas.BigDecimalArray,124,12,21,0,33,4,14,1,3,1
protostuff :: runtime,io.protostuff.runtime,RuntimeReflectionFieldFactory.16.new Field() {...},64,0,2,0,16,0,5,0,4,0
protostuff :: runtime,io.protostuff.runtime,IdStrategy.new Schema() {...},66,6,10,0,14,1,14,1,9,1
protostuff :: runtime,io.protostuff.runtime,IdStrategy.new Pipe.Schema() {...},28,7,3,0,8,1,3,1,1,1
protostuff :: runtime,io.protostuff.runtime,IdStrategy.new Schema() {...},91,6,17,0,22,1,18,1,9,1
