GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Closure Templates,com.google.template.soy.data,CssParam,25,0,3,0,7,0,6,0,4,0
Closure Templates,com.google.template.soy.data,SanitizedContent.SanitizedCompatString,8,13,0,0,1,3,1,2,1,2
Closure Templates,com.google.template.soy.data,LoggingAdvisingAppendable.BufferingAppendable.LoggingFunctionCommand,16,0,0,0,3,0,3,0,3,0
Closure Templates,com.google.template.soy.data,SoyProtoValue.Builder,42,0,0,0,9,0,3,0,3,0
Closure Templates,com.google.template.soy.data,SoyAbstractCachingValueProvider,80,0,10,0,21,0,12,0,7,0
Closure Templates,com.google.template.soy.data,Dir,5,49,0,0,0,7,1,3,1,3
Closure Templates,com.google.template.soy.data,LoggingAdvisingAppendable.new ForwardingLoggingAdvisingAppendable() {...},16,0,0,0,5,0,5,0,5,0
Closure Templates,com.google.template.soy.data,SoyFutureValueProvider,53,0,4,0,13,0,6,0,4,0
Closure Templates,com.google.template.soy.data,SoyDataException,89,0,6,0,19,0,10,0,7,0
Closure Templates,com.google.template.soy.data,SoyFutureException,5,0,0,0,2,0,1,0,1,0
Closure Templates,com.google.template.soy.data,LogStatement,50,0,4,0,11,0,5,0,3,0
Closure Templates,com.google.template.soy.data,SoyTemplateParam,39,0,0,0,5,0,5,0,5,0
Closure Templates,com.google.template.soy.data,ForwardingLoggingAdvisingAppendable,68,0,0,0,20,0,10,0,10,0
Closure Templates,com.google.template.soy.data,CssParam.Type,38,0,0,0,3,0,4,0,4,0
Closure Templates,com.google.template.soy.data,UnsanitizedString,39,0,6,0,8,0,7,0,4,0
Closure Templates,com.google.template.soy.data,AutoOneOf_CssParam.Impl_safeStyle,51,0,6,0,12,0,9,0,6,0
Closure Templates,com.google.template.soy.data,SanitizedContent.new Object() {...},7,47,0,0,0,1,0,1,0,1
Closure Templates,com.google.template.soy.data,AbstractLoggingAdvisingAppendable,85,3,18,0,30,1,16,1,7,1
Closure Templates,com.google.template.soy.data,SoyValueConverter.MarkAsSoyMap,9,0,0,0,4,0,2,0,2,0
Closure Templates,com.google.template.soy.data,CssParam.new Object() {...},19,0,0,0,1,0,1,0,1,0
Closure Templates,com.google.template.soy.data,SoyProtoValue,362,0,42,0,88,0,50,0,29,0
Closure Templates,com.google.template.soy.data,ProtoFieldInterpreter.new ProtoFieldInterpreter() {...},12,0,0,0,3,0,3,0,3,0
Closure Templates,com.google.template.soy.data,ProtoFieldInterpreter.new ProtoFieldInterpreter() {...},42,0,4,0,9,0,5,0,3,0
Closure Templates,com.google.template.soy.data,ProtoFieldInterpreter.new ProtoFieldInterpreter() {...},12,0,0,0,3,0,3,0,3,0
Closure Templates,com.google.template.soy.data,ProtoFieldInterpreter.new ProtoFieldInterpreter() {...},12,0,0,0,3,0,3,0,3,0
Closure Templates,com.google.template.soy.data,ProtoFieldInterpreter.new ProtoFieldInterpreter() {...},12,0,0,0,3,0,3,0,3,0
Closure Templates,com.google.template.soy.data,ProtoFieldInterpreter.new ProtoFieldInterpreter() {...},13,0,0,0,3,0,3,0,3,0
Closure Templates,com.google.template.soy.data,ProtoFieldInterpreter.new ProtoFieldInterpreter() {...},15,0,0,0,3,0,3,0,3,0
Closure Templates,com.google.template.soy.data,ProtoFieldInterpreter.new ProtoFieldInterpreter() {...},15,0,0,0,3,0,3,0,3,0
Closure Templates,com.google.template.soy.data,ProtoFieldInterpreter.new ProtoFieldInterpreter() {...},12,0,0,0,3,0,3,0,3,0
Closure Templates,com.google.template.soy.data,ProtoFieldInterpreter.new ProtoFieldInterpreter() {...},12,0,0,0,3,0,3,0,3,0
Closure Templates,com.google.template.soy.data,ProtoFieldInterpreter.new ProtoFieldInterpreter() {...},12,0,0,0,3,0,3,0,3,0
Closure Templates,com.google.template.soy.data,ProtoFieldInterpreter.new ProtoFieldInterpreter() {...},11,0,0,0,3,0,3,0,3,0
Closure Templates,com.google.template.soy.data,SoyFutureValueProvider.new ThreadLocal() {...},5,0,0,0,2,0,2,0,2,0
Closure Templates,com.google.template.soy.data,SoyFutureValueProvider.new SoyFutureValueProvider.FutureBlockCallback() {...},4,0,0,0,2,0,2,0,2,0
Closure Templates,com.google.template.soy.data,SoyVisualElement,53,0,2,0,9,0,9,0,8,0
Closure Templates,com.google.template.soy.data,SoyMaps,34,26,10,2,7,5,8,2,3,1
Closure Templates,com.google.template.soy.data,Flags,7,11,0,0,3,6,2,2,2,2
Closure Templates,com.google.template.soy.data,SanitizedContent,201,69,30,6,47,16,34,9,16,9
Closure Templates,com.google.template.soy.data,SanitizedContents.new Object() {...},26,0,0,0,1,0,1,0,1,0
Closure Templates,com.google.template.soy.data,SoyAbstractCachingValueProvider.ValueAssertion,3,0,0,0,1,0,1,0,1,0
Closure Templates,com.google.template.soy.data,AutoValue_LoggingFunctionInvocation,133,0,16,0,31,0,15,0,7,0
Closure Templates,com.google.template.soy.data,ProtoFieldInterpreter.new ProtoFieldInterpreter() {...},122,0,4,0,20,0,5,0,3,0
Closure Templates,com.google.template.soy.data,ProtoFieldInterpreter.new ProtoFieldInterpreter() {...},61,0,4,0,13,0,5,0,3,0
Closure Templates,com.google.template.soy.data,ProtoFieldInterpreter.new ProtoFieldInterpreter() {...},13,0,0,0,3,0,3,0,3,0
