GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Closure Templates,com.google.template.soy.data,CssParam,25,0,3,0,7,0,6,0,4,0
Closure Templates,com.google.template.soy.data,SanitizedContent.SanitizedCompatString,8,13,0,0,1,3,1,2,1,2
Closure Templates,com.google.template.soy.data,LoggingAdvisingAppendable.BufferingAppendable.LoggingFunctionCommand,7,9,0,0,1,2,1,2,1,2
Closure Templates,com.google.template.soy.data,SoyProtoValue.Builder,42,0,0,0,9,0,3,0,3,0
Closure Templates,com.google.template.soy.data,SoyAbstractCachingValueProvider,10,70,1,9,2,19,3,9,2,5
Closure Templates,com.google.template.soy.data,Dir,5,49,0,0,0,7,1,3,1,3
Closure Templates,com.google.template.soy.data,LoggingAdvisingAppendable.new ForwardingLoggingAdvisingAppendable() {...},12,4,0,0,4,1,4,1,4,1
Closure Templates,com.google.template.soy.data,SoyFutureValueProvider,10,43,1,3,3,10,1,5,0,4
Closure Templates,com.google.template.soy.data,SoyDataException,17,72,1,5,5,14,3,7,2,5
Closure Templates,com.google.template.soy.data,SoyFutureException,0,5,0,0,0,2,0,1,0,1
Closure Templates,com.google.template.soy.data,LogStatement,0,50,0,4,0,11,0,5,0,3
Closure Templates,com.google.template.soy.data,SoyTemplateParam,39,0,0,0,5,0,5,0,5,0
Closure Templates,com.google.template.soy.data,ForwardingLoggingAdvisingAppendable,53,15,0,0,15,5,8,2,8,2
Closure Templates,com.google.template.soy.data,CssParam.Type,38,0,0,0,3,0,4,0,4,0
Closure Templates,com.google.template.soy.data,UnsanitizedString,1,38,2,4,0,8,2,5,0,4
Closure Templates,com.google.template.soy.data,AutoOneOf_CssParam.Impl_safeStyle,51,0,6,0,12,0,9,0,6,0
Closure Templates,com.google.template.soy.data,SanitizedContent.new Object() {...},7,47,0,0,0,1,0,1,0,1
Closure Templates,com.google.template.soy.data,AbstractLoggingAdvisingAppendable,5,83,4,14,1,30,4,13,0,8
Closure Templates,com.google.template.soy.data,SoyValueConverter.MarkAsSoyMap,9,0,0,0,4,0,2,0,2,0
Closure Templates,com.google.template.soy.data,CssParam.new Object() {...},19,0,0,0,1,0,1,0,1,0
Closure Templates,com.google.template.soy.data,SoyProtoValue,278,84,38,4,64,24,40,10,20,9
Closure Templates,com.google.template.soy.data,ProtoFieldInterpreter.new ProtoFieldInterpreter() {...},4,8,0,0,1,2,1,2,1,2
Closure Templates,com.google.template.soy.data,ProtoFieldInterpreter.new ProtoFieldInterpreter() {...},24,18,3,1,5,4,3,2,1,2
Closure Templates,com.google.template.soy.data,ProtoFieldInterpreter.new ProtoFieldInterpreter() {...},8,4,0,0,2,1,2,1,2,1
Closure Templates,com.google.template.soy.data,ProtoFieldInterpreter.new ProtoFieldInterpreter() {...},8,4,0,0,2,1,2,1,2,1
Closure Templates,com.google.template.soy.data,ProtoFieldInterpreter.new ProtoFieldInterpreter() {...},8,4,0,0,2,1,2,1,2,1
Closure Templates,com.google.template.soy.data,ProtoFieldInterpreter.new ProtoFieldInterpreter() {...},9,4,0,0,2,1,2,1,2,1
Closure Templates,com.google.template.soy.data,ProtoFieldInterpreter.new ProtoFieldInterpreter() {...},11,4,0,0,2,1,2,1,2,1
Closure Templates,com.google.template.soy.data,ProtoFieldInterpreter.new ProtoFieldInterpreter() {...},11,4,0,0,2,1,2,1,2,1
Closure Templates,com.google.template.soy.data,ProtoFieldInterpreter.new ProtoFieldInterpreter() {...},8,4,0,0,2,1,2,1,2,1
Closure Templates,com.google.template.soy.data,ProtoFieldInterpreter.new ProtoFieldInterpreter() {...},8,4,0,0,2,1,2,1,2,1
Closure Templates,com.google.template.soy.data,ProtoFieldInterpreter.new ProtoFieldInterpreter() {...},8,4,0,0,2,1,2,1,2,1
Closure Templates,com.google.template.soy.data,ProtoFieldInterpreter.new ProtoFieldInterpreter() {...},3,8,0,0,1,2,1,2,1,2
Closure Templates,com.google.template.soy.data,SoyFutureValueProvider.new ThreadLocal() {...},2,3,0,0,1,1,1,1,1,1
Closure Templates,com.google.template.soy.data,SoyFutureValueProvider.new SoyFutureValueProvider.FutureBlockCallback() {...},1,3,0,0,1,1,1,1,1,1
Closure Templates,com.google.template.soy.data,SoyVisualElement,44,9,2,0,7,2,7,2,6,2
Closure Templates,com.google.template.soy.data,SoyMaps,3,57,2,10,1,11,3,7,1,3
Closure Templates,com.google.template.soy.data,Flags,7,11,0,0,3,6,2,2,2,2
Closure Templates,com.google.template.soy.data,SanitizedContent,102,168,17,19,20,43,22,21,7,18
Closure Templates,com.google.template.soy.data,SanitizedContents.new Object() {...},3,23,0,0,0,1,0,1,0,1
Closure Templates,com.google.template.soy.data,SoyAbstractCachingValueProvider.ValueAssertion,0,3,0,0,0,1,0,1,0,1
Closure Templates,com.google.template.soy.data,AutoValue_LoggingFunctionInvocation,109,24,13,3,21,10,12,3,4,3
Closure Templates,com.google.template.soy.data,ProtoFieldInterpreter.new ProtoFieldInterpreter() {...},59,63,2,2,12,8,2,3,1,2
Closure Templates,com.google.template.soy.data,ProtoFieldInterpreter.new ProtoFieldInterpreter() {...},28,33,2,2,6,7,2,3,1,2
Closure Templates,com.google.template.soy.data,ProtoFieldInterpreter.new ProtoFieldInterpreter() {...},9,4,0,0,2,1,2,1,2,1
