GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Spring Cloud Azure App Configuration Config,com.microsoft.azure.spring.cloud.config.stores,ConfigStore,53,103,9,7,15,31,8,15,1,14
Spring Cloud Azure App Configuration Config,com.microsoft.azure.spring.cloud.config.stores,KeyVaultClient,10,0,0,0,2,0,2,0,2,0
Spring Cloud Azure App Configuration Config,com.microsoft.azure.spring.cloud.config.stores,ClientStore,73,9,6,0,18,2,9,2,6,2
Spring Cloud Azure App Configuration Config,com.microsoft.azure.spring.cloud.config,AppConfigProviderProperties,16,29,0,0,6,12,5,8,5,8
Spring Cloud Azure App Configuration Config,com.microsoft.azure.spring.cloud.config,Constants,3,0,0,0,1,0,1,0,1,0
Spring Cloud Azure App Configuration Config,com.microsoft.azure.spring.cloud.config,HostType,69,0,0,0,9,0,5,0,5,0
Spring Cloud Azure App Configuration Config,com.microsoft.azure.spring.cloud.config,ConfigListener,26,0,0,0,11,0,4,0,4,0
Spring Cloud Azure App Configuration Config,com.microsoft.azure.spring.cloud.config,AzureConfigPropertySourceLocator,46,358,6,24,11,76,7,20,1,11
Spring Cloud Azure App Configuration Config,com.microsoft.azure.spring.cloud.config,AzureConfigBootstrapConfiguration,68,77,13,7,13,21,11,7,2,6
Spring Cloud Azure App Configuration Config,com.microsoft.azure.spring.cloud.config,AzureConfigPropertySource,144,271,24,14,42,47,16,12,1,8
Spring Cloud Azure App Configuration Config,com.microsoft.azure.spring.cloud.config,AzureCloudConfigAutoConfiguration.CloudWatchAutoConfiguration,13,3,0,0,2,1,2,1,2,1
Spring Cloud Azure App Configuration Config,com.microsoft.azure.spring.cloud.config,AzureCloudConfigProperties,22,121,5,3,7,34,8,16,4,16
Spring Cloud Azure App Configuration Config,com.microsoft.azure.spring.cloud.config,AzureCloudConfigWatch,289,0,22,0,57,0,19,0,8,0
Spring Cloud Azure App Configuration Config,com.microsoft.azure.spring.cloud.config,AzureCloudConfigProperties.Watch,10,17,0,0,4,6,3,2,3,2
Spring Cloud Azure App Configuration Config,com.microsoft.azure.spring.cloud.config,RequestTracingConstants,79,0,0,0,10,0,5,0,5,0
Spring Cloud Azure App Configuration Config,com.microsoft.azure.spring.cloud.config,RequestType,58,0,0,0,8,0,5,0,5,0
Spring Cloud Azure App Configuration Config,com.microsoft.azure.spring.cloud.config,AzureCloudConfigAutoConfiguration,0,3,0,0,0,1,0,1,0,1
Spring Cloud Azure App Configuration Config,com.microsoft.azure.spring.cloud.config,AzureCloudConfigWatch.RefreshEventData,19,0,0,0,4,0,2,0,2,0
Spring Cloud Azure App Configuration Config,com.microsoft.azure.spring.cloud.config.feature.management.entity,FeatureManagementItem,3,14,0,0,1,6,1,4,1,4
Spring Cloud Azure App Configuration Config,com.microsoft.azure.spring.cloud.config.feature.management.entity,ConditionsItem,0,10,0,0,0,4,0,3,0,3
Spring Cloud Azure App Configuration Config,com.microsoft.azure.spring.cloud.config.feature.management.entity,Feature,0,28,0,0,0,11,0,6,0,6
Spring Cloud Azure App Configuration Config,com.microsoft.azure.spring.cloud.config.feature.management.entity,FeatureFilterEvaluationContext,4,13,0,0,2,5,1,4,1,4
Spring Cloud Azure App Configuration Config,com.microsoft.azure.spring.cloud.config.feature.management.entity,FeatureSet,4,23,2,2,2,7,3,3,1,3
Spring Cloud Azure App Configuration Config,com.microsoft.azure.spring.cloud.config.pipline.policies,BaseAppConfigurationPolicy,156,0,14,0,28,0,12,0,5,0
Spring Cloud Azure App Configuration Config,com.microsoft.azure.spring.cloud.config.resource,ConnectionStringPool,12,24,0,0,3,7,2,3,2,3
Spring Cloud Azure App Configuration Config,com.microsoft.azure.spring.cloud.config.resource,ConnectionString,3,119,0,2,1,22,1,7,1,6
Spring Cloud Azure App Configuration Config,com.microsoft.azure.spring.cloud.config.managed.identity,AzureResourceManagerConnector,234,0,17,0,39,0,15,0,6,0
Spring Cloud Azure App Configuration Config,com.microsoft.azure.spring.cloud.config.managed.identity,ConfigAccessKeys,10,0,0,0,4,0,3,0,3,0
Spring Cloud Azure App Configuration Config,com.microsoft.azure.spring.cloud.config.managed.identity,ConfigResourceManager,150,0,8,0,27,0,10,0,6,0
Spring Cloud Azure App Configuration Config,com.microsoft.azure.spring.cloud.config.managed.identity,ConfigAccessKeyResource,49,0,0,0,9,0,2,0,2,0
Spring Cloud Azure App Configuration Config,com.microsoft.azure.spring.cloud.config.managed.identity,ConfigAccessKey,31,0,0,0,13,0,9,0,9,0
