GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Spring Cloud Azure Autoconfigure,com.microsoft.azure.spring.cloud.autoconfigure.storage,AzureStorageProperties,7,20,0,0,3,8,2,5,2,5
Spring Cloud Azure Autoconfigure,com.microsoft.azure.spring.cloud.autoconfigure.storage,AzureStorageAutoConfiguration.StorageResourceConfiguration,6,0,0,0,1,0,1,0,1,0
Spring Cloud Azure Autoconfigure,com.microsoft.azure.spring.cloud.autoconfigure.storage,AzureStorageAutoConfiguration,74,0,2,0,19,0,5,0,4,0
Spring Cloud Azure Autoconfigure,com.microsoft.azure.spring.cloud.autoconfigure.storage,AzureStorageQueueAutoConfiguration,27,0,2,0,8,0,5,0,4,0
Spring Cloud Azure Autoconfigure,com.microsoft.azure.spring.cloud.autoconfigure.context,AzureContextAutoConfiguration,54,17,0,0,12,4,3,2,3,2
Spring Cloud Azure Autoconfigure,com.microsoft.azure.spring.cloud.autoconfigure.context,AzureEnvironmentAutoConfiguration,17,0,2,0,5,0,3,0,2,0
Spring Cloud Azure Autoconfigure,com.microsoft.azure.spring.cloud.autoconfigure.telemetry,TelemetryProperties,10,0,0,0,4,0,3,0,3,0
Spring Cloud Azure Autoconfigure,com.microsoft.azure.spring.cloud.autoconfigure.telemetry,TelemetryEventData,55,0,0,0,16,0,6,0,6,0
Spring Cloud Azure Autoconfigure,com.microsoft.azure.spring.cloud.autoconfigure.telemetry,TelemetryAutoConfiguration,20,0,0,0,6,0,3,0,3,0
Spring Cloud Azure Autoconfigure,com.microsoft.azure.spring.cloud.autoconfigure.telemetry,MacAddressHelper,6,14,0,0,2,6,1,3,1,3
Spring Cloud Azure Autoconfigure,com.microsoft.azure.spring.cloud.autoconfigure.telemetry,TelemetryRestClient,88,0,6,0,22,0,7,0,4,0
Spring Cloud Azure Autoconfigure,com.microsoft.azure.spring.cloud.autoconfigure.telemetry,TelemetryEventData.Tags,13,0,0,0,5,0,3,0,3,0
Spring Cloud Azure Autoconfigure,com.microsoft.azure.spring.cloud.autoconfigure.telemetry,TelemetryCollector,84,85,4,0,15,17,6,5,4,5
Spring Cloud Azure Autoconfigure,com.microsoft.azure.spring.cloud.autoconfigure.telemetry,TelemetryEventData.EventData.CustomData,24,0,0,0,9,0,6,0,6,0
Spring Cloud Azure Autoconfigure,com.microsoft.azure.spring.cloud.autoconfigure.telemetry,TelemetrySender,74,0,6,0,17,0,9,0,6,0
Spring Cloud Azure Autoconfigure,com.microsoft.azure.spring.cloud.autoconfigure.telemetry,TelemetryEventData.EventData,17,0,0,0,5,0,3,0,3,0
Spring Cloud Azure Autoconfigure,com.microsoft.azure.spring.cloud.autoconfigure.servicebus,AzureServiceBusQueueAutoConfiguration,41,0,2,0,13,0,5,0,4,0
Spring Cloud Azure Autoconfigure,com.microsoft.azure.spring.cloud.autoconfigure.servicebus,AzureServiceBusTopicAutoConfiguration,44,0,2,0,13,0,5,0,4,0
Spring Cloud Azure Autoconfigure,com.microsoft.azure.spring.cloud.autoconfigure.servicebus,AzureServiceBusProperties,12,19,2,2,4,6,4,4,2,4
Spring Cloud Azure Autoconfigure,com.microsoft.azure.spring.cloud.autoconfigure.servicebus,ServiceBusUtils,20,0,0,0,4,0,2,0,2,0
Spring Cloud Azure Autoconfigure,com.microsoft.azure.spring.cloud.autoconfigure.servicebus,AzureServiceBusAutoConfiguration,75,0,2,0,19,0,8,0,7,0
Spring Cloud Azure Autoconfigure,com.microsoft.azure.spring.cloud.autoconfigure.cache,AzureRedisAutoConfiguration,32,56,4,4,4,15,4,3,0,3
Spring Cloud Azure Autoconfigure,com.microsoft.azure.spring.cloud.autoconfigure.cache,AzureRedisProperties,0,10,0,0,0,4,0,3,0,3
Spring Cloud Azure Autoconfigure,com.microsoft.azure.spring.cloud.autoconfigure.jms,ServiceBusJMSAutoConfiguration,78,0,0,0,21,0,4,0,4,0
Spring Cloud Azure Autoconfigure,com.microsoft.azure.spring.cloud.autoconfigure.jms,ServiceBusKey,21,0,0,0,8,0,4,0,4,0
Spring Cloud Azure Autoconfigure,com.microsoft.azure.spring.cloud.autoconfigure.jms,AzureServiceBusJMSProperties,62,0,6,0,18,0,11,0,8,0
Spring Cloud Azure Autoconfigure,com.microsoft.azure.spring.cloud.autoconfigure.jms,ConnectionStringResolver,84,0,2,0,14,0,3,0,2,0
Spring Cloud Azure Autoconfigure,com.microsoft.azure.spring.cloud.autoconfigure.cloudfoundry,AzureCfService,8,173,0,2,1,22,2,10,2,9
Spring Cloud Azure Autoconfigure,com.microsoft.azure.spring.cloud.autoconfigure.cloudfoundry,AzureCloudFoundryEnvironmentPostProcessor,24,93,3,3,6,21,4,6,1,6
Spring Cloud Azure Autoconfigure,com.microsoft.azure.spring.cloud.autoconfigure.eventhub,AzureEventHubKafkaAutoConfiguration,100,0,0,0,17,0,4,0,4,0
Spring Cloud Azure Autoconfigure,com.microsoft.azure.spring.cloud.autoconfigure.eventhub,EventHubUtils,20,0,0,0,4,0,2,0,2,0
Spring Cloud Azure Autoconfigure,com.microsoft.azure.spring.cloud.autoconfigure.eventhub,AzureEventHubAutoConfiguration,81,0,6,0,24,0,8,0,5,0
Spring Cloud Azure Autoconfigure,com.microsoft.azure.spring.cloud.autoconfigure.eventhub,AzureEventHubProperties,12,33,2,2,4,12,4,8,2,8
