GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Spring Cloud Azure Context,com.microsoft.azure.spring.cloud.context.core.storage,StorageConnectionStringBuilder,53,0,2,0,9,0,5,0,4,0
Spring Cloud Azure Context,com.microsoft.azure.spring.cloud.context.core.storage,StorageConnectionStringProvider,51,0,0,0,8,0,8,0,8,0
Spring Cloud Azure Context,com.microsoft.azure.spring.cloud.context.core.impl,StorageAccountManager,39,0,0,0,7,0,5,0,5,0
Spring Cloud Azure Context,com.microsoft.azure.spring.cloud.context.core.impl,ServiceBusTopicManager,34,0,0,0,6,0,5,0,5,0
Spring Cloud Azure Context,com.microsoft.azure.spring.cloud.context.core.impl,ResourceGroupManager,31,0,0,0,6,0,5,0,5,0
Spring Cloud Azure Context,com.microsoft.azure.spring.cloud.context.core.impl,RedisCacheManager,40,0,0,0,7,0,5,0,5,0
Spring Cloud Azure Context,com.microsoft.azure.spring.cloud.context.core.impl,AzureManager,310,0,6,0,41,0,9,0,6,0
Spring Cloud Azure Context,com.microsoft.azure.spring.cloud.context.core.impl,ServiceBusNamesapceManager,42,0,0,0,9,0,5,0,5,0
Spring Cloud Azure Context,com.microsoft.azure.spring.cloud.context.core.impl,EventHubConsumerGroupManager,47,0,0,0,8,0,6,0,6,0
Spring Cloud Azure Context,com.microsoft.azure.spring.cloud.context.core.impl,EventHubManager,42,0,0,0,8,0,5,0,5,0
Spring Cloud Azure Context,com.microsoft.azure.spring.cloud.context.core.impl,ServiceBusTopicSubscriptionManager,37,0,0,0,9,0,5,0,5,0
Spring Cloud Azure Context,com.microsoft.azure.spring.cloud.context.core.impl,StorageQueueManager,59,0,2,0,17,0,6,0,5,0
Spring Cloud Azure Context,com.microsoft.azure.spring.cloud.context.core.impl,DefaultCredentialsProvider,131,0,18,0,36,0,16,0,7,0
Spring Cloud Azure Context,com.microsoft.azure.spring.cloud.context.core.impl,DefaultEnvironmentProvider,13,0,0,0,5,0,3,0,3,0
Spring Cloud Azure Context,com.microsoft.azure.spring.cloud.context.core.impl,EventHubNamesapceManager,42,0,0,0,9,0,5,0,5,0
Spring Cloud Azure Context,com.microsoft.azure.spring.cloud.context.core.impl,ServiceBusQueueManager,34,0,0,0,6,0,5,0,5,0
Spring Cloud Azure Context,com.microsoft.azure.spring.cloud.context.core.impl,AzureResourceManagerProvider,179,0,0,0,31,0,12,0,12,0
Spring Cloud Azure Context,com.microsoft.azure.spring.cloud.context.core.config,AzureManagedIdentityProperties,17,0,0,0,7,0,5,0,5,0
Spring Cloud Azure Context,com.microsoft.azure.spring.cloud.context.core.config,AzureProperties,87,0,6,0,33,0,21,0,18,0
Spring Cloud Azure Context,com.microsoft.azure.spring.cloud.context.core.util,Tuple,5,63,5,5,2,12,5,6,0,6
Spring Cloud Azure Context,com.microsoft.azure.spring.cloud.context.core.util,TypeMap,24,0,0,0,5,0,3,0,3,0
Spring Cloud Azure Context,com.microsoft.azure.spring.cloud.context.core.util,Memoizer,22,45,0,0,2,5,4,7,4,7
