GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
spring-cloud-azure-keyvault-config,com.microsoft.azure.spring.cloud.keyvault.config,KeyVaultPropertySource,10,0,0,0,4,0,3,0,3,0
spring-cloud-azure-keyvault-config,com.microsoft.azure.spring.cloud.keyvault.config,KeyVaultPropertySourceLocator,2,9,0,0,1,4,1,1,1,1
spring-cloud-azure-keyvault-config,com.microsoft.azure.spring.cloud.keyvault.config,KeyVaultConfigBootstrapConfiguration,0,32,0,0,0,8,0,5,0,5
spring-cloud-azure-keyvault-config,com.microsoft.azure.spring.cloud.keyvault.config,KeyVaultConfigProperties,16,28,0,0,8,10,4,7,4,7
spring-cloud-azure-keyvault-config,com.microsoft.azure.spring.cloud.keyvault.config.auth,DefaultAuthenticationExecutorFactory,41,32,2,2,10,9,4,3,2,3
spring-cloud-azure-keyvault-config,com.microsoft.azure.spring.cloud.keyvault.config.auth,SecretAuthenticationExecutor,7,6,0,0,1,3,1,1,1,1
spring-cloud-azure-keyvault-config,com.microsoft.azure.spring.cloud.keyvault.config.auth,CertificateUtils,87,0,0,0,26,0,4,0,4,0
spring-cloud-azure-keyvault-config,com.microsoft.azure.spring.cloud.keyvault.config.auth,CertificateAuthenticationExecutor,13,0,0,0,4,0,2,0,2,0
spring-cloud-azure-keyvault-config,com.microsoft.azure.spring.cloud.keyvault.config.auth,AadKeyVaultCredentials,26,9,0,0,6,4,1,1,1,1
spring-cloud-azure-keyvault-config,com.microsoft.azure.spring.cloud.keyvault.config.auth,Credentials,4,20,0,0,2,8,1,6,1,6
