GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Spring Cloud Azure Messaging,com.microsoft.azure.spring.messaging.endpoint,SimpleAzureListenerEndpoint,3,10,0,0,1,4,1,3,1,3
Spring Cloud Azure Messaging,com.microsoft.azure.spring.messaging.endpoint,MethodAzureListenerEndpoint,1,76,3,3,0,20,3,9,0,9
Spring Cloud Azure Messaging,com.microsoft.azure.spring.messaging.endpoint,AbstractAzureListenerEndpoint,0,85,1,3,0,24,1,13,0,12
Spring Cloud Azure Messaging,com.microsoft.azure.spring.messaging.container,DefaultMessageListenerContainer,59,0,0,0,12,0,3,0,3,0
Spring Cloud Azure Messaging,com.microsoft.azure.spring.messaging.container,SimpleMessageListenerContainer,2,3,0,0,2,1,2,1,2,1
Spring Cloud Azure Messaging,com.microsoft.azure.spring.messaging.container,AbstractListenerContainer,122,29,0,0,37,10,14,5,14,5
Spring Cloud Azure Messaging,com.microsoft.azure.spring.messaging.container,DefaultAzureListenerContainerFactory,6,4,0,0,1,2,1,1,1,1
Spring Cloud Azure Messaging,com.microsoft.azure.spring.messaging.container,AbstractAzureListenerContainerFactory,15,6,0,0,6,3,3,1,3,1
Spring Cloud Azure Messaging,com.microsoft.azure.spring.messaging.listener,ListenerExecutionFailedException,5,0,0,0,2,0,1,0,1,0
Spring Cloud Azure Messaging,com.microsoft.azure.spring.messaging.listener,DefaultAzureMessageHandler,73,24,0,0,18,7,4,3,4,3
Spring Cloud Azure Messaging,com.microsoft.azure.spring.messaging.config,AzureListenerEndpointRegistry,47,225,11,21,12,58,11,23,1,17
Spring Cloud Azure Messaging,com.microsoft.azure.spring.messaging.config,AzureListenerAnnotationBeanPostProcessor,38,356,13,33,5,80,14,25,1,15
Spring Cloud Azure Messaging,com.microsoft.azure.spring.messaging.config,AzureMessagingConfiguration,0,8,0,0,0,2,0,2,0,2
Spring Cloud Azure Messaging,com.microsoft.azure.spring.messaging.config,AzureListenerEndpointRegistrar.AzureListenerEndpointDescriptor,0,9,0,0,0,4,0,1,0,1
Spring Cloud Azure Messaging,com.microsoft.azure.spring.messaging.config,AzureBootstrapConfiguration,0,11,0,0,0,3,0,3,0,3
Spring Cloud Azure Messaging,com.microsoft.azure.spring.messaging.config,AzureListenerAnnotationBeanPostProcessor.MessageHandlerMethodFactoryAdapter,4,39,1,3,2,10,2,5,1,4
Spring Cloud Azure Messaging,com.microsoft.azure.spring.messaging.config,AzureListenerEndpointRegistry.AggregatingCallback,0,20,0,2,0,7,0,3,0,2
Spring Cloud Azure Messaging,com.microsoft.azure.spring.messaging.config,AzureListenerEndpointRegistrar,37,170,5,13,4,48,6,16,1,12
