GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Spring Cloud Azure Messaging,com.microsoft.azure.spring.messaging.endpoint,SimpleAzureListenerEndpoint,10,3,0,0,4,1,3,1,3,1
Spring Cloud Azure Messaging,com.microsoft.azure.spring.messaging.endpoint,MethodAzureListenerEndpoint,74,3,6,0,19,1,11,1,8,1
Spring Cloud Azure Messaging,com.microsoft.azure.spring.messaging.endpoint,AbstractAzureListenerEndpoint,68,17,4,0,17,7,10,4,8,4
Spring Cloud Azure Messaging,com.microsoft.azure.spring.messaging.container,DefaultMessageListenerContainer,59,0,0,0,12,0,3,0,3,0
Spring Cloud Azure Messaging,com.microsoft.azure.spring.messaging.container,SimpleMessageListenerContainer,5,0,0,0,3,0,3,0,3,0
Spring Cloud Azure Messaging,com.microsoft.azure.spring.messaging.container,AbstractListenerContainer,151,0,0,0,47,0,19,0,19,0
Spring Cloud Azure Messaging,com.microsoft.azure.spring.messaging.container,DefaultAzureListenerContainerFactory,10,0,0,0,3,0,2,0,2,0
Spring Cloud Azure Messaging,com.microsoft.azure.spring.messaging.container,AbstractAzureListenerContainerFactory,21,0,0,0,9,0,4,0,4,0
Spring Cloud Azure Messaging,com.microsoft.azure.spring.messaging.listener,ListenerExecutionFailedException,5,0,0,0,2,0,1,0,1,0
Spring Cloud Azure Messaging,com.microsoft.azure.spring.messaging.listener,DefaultAzureMessageHandler,97,0,0,0,25,0,7,0,7,0
Spring Cloud Azure Messaging,com.microsoft.azure.spring.messaging.config,AzureListenerEndpointRegistry,251,21,32,0,64,6,31,3,15,3
Spring Cloud Azure Messaging,com.microsoft.azure.spring.messaging.config,AzureListenerAnnotationBeanPostProcessor,394,0,46,0,85,0,39,0,16,0
Spring Cloud Azure Messaging,com.microsoft.azure.spring.messaging.config,AzureMessagingConfiguration,8,0,0,0,2,0,2,0,2,0
Spring Cloud Azure Messaging,com.microsoft.azure.spring.messaging.config,AzureListenerEndpointRegistrar.AzureListenerEndpointDescriptor,9,0,0,0,4,0,1,0,1,0
Spring Cloud Azure Messaging,com.microsoft.azure.spring.messaging.config,AzureBootstrapConfiguration,11,0,0,0,3,0,3,0,3,0
Spring Cloud Azure Messaging,com.microsoft.azure.spring.messaging.config,AzureListenerAnnotationBeanPostProcessor.MessageHandlerMethodFactoryAdapter,43,0,4,0,12,0,7,0,5,0
Spring Cloud Azure Messaging,com.microsoft.azure.spring.messaging.config,AzureListenerEndpointRegistry.AggregatingCallback,20,0,2,0,7,0,3,0,2,0
Spring Cloud Azure Messaging,com.microsoft.azure.spring.messaging.config,AzureListenerEndpointRegistrar,207,0,18,0,52,0,22,0,13,0
