GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Spring Data Gremlin,com.microsoft.spring.data.gremlin.common,GremlinUtils,132,88,20,10,29,25,18,7,4,6
Spring Data Gremlin,com.microsoft.spring.data.gremlin.common,GremlinEntityType,59,0,0,0,8,0,5,0,5,0
Spring Data Gremlin,com.microsoft.spring.data.gremlin.common,GremlinFactory,0,91,4,6,0,27,4,5,0,4
Spring Data Gremlin,com.microsoft.spring.data.gremlin.common,Constants,91,0,0,0,8,0,2,0,2,0
Spring Data Gremlin,com.microsoft.spring.data.gremlin.common,GremlinConfig.GremlinConfigBuilder,52,58,0,0,0,1,2,9,2,9
Spring Data Gremlin,com.microsoft.spring.data.gremlin.common,GremlinConfig,24,80,0,0,0,19,6,13,6,13
Spring Data Gremlin,com.microsoft.spring.data.gremlin.query.paramerter,GremlinParameters,18,0,0,0,6,0,4,0,4,0
Spring Data Gremlin,com.microsoft.spring.data.gremlin.query.paramerter,GremlinParameter,4,0,0,0,2,0,1,0,1,0
Spring Data Gremlin,com.microsoft.spring.data.gremlin.query.paramerter,GremlinParametersParameterAccessor,6,0,0,0,2,0,1,0,1,0
Spring Data Gremlin,com.microsoft.spring.data.gremlin.query.query,AbstractGremlinQuery,55,0,2,0,14,0,6,0,5,0
Spring Data Gremlin,com.microsoft.spring.data.gremlin.query.query,GremlinQueryCreator,117,0,4,0,24,0,8,0,6,0
Spring Data Gremlin,com.microsoft.spring.data.gremlin.query.query,GremlinQueryMethod,18,0,0,0,5,0,2,0,2,0
Spring Data Gremlin,com.microsoft.spring.data.gremlin.query.query,PartTreeGremlinQuery,47,0,2,0,9,0,3,0,2,0
Spring Data Gremlin,com.microsoft.spring.data.gremlin.query.query,QueryFindScriptGenerator,335,0,14,0,55,0,19,0,10,0
Spring Data Gremlin,com.microsoft.spring.data.gremlin.query.query,GremlinQuery,16,0,2,0,4,0,3,0,2,0
