GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Spring Data Gremlin,com.microsoft.spring.data.gremlin.common,GremlinUtils,105,115,12,18,25,29,13,12,3,7
Spring Data Gremlin,com.microsoft.spring.data.gremlin.common,GremlinEntityType,14,45,0,0,1,7,3,2,3,2
Spring Data Gremlin,com.microsoft.spring.data.gremlin.common,GremlinFactory,0,91,4,6,0,27,4,5,0,4
Spring Data Gremlin,com.microsoft.spring.data.gremlin.common,Constants,91,0,0,0,8,0,2,0,2,0
Spring Data Gremlin,com.microsoft.spring.data.gremlin.common,GremlinConfig.GremlinConfigBuilder,52,58,0,0,0,1,2,9,2,9
Spring Data Gremlin,com.microsoft.spring.data.gremlin.common,GremlinConfig,24,80,0,0,0,19,6,13,6,13
Spring Data Gremlin,com.microsoft.spring.data.gremlin.query.paramerter,GremlinParameters,18,0,0,0,6,0,4,0,4,0
Spring Data Gremlin,com.microsoft.spring.data.gremlin.query.paramerter,GremlinParameter,4,0,0,0,2,0,1,0,1,0
Spring Data Gremlin,com.microsoft.spring.data.gremlin.query.paramerter,GremlinParametersParameterAccessor,6,0,0,0,2,0,1,0,1,0
Spring Data Gremlin,com.microsoft.spring.data.gremlin.query.query,AbstractGremlinQuery,43,12,2,0,9,5,4,2,3,2
Spring Data Gremlin,com.microsoft.spring.data.gremlin.query.query,GremlinQueryCreator,117,0,4,0,24,0,8,0,6,0
Spring Data Gremlin,com.microsoft.spring.data.gremlin.query.query,GremlinQueryMethod,12,6,0,0,3,2,1,1,1,1
Spring Data Gremlin,com.microsoft.spring.data.gremlin.query.query,PartTreeGremlinQuery,22,25,2,0,4,5,2,1,1,1
Spring Data Gremlin,com.microsoft.spring.data.gremlin.query.query,QueryFindScriptGenerator,335,0,14,0,55,0,19,0,10,0
Spring Data Gremlin,com.microsoft.spring.data.gremlin.query.query,GremlinQuery,16,0,2,0,4,0,3,0,2,0
Spring Data Gremlin,com.microsoft.spring.data.gremlin.query.query,GremlinQueryExecution.FindExecution,15,0,0,0,5,0,2,0,2,0
Spring Data Gremlin,com.microsoft.spring.data.gremlin.query.query,QueryFindScriptGenerator.new Object() {...},54,0,0,0,1,0,1,0,1,0
Spring Data Gremlin,com.microsoft.spring.data.gremlin.query,GremlinTemplate,586,16,60,0,130,7,64,3,34,3
Spring Data Gremlin,com.microsoft.spring.data.gremlin.query,SimpleGremlinEntityMetadata,9,0,0,0,4,0,2,0,2,0
Spring Data Gremlin,com.microsoft.spring.data.gremlin.conversion,MappingGremlinConverter,11,83,1,1,3,21,3,10,2,10
Spring Data Gremlin,com.microsoft.spring.data.gremlin.telemetry,PropertyLoader,20,28,1,1,6,9,2,3,1,3
Spring Data Gremlin,com.microsoft.spring.data.gremlin.telemetry,TelemetryEventData.EventData.CustomData,0,24,0,0,0,5,0,6,0,6
Spring Data Gremlin,com.microsoft.spring.data.gremlin.telemetry,TelemetryEventData.EventData,0,18,0,0,0,5,0,3,0,3
Spring Data Gremlin,com.microsoft.spring.data.gremlin.telemetry,TelemetryEventData,5,56,1,1,0,13,1,6,0,6
Spring Data Gremlin,com.microsoft.spring.data.gremlin.telemetry,MacAddress,49,193,16,18,9,42,15,8,1,5
Spring Data Gremlin,com.microsoft.spring.data.gremlin.telemetry,TelemetryEventData.Tags,0,15,0,0,0,6,0,3,0,3
Spring Data Gremlin,com.microsoft.spring.data.gremlin.telemetry,TelemetrySender,29,102,7,5,3,27,5,7,0,6
Spring Data Gremlin,com.microsoft.spring.data.gremlin.query.criteria,CriteriaType,108,0,6,0,15,0,10,0,5,0
Spring Data Gremlin,com.microsoft.spring.data.gremlin.query.criteria,Criteria,89,0,6,0,25,0,12,0,9,0
Spring Data Gremlin,com.microsoft.spring.data.gremlin.query.criteria,CriteriaType.new Object() {...},40,0,0,0,1,0,1,0,1,0
Spring Data Gremlin,com.microsoft.spring.data.gremlin.query.criteria,Criteria.new Object() {...},54,0,0,0,1,0,1,0,1,0
Spring Data Gremlin,com.microsoft.spring.data.gremlin.conversion.result,AbstractGremlinResultReader,39,3,2,0,7,1,4,1,3,1
Spring Data Gremlin,com.microsoft.spring.data.gremlin.conversion.result,GremlinResultsGraphReader,108,13,12,0,21,4,9,1,2,1
Spring Data Gremlin,com.microsoft.spring.data.gremlin.conversion.result,GremlinResultEdgeReader,145,15,9,3,29,4,8,2,2,2
Spring Data Gremlin,com.microsoft.spring.data.gremlin.conversion.result,GremlinResultVertexReader,106,11,3,1,22,3,3,2,1,2
Spring Data Gremlin,com.microsoft.spring.data.gremlin.config,GremlinConfigurationSupport,2,96,1,7,0,22,1,8,0,5
Spring Data Gremlin,com.microsoft.spring.data.gremlin.config,AbstractGremlinConfiguration,0,22,0,0,0,4,0,4,0,4
Spring Data Gremlin,com.microsoft.spring.data.gremlin.conversion.source,AbstractGremlinSourceReader,140,3,32,0,30,1,18,1,2,1
Spring Data Gremlin,com.microsoft.spring.data.gremlin.conversion.source,GremlinSourceVertexReader,75,3,10,0,14,1,6,1,1,1
Spring Data Gremlin,com.microsoft.spring.data.gremlin.conversion.source,GremlinSourceGraph,58,37,4,0,12,10,7,2,5,2
