Author,Project,URL,API,Stars,Created,Updated
Google,guice,https://github.com/google/guice,https://api.github.com/repos/google/guice,12327,2014,2024
Google,gson,https://github.com/google/gson,https://api.github.com/repos/google/gson,22903,2015,2024
Google,closure-compiler,https://github.com/google/closure-compiler,https://api.github.com/repos/google/closure-compiler,7229,2014,2024
Google,open-location-code,https://github.com/google/open-location-code,https://api.github.com/repos/google/open-location-code,3991,2014,2024
Google,google-java-format,https://github.com/google/google-java-format,https://api.github.com/repos/google/google-java-format,5390,2015,2024
Google,error-prone,https://github.com/google/error-prone,https://api.github.com/repos/google/error-prone,6700,2014,2024
Google,truth,https://github.com/google/truth,https://api.github.com/repos/google/truth,2689,2011,2024
Google,jimfs,https://github.com/google/jimfs,https://api.github.com/repos/google/jimfs,2371,2013,2024
Google,compile-testing,https://github.com/google/compile-testing,https://api.github.com/repos/google/compile-testing,688,2013,2024
Google,closure-templates,https://github.com/google/closure-templates,https://api.github.com/repos/google/closure-templates,631,2014,2024
Amazon,ion-java,https://github.com/amzn/ion-java,https://api.github.com/repos/amzn/ion-java,859,2015,2024
Twitter,Nodes,https://github.com/twitter/nodes,https://api.github.com/repos/twitter/nodes,246,2016,2024
Twitter,hraven,https://github.com/twitter/hraven,https://api.github.com/repos/twitter/hraven,128,2013,2024
Twitter,ambrose,https://github.com/twitter/ambrose,https://api.github.com/repos/twitter/ambrose,1181,2012,2024
Twitter,GraphJet,https://github.com/twitter/GraphJet,https://api.github.com/repos/twitter/GraphJet,696,2016,2024
Twitter,hbc,https://github.com/twitter/hbc,https://api.github.com/repos/twitter/hbc,962,2013,2024
Apache,incubator-datasketches-java,https://github.com/apache/incubator-datasketches-java,https://api.github.com/repos/apache/incubator-datasketches-java,867,2015,2024
Microsoft,spring-cloud-azure,https://github.com/microsoft/spring-cloud-azure,https://api.github.com/repos/microsoft/spring-cloud-azure,216,2018,2024
Microsoft,spring-data-cosmosdb,https://github.com/microsoft/spring-data-cosmosdb,https://api.github.com/repos/microsoft/spring-data-cosmosdb,93,2017,2023
Microsoft,spring-data-gremlin,https://github.com/microsoft/spring-data-gremlin,https://api.github.com/repos/microsoft/spring-data-gremlin,130,2018,2024
Microsoft,Git-Credential-Manager-for-Mac-and-Linux,https://github.com/microsoft/Git-Credential-Manager-for-Mac-and-Linux,https://api.github.com/repos/microsoft/Git-Credential-Manager-for-Mac-and-Linux,396,2015,2024
spring.io,initializr,https://github.com/spring-io/initializr,https://api.github.com/repos/spring-io/initializr,3334,2013,2024
javaparser,javaparser,https://github.com/javaparser/javaparser,https://api.github.com/repos/javaparser/javaparser,5172,2011,2024
plutext,docx4j,https://github.com/plutext/docx4j,https://api.github.com/repos/plutext/docx4j,2014,2012,2024
jbehave,jbehave-core,https://github.com/jbehave/jbehave-core,https://api.github.com/repos/jbehave/jbehave-core,30,2021,2024
hibernate,hibernate-ogm,https://github.com/hibernate/hibernate-ogm,https://api.github.com/repos/hibernate/hibernate-ogm,321,2011,2024
shopizer-ecommerce,shopizer,https://github.com/shopizer-ecommerce/shopizer,https://api.github.com/repos/shopizer-ecommerce/shopizer,3412,2012,2024
kiegroup,optaplanner-core,https://github.com/kiegroup/optaplanner,https://api.github.com/repos/kiegroup/optaplanner,125,2023,2024
swagger-api,swagger-core,https://github.com/swagger-api/swagger-core,https://api.github.com/repos/swagger-api/swagger-core,7330,2011,2024
rampatra,jbot,https://github.com/rampatra/jbot,https://api.github.com/repos/rampatra/jbot,1200,2016,2024
NanoHttpd,nanohttpd,https://github.com/NanoHttpd/nanohttpd,https://api.github.com/repos/NanoHttpd/nanohttpd,6817,2012,2024
digitalfondue,lavagna,https://github.com/digitalfondue/lavagna,https://api.github.com/repos/digitalfondue/lavagna,634,2014,2024
protostuff,protostuff-core,https://github.com/protostuff/protostuff,https://api.github.com/repos/protostuff/protostuff,1997,2014,2024
hibernate,hibernate-search,https://github.com/hibernate/hibernate-search,https://api.github.com/repos/hibernate/hibernate-search,487,2010,2024
easymock,objenesis,https://github.com/easymock/objenesis,https://api.github.com/repos/easymock/objenesis,579,2013,2024
oskopek,javaanpr,https://github.com/oskopek/javaanpr,https://api.github.com/repos/oskopek/javaanpr,151,2013,2024
greenmail-mail-test,greenmail,https://github.com/greenmail-mail-test/greenmail,https://api.github.com/repos/greenmail-mail-test/greenmail,598,2014,2024
Netflix,zuul,https://github.com/Netflix/zuul,https://api.github.com/repos/Netflix/zuul,13126,2013,2024
Netflix,mantis,https://github.com/Netflix/mantis,https://api.github.com/repos/Netflix/mantis,1382,2019,2024
Netflix,hollow,https://github.com/Netflix/hollow,https://api.github.com/repos/Netflix/hollow,1148,2016,2024
Netflix,governator,https://github.com/Netflix/governator,https://api.github.com/repos/Netflix/governator,822,2012,2024
Netflix,Fenzo,https://github.com/Netflix/Fenzo,https://api.github.com/repos/Netflix/Fenzo,700,2015,2024
Optaplanner,Optaplanner,https://api.github.com/repos/apache/incubator-kie-optaplanner,https://api.github.com/repos/apache/incubator-kie-optaplanner,3245,2011,2024
