iter	Passed	Remaining
0	11	22037
1	20	20071
2	32	21502
3	42	21335
4	52	20975
5	64	21462
6	74	21129
7	83	20833
8	94	20963
9	104	20841
10	116	20986
11	126	20920
12	137	20940
13	147	20975
14	158	20928
15	169	20987
16	181	21129
17	191	21078
18	200	20944
19	211	20976
20	221	20856
21	233	21027
22	244	21008
23	255	21029
24	265	20998
25	275	20936
26	285	20895
27	296	20894
28	307	20904
29	319	20975
30	330	20986
31	340	20953
32	351	20980
33	360	20850
34	371	20860
35	382	20869
36	393	20879
37	403	20811
38	413	20788
39	424	20784
40	434	20748
41	444	20744
42	455	20720
43	466	20724
44	477	20726
45	488	20749
46	499	20768
47	510	20770
48	521	20775
49	531	20735
50	543	20764
51	554	20771
52	564	20727
53	574	20694
54	583	20625
55	595	20662
56	606	20682
57	618	20693
58	630	20758
59	643	20797
60	652	20752
61	666	20847
62	676	20796
63	688	20832
64	699	20816
65	714	20926
66	726	20970
67	737	20957
68	747	20911
69	758	20902
70	768	20867
71	779	20875
72	790	20873
73	801	20856
74	811	20821
75	820	20771
76	832	20779
77	842	20768
78	851	20715
79	864	20744
80	873	20695
81	885	20704
82	895	20693
83	906	20682
84	915	20636
85	927	20636
86	937	20620
87	948	20617
88	959	20612
89	971	20623
90	980	20571
91	992	20573
92	1002	20565
93	1011	20512
94	1023	20513
95	1033	20494
96	1042	20454
97	1054	20460
98	1064	20450
99	1074	20423
100	1085	20403
101	1094	20371
102	1104	20339
103	1115	20332
104	1124	20288
105	1135	20294
106	1145	20269
107	1156	20254
108	1168	20269
109	1177	20232
110	1189	20240
111	1199	20220
112	1209	20191
113	1218	20155
114	1227	20118
115	1237	20103
116	1247	20076
117	1259	20083
118	1270	20075
119	1279	20040
120	1289	20030
121	1300	20019
122	1310	20001
123	1320	19970
124	1328	19928
125	1340	19933
126	1349	19903
127	1361	19910
128	1371	19897
129	1381	19872
130	1391	19853
131	1401	19829
132	1410	19803
133	1419	19772
134	1433	19801
135	1443	19784
136	1453	19762
137	1464	19764
138	1475	19754
139	1486	19745
140	1497	19746
141	1507	19727
142	1517	19702
143	1528	19706
144	1540	19704
145	1552	19709
146	1563	19711
147	1574	19699
148	1585	19698
149	1595	19674
150	1608	19690
151	1618	19680
152	1630	19679
153	1642	19689
154	1653	19677
155	1664	19676
156	1674	19652
157	1685	19651
158	1695	19634
159	1707	19641
160	1716	19608
161	1729	19621
162	1740	19616
163	1752	19615
164	1763	19608
165	1771	19574
166	1782	19562
167	1791	19531
168	1801	19520
169	1812	19511
170	1822	19497
171	1834	19499
172	1843	19469
173	1855	19474
174	1866	19462
175	1875	19437
176	1888	19449
177	1899	19446
178	1911	19444
179	1922	19439
180	1933	19426
181	1944	19421
182	1955	19412
183	1966	19408
184	1977	19397
185	1986	19376
186	1998	19375
187	2009	19372
188	2021	19365
189	2031	19356
190	2042	19342
191	2052	19327
192	2063	19318
193	2073	19305
194	2085	19301
195	2096	19293
196	2107	19286
197	2118	19277
198	2129	19273
199	2140	19263
200	2150	19243
201	2162	19244
202	2173	19236
203	2182	19211
204	2194	19211
205	2203	19189
206	2215	19187
207	2226	19182
208	2236	19162
209	2245	19136
210	2256	19132
211	2268	19128
212	2278	19116
213	2286	19084
214	2301	19108
215	2312	19096
216	2324	19099
217	2338	19113
218	2353	19142
219	2367	19152
220	2377	19140
221	2407	19282
222	2445	19489
223	2462	19527
224	2473	19509
225	2499	19622
226	2513	19630
227	2524	19621
228	2534	19600
229	2549	19623
230	2562	19626
231	2576	19631
232	2586	19613
233	2596	19595
234	2607	19587
235	2617	19567
236	2630	19566
237	2641	19556
238	2651	19533
239	2663	19533
240	2674	19520
241	2687	19521
242	2699	19515
243	2710	19510
244	2720	19486
245	2731	19477
246	2742	19466
247	2753	19449
248	2763	19434
249	2772	19407
250	2784	19403
251	2796	19400
252	2806	19381
253	2817	19368
254	2827	19347
255	2839	19343
256	2850	19335
257	2863	19332
258	2874	19323
259	2885	19309
260	2896	19297
261	2908	19295
262	2920	19286
263	2930	19271
264	2941	19258
265	2953	19250
266	2964	19239
267	2975	19232
268	2986	19219
269	2997	19203
270	3007	19185
271	3018	19175
272	3029	19164
273	3043	19171
274	3054	19162
275	3066	19152
276	3077	19143
277	3088	19133
278	3098	19114
279	3109	19102
280	3119	19081
281	3130	19070
282	3140	19053
283	3150	19038
284	3162	19032
285	3175	19032
286	3186	19021
287	3197	19009
288	3208	18998
289	3221	18996
290	3232	18983
291	3244	18975
292	3255	18964
293	3263	18939
294	3275	18933
295	3287	18925
296	3297	18910
297	3307	18891
298	3320	18890
299	3332	18882
300	3342	18869
301	3353	18855
302	3364	18844
303	3377	18841
304	3388	18832
305	3398	18815
306	3410	18805
307	3420	18788
308	3430	18771
309	3441	18759
310	3453	18753
311	3464	18743
312	3476	18737
313	3487	18727
314	3496	18705
315	3510	18705
316	3522	18699
317	3533	18689
318	3543	18674
319	3554	18662
320	3564	18645
321	3574	18626
322	3586	18620
323	3596	18601
324	3607	18590
325	3618	18578
326	3628	18564
327	3639	18550
328	3648	18531
329	3658	18515
330	3670	18505
331	3680	18489
332	3692	18482
333	3701	18465
334	3713	18456
335	3723	18440
336	3736	18437
337	3748	18431
338	3759	18422
339	3771	18413
340	3782	18404
341	3794	18394
342	3805	18383
343	3816	18374
344	3827	18361
345	3838	18348
346	3847	18329
347	3859	18322
348	3871	18312
349	3882	18301
350	3891	18283
351	3901	18265
352	3913	18257
353	3922	18238
354	3932	18221
355	3944	18214
356	3954	18200
357	3965	18188
358	3975	18172
359	3988	18169
360	4000	18161
361	4011	18151
362	4022	18138
363	4036	18142
364	4049	18137
365	4059	18124
366	4069	18105
367	4081	18102
368	4091	18083
369	4103	18077
370	4114	18065
371	4123	18046
372	4136	18041
373	4147	18033
374	4158	18021
375	4169	18008
376	4179	17993
377	4191	17985
378	4201	17968
379	4214	17968
380	4225	17955
381	4237	17947
382	4246	17930
383	4258	17920
384	4267	17901
385	4279	17894
386	4290	17881
387	4299	17863
388	4311	17854
389	4322	17844
390	4332	17828
391	4345	17826
392	4357	17818
393	4367	17801
394	4381	17801
395	4395	17801
396	4407	17797
397	4419	17788
398	4431	17782
399	4443	17774
400	4453	17758
401	4464	17745
402	4475	17737
403	4490	17738
404	4502	17732
405	4515	17729
406	4528	17725
407	4539	17711
408	4552	17707
409	4561	17691
410	4572	17678
411	4581	17658
412	4593	17649
413	4603	17636
414	4615	17626
415	4626	17617
416	4638	17607
417	4648	17591
418	4659	17580
419	4669	17567
420	4678	17545
421	4691	17542
422	4702	17530
423	4713	17520
424	4723	17506
425	4733	17488
426	4744	17476
427	4754	17464
428	4765	17452
429	4779	17448
430	4790	17438
431	4802	17430
432	4813	17417
433	4821	17398
434	4832	17387
435	4844	17377
436	4854	17363
437	4865	17350
438	4875	17337
439	4886	17323
440	4897	17311
441	4906	17293
442	4917	17285
443	4928	17273
444	4938	17256
445	4949	17245
446	4960	17234
447	4969	17215
448	4980	17204
449	4988	17183
450	5000	17173
451	5010	17158
452	5022	17150
453	5034	17142
454	5046	17134
455	5056	17122
456	5066	17107
457	5078	17099
458	5088	17083
459	5098	17067
460	5109	17057
461	5119	17044
462	5130	17032
463	5142	17022
464	5153	17011
465	5164	16999
466	5175	16988
467	5185	16973
468	5196	16964
469	5208	16955
470	5219	16943
471	5231	16934
472	5244	16930
473	5254	16917
474	5264	16902
475	5274	16887
476	5283	16870
477	5295	16862
478	5306	16851
479	5318	16840
480	5328	16828
481	5339	16816
482	5349	16800
483	5360	16790
484	5371	16779
485	5383	16770
486	5392	16754
487	5404	16745
488	5415	16734
489	5427	16726
490	5439	16715
491	5448	16699
492	5459	16689
493	5471	16679
494	5481	16665
495	5490	16649
496	5501	16636
497	5513	16629
498	5524	16617
499	5535	16606
500	5545	16591
501	5557	16582
502	5566	16566
503	5578	16558
504	5587	16542
505	5601	16538
506	5611	16525
507	5621	16511
508	5634	16504
509	5642	16485
510	5654	16477
511	5666	16467
512	5677	16455
513	5686	16439
514	5698	16431
515	5707	16414
516	5720	16410
517	5761	16482
518	5791	16527
519	5810	16536
520	5822	16528
521	5833	16516
522	5848	16515
523	5860	16507
524	5871	16494
525	5881	16481
526	5891	16466
527	5902	16455
528	5912	16440
529	5921	16423
530	5932	16411
531	5941	16395
532	5952	16384
533	5963	16372
534	5975	16363
535	5986	16350
536	5997	16338
537	6006	16321
538	6018	16313
539	6029	16300
540	6039	16286
541	6049	16274
542	6058	16256
543	6069	16245
544	6078	16229
545	6090	16218
546	6100	16205
547	6111	16192
548	6122	16180
549	6132	16167
550	6141	16151
551	6152	16139
552	6162	16124
553	6172	16110
554	6181	16094
555	6190	16076
556	6200	16063
557	6210	16050
558	6220	16035
559	6230	16021
560	6240	16006
561	6250	15993
562	6260	15978
563	6269	15963
564	6279	15949
565	6289	15934
566	6297	15916
567	6308	15904
568	6318	15890
569	6330	15881
570	6340	15868
571	6349	15851
572	6360	15840
573	6371	15828
574	6379	15810
575	6390	15799
576	6401	15786
577	6412	15775
578	6422	15762
579	6434	15752
580	6445	15741
581	6454	15727
582	6467	15718
583	6477	15706
584	6488	15693
585	6499	15683
586	6510	15672
587	6520	15658
588	6530	15644
589	6543	15636
590	6553	15623
591	6564	15612
592	6572	15593
593	6583	15583
594	6594	15571
595	6605	15560
596	6616	15548
597	6629	15542
598	6639	15528
599	6649	15516
600	6659	15501
601	6671	15492
602	6682	15482
603	6695	15475
604	6707	15465
605	6718	15454
606	6728	15440
607	6738	15428
608	6748	15414
609	6759	15402
610	6769	15388
611	6782	15382
612	6792	15368
613	6803	15356
614	6813	15344
615	6824	15333
616	6835	15321
617	6845	15308
618	6855	15293
619	6867	15285
620	6878	15273
621	6887	15258
622	6897	15246
623	6905	15228
624	6916	15216
625	6926	15203
626	6938	15193
627	6948	15179
628	6959	15168
629	6970	15158
630	6981	15147
631	6992	15136
632	7003	15124
633	7012	15108
634	7024	15099
635	7034	15087
636	7044	15072
637	7056	15063
638	7065	15048
639	7074	15033
640	7086	15024
641	7097	15013
642	7108	15001
643	7119	14991
644	7130	14978
645	7140	14967
646	7150	14953
647	7160	14939
648	7172	14930
649	7183	14920
650	7195	14910
651	7206	14898
652	7216	14886
653	7226	14872
654	7238	14863
655	7248	14849
656	7260	14840
657	7271	14829
658	7280	14815
659	7292	14805
660	7303	14793
661	7313	14782
662	7323	14768
663	7337	14763
664	7349	14753
665	7357	14738
666	7370	14729
667	7379	14715
668	7393	14710
669	7405	14699
670	7416	14689
671	7428	14680
672	7439	14669
673	7450	14657
674	7462	14648
675	7473	14636
676	7484	14625
677	7494	14613
678	7505	14602
679	7516	14590
680	7526	14578
681	7537	14566
682	7547	14553
683	7557	14540
684	7569	14531
685	7579	14518
686	7589	14505
687	7602	14497
688	7615	14490
689	7627	14480
690	7637	14467
691	7650	14461
692	7661	14450
693	7672	14438
694	7680	14422
695	7691	14410
696	7701	14398
697	7716	14394
698	7728	14384
699	7740	14375
700	7752	14365
701	7764	14356
702	7775	14345
703	7788	14337
704	7800	14329
705	7810	14315
706	7823	14307
707	7835	14299
708	7848	14291
709	7859	14280
710	7869	14267
711	7881	14257
712	7891	14244
713	7900	14230
714	7913	14221
715	7924	14210
716	7935	14199
717	7947	14189
718	7957	14177
719	7968	14166
720	7980	14156
721	7991	14144
722	8001	14133
723	8014	14124
724	8024	14111
725	8036	14102
726	8046	14090
727	8057	14079
728	8068	14066
729	8077	14052
730	8089	14042
731	8098	14028
732	8110	14018
733	8120	14006
734	8130	13993
735	8140	13980
736	8150	13966
737	8161	13956
738	8171	13944
739	8182	13932
740	8193	13920
741	8204	13909
742	8215	13898
743	8226	13887
744	8233	13870
745	8245	13860
746	8254	13845
747	8265	13834
748	8276	13823
749	8285	13809
750	8297	13799
751	8307	13787
752	8318	13776
753	8329	13765
754	8340	13753
755	8349	13738
756	8361	13729
757	8372	13719
758	8382	13706
759	8391	13691
760	8403	13682
761	8414	13671
762	8426	13661
763	8436	13649
764	8446	13635
765	8457	13623
766	8467	13612
767	8478	13601
768	8489	13589
769	8500	13578
770	8510	13565
771	8522	13555
772	8532	13544
773	8543	13533
774	8554	13521
775	8565	13510
776	8575	13498
777	8586	13486
778	8597	13475
779	8609	13465
780	8618	13452
781	8631	13443
782	8642	13432
783	8653	13421
784	8664	13410
785	8674	13397
786	8684	13385
787	8697	13376
788	8708	13366
789	8720	13356
790	8730	13344
791	8740	13331
792	8751	13320
793	8761	13308
794	8771	13294
795	8783	13286
796	8793	13273
797	8805	13263
798	8813	13247
799	8823	13235
800	8833	13222
801	8844	13211
802	8856	13202
803	8869	13193
804	8877	13178
805	8888	13167
806	8898	13155
807	8911	13146
808	8921	13133
809	8933	13124
810	8944	13113
811	8956	13103
812	8966	13091
813	8977	13080
814	8990	13071
815	8999	13058
816	9010	13047
817	9019	13032
818	9029	13020
819	9038	13006
820	9049	12996
821	9061	12986
822	9071	12973
823	9081	12960
824	9091	12948
825	9100	12935
826	9113	12926
827	9124	12915
828	9137	12906
829	9148	12895
830	9158	12883
831	9167	12869
832	9178	12859
833	9188	12846
834	9200	12836
835	9211	12825
836	9222	12814
837	9235	12806
838	9247	12795
839	9258	12785
840	9270	12775
841	9281	12765
842	9291	12752
843	9300	12738
844	9312	12729
845	9323	12717
846	9333	12706
847	9344	12694
848	9354	12682
849	9365	12671
850	9375	12658
851	9387	12648
852	9398	12637
853	9408	12625
854	9419	12614
855	9429	12602
856	9439	12589
857	9448	12576
858	9461	12567
859	9472	12556
860	9485	12548
861	9498	12540
862	9511	12531
863	9526	12525
864	9537	12515
865	9548	12503
866	9558	12490
867	9570	12480
868	9581	12470
869	9591	12457
870	9604	12449
871	9615	12438
872	9627	12428
873	9637	12416
874	9646	12402
875	9658	12392
876	9668	12381
877	9679	12369
878	9689	12357
879	9700	12345
880	9711	12334
881	9723	12324
882	9732	12312
883	9743	12301
884	9752	12287
885	9764	12276
886	9773	12264
887	9785	12254
888	9796	12242
889	9809	12233
890	9819	12222
891	9830	12210
892	9842	12200
893	9853	12190
894	9864	12179
895	9874	12166
896	9886	12157
897	9898	12146
898	9907	12133
899	9919	12123
900	9931	12114
901	9940	12100
902	9953	12092
903	9965	12082
904	9975	12069
905	9987	12060
906	10000	12050
907	10011	12040
908	10023	12030
909	10033	12018
910	10046	12009
911	10057	11998
912	10066	11985
913	10079	11975
914	10091	11966
915	10103	11956
916	10114	11945
917	10126	11935
918	10138	11926
919	10151	11916
920	10163	11907
921	10173	11894
922	10185	11885
923	10196	11874
924	10207	11862
925	10218	11852
926	10229	11841
927	10240	11829
928	10250	11817
929	10261	11806
930	10270	11793
931	10285	11785
932	10297	11775
933	10309	11766
934	10320	11755
935	10331	11744
936	10342	11733
937	10353	11721
938	10363	11710
939	10374	11699
940	10384	11686
941	10395	11675
942	10404	11662
943	10414	11650
944	10427	11641
945	10438	11629
946	10446	11615
947	10457	11605
948	10468	11593
949	10479	11582
950	10489	11569
951	10500	11559
952	10509	11545
953	10520	11535
954	10530	11522
955	10540	11510
956	10551	11499
957	10562	11488
958	10572	11476
959	10583	11465
960	10595	11455
961	10604	11442
962	10615	11431
963	10626	11420
964	10636	11408
965	10646	11395
966	10657	11384
967	10667	11373
968	10677	11361
969	10688	11349
970	10698	11337
971	10707	11324
972	10718	11313
973	10728	11301
974	10737	11288
975	10748	11277
976	10760	11267
977	10771	11256
978	10780	11243
979	10792	11233
980	10802	11221
981	10812	11209
982	10822	11197
983	10832	11185
984	10843	11173
985	10853	11161
986	10865	11151
987	10874	11138
988	10885	11128
989	10895	11115
990	10904	11102
991	10915	11091
992	10926	11080
993	10936	11068
994	10947	11057
995	10956	11044
996	10967	11033
997	10977	11021
998	10989	11011
999	10999	10999
1000	11009	10987
1001	11020	10976
1002	11032	10966
1003	11042	10954
1004	11053	10943
1005	11063	10931
1006	11074	10920
1007	11085	10909
1008	11095	10897
1009	11105	10885
1010	11117	10875
1011	11129	10865
1012	11138	10852
1013	11148	10840
1014	11158	10828
1015	11170	10818
1016	11182	10808
1017	11192	10797
1018	11201	10783
1019	11212	10772
1020	11222	10760
1021	11232	10748
1022	11240	10735
1023	11252	10724
1024	11262	10712
1025	11272	10700
1026	11281	10688
1027	11293	10677
1028	11304	10667
1029	11316	10657
1030	11326	10645
1031	11336	10633
1032	11347	10622
1033	11358	10611
1034	11370	10601
1035	11379	10588
1036	11390	10577
1037	11400	10566
1038	11410	10554
1039	11420	10542
1040	11431	10530
1041	11440	10518
1042	11450	10506
1043	11460	10494
1044	11470	10482
1045	11481	10471
1046	11492	10460
1047	11501	10447
1048	11517	10441
1049	11526	10428
1050	11536	10417
1051	11545	10404
1052	11554	10391
1053	11569	10384
1054	11582	10375
1055	11592	10362
1056	11601	10350
1057	11613	10340
1058	11623	10328
1059	11633	10316
1060	11644	10305
1061	11652	10292
1062	11664	10281
1063	11675	10270
1064	11687	10260
1065	11697	10249
1066	11708	10238
1067	11719	10227
1068	11731	10216
1069	11742	10205
1070	11752	10194
1071	11763	10183
1072	11775	10173
1073	11785	10161
1074	11796	10150
1075	11808	10140
1076	11818	10128
1077	11829	10117
1078	11839	10105
1079	11846	10091
1080	11858	10081
1081	11871	10072
1082	11881	10060
1083	11891	10048
1084	11903	10038
1085	11914	10027
1086	11924	10015
1087	11935	10004
1088	11947	9994
1089	11958	9983
1090	11967	9971
1091	11979	9961
1092	11988	9948
1093	12001	9939
1094	12011	9927
1095	12023	9916
1096	12033	9905
1097	12043	9893
1098	12056	9884
1099	12067	9873
1100	12077	9861
1101	12089	9851
1102	12099	9839
1103	12110	9828
1104	12121	9818
1105	12132	9806
1106	12143	9796
1107	12154	9785
1108	12164	9772
1109	12175	9762
1110	12185	9750
1111	12197	9740
1112	12207	9728
1113	12220	9719
1114	12231	9708
1115	12242	9697
1116	12252	9685
1117	12264	9675
1118	12275	9664
1119	12284	9652
1120	12295	9641
1121	12304	9628
1122	12313	9615
1123	12325	9606
1124	12336	9594
1125	12347	9583
1126	12358	9573
1127	12369	9562
1128	12381	9552
1129	12393	9541
1130	12404	9530
1131	12416	9520
