Project,TestCase,FilePath,NoBugFixes,NoCommitFixes,NoClones
jbehave-core,shouldResolveClassNamePreservingCase,jbehave-core/src/test/java/org/jbehave/core/io/StoryPathResolverBehaviour.java,1,1,0
jbehave-core,shouldResolveClassNamePreservingCaseWithNumbers,jbehave-core/src/test/java/org/jbehave/core/io/StoryPathResolverBehaviour.java,1,1,0
jbehave-core,shouldResolveCamelCasedClassNameToCasePreservingName,jbehave-core/src/test/java/org/jbehave/core/io/StoryPathResolverBehaviour.java,1,1,0
jbehave-core,shouldResolveCamelCasedClassNameToCasePreservingNameWithExtension,jbehave-core/src/test/java/org/jbehave/core/io/StoryPathResolverBehaviour.java,1,1,0
jbehave-core,shouldResolveCamelCasedClassNameToUnderscoredNameWithDefaultExtension,jbehave-core/src/test/java/org/jbehave/core/io/StoryPathResolverBehaviour.java,1,1,0
jbehave-core,shouldResolveCamelCasedClassNameToUnderscoredNameWithExtension,jbehave-core/src/test/java/org/jbehave/core/io/StoryPathResolverBehaviour.java,1,1,0
jbehave-core,shouldResolveCamelCasedClassNameToUnderscoredNameWithExtensionStrippingExtraneousWord,jbehave-core/src/test/java/org/jbehave/core/io/StoryPathResolverBehaviour.java,1,1,0
jbehave-core,shouldResolveCamelCasedClassNameWithNumbersTreatedAsLowerCaseLetters,jbehave-core/src/test/java/org/jbehave/core/io/StoryPathResolverBehaviour.java,1,1,0
jbehave-core,shouldResolveCamelCasedClassNameWithNumbersTreatedAsUpperCaseLetters,jbehave-core/src/test/java/org/jbehave/core/io/StoryPathResolverBehaviour.java,1,1,0
jbehave-core,shouldResolveDefaultPackageClassName,jbehave-core/src/test/java/org/jbehave/core/io/StoryPathResolverBehaviour.java,1,1,0
jbehave-core,shouldParseTableWithCustomNestedTransformers,jbehave-core/src/test/java/org/jbehave/core/model/ExamplesTableBehaviour.java,2,2,0
jbehave-core,shouldAllowBuildingOfTableFromEmptyContent,jbehave-core/src/test/java/org/jbehave/core/model/ExamplesTableBehaviour.java,1,1,0
jbehave-core,shouldCreateExamplesTableWithParametersFromResourceInput,jbehave-core/src/test/java/org/jbehave/core/model/ExamplesTableFactoryBehaviour.java,12,3,0
jbehave-core,shouldCreateExamplesTableFromTableInputWithInlinedSeparatorsHavingSpacesAtStart,jbehave-core/src/test/java/org/jbehave/core/model/ExamplesTableFactoryBehaviour.java,1,1,0
jbehave-core,shouldInheritFromParentStartingFromEmpty,jbehave-core/src/test/java/org/jbehave/core/model/MetaBehaviour.java,1,1,0
jbehave-core,shouldInheritFromParentStartingFromNonEmpty,jbehave-core/src/test/java/org/jbehave/core/model/MetaBehaviour.java,1,1,0
jbehave-core,shouldAllowFilteringBySingleExclusion,jbehave-core/src/test/java/org/jbehave/core/model/MetaBehaviour.java,1,1,0
jbehave-core,shouldAllowFilteringByMultipleExclusions,jbehave-core/src/test/java/org/jbehave/core/model/MetaBehaviour.java,5,2,0
jbehave-core,shouldDoNothingIfOutcomesVerified,jbehave-core/src/test/java/org/jbehave/core/model/OutcomesTableBehaviour.java,1,1,0
jbehave-core,shouldCloneWithScenarios,jbehave-core/src/test/java/org/jbehave/core/model/StoryBehaviour.java,2,2,0
jbehave-core,shouldTimeout,jbehave-core/src/test/java/org/jbehave/core/model/StoryDurationBehaviour.java,2,2,0
jbehave-core,shouldNotTimeout,jbehave-core/src/test/java/org/jbehave/core/model/StoryDurationBehaviour.java,2,2,0
jbehave-core,canSetPropertiesWithWhitespaceInValue,jbehave-core/src/test/java/org/jbehave/core/model/TablePropertiesBehaviour.java,1,1,0
jbehave-core,canSetPropertiesWithMixedCharsInValues,jbehave-core/src/test/java/org/jbehave/core/model/TablePropertiesBehaviour.java,1,1,0
jbehave-core,canSetPropertiesWithSpecialCharsInName,jbehave-core/src/test/java/org/jbehave/core/model/TablePropertiesBehaviour.java,1,1,0
