Project,TestCase,FilePath,NoBugFixes,NoCommitFixes,NoClones
hollow,testIsSnapshot,hollow/src/test/java/com/netflix/hollow/api/consumer/HollowUpdatePlanTest.java,3,1,0
hollow,testGetSnapshotTransition,hollow/src/test/java/com/netflix/hollow/api/consumer/HollowUpdatePlanTest.java,3,1,0
hollow,testGetDeltaTransitionsForSnapshotPlan,hollow/src/test/java/com/netflix/hollow/api/consumer/HollowUpdatePlanTest.java,6,1,1
hollow,testGetDeltaTransitionsForDeltaPlan,hollow/src/test/java/com/netflix/hollow/api/consumer/HollowUpdatePlanTest.java,4,1,1
hollow,testNullElements,hollow/src/test/java/com/netflix/hollow/core/write/objectmapper/HollowObjectMapperTest.java,18,1,0
hollow,defaultBehavior,hollow/src/test/java/com/netflix/hollow/api/consumer/CustomConsumerBuilderTest.java,1,1,0
hollow,testUpdateTo_noVersions,hollow/src/test/java/com/netflix/hollow/api/client/HollowClientUpdaterTest.java,7,1,0
hollow,testRollsBackStateEngineOnPublishFailure,hollow/src/test/java/com/netflix/hollow/api/producer/HollowProducerTest.java,5,3,0
hollow,testCopyRefreshListeners,hollow/src/test/java/com/netflix/hollow/api/consumer/HollowRefreshListenerTests.java,6,3,0
hollow,testObjectLongevityOnInitialUpdateCallbacks,hollow/src/test/java/com/netflix/hollow/api/consumer/HollowRefreshListenerTests.java,4,4,0
hollow,testGenerateWithPostfix,hollow/src/test/java/com/netflix/hollow/api/codegen/HollowDataAccessorAPIGeneratorTest.java,3,1,0
hollow,test_withPackageGrouping,hollow/src/test/java/com/netflix/hollow/api/codegen/HollowMapAPIGeneratorTest.java,6,1,0
hollow,test_withoutPackageGrouping,hollow/src/test/java/com/netflix/hollow/api/codegen/HollowMapAPIGeneratorTest.java,8,1,0
hollow,testDefaultPackage,hollow/src/test/java/com/netflix/hollow/api/codegen/HollowPackageErgonomicsAPIGeneratorTest.java,7,1,0
hollow,testWithPostfix,hollow/src/test/java/com/netflix/hollow/api/codegen/HollowPrimaryKeyAPIGeneratorTest.java,1,1,0
hollow,test,hollow/src/test/java/com/netflix/hollow/api/codegen/HollowPrimitiveTypesAPIGeneratorTest.java,1,1,0
hollow,test,hollow/src/test/java/com/netflix/hollow/api/codegen/ScalarFieldCodeGenTest.java,1,1,0
hollow,testGenerateWithPostfixAndPrimitiveTypes,hollow/src/test/java/com/netflix/hollow/api/codegen/HollowAPIGeneratorTest.java,2,1,0
hollow,testGenerateWithPostfixAndAggressiveSubstitutions,hollow/src/test/java/com/netflix/hollow/api/codegen/HollowAPIGeneratorTest.java,2,1,0
hollow,publishAndLoadASnapshot,hollow/src/test/java/com/netflix/hollow/api/consumer/HollowProducerConsumerTests.java,5,1,0
hollow,producerCanContinueAfterValidationFailure,hollow/src/test/java/com/netflix/hollow/api/consumer/HollowProducerConsumerTests.java,9,1,0
