project,filePath,methodName,noBugFixes,noCommitFixes,noClones,halsteadLength,halsteadVocabulary,halsteadVolume,entropy
hollow,hollow/src/test/java/com/netflix/hollow/api/consumer/HollowUpdatePlanTest.java,testIsSnapshot,3,1,0,85,21,373.34698093619465,3.8302326230163093
hollow,hollow/src/test/java/com/netflix/hollow/api/consumer/HollowUpdatePlanTest.java,testGetSnapshotTransition,3,1,0,58,21,254.75441052116813,4.006976746226
hollow,hollow/src/test/java/com/netflix/hollow/api/consumer/HollowUpdatePlanTest.java,testGetDeltaTransitionsForSnapshotPlan,3,1,0,134,31,663.8623055918414,4.1778915828242305
hollow,hollow/src/test/java/com/netflix/hollow/api/consumer/HollowUpdatePlanTest.java,testGetDeltaTransitionsForDeltaPlan,3,1,0,119,31,589.5493609360382,4.147050023354372
hollow,hollow/src/test/java/com/netflix/hollow/core/write/objectmapper/HollowObjectMapperTest.java,testNullElements,18,1,0,233,43,1264.3196878455888,4.541987034830279
hollow,hollow/src/test/java/com/netflix/hollow/api/consumer/CustomConsumerBuilderTest.java,defaultBehavior,1,1,0,35,22,156.0801066523054,4.12872444526914
hollow,hollow/src/test/java/com/netflix/hollow/api/client/HollowClientUpdaterTest.java,testUpdateTo_noVersions,7,1,0,74,30,363.1099040750304,4.118613342910937
hollow,hollow/src/test/java/com/netflix/hollow/api/producer/HollowProducerTest.java,testRollsBackStateEngineOnPublishFailure,5,3,0,117,50,660.3311742036427,4.714521418488536
hollow,hollow/src/test/java/com/netflix/hollow/api/consumer/HollowRefreshListenerTests.java,testCopyRefreshListeners,6,3,0,107,50,603.8926123058955,5.096117748217475
hollow,hollow/src/test/java/com/netflix/hollow/api/consumer/HollowRefreshListenerTests.java,testObjectLongevityOnInitialUpdateCallbacks,6,3,0,242,54,1392.6827755235595,5.0555709147311125
hollow,hollow/src/test/java/com/netflix/hollow/api/codegen/HollowDataAccessorAPIGeneratorTest.java,testGenerateWithPostfix,3,1,0,27,21,118.59257041502654,4.208410187268527
hollow,hollow/src/test/java/com/netflix/hollow/api/codegen/HollowMapAPIGeneratorTest.java,test_withPackageGrouping,6,1,0,22,20,95.08241808752197,4.277613436819114
