project,filePath,methodName,noBugFixes,noCommitFixes,noClones,halsteadLength,halsteadVocabulary,halsteadVolume,entropy
incubator-datasketches-java,src/test/java/org/apache/datasketches/cpc/CompressedStateTest.java,checkLoadMemory,2,1,0,123,36,635.9007751774044,4.435291123384665
incubator-datasketches-java,src/test/java/org/apache/datasketches/cpc/CompressedStateTest.java,checkToString,2,1,0,92,30,451.4339347959837,4.308775600538267
incubator-datasketches-java,src/test/java/org/apache/datasketches/cpc/CompressedStateTest.java,checkIsCompressed,2,1,0,56,32,280.0,4.653262234859557
incubator-datasketches-java,src/test/java/org/apache/datasketches/cpc/CpcCBinariesTest.java,genSparseSketch,3,1,0,127,42,684.8243126929026,4.58072034089972
incubator-datasketches-java,src/test/java/org/apache/datasketches/cpc/CpcCompressionTest.java,checkWriteReadUnary,3,1,0,294,53,1684.0086136415807,4.795085402740315
incubator-datasketches-java,src/test/java/org/apache/datasketches/cpc/CpcCompressionTest.java,checkWriteReadBytes,3,1,0,107,36,553.1819751543273,4.709566436077758
incubator-datasketches-java,src/test/java/org/apache/datasketches/cpc/CpcCompressionTest.java,checkWriteReadBytes65,3,1,0,95,35,487.2818866097718,4.62915615986241
incubator-datasketches-java,src/test/java/org/apache/datasketches/cpc/CpcCompressionTest.java,checkWriteReadPairs,3,1,0,235,56,1364.728406683537,4.972998614190702
incubator-datasketches-java,src/test/java/org/apache/datasketches/cpc/CpcSketchTest.java,checkUpdatesEstimate,4,1,0,175,51,992.6744348450118,4.701651149367952
incubator-datasketches-java,src/test/java/org/apache/datasketches/cpc/CpcSketchTest.java,checkEstimatesWithMerge,4,1,0,160,46,883.7699129691221,4.840817503304043
incubator-datasketches-java,src/test/java/org/apache/datasketches/cpc/CpcSketchTest.java,checkCornerCaseUpdates,4,1,0,313,39,1654.3308945038839,4.345703332633125
incubator-datasketches-java,src/test/java/org/apache/datasketches/cpc/CpcSketchTest.java,checkCornerHashUpdates,4,1,0,52,28,249.9824559469954,4.496032208850887
incubator-datasketches-java,src/test/java/org/apache/datasketches/cpc/CpcSketchTest.java,checkCopyWithWindow,4,1,0,83,34,422.2594158237782,4.608262817474207
