Project,TestCase,NoBugFixes,NoCommitFixes,NoClones
governator,test1,3,1,0
governator,testMultiRootsDepsBothDirections,3,3,0
governator,shouldReplaceInjectedModule,1,1,0
governator,shouldInitInterfaceInParallel,5,2,0
governator,testLifecycleInitInheritance,13,6,0
governator,testLifecycleCloseable,16,6,0
governator,shouldReplaceAnnotatedModuleWithDependency,1,1,0
governator,shouldNotCreateLazyTransitiveSingletonWithChildInjector,3,1,0
governator,confirmNonJerseySingletonNotEagerOrASingleton,5,1,1
governator,testForEachBinding,4,2,0
governator,zz_testMethodLevelConfigClearedBetweenTests,11,11,0
governator,testUsingInWithProvider,54,6,1
governator,shouldCreateAllSingletons_Production_NoChild,15,5,1
governator,testDag4,63,12,1
governator,testPostActionsAndLifecycleListenersInvoked,82,11,0
governator,testLifecycleMultipleAnnotations,11,1,2
governator,confirmLifecycleListenerEventsForRTExceptionOnStarted,3,1,1
governator,testDag1,84,14,1
governator,testDag2,128,14,0
governator,testDag3,94,13,1
governator,shouldCreateSingletonAndExitAfter1Second,14,9,0
governator,adviseWithQualifier,0,0,1
governator,confirmLifecycleListenerEventsForSuccessfulStart,26,7,0
governator,testValidation,19,12,0
governator,shouldIncludeMultipleLevels,1,1,0
governator,confirmBindingReverseSingletonOrder,18,7,1
governator,circle,10,6,0
governator,testSimpleSingleton,57,17,0
governator,confirmResourceLoadedWithBindingOnly,6,2,0
governator,testPostInjectReport,6,6,0
governator,testPostStart,70,7,1
governator,testMaxThreads,8,2,0
governator,providedInstanceBindingPreDestroy,0,0,1
governator,scopesAreHonoredInProd,17,6,0
governator,testNoMultibindings,0,0,1
governator,testNoTransitiveSingletonCreation,3,1,0
governator,testAnnotationWiringAndInjection,31,9,0
governator,assertionErrorInOnStarted,8,2,1
governator,testLifecycleShutdown,11,6,0
governator,assertionErrorInPostConstruct,2,2,1
governator,testClassLevelConfig,11,11,0
governator,testServiceLoadedModules,6,6,0
governator,confirmLifecycleListenerEventsForRTExceptionPostConstruct,3,1,1
governator,confirmMultiWithModuleClasses,22,7,1
governator,testSimpleExecution,2,1,0
governator,confirmLifecycleListenerEventsForFailedStart,39,7,0
governator,testInjectedLifecycleListener,34,8,0
governator,confirmLifecycleListenerEventsForRTExceptionPreDestroy,0,0,1
governator,testInParallel,148,28,0
governator,confirmDedupWorksWithOverride,14,3,0
governator,testGeneric,19,6,0
governator,shouldExcludeInjectedModuleDependency2,1,1,0
governator,testUsingInWithProviderAndAnnotation,108,6,2
governator,testInterfaceSingletonProductionStage,18,8,1
governator,confirmShutdownSequence,71,16,0
governator,confirmLifecycleListenerEventsForRTExceptionOnStopped,2,1,1
governator,testLifecycleShutdownWithMultipleInScope,21,15,0
governator,confirmFailedToCreateWithoutRootResources,15,8,1
governator,testConfig,135,18,1
governator,shouldReplaceInjectedModuleWithDependency,1,1,0
governator,testMultiple,33,8,1
governator,testSingleRoot,3,3,0
governator,provisionWithoutAdviseDoesntBlowUp,0,0,1
governator,testSingleRootDepsBothDirections,3,3,0
governator,scopesAreHonoredInProdNoChild,17,6,0
governator,testConnectorBinding,1,1,0
governator,testShouldInstallDuplicate,5,5,0
governator,shouldExcludeAnnotatedDependency,1,1,0
governator,testLifecycleShutdownInheritance1,2,1,0
governator,testDag1MultiModule,55,7,0
governator,optionalProviderBindingPreDestroy,1,1,0
governator,testDagInterfaceModule,55,7,0
governator,providedInstanceBindingUnscopedPreDestroy,0,0,1
governator,testLifecycleInitWithInvalidPostConstructs,5,3,0
governator,testAssetParameters,10,2,0
governator,testAutoBindModules,19,6,0
governator,defaultMetricsAreEmpty,28,14,0
governator,testAutoBindSingletonMode,8,2,0
governator,confirmBindingsCreatedForAutoBindSinglton,4,2,0
governator,assertionExampleInListener,3,1,0
governator,testWithExternalLifecycleManager,12,6,0
governator,testModuleDepdency,4,1,0
governator,confirmMetricsIncludePostConstruct,27,9,0
governator,testSimpleProvider,46,13,0
governator,testProvidesAnnotation,9,3,0
governator,testUsingAnnotation,88,6,2
governator,testConfigSubclass,140,18,1
governator,testDuplicateAsset,28,10,0
governator,testScopedSingleton,27,8,1
governator,confirmLifecycleListenerEventsForRTExceptionInjected,11,4,0
governator,testLifecycleAnnotatedInterfaceMethod,2,1,0
governator,testConfigWithVariable,98,13,0
governator,testStripStaticInjection,35,13,1
governator,testSimpleAsset,28,10,0
governator,testConfigTypeMismatchWithArchaius,12,11,1
governator,testConfigTypeMismatchWithPropProvider,12,12,1
governator,testStuck,63,15,0
governator,testInterfaceSingleton,21,8,1
governator,shouldExcludeInjectedModule,1,1,0
governator,scopesAreHonoredInDevMode,17,6,0
governator,testDuplicateOrder,3,1,0
governator,testLifecycleInjectorEvents,18,8,0
governator,testMethodLevelConfigOverridesClassLevelConfig,11,11,0
governator,testWithoutOverride,6,6,0
governator,shouldExcludeAnnotatedModule,1,1,0
governator,installedMetricsHaveData,37,10,0
governator,testJsr250EnabledService,34,6,0
governator,testInjectedIntoAnother,64,16,0
governator,testChained,19,6,0
governator,testBindingTracing,11,8,0
governator,testErrors,51,8,0
governator,testManuallyRegisteredApplicationEventListenersWithoutClassArgument,0,0,1
governator,confirmNoResourceLoadedFromGuiceBinding,2,1,1
governator,testUsingIn,44,6,1
governator,shouldNotCreateLazyTransitiveSingleton_Production_Child,17,7,1
governator,testOnReadyListener,14,2,0
governator,shouldImportInjectedDependency,1,1,0
governator,testOverrideAssetLoader,17,6,0
governator,shouldImportAnnotatedDependency,1,1,0
governator,testMultibindings,10,5,2
