Project,TestCase,NoBugFixes,NoCommitFixes,NoClones
governator,test1,3,1,0
governator,testMultiRootsDepsBothDirections,3,3,0
governator,shouldReplaceInjectedModule,1,1,0
governator,testLifecycleInitInheritance,13,6,0
governator,shouldReplaceAnnotatedModuleWithDependency,1,1,0
governator,shouldNotCreateLazyTransitiveSingletonWithChildInjector,3,1,0
governator,testLifecycleMultipleAnnotations,11,1,2
governator,shouldCreateSingletonAndExitAfter1Second,14,9,0
governator,confirmResourceLoadedWithBindingOnly,6,2,0
governator,testMaxThreads,8,2,0
governator,testNoTransitiveSingletonCreation,3,1,0
governator,testServiceLoadedModules,6,6,0
governator,confirmLifecycleListenerEventsForFailedStart,39,7,0
governator,testUsingInWithProviderAndAnnotation,108,6,2
governator,shouldReplaceInjectedModuleWithDependency,1,1,0
governator,testSingleRoot,3,3,0
governator,testSingleRootDepsBothDirections,3,3,0
governator,testAssetParameters,10,2,0
governator,defaultMetricsAreEmpty,28,14,0
governator,testAutoBindSingletonMode,8,2,0
governator,assertionExampleInListener,3,1,0
governator,testWithExternalLifecycleManager,12,6,0
governator,testModuleDepdency,4,1,0
governator,testProvidesAnnotation,9,3,0
governator,testUsingAnnotation,88,6,2
governator,testDuplicateAsset,28,10,0
governator,testSimpleAsset,28,10,0
governator,testStuck,63,15,0
governator,installedMetricsHaveData,37,10,0
governator,testOnReadyListener,14,2,0
governator,testOverrideAssetLoader,17,6,0
governator,testMultibindings,10,5,2
governator,testEventCallbacks,6,1,0
governator,scope,0,0,2
governator,configure,0,0,1
governator,shouldReplaceAnnotatedModule,1,1,0
governator,scanExistingClassPath,4,2,0
governator,testStuckCoolDown,6,2,0
governator,testMultiRoots,3,3,0
governator,testWithExternalListener,29,6,0
governator,testWithoutLifecycle,3,2,0
governator,testIncorrectCreationOfTransitiveSingletonWithNoChildInjector,3,1,0
governator,testLifecycleShutdownInheritance,17,6,0
governator,testWithLifecycle,13,6,0
governator,testOrderWithLifecycle,8,1,0
governator,testParallel,11,1,0
governator,testWaitForInternalShutdownTrigger,6,3,0
governator,testFooSuiteInstalled,1,1,0
error-prone,positiveNoFix,2,1,0
error-prone,returnInAnonymousClass,0,0,2
error-prone,testFlags,236,19,0
error-prone,enumsDefaultToMutable,1,1,0
error-prone,negativeExample2,0,0,4
error-prone,findCommentsForArguments_assignToSecondParameter_withLineCommentAfterMethodMidBlock,1,1,0
error-prone,testNegative,26,8,0
error-prone,choosesOriginalWhenBestOption,1,1,0
error-prone,b35809355,3,1,0
error-prone,testContainsExpectAsIdentifier,1,1,0
error-prone,setNestedMessage,0,0,2
error-prone,testEquality,0,0,6
error-prone,testPositiveCase2,129,30,0
error-prone,testPositiveCase3,71,21,0
error-prone,testPositiveCase1,135,33,0
error-prone,hasOtherAnnotationAndNamedTest,1,1,0
error-prone,shouldNotMatchWhenMatcherFails,3,3,0
error-prone,methodHasIdentifierMatching,0,0,1
error-prone,shouldGetTopLevelFromImportWithWhitespace,1,1,0
error-prone,clearNestedTestTimestamp,0,0,1
error-prone,anyOf,1,1,0
error-prone,callsTologMethod,0,0,2
error-prone,abstractMethod,4,2,0
error-prone,negative,145,27,0
error-prone,testBadLockExpression,8,3,0
error-prone,positiveStarImport,7,1,0
error-prone,negativePackageAnnotation,8,2,0
error-prone,expectedException_throwSynonymInTry,0,0,2
error-prone,clearNestedMessage,0,0,1
error-prone,findBestMatch_first,3,1,0
error-prone,fixIsToDeleteTheFirstStatement,0,0,2
error-prone,methodMatches,0,0,1
error-prone,testNegativeCases_alreadyAnnotated,2,1,0
error-prone,validate_className_positive,11,1,0
error-prone,interfaceMethod,1,1,0
error-prone,testBreakOutOfLoop,0,0,2
error-prone,refactoring,40,10,0
error-prone,testInnerAnnotationType,6,3,0
error-prone,clearTestDuration,0,0,1
error-prone,shouldNotMatchInstanceMethod,11,11,0
error-prone,testContainsQualifiedExpect,1,1,0
error-prone,findCommentsForArguments_assignToSecondParameter_withLineCommentAfterMethod,1,1,0
error-prone,twoSwapOneInPlace,4,1,0
error-prone,testLoopNotInSynchronized,0,0,2
error-prone,secondArray,0,0,2
error-prone,findBestMatch_same,3,1,0
error-prone,testCases,3,2,0
error-prone,moreMethods,0,0,4
error-prone,checkEqualsAB1B2B3,0,0,2
error-prone,fileWithSyntaxErrorShouldFail,16,5,0
error-prone,namedParametersChecker_reformatsMatchingComment_lineAfter,1,1,0
error-prone,searchMode,9,3,0
error-prone,testShouldSucceedCompileSourceFileWithMultipleTopLevelClasses,11,6,0
error-prone,choosesOriginalWhenAlternativesAsGood,1,1,0
error-prone,increment,0,0,2
error-prone,splitStringTerms_upper,1,1,0
error-prone,calculateSimilarity_partialLargerBiggerThanDifferent,1,1,0
error-prone,testByJavaTime,6,1,0
error-prone,testContainsFailAsIdentifier,1,1,0
error-prone,testStaticFirstOrdering,2,1,0
error-prone,testFixes,7,2,0
error-prone,destroyThread,5,4,0
error-prone,testGetActualStartPositionWithWhitespaceUnix,3,2,0
error-prone,validate_className_negative,15,1,0
error-prone,setNestedTestTimestamp,0,0,2
error-prone,listSuperClasses_innerClass,4,1,0
error-prone,example,0,0,20
error-prone,findCommentsForArguments_findsBothComments_after,1,1,0
error-prone,objectArray,0,0,2
error-prone,neitherArray,0,0,2
error-prone,testWrappedCaseInFullProto,2,2,0
error-prone,positiveConstructor,2,2,0
error-prone,differentOrderNoVariableConflicts,0,0,2
error-prone,fooReturnsType,0,0,1
error-prone,targetType,4,3,0
