mainProjectName,projectName,filePath,typeName,methodName,methodShortSignature,methodVerboseSignature,methodAnnotations,numberOfFirstLevelStatements,numberOfStatements,numberOfMethodInvocations,distinctMethodInvocations,numberOfDistinctMethodInvocations,distinctMethodInvocationsInSameClass,numberOfDistinctMethodInvocationsInSameClass,distinctTestCaseMethodInvocationsInSameClass,numberOfDistinctTestCaseMethodInvocationsInSameClass,numberOfMethodInvocationsWithExceptions,numberOfExceptionsThrown,numberOfExceptionsThrownAndCaughtExact,numberOfExceptionsThrownAndCaughtPartial,exceptionsThrownInMethodInvocations,numberOfAssertions,numberOfAssertionsWithRecursion,distinctMethodsInSameClassThatCallThisOne,numberOfdistinctMethodsInSameClassThatCallThisOne,distinctTestCasesInSameClassThatCallThisOne,numberOfdistinctTestCasesInSameClassThatCallThisOne
error-prone,error_prone_annotation,/error_prone_annotation/src/test/java/com/google/errorprone/BugPatternValidatorTest.java,com.google.errorprone.BugPatternValidatorTest,basicBugPattern,()V,void basicBugPattern(),org.junit.Test,3,3,2,Annotation getAnnotation(Class annotationClass)|void validate(BugPattern pattern),2,,0,,0,1,1,0,0,com.google.errorprone.ValidationException,0,0,,0,,0
error-prone,error_prone_annotation,/error_prone_annotation/src/test/java/com/google/errorprone/BugPatternValidatorTest.java,com.google.errorprone.BugPatternValidatorTest,linkTypeNoneAndNoLink,()V,void linkTypeNoneAndNoLink(),org.junit.Test,3,3,2,Annotation getAnnotation(Class annotationClass)|void validate(BugPattern pattern),2,,0,,0,1,1,0,0,com.google.errorprone.ValidationException,0,0,,0,,0
error-prone,error_prone_annotation,/error_prone_annotation/src/test/java/com/google/errorprone/BugPatternValidatorTest.java,com.google.errorprone.BugPatternValidatorTest,linkTypeNoneButIncludesLink,()V,void linkTypeNoneButIncludesLink(),org.junit.Test,3,3,3,Annotation getAnnotation(Class annotationClass)|Throwable assertThrows(Class expectedThrowable; ThrowingRunnable runnable)|void validate(BugPattern pattern),3,,0,,0,1,1,0,0,com.google.errorprone.ValidationException,1,1,,0,,0
error-prone,error_prone_annotation,/error_prone_annotation/src/test/java/com/google/errorprone/BugPatternValidatorTest.java,com.google.errorprone.BugPatternValidatorTest,linkTypeCustomAndIncludesLink,()V,void linkTypeCustomAndIncludesLink(),org.junit.Test,3,3,2,Annotation getAnnotation(Class annotationClass)|void validate(BugPattern pattern),2,,0,,0,1,1,0,0,com.google.errorprone.ValidationException,0,0,,0,,0
error-prone,error_prone_annotation,/error_prone_annotation/src/test/java/com/google/errorprone/BugPatternValidatorTest.java,com.google.errorprone.BugPatternValidatorTest,linkTypeCustomButNoLink,()V,void linkTypeCustomButNoLink(),org.junit.Test,3,3,3,Annotation getAnnotation(Class annotationClass)|Throwable assertThrows(Class expectedThrowable; ThrowingRunnable runnable)|void validate(BugPattern pattern),3,,0,,0,1,1,0,0,com.google.errorprone.ValidationException,1,1,,0,,0
error-prone,error_prone_annotation,/error_prone_annotation/src/test/java/com/google/errorprone/BugPatternValidatorTest.java,com.google.errorprone.BugPatternValidatorTest,unsuppressible,()V,void unsuppressible(),org.junit.Test,3,3,2,Annotation getAnnotation(Class annotationClass)|void validate(BugPattern pattern),2,,0,,0,1,1,0,0,com.google.errorprone.ValidationException,0,0,,0,,0
error-prone,error_prone_annotation,/error_prone_annotation/src/test/java/com/google/errorprone/BugPatternValidatorTest.java,com.google.errorprone.BugPatternValidatorTest,customSuppressionAnnotation,()V,void customSuppressionAnnotation(),org.junit.Test,3,3,2,Annotation getAnnotation(Class annotationClass)|void validate(BugPattern pattern),2,,0,,0,1,1,0,0,com.google.errorprone.ValidationException,0,0,,0,,0
error-prone,error_prone_annotation,/error_prone_annotation/src/test/java/com/google/errorprone/BugPatternValidatorTest.java,com.google.errorprone.BugPatternValidatorTest,multipleCustomSuppressionAnnotations,()V,void multipleCustomSuppressionAnnotations(),org.junit.Test,3,3,2,Annotation getAnnotation(Class annotationClass)|void validate(BugPattern pattern),2,,0,,0,1,1,0,0,com.google.errorprone.ValidationException,0,0,,0,,0
error-prone,error_prone_annotation,/error_prone_annotation/src/test/java/com/google/errorprone/BugPatternValidatorTest.java,com.google.errorprone.BugPatternValidatorTest,suppressionAnnotationsIncludesSuppressWarnings,()V,void suppressionAnnotationsIncludesSuppressWarnings(),org.junit.Test,3,3,2,Annotation getAnnotation(Class annotationClass)|void validate(BugPattern pattern),2,,0,,0,1,1,0,0,com.google.errorprone.ValidationException,0,0,,0,,0
error-prone,error_prone_annotation,/error_prone_annotation/src/test/java/com/google/errorprone/BugPatternValidatorTest.java,com.google.errorprone.BugPatternValidatorTest,spacesInNameNotAllowed,()V,void spacesInNameNotAllowed(),org.junit.Test,4,4,6,Annotation getAnnotation(Class annotationClass)|StringSubject hasMessageThat()|Throwable assertThrows(Class expectedThrowable; ThrowingRunnable runnable)|ThrowableSubject assertThat(Throwable actual)|void contains(CharSequence string)|void validate(BugPattern pattern),6,,0,,0,1,1,0,0,com.google.errorprone.ValidationException,1,1,,0,,0
