mainProjectName,projectName,filePath,typeName,methodName,methodShortSignature,methodVerboseSignature,methodAnnotations,numberOfFirstLevelStatements,numberOfStatements,numberOfMethodInvocations,distinctMethodInvocations,numberOfDistinctMethodInvocations,distinctMethodInvocationsInSameClass,numberOfDistinctMethodInvocationsInSameClass,distinctTestCaseMethodInvocationsInSameClass,numberOfDistinctTestCaseMethodInvocationsInSameClass,numberOfMethodInvocationsWithExceptions,numberOfExceptionsThrown,numberOfExceptionsThrownAndCaughtExact,numberOfExceptionsThrownAndCaughtPartial,exceptionsThrownInMethodInvocations,numberOfAssertions,numberOfAssertionsWithRecursion,distinctMethodsInSameClassThatCallThisOne,numberOfdistinctMethodsInSameClassThatCallThisOne,distinctTestCasesInSameClassThatCallThisOne,numberOfdistinctTestCasesInSameClassThatCallThisOne
error-prone,error_prone_check_api,/error_prone_check_api/src/test/java/com/google/errorprone/ErrorProneOptionsTest.java,com.google.errorprone.ErrorProneOptionsTest,nonErrorProneFlagsPlacedInRemainingArgs,()V,void nonErrorProneFlagsPlacedInRemainingArgs(),org.junit.Test,3,3,4,ErrorProneOptions processArgs(String[] args)|ObjectArraySubject assertThat(Object[] actual)|String[] getRemainingArgs()|void isEqualTo(Object expected),4,,0,,0,0,0,0,0,,0,0,,0,,0
error-prone,error_prone_check_api,/error_prone_check_api/src/test/java/com/google/errorprone/ErrorProneOptionsTest.java,com.google.errorprone.ErrorProneOptionsTest,malformedOptionThrowsProperException,()V,void malformedOptionThrowsProperException(),org.junit.Test,2,4,8,ErrorProneOptions processArgs(Iterable<String> args)|List asList(Object[] a)|StringSubject hasMessageThat()|Throwable assertThrows(Class expectedThrowable; ThrowingRunnable runnable)|ThrowableSubject assertThat(Throwable actual)|void contains(CharSequence string)|void forEach(Consumer action),7,,0,,0,0,0,0,0,,1,1,,0,,0
error-prone,error_prone_check_api,/error_prone_check_api/src/test/java/com/google/errorprone/ErrorProneOptionsTest.java,com.google.errorprone.ErrorProneOptionsTest,handlesErrorProneSeverityFlags,()V,void handlesErrorProneSeverityFlags(),org.junit.Test,8,8,14,ErrorProneOptions processArgs(String[] args)|ImmutableMap build()|ImmutableMap of(Object k1; Object v1)|ImmutableMap.Builder builder()|ImmutableMap.Builder put(Object key; Object value)|ImmutableMap<String;Severity> getSeverityMap()|MapSubject assertThat(Map actual)|void isEqualTo(Object other),8,,0,,0,0,0,0,0,,0,0,,0,,0
error-prone,error_prone_check_api,/error_prone_check_api/src/test/java/com/google/errorprone/ErrorProneOptionsTest.java,com.google.errorprone.ErrorProneOptionsTest,handlesErrorProneCustomFlags,()V,void handlesErrorProneCustomFlags(),org.junit.Test,4,4,10,ErrorProneFlags getFlags()|ErrorProneOptions processArgs(String[] args)|ImmutableMap build()|ImmutableMap.Builder builder()|ImmutableMap.Builder put(Object key; Object value)|ImmutableMap<String;String> getFlagsMap()|MapSubject assertThat(Map actual)|void isEqualTo(Object other),8,,0,,0,0,0,0,0,,0,0,,0,,0
error-prone,error_prone_check_api,/error_prone_check_api/src/test/java/com/google/errorprone/ErrorProneOptionsTest.java,com.google.errorprone.ErrorProneOptionsTest,combineErrorProneFlagsWithNonErrorProneFlags,()V,void combineErrorProneFlagsWithNonErrorProneFlags(),org.junit.Test,8,8,16,ErrorProneFlags getFlags()|ErrorProneOptions processArgs(String[] args)|ImmutableMap build()|ImmutableMap of(Object k1; Object v1)|ImmutableMap.Builder builder()|ImmutableMap.Builder put(Object key; Object value)|ImmutableMap<String;Severity> getSeverityMap()|ImmutableMap<String;String> getFlagsMap()|MapSubject assertThat(Map actual)|ObjectArraySubject assertThat(Object[] actual)|Ordered containsExactlyEntriesIn(Map expectedMap)|String[] getRemainingArgs()|void isEqualTo(Object expected)|void isEqualTo(Object other),14,,0,,0,0,0,0,0,,0,0,,0,,0
error-prone,error_prone_check_api,/error_prone_check_api/src/test/java/com/google/errorprone/ErrorProneOptionsTest.java,com.google.errorprone.ErrorProneOptionsTest,lastSeverityFlagWins,()V,void lastSeverityFlagWins(),org.junit.Test,4,4,5,ErrorProneOptions processArgs(String[] args)|ImmutableMap of(Object k1; Object v1)|ImmutableMap<String;Severity> getSeverityMap()|MapSubject assertThat(Map actual)|void isEqualTo(Object other),5,,0,,0,0,0,0,0,,0,0,,0,,0
error-prone,error_prone_check_api,/error_prone_check_api/src/test/java/com/google/errorprone/ErrorProneOptionsTest.java,com.google.errorprone.ErrorProneOptionsTest,lastCustomFlagWins,()V,void lastCustomFlagWins(),org.junit.Test,4,4,6,ErrorProneFlags getFlags()|ErrorProneOptions processArgs(String[] args)|ImmutableMap of(Object k1; Object v1)|ImmutableMap<String;String> getFlagsMap()|MapSubject assertThat(Map actual)|Ordered containsExactlyEntriesIn(Map expectedMap),6,,0,,0,0,0,0,0,,0,0,,0,,0
error-prone,error_prone_check_api,/error_prone_check_api/src/test/java/com/google/errorprone/ErrorProneOptionsTest.java,com.google.errorprone.ErrorProneOptionsTest,recognizesAllChecksAsWarnings,()V,void recognizesAllChecksAsWarnings(),org.junit.Test,2,2,4,BooleanSubject assertThat(Boolean actual)|ErrorProneOptions processArgs(String[] args)|boolean isEnableAllChecksAsWarnings()|void isTrue(),4,,0,,0,0,0,0,0,,0,0,,0,,0
error-prone,error_prone_check_api,/error_prone_check_api/src/test/java/com/google/errorprone/ErrorProneOptionsTest.java,com.google.errorprone.ErrorProneOptionsTest,recognizesDemoteErrorToWarning,()V,void recognizesDemoteErrorToWarning(),org.junit.Test,2,2,4,BooleanSubject assertThat(Boolean actual)|ErrorProneOptions processArgs(String[] args)|boolean isDropErrorsToWarnings()|void isTrue(),4,,0,,0,0,0,0,0,,0,0,,0,,0
error-prone,error_prone_check_api,/error_prone_check_api/src/test/java/com/google/errorprone/ErrorProneOptionsTest.java,com.google.errorprone.ErrorProneOptionsTest,recognizesDisableAllChecks,()V,void recognizesDisableAllChecks(),org.junit.Test,2,2,4,BooleanSubject assertThat(Boolean actual)|ErrorProneOptions processArgs(String[] args)|boolean isDisableAllChecks()|void isTrue(),4,,0,,0,0,0,0,0,,0,0,,0,,0
