mainProjectName,projectName,filePath,typeName,methodName,methodShortSignature,methodVerboseSignature,methodAnnotations,numberOfFirstLevelStatements,numberOfStatements,numberOfMethodInvocations,distinctMethodInvocations,numberOfDistinctMethodInvocations,distinctMethodInvocationsInSameClass,numberOfDistinctMethodInvocationsInSameClass,distinctTestCaseMethodInvocationsInSameClass,numberOfDistinctTestCaseMethodInvocationsInSameClass,numberOfMethodInvocationsWithExceptions,numberOfExceptionsThrown,numberOfExceptionsThrownAndCaughtExact,numberOfExceptionsThrownAndCaughtPartial,exceptionsThrownInMethodInvocations,numberOfAssertions,numberOfAssertionsWithRecursion,distinctMethodsInSameClassThatCallThisOne,numberOfdistinctMethodsInSameClassThatCallThisOne,distinctTestCasesInSameClassThatCallThisOne,numberOfdistinctTestCasesInSameClassThatCallThisOne
error-prone,error_prone_core,/error_prone_core/src/test/java/com/google/errorprone/VisitorStateTest.java,com.google.errorprone.VisitorStateTest,symbolFromString_defaultPackage,()V,void symbolFromString_defaultPackage(),org.junit.Test,1,1,3,String inferBinaryName(String classname)|StringSubject assertThat(String actual)|void isEqualTo(Object expected),3,,0,,0,0,0,0,0,,0,0,,0,,0
error-prone,error_prone_core,/error_prone_core/src/test/java/com/google/errorprone/VisitorStateTest.java,com.google.errorprone.VisitorStateTest,symbolFromString_nestedTypeInDefaultPackage,()V,void symbolFromString_nestedTypeInDefaultPackage(),org.junit.Test,1,1,3,String inferBinaryName(String classname)|StringSubject assertThat(String actual)|void isEqualTo(Object expected),3,,0,,0,0,0,0,0,,0,0,,0,,0
error-prone,error_prone_core,/error_prone_core/src/test/java/com/google/errorprone/VisitorStateTest.java,com.google.errorprone.VisitorStateTest,symbolFromString_regularClass,()V,void symbolFromString_regularClass(),org.junit.Test,2,2,6,String inferBinaryName(String classname)|StringSubject assertThat(String actual)|void isEqualTo(Object expected),3,,0,,0,0,0,0,0,,0,0,,0,,0
error-prone,error_prone_core,/error_prone_core/src/test/java/com/google/errorprone/VisitorStateTest.java,com.google.errorprone.VisitorStateTest,symbolFromString_nestedTypeInRegularPackage,()V,void symbolFromString_nestedTypeInRegularPackage(),org.junit.Test,2,2,6,String inferBinaryName(String classname)|StringSubject assertThat(String actual)|void isEqualTo(Object expected),3,,0,,0,0,0,0,0,,0,0,,0,,0
error-prone,error_prone_core,/error_prone_core/src/test/java/com/google/errorprone/CommandLineFlagTest.java,com.google.errorprone.CommandLineFlagTest,malformedFlag,()V,void malformedFlag(),org.junit.Test,3,5,8,ErrorProneTestCompiler build()|List asList(Object[] a)|List emptyList()|Result compile(String[] args; List<JavaFileObject> sources)|StringSubject hasMessageThat()|Throwable assertThrows(Class expectedThrowable; ThrowingRunnable runnable)|ThrowableSubject assertThat(Throwable actual)|void contains(CharSequence string),8,,0,,0,0,0,0,0,,1,1,,0,,0
error-prone,error_prone_core,/error_prone_core/src/test/java/com/google/errorprone/CommandLineFlagTest.java,com.google.errorprone.CommandLineFlagTest,canEnableWithDefaultSeverity,()V,void canEnableWithDefaultSeverity(),org.junit.Test,7,7,12,ComparableSubject assertThat(Comparable actual)|ErrorProneInMemoryFileManager fileManager()|ErrorProneTestCompiler build()|IterableSubject assertThat(Iterable actual)|List<Diagnostic<? extends JavaFileObject>> getDiagnostics()|List<JavaFileObject> forResources(Class<?> clazz; String[] fileNames)|Result compile(List<JavaFileObject> sources)|Result compile(String[] args; List<JavaFileObject> sources)|void isEmpty()|void isEqualTo(Object expected),10,,0,,0,0,0,0,0,,0,0,,0,,0
error-prone,error_prone_core,/error_prone_core/src/test/java/com/google/errorprone/CommandLineFlagTest.java,com.google.errorprone.CommandLineFlagTest,canEnableWithOverriddenSeverity,()V,void canEnableWithOverriddenSeverity(),org.junit.Test,10,10,20,ComparableSubject assertThat(Comparable actual)|ErrorProneInMemoryFileManager fileManager()|ErrorProneTestCompiler build()|IterableSubject assertThat(Iterable actual)|List<Diagnostic<? extends JavaFileObject>> getDiagnostics()|List<JavaFileObject> forResources(Class<?> clazz; String[] fileNames)|Result compile(List<JavaFileObject> sources)|Result compile(String[] args; List<JavaFileObject> sources)|String toString()|StringSubject assertThat(String actual)|void clearDiagnostics()|void contains(CharSequence string)|void isEmpty()|void isEqualTo(Object expected)|void isNotEmpty(),15,,0,,0,0,0,0,0,,0,0,,0,,0
error-prone,error_prone_core,/error_prone_core/src/test/java/com/google/errorprone/CommandLineFlagTest.java,com.google.errorprone.CommandLineFlagTest,canPromoteToError,()V,void canPromoteToError(),org.junit.Test,7,7,15,Builder report(ScannerSupplier scannerSupplier)|Class getClass()|ComparableSubject assertThat(Comparable actual)|ErrorProneInMemoryFileManager fileManager()|ErrorProneTestCompiler build()|IterableSubject assertThat(Iterable actual)|List<Diagnostic<? extends JavaFileObject>> getDiagnostics()|List<JavaFileObject> forResources(Class<?> clazz; String[] fileNames)|Result compile(List<JavaFileObject> sources)|Result compile(String[] args; List<JavaFileObject> sources)|ScannerSupplier fromBugCheckerClasses(Class<? extends BugChecker>[] checkerClasses)|void isEqualTo(Object expected)|void isNotEmpty(),13,,0,,0,0,0,0,0,,0,0,,0,,0
error-prone,error_prone_core,/error_prone_core/src/test/java/com/google/errorprone/CommandLineFlagTest.java,com.google.errorprone.CommandLineFlagTest,canDemoteToWarning,()V,void canDemoteToWarning(),org.junit.Test,8,8,16,Builder report(ScannerSupplier scannerSupplier)|Class getClass()|ComparableSubject assertThat(Comparable actual)|ErrorProneInMemoryFileManager fileManager()|ErrorProneTestCompiler build()|IterableSubject assertThat(Iterable actual)|List<Diagnostic<? extends JavaFileObject>> getDiagnostics()|List<JavaFileObject> forResources(Class<?> clazz; String[] fileNames)|Result compile(List<JavaFileObject> sources)|Result compile(String[] args; List<JavaFileObject> sources)|ScannerSupplier fromBugCheckerClasses(Class<? extends BugChecker>[] checkerClasses)|void clearDiagnostics()|void isEqualTo(Object expected)|void isNotEmpty(),14,,0,,0,0,0,0,0,,0,0,,0,,0
error-prone,error_prone_core,/error_prone_core/src/test/java/com/google/errorprone/CommandLineFlagTest.java,com.google.errorprone.CommandLineFlagTest,canDisable,()V,void canDisable(),org.junit.Test,8,8,16,Builder report(ScannerSupplier scannerSupplier)|Class getClass()|ComparableSubject assertThat(Comparable actual)|ErrorProneInMemoryFileManager fileManager()|ErrorProneTestCompiler build()|IterableSubject assertThat(Iterable actual)|List<Diagnostic<? extends JavaFileObject>> getDiagnostics()|List<JavaFileObject> forResources(Class<?> clazz; String[] fileNames)|Result compile(List<JavaFileObject> sources)|Result compile(String[] args; List<JavaFileObject> sources)|ScannerSupplier fromBugCheckerClasses(Class<? extends BugChecker>[] checkerClasses)|void clearDiagnostics()|void isEmpty()|void isEqualTo(Object expected),14,,0,,0,0,0,0,0,,0,0,,0,,0
