mainProjectName,projectName,filePath,typeName,methodName,methodShortSignature,methodVerboseSignature,methodAnnotations,numberOfFirstLevelStatements,numberOfStatements,numberOfMethodInvocations,distinctMethodInvocations,numberOfDistinctMethodInvocations,distinctMethodInvocationsInSameClass,numberOfDistinctMethodInvocationsInSameClass,distinctTestCaseMethodInvocationsInSameClass,numberOfDistinctTestCaseMethodInvocationsInSameClass,numberOfMethodInvocationsWithExceptions,numberOfExceptionsThrown,numberOfExceptionsThrownAndCaughtExact,numberOfExceptionsThrownAndCaughtPartial,exceptionsThrownInMethodInvocations,numberOfAssertions,numberOfAssertionsWithRecursion,distinctMethodsInSameClassThatCallThisOne,numberOfdistinctMethodsInSameClassThatCallThisOne,distinctTestCasesInSameClassThatCallThisOne,numberOfdistinctTestCasesInSameClassThatCallThisOne
Fenzo,fenzo-core,/fenzo-core/src/test/java/com/netflix/fenzo/TaskSchedulingServiceTest.java,com.netflix.fenzo.TaskSchedulingServiceTest,testOneTaskAssignment,()V,void testOneTaskAssignment(),org.junit.Test,1,1,3,QueuableTask wrapTask(QAttributes qAttributes; TaskRequest taskRequest)|TaskRequest getTaskRequest(double cpus; double memory; int ports)|void testOneTaskInternal(QueuableTask queuableTask; Action0 action),3,void testOneTaskInternal(QueuableTask queuableTask; Action0 action),1,,0,1,1,0,0,java.lang.Exception,0,1,,0,,0
Fenzo,fenzo-core,/fenzo-core/src/test/java/com/netflix/fenzo/TaskSchedulingServiceTest.java,com.netflix.fenzo.TaskSchedulingServiceTest,testOneTaskWithResourceSet,()V,void testOneTaskWithResourceSet(),org.junit.Test,3,9,15,AssignedResources getAssignedResources()|List<PreferentialNamedConsumableResourceSet.ConsumeResult> getConsumedNamedResources()|Map singletonMap(Object key; Object value)|Object get(int index)|QueuableTask wrapTask(QAttributes qAttributes; TaskRequest taskRequest)|String getResName()|String getResValue()|TaskRequest getTaskRequest(String grpName; double cpus; double memory; double disk; double network; int ports; List<? extends ConstraintEvaluator> hardConstraints; List<? extends VMTaskFitnessCalculator> softConstraints; Map<String;TaskRequest.NamedResourceSetRequest> resourceSets)|int size()|void assertEquals(Object expected; Object actual)|void assertEquals(long expected; long actual)|void assertNotNull(Object object)|void testOneTaskInternal(QueuableTask queuableTask; Action0 action),13,void testOneTaskInternal(QueuableTask queuableTask; Action0 action),1,,0,1,1,0,0,java.lang.Exception,4,5,,0,,0
Fenzo,fenzo-core,/fenzo-core/src/test/java/com/netflix/fenzo/TaskSchedulingServiceTest.java,com.netflix.fenzo.TaskSchedulingServiceTest,testMultipleTaskAssignments,()V,void testMultipleTaskAssignments(),org.junit.Test,13,26,41,Collection values()|Iterator iterator()|List singletonList(Object o)|List<Exception> getExceptions()|List<VirtualMachineLease> getLeases(int numHosts; double cpus; double memory; int portBeg; int portEnd)|Map<String;VMAssignmentResult> getResultMap()|Map<TaskRequest;List<TaskAssignmentResult>> getFailures()|Object get()|Object get(int index)|Object next()|QueuableTask wrapTask(QAttributes qAttributes; TaskRequest taskRequest)|Set<TaskAssignmentResult> getTasksAssigned()|String getMessage()|String toString()|TaskQueue createTieredQueue(int numTiers)|TaskRequest getTaskRequest(double cpus; double memory; int ports)|TaskScheduler getScheduler()|TaskSchedulingService getSchedulingService(TaskQueue queue; TaskScheduler scheduler; long loopMillis; Action1<SchedulingResult> resultCallback)|VirtualMachineLease getConsumedLease(VMAssignmentResult result)|boolean await(long timeout; TimeUnit unit)|boolean isEmpty()|int size()|long getCount()|void addLeases(List<? extends VirtualMachineLease> leases)|void countDown()|void fail(String message)|void queueTask(QueuableTask task)|void set(Object newValue)|void sleep(long millis)|void start(),30,TaskScheduler getScheduler()|TaskSchedulingService getSchedulingService(TaskQueue queue; TaskScheduler scheduler; long loopMillis; Action1<SchedulingResult> resultCallback),2,,0,2,2,0,0,java.lang.InterruptedException,3,3,,0,,0
Fenzo,fenzo-core,/fenzo-core/src/test/java/com/netflix/fenzo/TaskSchedulingServiceTest.java,com.netflix.fenzo.TaskSchedulingServiceTest,testOrderedAssignments,()V,void testOrderedAssignments(),org.junit.Test,32,48,67,Collection values()|List<VirtualMachineLease> getLeases(int numHosts; double cpus; double memory; int portBeg; int portEnd)|Map<String;VMAssignmentResult> getResultMap()|Object poll(long timeout; TimeUnit unit)|QAttributes getQAttributes()|QueuableTask wrapTask(QAttributes qAttributes; TaskRequest taskRequest)|Set<TaskAssignmentResult> getTasksAssigned()|String getBucketName()|TaskQueue createTieredQueue(int numTiers)|TaskRequest getRequest()|TaskRequest getTaskRequest(double cpus; double memory; int ports)|TaskScheduler getScheduler()|TaskSchedulingService getSchedulingService(TaskQueue queue; TaskScheduler scheduler; long loopMillis; Action1<SchedulingResult> resultCallback)|boolean isEmpty()|boolean offer(Object e)|void addLeases(List<? extends VirtualMachineLease> leases)|void assertEquals(Object expected; Object actual)|void fail(String message)|void queueTask(QueuableTask task)|void start(),20,TaskScheduler getScheduler()|TaskSchedulingService getSchedulingService(TaskQueue queue; TaskScheduler scheduler; long loopMillis; Action1<SchedulingResult> resultCallback),2,,0,5,5,0,0,java.lang.InterruptedException,9,9,,0,,0
Fenzo,fenzo-core,/fenzo-core/src/test/java/com/netflix/fenzo/TaskSchedulingServiceTest.java,com.netflix.fenzo.TaskSchedulingServiceTest,testMultiTierAllocation,()V,void testMultiTierAllocation(),org.junit.Test,25,41,51,Collection values()|Iterator iterator()|List<VirtualMachineLease> getLeases(int numHosts; double cpus; double memory; int portBeg; int portEnd)|Map<String;VMAssignmentResult> getResultMap()|Object get()|Object get(Object key)|Object next()|Object poll(long timeout; TimeUnit unit)|QAttributes getQAttributes()|QueuableTask wrapTask(QAttributes qAttributes; TaskRequest taskRequest)|Set<TaskAssignmentResult> getTasksAssigned()|String getBucketName()|TaskQueue createTieredQueue(int numTiers)|TaskRequest getRequest()|TaskRequest getTaskRequest(double cpus; double memory; int ports)|TaskScheduler getScheduler()|TaskSchedulingService getSchedulingService(TaskQueue queue; TaskScheduler scheduler; long loopMillis; Action1<SchedulingResult> resultCallback)|boolean await(long timeout; TimeUnit unit)|boolean isEmpty()|boolean offer(Object e)|void addLeases(List<? extends VirtualMachineLease> leases)|void assertEquals(Object expected; Object actual)|void assertNotNull(Object object)|void assertNotNull(String message; Object object)|void countDown()|void fail(String message)|void queueTask(QueuableTask task)|void requestAllTasks(Action1<Map<TaskQueue.TaskState;Collection<QueuableTask>>> action)|void set(Object newValue)|void start(),30,TaskScheduler getScheduler()|TaskSchedulingService getSchedulingService(TaskQueue queue; TaskScheduler scheduler; long loopMillis; Action1<SchedulingResult> resultCallback),2,,0,4,4,0,0,com.netflix.fenzo.queues.TaskQueueException|java.lang.InterruptedException,7,7,,0,,0
Fenzo,fenzo-core,/fenzo-core/src/test/java/com/netflix/fenzo/TaskSchedulingServiceTest.java,com.netflix.fenzo.TaskSchedulingServiceTest,testMultiResAllocation,()V,void testMultiResAllocation(),org.junit.Test,30,53,66,Collection values()|List singletonList(Object o)|List<VirtualMachineLease> getLeases(int hostSuffixBegin; int numHosts; double cpus; double memory; int portBeg; int portEnd)|List<VirtualMachineLease> getLeases(int numHosts; double cpus; double memory; int portBeg; int portEnd)|Map<String;VMAssignmentResult> getResultMap()|Object get()|Object get(Object key)|Object poll(long timeout; TimeUnit unit)|QAttributes getQAttributes()|QueuableTask wrapTask(QAttributes qAttributes; TaskRequest taskRequest)|Set<TaskAssignmentResult> getTasksAssigned()|String getBucketName()|TaskQueue createTieredQueue(int numTiers)|TaskRequest getRequest()|TaskRequest getTaskRequest(double cpus; double memory; int ports)|TaskScheduler getScheduler()|TaskSchedulingService getSchedulingService(TaskQueue queue; TaskScheduler scheduler; long loopMillis; Action1<SchedulingResult> resultCallback)|VirtualMachineLease getConsumedLease(VMAssignmentResult result)|boolean await(long timeout; TimeUnit unit)|boolean isEmpty()|boolean offer(Object e)|boolean unqueueTaskResults(int numTasks; BlockingQueue<QueuableTask> assignmentResults)|void addLeases(List<? extends VirtualMachineLease> leases)|void assertEquals(Object expected; Object actual)|void assertNotNull(Object object)|void countDown()|void fail(String message)|void queueTask(QueuableTask task)|void requestAllTasks(Action1<Map<TaskQueue.TaskState;Collection<QueuableTask>>> action)|void set(Object newValue)|void start(),31,TaskScheduler getScheduler()|TaskSchedulingService getSchedulingService(TaskQueue queue; TaskScheduler scheduler; long loopMillis; Action1<SchedulingResult> resultCallback)|boolean unqueueTaskResults(int numTasks; BlockingQueue<QueuableTask> assignmentResults),3,,0,6,6,0,0,com.netflix.fenzo.queues.TaskQueueException|java.lang.InterruptedException,8,8,,0,,0
Fenzo,fenzo-core,/fenzo-core/src/test/java/com/netflix/fenzo/TaskSchedulingServiceTest.java,com.netflix.fenzo.TaskSchedulingServiceTest,testRemoveFromQueue,()V,void testRemoveFromQueue(),org.junit.Test,23,39,44,Collection<TaskRequest> getRunningTasks()|List<VirtualMachineLease> getLeases(int numHosts; double cpus; double memory; int portBeg; int portEnd)|Map<String;VMAssignmentResult> getResultMap()|Object get(int index)|QAttributes getQAttributes()|QueuableTask wrapTask(QAttributes qAttributes; TaskRequest taskRequest)|String getId()|String hostname()|TaskQueue createTieredQueue(int numTiers)|TaskRequest getTaskRequest(double cpus; double memory; int ports)|TaskScheduler getScheduler()|TaskSchedulingService getSchedulingService(TaskQueue queue; TaskScheduler scheduler; long loopMillis; long maxDelayMillis; Action1<SchedulingResult> resultCallback)|boolean await(long timeout; TimeUnit unit)|boolean equals(Object anObject)|boolean get()|int size()|void addLeases(List<? extends VirtualMachineLease> leases)|void assertFalse(String message; boolean condition)|void assertTrue(String message; boolean condition)|void countDown()|void fail(String message)|void queueTask(QueuableTask task)|void removeTask(String taskId; QAttributes qAttributes; String hostname)|void requestVmCurrentStates(Action1<List<VirtualMachineCurrentState>> action)|void set(boolean newValue)|void shutdown()|void start(),27,TaskScheduler getScheduler()|TaskSchedulingService getSchedulingService(TaskQueue queue; TaskScheduler scheduler; long loopMillis; long maxDelayMillis; Action1<SchedulingResult> resultCallback),2,,0,5,5,0,0,com.netflix.fenzo.queues.TaskQueueException|java.lang.InterruptedException,5,5,,0,,0
Fenzo,fenzo-core,/fenzo-core/src/test/java/com/netflix/fenzo/TaskSchedulingServiceTest.java,com.netflix.fenzo.TaskSchedulingServiceTest,testMaxSchedIterDelay,()V,void testMaxSchedIterDelay(),org.junit.Test,27,30,31,List<VirtualMachineLease> getLeases(int numHosts; double cpus; double memory; int portBeg; int portEnd)|QueuableTask wrapTask(QAttributes qAttributes; TaskRequest taskRequest)|TaskQueue createTieredQueue(int numTiers)|TaskRequest getTaskRequest(double cpus; double memory; int ports)|TaskScheduler getScheduler()|TaskSchedulingService getSchedulingService(TaskQueue queue; TaskScheduler scheduler; long loopMillis; long maxDelayMillis; Action1<SchedulingResult> resultCallback)|boolean await(long timeout; TimeUnit unit)|long currentTimeMillis()|long get()|void addLeases(List<? extends VirtualMachineLease> leases)|void assertTrue(String message; boolean condition)|void fail(String message)|void queueTask(QueuableTask task)|void setupTaskGetter(TaskSchedulingService schedulingService; AtomicLong gotTasksAt; CountDownLatch latch)|void sleep(long millis)|void start(),16,TaskScheduler getScheduler()|TaskSchedulingService getSchedulingService(TaskQueue queue; TaskScheduler scheduler; long loopMillis; long maxDelayMillis; Action1<SchedulingResult> resultCallback)|void setupTaskGetter(TaskSchedulingService schedulingService; AtomicLong gotTasksAt; CountDownLatch latch),3,,0,7,7,0,0,com.netflix.fenzo.queues.TaskQueueException|java.lang.InterruptedException,6,6,,0,,0
Fenzo,fenzo-core,/fenzo-core/src/test/java/com/netflix/fenzo/TaskSchedulingServiceTest.java,com.netflix.fenzo.TaskSchedulingServiceTest,testInitWithPrevRunningTasks,()V,void testInitWithPrevRunningTasks(),org.junit.Test,14,19,18,Iterator iterator()|Object get()|Object next()|QueuableTask wrapTask(QAttributes qAttributes; TaskRequest taskRequest)|String getHostname()|TaskQueue createTieredQueue(int numTiers)|TaskRequest getTaskRequest(double cpus; double memory; int ports)|TaskScheduler getScheduler()|TaskSchedulingService getSchedulingService(TaskQueue queue; TaskScheduler scheduler; long loopMillis; long maxDelayMillis; Action1<SchedulingResult> resultCallback)|boolean await(long timeout; TimeUnit unit)|boolean isEmpty()|void assertEquals(Object expected; Object actual)|void countDown()|void fail(String message)|void initializeRunningTask(QueuableTask task; String hostname)|void requestVmCurrentStates(Action1<List<VirtualMachineCurrentState>> action)|void set(Object newValue)|void start(),18,TaskScheduler getScheduler()|TaskSchedulingService getSchedulingService(TaskQueue queue; TaskScheduler scheduler; long loopMillis; long maxDelayMillis; Action1<SchedulingResult> resultCallback),2,,0,2,2,0,0,com.netflix.fenzo.queues.TaskQueueException|java.lang.InterruptedException,2,2,,0,,0
Fenzo,fenzo-core,/fenzo-core/src/test/java/com/netflix/fenzo/TaskSchedulingServiceTest.java,com.netflix.fenzo.TaskSchedulingServiceTest,testLargeTasksToInitInRunningState,()V,void testLargeTasksToInitInRunningState(),org.junit.Test,23,46,57,Collection values()|Iterator iterator()|List<Exception> getExceptions()|List<Task> getSampleTasksInRunningState()|List<VirtualMachineLease> getLeases(int hostSuffixBegin; int numHosts; double cpus; double memory; double network; int portBeg; int portEnd)|Map<String;VMAssignmentResult> getResultMap()|Map<TaskRequest;List<TaskAssignmentResult>> getFailures()|Object get()|Object getKey()|Object getValue()|Object next()|Object put(Object key; Object value)|QueuableTask toQueuableTask(Task t)|Set entrySet()|Set<TaskAssignmentResult> getTasksAssigned()|String getBucket()|String getHost()|String getId()|String toString()|TaskQueue createTieredQueue(int numTiers)|TaskScheduler getScheduler()|TaskSchedulingService getSchedulingService(TaskQueue queue; TaskScheduler scheduler; long loopMillis; long maxDelayMillis; Action1<SchedulingResult> resultCallback)|boolean await(long timeout; TimeUnit unit)|boolean containsKey(Object key)|boolean get()|boolean isEmpty()|double getCpu()|double getDisk()|double getMemory()|double getNetworkMbps()|int getTier()|int size()|void addLeases(List<? extends VirtualMachineLease> leases)|void assertNull(Object object)|void countDown()|void fail(String message)|void initializeRunningTask(QueuableTask task; String hostname)|void printStackTrace()|void println(String x)|void queueTask(QueuableTask task)|void set(Object newValue)|void set(boolean newValue)|void sleep(long millis)|void start(),44,TaskScheduler getScheduler()|TaskSchedulingService getSchedulingService(TaskQueue queue; TaskScheduler scheduler; long loopMillis; long maxDelayMillis; Action1<SchedulingResult> resultCallback),2,,0,3,3,0,0,java.io.IOException|java.lang.InterruptedException,2,2,,0,,0
