mainProjectName,projectName,filePath,typeName,methodName,methodShortSignature,methodVerboseSignature,methodAnnotations,numberOfFirstLevelStatements,numberOfStatements,numberOfMethodInvocations,distinctMethodInvocations,numberOfDistinctMethodInvocations,distinctMethodInvocationsInSameClass,numberOfDistinctMethodInvocationsInSameClass,distinctTestCaseMethodInvocationsInSameClass,numberOfDistinctTestCaseMethodInvocationsInSameClass,numberOfMethodInvocationsWithExceptions,numberOfExceptionsThrown,numberOfExceptionsThrownAndCaughtExact,numberOfExceptionsThrownAndCaughtPartial,exceptionsThrownInMethodInvocations,numberOfAssertions,numberOfAssertionsWithRecursion,distinctMethodsInSameClassThatCallThisOne,numberOfdistinctMethodsInSameClassThatCallThisOne,distinctTestCasesInSameClassThatCallThisOne,numberOfdistinctTestCasesInSameClassThatCallThisOne
Git-Credential-Manager-for-Mac-and-Linux,git-credential-manager,/git-credential-manager/src/test/java/com/microsoft/alm/authentication/GlobalTest.java,com.microsoft.alm.authentication.GlobalTest,getUserAgent_correctFormat,()V,void getUserAgent_correctFormat(),org.junit.Test,3,3,4,String getUserAgent()|boolean matches(String regex)|void assertNotNull(Object object)|void assertTrue(boolean condition),4,,0,,0,0,0,0,0,,2,2,,0,,0
Git-Credential-Manager-for-Mac-and-Linux,git-credential-manager,/git-credential-manager/src/test/java/com/microsoft/alm/authentication/ConfigurationTest.java,com.microsoft.alm.authentication.ConfigurationTest,parseGitConfig_simple,()V,void parseGitConfig_simple(),org.junit.Test,3,3,3,Map<String;String> testParseGitConfig(String input)|Object get(Object key)|void assertEquals(Object expected; Object actual),3,Map<String;String> testParseGitConfig(String input),1,,0,1,1,0,0,java.io.IOException,1,1,,0,,0
Git-Credential-Manager-for-Mac-and-Linux,git-credential-manager,/git-credential-manager/src/test/java/com/microsoft/alm/authentication/ConfigurationTest.java,com.microsoft.alm.authentication.ConfigurationTest,parseGitConfig_overwritesValues,()V,void parseGitConfig_overwritesValues(),org.junit.Test,3,3,3,Map<String;String> testParseGitConfig(String input)|Object get(Object key)|void assertEquals(Object expected; Object actual),3,Map<String;String> testParseGitConfig(String input),1,,0,1,1,0,0,java.io.IOException,1,1,,0,,0
Git-Credential-Manager-for-Mac-and-Linux,git-credential-manager,/git-credential-manager/src/test/java/com/microsoft/alm/authentication/ConfigurationTest.java,com.microsoft.alm.authentication.ConfigurationTest,parseGitConfig_partiallyQuoted,()V,void parseGitConfig_partiallyQuoted(),org.junit.Test,3,3,3,Map<String;String> testParseGitConfig(String input)|Object get(Object key)|void assertEquals(Object expected; Object actual),3,Map<String;String> testParseGitConfig(String input),1,,0,1,1,0,0,java.io.IOException,1,1,,0,,0
Git-Credential-Manager-for-Mac-and-Linux,git-credential-manager,/git-credential-manager/src/test/java/com/microsoft/alm/authentication/ConfigurationTest.java,com.microsoft.alm.authentication.ConfigurationTest,parseGitConfig_sampleFile,()V,void parseGitConfig_sampleFile(),org.junit.Test,7,9,10,Class getClass()|InputStream getResourceAsStream(String name)|Object get(Object key)|int size()|void assertEquals(String message; Object expected; Object actual)|void assertEquals(long expected; long actual)|void close()|void parseGitConfig(BufferedReader configReader; Map<String;String> destination),8,,0,,0,2,2,0,0,java.io.IOException,3,3,,0,,0
Git-Credential-Manager-for-Mac-and-Linux,git-credential-manager,/git-credential-manager/src/test/java/com/microsoft/alm/authentication/ConfigurationTest.java,com.microsoft.alm.authentication.ConfigurationTest,readThroughPublicMethods,()V,void readThroughPublicMethods(),org.junit.Test,15,17,21,Object get()|String get(String key)|boolean containsKey(String key)|boolean tryGetEntry(String prefix; String key; String suffix; AtomicReference<Entry> entry)|boolean tryGetEntry(String prefix; URI targetUri; String key; AtomicReference<Entry> entry)|void assertEquals(Object expected; Object actual)|void close(),7,,0,,0,1,1,0,0,java.io.IOException,10,10,,0,,0
Git-Credential-Manager-for-Mac-and-Linux,git-credential-manager,/git-credential-manager/src/test/java/com/microsoft/alm/authentication/VsoAadAuthenticationTest.java,com.microsoft.alm.authentication.VsoAadAuthenticationTest,ctor_DefaultAuthorityHost,()V,void ctor_DefaultAuthorityHost(),org.junit.Test,5,5,2,boolean isAbsolute()|void assertEquals(Object expected; Object actual),2,,0,,0,0,0,0,0,,1,1,,0,,0
Git-Credential-Manager-for-Mac-and-Linux,git-credential-manager,/git-credential-manager/src/test/java/com/microsoft/alm/authentication/AzureAuthorityTest.java,com.microsoft.alm.authentication.AzureAuthorityTest,deviceFlow_success,()V,void deviceFlow_success(),org.junit.Test,18,8,2,URI create(String str),1,,0,,0,0,0,0,0,,0,0,,0,,0
Git-Credential-Manager-for-Mac-and-Linux,git-credential-manager,/git-credential-manager/src/test/java/com/microsoft/alm/authentication/AzureAuthorityTest.java,com.microsoft.alm.authentication.AzureAuthorityTest,deviceFlow_failure,()V,void deviceFlow_failure(),org.junit.Test,17,8,2,URI create(String str),1,,0,,0,0,0,0,0,,0,0,,0,,0
Git-Credential-Manager-for-Mac-and-Linux,git-credential-manager,/git-credential-manager/src/test/java/com/microsoft/alm/authentication/AzureAuthorityTest.java,com.microsoft.alm.authentication.AzureAuthorityTest,createAuthorizationEndpointUri_minimal,()V,void createAuthorizationEndpointUri_minimal(),org.junit.Test,3,3,4,String toString()|URI create(String str)|URI createAuthorizationEndpointUri(String authorityHostUrl; String resource; String clientId; URI redirectUri; UserIdentifier userId; String state; PromptBehavior promptBehavior; String queryParameters)|void assertEquals(Object expected; Object actual),4,,0,,0,0,0,0,0,,1,1,,0,,0
