mainProjectName,projectName,filePath,typeName,methodName,methodShortSignature,methodVerboseSignature,methodAnnotations,numberOfFirstLevelStatements,numberOfStatements,numberOfMethodInvocations,distinctMethodInvocations,numberOfDistinctMethodInvocations,distinctMethodInvocationsInSameClass,numberOfDistinctMethodInvocationsInSameClass,distinctTestCaseMethodInvocationsInSameClass,numberOfDistinctTestCaseMethodInvocationsInSameClass,numberOfMethodInvocationsWithExceptions,numberOfExceptionsThrown,numberOfExceptionsThrownAndCaughtExact,numberOfExceptionsThrownAndCaughtPartial,exceptionsThrownInMethodInvocations,numberOfAssertions,numberOfAssertionsWithRecursion,distinctMethodsInSameClassThatCallThisOne,numberOfdistinctMethodsInSameClassThatCallThisOne,distinctTestCasesInSameClassThatCallThisOne,numberOfdistinctTestCasesInSameClassThatCallThisOne
governator,governator-core,/governator-core/src/test/java/com/netflix/governator/ProvisionMetricsModuleTest.java,com.netflix.governator.ProvisionMetricsModuleTest,disableMetrics,()V,void disableMetrics(),org.junit.Test,1,1,2,InjectorBuilder fromModule(Module module)|LifecycleInjector createInjector(),2,,0,,0,0,0,0,0,,0,0,,0,,0
governator,governator-core,/governator-core/src/test/java/com/netflix/governator/ProvisionMetricsModuleTest.java,com.netflix.governator.ProvisionMetricsModuleTest,confirmDedupWorksWithOverride,()V,void confirmDedupWorksWithOverride(),org.junit.Test,1,1,3,InjectorBuilder fromModule(Module module)|InjectorBuilder overrideWith(Module[] modules)|LifecycleInjector createInjector(),3,,0,,0,0,0,0,0,,0,0,,0,,0
governator,governator-core,/governator-core/src/test/java/com/netflix/governator/ProvisionMetricsModuleTest.java,com.netflix.governator.ProvisionMetricsModuleTest,confirmMetricsIncludePostConstruct,()V,void confirmMetricsIncludePostConstruct(),org.junit.Test,1,1,3,InjectorBuilder fromModules(Module[] additionalModules)|InjectorBuilder traceEachElement(ElementVisitor<String> visitor)|LifecycleInjector createInjector(),3,,0,,0,0,0,0,0,,0,0,,0,,0
governator,governator-core,/governator-core/src/test/java/com/netflix/governator/TracingProvisionListenerTest.java,com.netflix.governator.TracingProvisionListenerTest,testDefault,()V,void testDefault(),org.junit.Test,1,1,2,InjectorBuilder fromModules(Module[] additionalModules)|LifecycleInjector createInjector(),2,,0,,0,0,0,0,0,,0,0,,0,,0
governator,governator-core,/governator-core/src/test/java/com/netflix/governator/AssistedInjectPreDestroyTest.java,com.netflix.governator.AssistedInjectPreDestroyTest,testAssistedInject,()V,void testAssistedInject(),org.junit.Test,5,15,20,AnInterestingClient create(String aParameter)|FactoryModuleBuilder implement(Class source; Class target)|InjectorBuilder fromModule(Module module)|LifecycleInjector createInjector()|Module build(Class factoryInterface)|T getInstance(Class<T> type)|boolean isClosed()|void assertFalse(boolean condition)|void assertTrue(boolean condition)|void gc()|void info(String msg)|void setOkToClose()|void sleep(long millis),13,,0,,0,2,2,0,0,java.lang.InterruptedException,3,3,,0,,0
governator,governator-core,/governator-core/src/test/java/com/netflix/governator/InjectorBuilderTest.java,com.netflix.governator.InjectorBuilderTest,testLifecycleInjectorEvents,()V,void testLifecycleInjectorEvents(),org.junit.Test,5,3,3,I createInjector(InjectorCreator<I> creator)|InjectorBuilder fromModule(Module module)|void shutdown(),3,,0,,0,0,0,0,0,,0,0,,0,,0
governator,governator-core,/governator-core/src/test/java/com/netflix/governator/InjectorBuilderTest.java,com.netflix.governator.InjectorBuilderTest,testBindingTracing,()V,void testBindingTracing(),org.junit.Test,1,1,3,InjectorBuilder fromModule(Module module)|InjectorBuilder traceEachElement(ElementVisitor<String> visitor)|LifecycleInjector createInjector(),3,,0,,0,0,0,0,0,,0,0,,0,,0
governator,governator-core,/governator-core/src/test/java/com/netflix/governator/InjectorBuilderTest.java,com.netflix.governator.InjectorBuilderTest,testForEachBinding,()V,void testForEachBinding(),org.junit.Test,3,2,4,InjectorBuilder forEachElement(ElementVisitor<T> visitor; Consumer<T> consumer)|InjectorBuilder fromModule(Module module)|LifecycleInjector createInjector()|Object mock(Class classToMock),4,,0,,0,0,0,0,0,,0,0,,0,,0
governator,governator-core,/governator-core/src/test/java/com/netflix/governator/InjectorBuilderTest.java,com.netflix.governator.InjectorBuilderTest,testKeyTracing,()V,void testKeyTracing(),org.junit.Test,1,1,3,InjectorBuilder fromModule(Module module)|InjectorBuilder traceEachElement(ElementVisitor<String> visitor)|LifecycleInjector createInjector(),3,,0,,0,0,0,0,0,,0,0,,0,,0
governator,governator-core,/governator-core/src/test/java/com/netflix/governator/InjectorBuilderTest.java,com.netflix.governator.InjectorBuilderTest,testWarnOnStaticInjection,()V,void testWarnOnStaticInjection(),org.junit.Test,2,1,3,InjectorBuilder fromModule(Module module)|InjectorBuilder warnOfStaticInjections()|List<Element> getElements(),3,,0,,0,0,0,0,0,,0,0,,0,,0
governator,governator-core,/governator-core/src/test/java/com/netflix/governator/InjectorBuilderTest.java,com.netflix.governator.InjectorBuilderTest,testStripStaticInjection,()V,void testStripStaticInjection(),org.junit.Test,2,1,4,InjectorBuilder fromModule(Module module)|InjectorBuilder stripStaticInjections()|InjectorBuilder warnOfStaticInjections()|List<Element> getElements(),4,,0,,0,0,0,0,0,,0,0,,0,,0
governator,governator-core,/governator-core/src/test/java/com/netflix/governator/InjectorBuilderTest.java,com.netflix.governator.InjectorBuilderTest,testTraceModules,()V,void testTraceModules(),org.junit.Test,1,1,3,InjectorBuilder fromModule(Module module)|InjectorBuilder traceEachElement(ElementVisitor<String> visitor)|LifecycleInjector createInjector(),3,,0,,0,0,0,0,0,,0,0,,0,,0
governator,governator-core,/governator-core/src/test/java/com/netflix/governator/LifecycleModuleTest.java,com.netflix.governator.LifecycleModuleTest,confirmLifecycleListenerEventsForSuccessfulStart,()V,void confirmLifecycleListenerEventsForSuccessfulStart(),org.junit.Test,3,3,6,LifecycleInjector inject(Object[] instances)|List asList(Object[] a)|Matcher equalTo(Object operand)|String getMethodName()|void assertThat(Object actual; Matcher matcher)|void close(),6,,0,,0,0,0,0,0,,1,1,,0,,0
governator,governator-core,/governator-core/src/test/java/com/netflix/governator/LifecycleModuleTest.java,com.netflix.governator.LifecycleModuleTest,confirmLifecycleListenerEventsForRTExceptionInjected,()V,void confirmLifecycleListenerEventsForRTExceptionInjected(),org.junit.Test,2,1,1,String getMethodName(),1,,0,,0,0,0,0,0,,0,0,,0,,0
governator,governator-core,/governator-core/src/test/java/com/netflix/governator/LifecycleModuleTest.java,com.netflix.governator.LifecycleModuleTest,confirmLifecycleListenerEventsForRTExceptionPostConstruct,()V,void confirmLifecycleListenerEventsForRTExceptionPostConstruct(),org.junit.Test,2,1,1,String getMethodName(),1,,0,,0,0,0,0,0,,0,0,,0,,0
