mainProjectName,projectName,filePath,typeName,methodName,methodShortSignature,methodVerboseSignature,methodAnnotations,numberOfFirstLevelStatements,numberOfStatements,numberOfMethodInvocations,distinctMethodInvocations,numberOfDistinctMethodInvocations,distinctMethodInvocationsInSameClass,numberOfDistinctMethodInvocationsInSameClass,distinctTestCaseMethodInvocationsInSameClass,numberOfDistinctTestCaseMethodInvocationsInSameClass,numberOfMethodInvocationsWithExceptions,numberOfExceptionsThrown,numberOfExceptionsThrownAndCaughtExact,numberOfExceptionsThrownAndCaughtPartial,exceptionsThrownInMethodInvocations,numberOfAssertions,numberOfAssertionsWithRecursion,distinctMethodsInSameClassThatCallThisOne,numberOfdistinctMethodsInSameClassThatCallThisOne,distinctTestCasesInSameClassThatCallThisOne,numberOfdistinctTestCasesInSameClassThatCallThisOne
governator,governator-governator,/governator-governator/src/test/java/com/netflix/external/governator/guice/modules/ModuleDepdenciesTest.java,com.netflix.external.governator.guice.modules.ModuleDepdenciesTest,testModuleDependency,(QLifecycleInjectorBuilder;)V,void testModuleDependency(LifecycleInjectorBuilder lifecycleInjectorBuilder),org.junit.Test|com.tngtech.java.junit.dataprovider.UseDataProvider,1,1,3,Injector createInjector()|LifecycleInjector build()|LifecycleInjectorBuilder withAdditionalModuleClasses(Class<?>[] modules),3,,0,,0,0,0,0,0,,0,0,,0,,0
governator,governator-governator,/governator-governator/src/test/java/com/netflix/external/governator/guice/modules/ModuleDepdenciesTest.java,com.netflix.external.governator.guice.modules.ModuleDepdenciesTest,confirmBindingSingletonOrder,(QLifecycleInjectorBuilder;)V,void confirmBindingSingletonOrder(LifecycleInjectorBuilder lifecycleInjectorBuilder),org.junit.Test|com.tngtech.java.junit.dataprovider.UseDataProvider,6,3,2,ArrayList newArrayList()|ArrayList newArrayList(Object[] elements),2,,0,,0,0,0,0,0,,0,0,,0,,0
governator,governator-governator,/governator-governator/src/test/java/com/netflix/external/governator/guice/modules/ModuleDepdenciesTest.java,com.netflix.external.governator.guice.modules.ModuleDepdenciesTest,confirmBindingReverseSingletonOrder,(QLifecycleInjectorBuilder;)V,void confirmBindingReverseSingletonOrder(LifecycleInjectorBuilder lifecycleInjectorBuilder),org.junit.Test|com.tngtech.java.junit.dataprovider.UseDataProvider,7,3,2,ArrayList newArrayList()|ArrayList newArrayList(Object[] elements),2,,0,,0,0,0,0,0,,0,0,,0,,0
governator,governator-governator,/governator-governator/src/test/java/com/netflix/external/governator/guice/modules/ModuleDepdenciesTest.java,com.netflix.external.governator.guice.modules.ModuleDepdenciesTest,confirmMultiWithModuleClasses,(QLifecycleInjectorBuilder;)V,void confirmMultiWithModuleClasses(LifecycleInjectorBuilder lifecycleInjectorBuilder),org.junit.Test|com.tngtech.java.junit.dataprovider.UseDataProvider,6,2,1,ArrayList newArrayList(),1,,0,,0,0,0,0,0,,0,0,,0,,0
governator,governator-governator,/governator-governator/src/test/java/com/netflix/governator/BootstrapTest.java,com.netflix.governator.BootstrapTest,testWithoutOverride,()V,void testWithoutOverride(),org.junit.Test,2,2,5,Class getClass()|Injector createInjector(Stage stage; Module[] modules)|Module fromClass(Class<?> cls)|Object getInstance(Class type)|void assertEquals(Object expected; Object actual),5,,0,,0,0,0,0,0,,1,1,,0,,0
governator,governator-governator,/governator-governator/src/test/java/com/netflix/governator/BootstrapTest.java,com.netflix.governator.BootstrapTest,testDuplicateWithoutOverride,()V,void testDuplicateWithoutOverride(),org.junit.Test,2,2,3,Injector createInjector(Stage stage; Module[] modules)|Module fromClass(Class<?> cls; boolean override)|void fail(String message),3,,0,,0,0,0,0,0,,1,1,,0,,0
governator,governator-governator,/governator-governator/src/test/java/com/netflix/governator/BootstrapTest.java,com.netflix.governator.BootstrapTest,testDuplicateWithOverride,()V,void testDuplicateWithOverride(),org.junit.Test,2,2,5,Class getClass()|Injector createInjector(Stage stage; Module[] modules)|Module fromClass(Class<?> cls)|Object getInstance(Class type)|void assertEquals(Object expected; Object actual),5,,0,,0,0,0,0,0,,1,1,,0,,0
governator,governator-governator,/governator-governator/src/test/java/com/netflix/governator/ConfigurationModuleTest.java,com.netflix.governator.ConfigurationModuleTest,validateConfigurationMappingWorks,()V,void validateConfigurationMappingWorks(),org.junit.Test,1,1,2,InjectorBuilder fromModules(Module[] additionalModules)|LifecycleInjector createInjector(),2,,0,,0,0,0,0,0,,0,0,,0,,0
governator,governator-governator,/governator-governator/src/test/java/com/netflix/governator/ServiceLoaderModuleBuilderTest.java,com.netflix.governator.ServiceLoaderModuleBuilderTest,testMultibindings,()V,void testMultibindings(),org.junit.Test,4,1,1,Injector createInjector(Module[] modules),1,,0,,0,0,0,0,0,,0,0,,0,,0
governator,governator-governator,/governator-governator/src/test/java/com/netflix/governator/ServiceLoaderModuleBuilderTest.java,com.netflix.governator.ServiceLoaderModuleBuilderTest,testServiceLoadedModules,()V,void testServiceLoadedModules(),org.junit.Test,2,2,7,Injector createInjector(Module[] modules)|Key get(Class type; Annotation annotation)|Module loadModules(Class<S> type)|Named named(String name)|Object getInstance(Key key)|String getSimpleName()|void assertEquals(Object expected; Object actual),7,,0,,0,0,0,0,0,,1,1,,0,,0
governator,governator-governator,/governator-governator/src/test/java/com/netflix/governator/autobind/TestAutoBind.java,com.netflix.governator.autobind.TestAutoBind,testSimple,(QLifecycleInjectorBuilder;)V,void testSimple(LifecycleInjectorBuilder lifecycleInjectorBuilder),org.junit.Test|com.tngtech.java.junit.dataprovider.UseDataProvider,4,1,0,,0,,0,,0,0,0,0,0,,0,0,,0,,0
governator,governator-governator,/governator-governator/src/test/java/com/netflix/governator/autobind/TestAutoBind.java,com.netflix.governator.autobind.TestAutoBind,testCustom,(QLifecycleInjectorBuilder;)V,void testCustom(LifecycleInjectorBuilder lifecycleInjectorBuilder),org.junit.Test|com.tngtech.java.junit.dataprovider.UseDataProvider,4,1,5,ArrayList newArrayList(Object[] elements)|Injector createInjector()|LifecycleInjectorBuilder ignoringAutoBindClasses(Collection<Class<?>> ignoreClasses)|LifecycleInjectorBuilder usingBasePackages(String[] basePackages)|LifecycleInjectorBuilder withBootstrapModule(BootstrapModule module),5,,0,,0,0,0,0,0,,0,0,,0,,0
governator,governator-governator,/governator-governator/src/test/java/com/netflix/governator/autobind/TestAutoBind.java,com.netflix.governator.autobind.TestAutoBind,testMultiple,(QLifecycleInjectorBuilder;)V,void testMultiple(LifecycleInjectorBuilder lifecycleInjectorBuilder),org.junit.Test|com.tngtech.java.junit.dataprovider.UseDataProvider,7,1,0,,0,,0,,0,0,0,0,0,,0,0,,0,,0
