mainProjectName,projectName,filePath,typeName,methodName,methodShortSignature,methodVerboseSignature,methodAnnotations,numberOfFirstLevelStatements,numberOfStatements,numberOfMethodInvocations,distinctMethodInvocations,numberOfDistinctMethodInvocations,distinctMethodInvocationsInSameClass,numberOfDistinctMethodInvocationsInSameClass,distinctTestCaseMethodInvocationsInSameClass,numberOfDistinctTestCaseMethodInvocationsInSameClass,numberOfMethodInvocationsWithExceptions,numberOfExceptionsThrown,numberOfExceptionsThrownAndCaughtExact,numberOfExceptionsThrownAndCaughtPartial,exceptionsThrownInMethodInvocations,numberOfAssertions,numberOfAssertionsWithRecursion,distinctMethodsInSameClassThatCallThisOne,numberOfdistinctMethodsInSameClassThatCallThisOne,distinctTestCasesInSameClassThatCallThisOne,numberOfdistinctTestCasesInSameClassThatCallThisOne
GraphJet,graphjet-core,/graphjet-core/src/test/java/com/twitter/graphjet/algorithms/MultiThreadedPageRankTest.java,com.twitter.graphjet.algorithms.MultiThreadedPageRankTest,testLesMisGraph,()V,void testLesMisGraph(),org.junit.Test,44,55,94,AtomicDoubleArray getPageRankVector()|EdgeIterator getOutEdges(long node)|Object get(int index)|Object getKey()|Object getValue()|boolean add(Object e)|boolean add(long k)|boolean contains(long k)|double get(int i)|double getL1Norm()|int compareTo(Long anotherLong)|int getOutDegree(long node)|int run()|void addEdge(long srcNode; long destNode; byte edgeType)|void assertEquals(Object expected; Object actual)|void assertEquals(double expected; double actual; double delta)|void assertEquals(long expected; long actual)|void sort(Comparator c),18,,0,,0,0,0,0,0,,30,30,,0,,0
GraphJet,graphjet-core,/graphjet-core/src/test/java/com/twitter/graphjet/algorithms/MultiThreadedPageRankTest.java,com.twitter.graphjet.algorithms.MultiThreadedPageRankTest,testRun,()V,void testRun(),org.junit.Test,4,4,4,double getL1Norm()|int run()|void assertEquals(double expected; double actual; double delta)|void assertEquals(long expected; long actual),4,,0,,0,0,0,0,0,,2,2,,0,,0
GraphJet,graphjet-core,/graphjet-core/src/test/java/com/twitter/graphjet/algorithms/MultiThreadedPageRankTest.java,com.twitter.graphjet.algorithms.MultiThreadedPageRankTest,testFailsToCreateThrowsUnsupportedOperationException,()V,void testFailsToCreateThrowsUnsupportedOperationException(),org.junit.Test,3,6,5,StackTraceElement[] getStackTrace()|String getClassName()|String getName()|void assertEquals(Object expected; Object actual)|void fail(String message),5,,0,,0,0,0,0,0,,2,2,,0,,0
GraphJet,graphjet-core,/graphjet-core/src/test/java/com/twitter/graphjet/algorithms/RecommendationStatsTest.java,com.twitter.graphjet.algorithms.RecommendationStatsTest,testReset,()V,void testReset(),org.junit.Test,6,6,5,boolean equals(Object obj)|int getMinVisitsPerRightNode()|void assertEquals(long expected; long actual)|void assertFalse(boolean condition)|void reset(),5,,0,,0,0,0,0,0,,2,2,,0,,0
GraphJet,graphjet-core,/graphjet-core/src/test/java/com/twitter/graphjet/algorithms/RecommendationStatsTest.java,com.twitter.graphjet.algorithms.RecommendationStatsTest,testCreateTaking6Arguments,()V,void testCreateTaking6Arguments(),org.junit.Test,10,10,16,boolean equals(Object obj)|int getMaxVisitsPerRightNode()|int getMinVisitsPerRightNode()|int getNumDirectNeighbors()|int getNumRHSVisits()|int getNumRightNodesFiltered()|int getNumRightNodesReached()|void assertEquals(long expected; long actual)|void assertFalse(boolean condition),9,,0,,0,0,0,0,0,,8,8,,0,,0
GraphJet,graphjet-core,/graphjet-core/src/test/java/com/twitter/graphjet/algorithms/RecommendationStatsTest.java,com.twitter.graphjet.algorithms.RecommendationStatsTest,testEqualsWithNull,()V,void testEqualsWithNull(),org.junit.Test,2,2,2,boolean equals(Object obj)|void assertFalse(boolean condition),2,,0,,0,0,0,0,0,,1,1,,0,,0
GraphJet,graphjet-core,/graphjet-core/src/test/java/com/twitter/graphjet/algorithms/RecommendationStatsTest.java,com.twitter.graphjet.algorithms.RecommendationStatsTest,testEqualsReturningFalse,()V,void testEqualsReturningFalse(),org.junit.Test,3,3,2,boolean equals(Object obj)|void assertFalse(boolean condition),2,,0,,0,0,0,0,0,,1,1,,0,,0
GraphJet,graphjet-core,/graphjet-core/src/test/java/com/twitter/graphjet/algorithms/RecommendationStatsTest.java,com.twitter.graphjet.algorithms.RecommendationStatsTest,testEqualsWitSameObject,()V,void testEqualsWitSameObject(),org.junit.Test,2,2,2,boolean equals(Object obj)|void assertTrue(boolean condition),2,,0,,0,0,0,0,0,,1,1,,0,,0
GraphJet,graphjet-core,/graphjet-core/src/test/java/com/twitter/graphjet/algorithms/RecommendationStatsTest.java,com.twitter.graphjet.algorithms.RecommendationStatsTest,testUpdateVisitStatsPerRightNode,()V,void testUpdateVisitStatsPerRightNode(),org.junit.Test,5,5,5,boolean equals(Object obj)|int getMinVisitsPerRightNode()|void assertEquals(long expected; long actual)|void assertFalse(boolean condition)|void updateVisitStatsPerRightNode(int numVisits),5,,0,,0,0,0,0,0,,2,2,,0,,0
GraphJet,graphjet-core,/graphjet-core/src/test/java/com/twitter/graphjet/algorithms/PageRankTest.java,com.twitter.graphjet.algorithms.PageRankTest,testLesMisGraph,()V,void testLesMisGraph(),org.junit.Test,44,55,93,EdgeIterator getOutEdges(long node)|Object get(int index)|Object getKey()|Object getValue()|boolean add(Object e)|boolean add(long k)|boolean contains(long k)|double getL1Norm()|double[] getPageRankVector()|int compareTo(Long anotherLong)|int getOutDegree(long node)|int run()|void addEdge(long srcNode; long destNode; byte edgeType)|void assertEquals(Object expected; Object actual)|void assertEquals(double expected; double actual; double delta)|void assertEquals(long expected; long actual)|void sort(Comparator c),17,,0,,0,0,0,0,0,,30,30,,0,,0
