mainProjectName,projectName,filePath,typeName,methodName,methodShortSignature,methodVerboseSignature,methodAnnotations,numberOfFirstLevelStatements,numberOfStatements,numberOfMethodInvocations,distinctMethodInvocations,numberOfDistinctMethodInvocations,distinctMethodInvocationsInSameClass,numberOfDistinctMethodInvocationsInSameClass,distinctTestCaseMethodInvocationsInSameClass,numberOfDistinctTestCaseMethodInvocationsInSameClass,numberOfMethodInvocationsWithExceptions,numberOfExceptionsThrown,numberOfExceptionsThrownAndCaughtExact,numberOfExceptionsThrownAndCaughtPartial,exceptionsThrownInMethodInvocations,numberOfAssertions,numberOfAssertionsWithRecursion,distinctMethodsInSameClassThatCallThisOne,numberOfdistinctMethodsInSameClassThatCallThisOne,distinctTestCasesInSameClassThatCallThisOne,numberOfdistinctTestCasesInSameClassThatCallThisOne
gson,gson,/gson/src/test/java/com/google/gson/functional/GsonVersionDiagnosticsTest.java,com.google.gson.functional.GsonVersionDiagnosticsTest,testVersionPattern,()V,void testVersionPattern(),org.junit.Test,2,2,6,Matcher matcher(CharSequence input)|boolean matches()|void assertTrue(boolean condition),3,,0,,0,0,0,0,0,,0,0,,0,,0
gson,gson,/gson/src/test/java/com/google/gson/functional/GsonVersionDiagnosticsTest.java,com.google.gson.functional.GsonVersionDiagnosticsTest,testAssertionErrorInSerializationPrintsVersion,()V,void testAssertionErrorInSerializationPrintsVersion(),org.junit.Test,1,4,3,String toJson(Object src)|void ensureAssertionErrorPrintsGsonVersion(AssertionError expected)|void fail(),3,void ensureAssertionErrorPrintsGsonVersion(AssertionError expected),1,,0,0,0,0,0,,0,0,,0,,0
gson,gson,/gson/src/test/java/com/google/gson/functional/GsonVersionDiagnosticsTest.java,com.google.gson.functional.GsonVersionDiagnosticsTest,testAssertionErrorInDeserializationPrintsVersion,()V,void testAssertionErrorInDeserializationPrintsVersion(),org.junit.Test,1,4,3,T fromJson(String json; Class<T> classOfT)|void ensureAssertionErrorPrintsGsonVersion(AssertionError expected)|void fail(),3,void ensureAssertionErrorPrintsGsonVersion(AssertionError expected),1,,0,1,1,0,0,com.google.gson.JsonSyntaxException,0,0,,0,,0
gson,gson,/gson/src/test/java/com/google/gson/internal/GsonBuildConfigTest.java,com.google.gson.internal.GsonBuildConfigTest,testEnsureGsonBuildConfigGetsUpdatedToMavenVersion,()V,void testEnsureGsonBuildConfigGetsUpdatedToMavenVersion(),org.junit.Test,1,1,2,boolean equals(Object anObject)|void assertFalse(boolean condition),2,,0,,0,0,0,0,0,,1,1,,0,,0
gson,gson,/gson/src/test/java/com/google/gson/internal/JavaVersionTest.java,com.google.gson.internal.JavaVersionTest,testGetMajorJavaVersion,()V,void testGetMajorJavaVersion(),org.junit.Test,1,1,1,int getMajorJavaVersion(),1,,0,,0,0,0,0,0,,0,0,,0,,0
gson,gson,/gson/src/test/java/com/google/gson/internal/JavaVersionTest.java,com.google.gson.internal.JavaVersionTest,testJava6,()V,void testJava6(),org.junit.Test,1,1,2,int getMajorJavaVersion(String javaVersion)|void assertEquals(long expected; long actual),2,,0,,0,0,0,0,0,,1,1,,0,,0
gson,gson,/gson/src/test/java/com/google/gson/internal/JavaVersionTest.java,com.google.gson.internal.JavaVersionTest,testJava7,()V,void testJava7(),org.junit.Test,1,1,2,int getMajorJavaVersion(String javaVersion)|void assertEquals(long expected; long actual),2,,0,,0,0,0,0,0,,1,1,,0,,0
gson,gson,/gson/src/test/java/com/google/gson/internal/JavaVersionTest.java,com.google.gson.internal.JavaVersionTest,testJava8,()V,void testJava8(),org.junit.Test,7,7,14,int getMajorJavaVersion(String javaVersion)|void assertEquals(long expected; long actual),2,,0,,0,0,0,0,0,,7,7,,0,,0
gson,gson,/gson/src/test/java/com/google/gson/internal/JavaVersionTest.java,com.google.gson.internal.JavaVersionTest,testJava9,()V,void testJava9(),org.junit.Test,6,6,12,int getMajorJavaVersion(String javaVersion)|void assertEquals(long expected; long actual),2,,0,,0,0,0,0,0,,6,6,,0,,0
gson,gson,/gson/src/test/java/com/google/gson/internal/JavaVersionTest.java,com.google.gson.internal.JavaVersionTest,testJava10,()V,void testJava10(),org.junit.Test,1,1,2,int getMajorJavaVersion(String javaVersion)|void assertEquals(long expected; long actual),2,,0,,0,0,0,0,0,,1,1,,0,,0
gson,gson,/gson/src/test/java/com/google/gson/internal/JavaVersionTest.java,com.google.gson.internal.JavaVersionTest,testUnknownVersionFormat,()V,void testUnknownVersionFormat(),org.junit.Test,1,1,2,int getMajorJavaVersion(String javaVersion)|void assertEquals(long expected; long actual),2,,0,,0,0,0,0,0,,1,1,,0,,0
gson,gson,/gson/src/test/java/com/google/gson/internal/reflect/UnsafeReflectionAccessorTest.java,com.google.gson.internal.reflect.UnsafeReflectionAccessorTest,testMakeAccessibleWithUnsafe,()V,void testMakeAccessibleWithUnsafe(),org.junit.Test,3,6,4,Field getDeclaredField(String name)|boolean makeAccessibleWithUnsafe(AccessibleObject ao)|void assertTrue(boolean condition)|void fail(String message),4,,0,,0,1,2,0,0,java.lang.NoSuchFieldException|java.lang.SecurityException,2,2,,0,,0
gson,gson,/gson/src/test/java/com/google/gson/stream/JsonReaderPathTest.java,com.google.gson.stream.JsonReaderPathTest,path,()V,void path(),org.junit.Test,36,36,54,JsonReader create(String data)|String getPath()|String nextName()|String nextString()|boolean nextBoolean()|int nextInt()|void assertEquals(Object expected; Object actual)|void beginArray()|void beginObject()|void endArray()|void endObject()|void nextNull(),12,,0,,0,17,17,0,0,java.io.IOException,18,18,,0,,0
gson,gson,/gson/src/test/java/com/google/gson/stream/JsonReaderPathTest.java,com.google.gson.stream.JsonReaderPathTest,objectPath,()V,void objectPath(),org.junit.Test,30,30,45,JsonReader create(String data)|JsonToken peek()|String getPath()|String nextName()|int nextInt()|void assertEquals(Object expected; Object actual)|void beginObject()|void close()|void endObject(),9,,0,,0,14,14,0,0,java.io.IOException,15,15,,0,,0
gson,gson,/gson/src/test/java/com/google/gson/stream/JsonReaderPathTest.java,com.google.gson.stream.JsonReaderPathTest,arrayPath,()V,void arrayPath(),org.junit.Test,22,22,33,JsonReader create(String data)|JsonToken peek()|String getPath()|int nextInt()|void assertEquals(Object expected; Object actual)|void beginArray()|void close()|void endArray(),8,,0,,0,10,10,0,0,java.io.IOException,11,11,,0,,0
gson,gson,/gson/src/test/java/com/google/gson/stream/JsonReaderPathTest.java,com.google.gson.stream.JsonReaderPathTest,multipleTopLevelValuesInOneDocument,()V,void multipleTopLevelValuesInOneDocument(),org.junit.Test,9,9,11,JsonReader create(String data)|String getPath()|void assertEquals(Object expected; Object actual)|void assumeTrue(boolean b)|void beginArray()|void endArray()|void setLenient(boolean lenient),7,,0,,0,4,4,0,0,java.io.IOException,2,2,,0,,0
gson,gson,/gson/src/test/java/com/google/gson/stream/JsonReaderPathTest.java,com.google.gson.stream.JsonReaderPathTest,skipArrayElements,()V,void skipArrayElements(),org.junit.Test,5,5,6,JsonReader create(String data)|String getPath()|void assertEquals(Object expected; Object actual)|void beginArray()|void skipValue(),5,,0,,0,3,3,0,0,java.io.IOException,1,1,,0,,0
gson,gson,/gson/src/test/java/com/google/gson/stream/JsonReaderPathTest.java,com.google.gson.stream.JsonReaderPathTest,skipObjectNames,()V,void skipObjectNames(),org.junit.Test,4,4,5,JsonReader create(String data)|String getPath()|void assertEquals(Object expected; Object actual)|void beginObject()|void skipValue(),5,,0,,0,2,2,0,0,java.io.IOException,1,1,,0,,0
gson,gson,/gson/src/test/java/com/google/gson/stream/JsonReaderPathTest.java,com.google.gson.stream.JsonReaderPathTest,skipObjectValues,()V,void skipObjectValues(),org.junit.Test,8,8,11,JsonReader create(String data)|String getPath()|String nextName()|void assertEquals(Object expected; Object actual)|void beginObject()|void skipValue(),6,,0,,0,4,4,0,0,java.io.IOException,3,3,,0,,0
gson,gson,/gson/src/test/java/com/google/gson/stream/JsonReaderPathTest.java,com.google.gson.stream.JsonReaderPathTest,skipNestedStructures,()V,void skipNestedStructures(),org.junit.Test,4,4,5,JsonReader create(String data)|String getPath()|void assertEquals(Object expected; Object actual)|void beginArray()|void skipValue(),5,,0,,0,2,2,0,0,java.io.IOException,1,1,,0,,0
gson,gson,/gson/src/test/java/com/google/gson/stream/JsonReaderPathTest.java,com.google.gson.stream.JsonReaderPathTest,arrayOfObjects,()V,void arrayOfObjects(),org.junit.Test,17,17,25,JsonReader create(String data)|String getPath()|void assertEquals(Object expected; Object actual)|void beginArray()|void beginObject()|void endArray()|void endObject(),7,,0,,0,8,8,0,0,java.io.IOException,8,8,,0,,0
gson,gson,/gson/src/test/java/com/google/gson/stream/JsonReaderPathTest.java,com.google.gson.stream.JsonReaderPathTest,arrayOfArrays,()V,void arrayOfArrays(),org.junit.Test,17,17,25,JsonReader create(String data)|String getPath()|void assertEquals(Object expected; Object actual)|void beginArray()|void endArray(),5,,0,,0,8,8,0,0,java.io.IOException,8,8,,0,,0
