mainProjectName,projectName,filePath,typeName,methodName,methodShortSignature,methodVerboseSignature,methodAnnotations,numberOfFirstLevelStatements,numberOfStatements,numberOfMethodInvocations,distinctMethodInvocations,numberOfDistinctMethodInvocations,distinctMethodInvocationsInSameClass,numberOfDistinctMethodInvocationsInSameClass,distinctTestCaseMethodInvocationsInSameClass,numberOfDistinctTestCaseMethodInvocationsInSameClass,numberOfMethodInvocationsWithExceptions,numberOfExceptionsThrown,numberOfExceptionsThrownAndCaughtExact,numberOfExceptionsThrownAndCaughtPartial,exceptionsThrownInMethodInvocations,numberOfAssertions,numberOfAssertionsWithRecursion,distinctMethodsInSameClassThatCallThisOne,numberOfdistinctMethodsInSameClassThatCallThisOne,distinctTestCasesInSameClassThatCallThisOne,numberOfdistinctTestCasesInSameClassThatCallThisOne
hbc,hbc-twitter4j,/hbc-twitter4j/src/test/java/com/twitter/hbc/twitter4j/BaseTwitter4jClientTest.java,com.twitter.hbc.twitter4j.BaseTwitter4jClientTest,testClientStartsStopsProperly,()V,void testClientStartsStopsProperly(),org.junit.Test,5,5,8,Object verify(Object mock)|void connect()|void shutdown()|void stop(),4,,0,,0,0,0,0,0,,0,0,,0,,0
hbc,hbc-twitter4j,/hbc-twitter4j/src/test/java/com/twitter/hbc/twitter4j/BaseTwitter4jClientTest.java,com.twitter.hbc.twitter4j.BaseTwitter4jClientTest,testClientMultipleProcessCalls,()V,void testClientMultipleProcessCalls(),org.junit.Test,10,10,16,Object any(Class clazz)|Object verify(Object mock)|Object verify(Object mock; VerificationMode mode)|VerificationMode times(int wantedNumberOfInvocations)|void connect()|void execute(Runnable command)|void process()|void shutdown()|void stop(),9,,0,,0,0,0,0,0,,0,0,,0,,0
hbc,hbc-twitter4j,/hbc-twitter4j/src/test/java/com/twitter/hbc/twitter4j/BaseTwitter4jClientTest.java,com.twitter.hbc.twitter4j.BaseTwitter4jClientTest,testStatusListener,()V,void testStatusListener(),org.junit.Test,2,2,5,Object any(Class clazz)|Object verify(Object mock)|int anyInt()|void onStatus(long sitestreamUser; Status status)|void processMessage(long sitestreamUser; JSONObject json),5,,0,,0,1,3,0,0,java.io.IOException|twitter4j.JSONException|twitter4j.TwitterException,0,0,,0,,0
hbc,hbc-twitter4j,/hbc-twitter4j/src/test/java/com/twitter/hbc/twitter4j/BaseTwitter4jClientTest.java,com.twitter.hbc.twitter4j.BaseTwitter4jClientTest,testStatusDeletionListener,()V,void testStatusDeletionListener(),org.junit.Test,2,2,5,Object any(Class clazz)|Object verify(Object mock)|int anyInt()|void onDelete(long sitestreamUser; StatusDeletionNotice delete)|void processMessage(long sitestreamUser; JSONObject json),5,,0,,0,1,3,0,0,java.io.IOException|twitter4j.JSONException|twitter4j.TwitterException,0,0,,0,,0
hbc,hbc-twitter4j,/hbc-twitter4j/src/test/java/com/twitter/hbc/twitter4j/BaseTwitter4jClientTest.java,com.twitter.hbc.twitter4j.BaseTwitter4jClientTest,testLimitListener,()V,void testLimitListener(),org.junit.Test,2,2,5,Object verify(Object mock)|int anyInt()|void onTrackLimitationNotice(long sitestreamUser; int limit)|void processMessage(long sitestreamUser; JSONObject json),4,,0,,0,1,3,0,0,java.io.IOException|twitter4j.JSONException|twitter4j.TwitterException,0,0,,0,,0
hbc,hbc-twitter4j,/hbc-twitter4j/src/test/java/com/twitter/hbc/twitter4j/BaseTwitter4jClientTest.java,com.twitter.hbc.twitter4j.BaseTwitter4jClientTest,testScrubGeoListener,()V,void testScrubGeoListener(),org.junit.Test,2,2,6,Object verify(Object mock)|int anyInt()|void onScrubGeo(long sitestreamUser; long userId; long upToStatusId)|void processMessage(long sitestreamUser; JSONObject json),4,,0,,0,1,3,0,0,java.io.IOException|twitter4j.JSONException|twitter4j.TwitterException,0,0,,0,,0
hbc,hbc-twitter4j,/hbc-twitter4j/src/test/java/com/twitter/hbc/twitter4j/BaseTwitter4jClientTest.java,com.twitter.hbc.twitter4j.BaseTwitter4jClientTest,testDirectMessageListener,()V,void testDirectMessageListener(),org.junit.Test,2,2,5,Object any(Class clazz)|Object verify(Object mock)|int anyInt()|void onDirectMessage(long sitestreamUser; DirectMessage directMessage)|void processMessage(long sitestreamUser; JSONObject json),5,,0,,0,1,3,0,0,java.io.IOException|twitter4j.JSONException|twitter4j.TwitterException,0,0,,0,,0
hbc,hbc-twitter4j,/hbc-twitter4j/src/test/java/com/twitter/hbc/twitter4j/BaseTwitter4jClientTest.java,com.twitter.hbc.twitter4j.BaseTwitter4jClientTest,testDirectMessageDeleteListener,()V,void testDirectMessageDeleteListener(),org.junit.Test,2,2,6,Object verify(Object mock)|int anyInt()|long anyLong()|void onDeleteDirectMessage(long sitestreamUser; long directMessageId; long userId)|void processMessage(long sitestreamUser; JSONObject json),5,,0,,0,1,3,0,0,java.io.IOException|twitter4j.JSONException|twitter4j.TwitterException,0,0,,0,,0
hbc,hbc-twitter4j,/hbc-twitter4j/src/test/java/com/twitter/hbc/twitter4j/BaseTwitter4jClientTest.java,com.twitter.hbc.twitter4j.BaseTwitter4jClientTest,testFriendsListListener,()V,void testFriendsListListener(),org.junit.Test,2,2,5,Object any(Class clazz)|Object verify(Object mock)|int anyInt()|void onFriends(long sitestreamUser; long[] json)|void processMessage(long sitestreamUser; JSONObject json),5,,0,,0,1,3,0,0,java.io.IOException|twitter4j.JSONException|twitter4j.TwitterException,0,0,,0,,0
hbc,hbc-twitter4j,/hbc-twitter4j/src/test/java/com/twitter/hbc/twitter4j/BaseTwitter4jClientTest.java,com.twitter.hbc.twitter4j.BaseTwitter4jClientTest,testFavoriteListener,()V,void testFavoriteListener(),org.junit.Test,3,3,8,JSONObject createEvent(String eventName; String target; String source; String targetObject)|Object any(Class clazz)|Object verify(Object mock)|int anyInt()|void onFavorite(long sitestreamUser; User source; User target; Status targetObject)|void processMessage(long sitestreamUser; JSONObject json),6,,0,,0,2,4,0,0,java.io.IOException|twitter4j.JSONException|twitter4j.TwitterException,0,0,,0,,0
hbc,hbc-twitter4j,/hbc-twitter4j/src/test/java/com/twitter/hbc/twitter4j/BaseTwitter4jClientTest.java,com.twitter.hbc.twitter4j.BaseTwitter4jClientTest,testUnfavoriteListener,()V,void testUnfavoriteListener(),org.junit.Test,3,3,8,JSONObject createEvent(String eventName; String target; String source; String targetObject)|Object any(Class clazz)|Object verify(Object mock)|int anyInt()|void onUnfavorite(long sitestreamUser; User source; User target; Status targetObject)|void processMessage(long sitestreamUser; JSONObject json),6,,0,,0,2,4,0,0,java.io.IOException|twitter4j.JSONException|twitter4j.TwitterException,0,0,,0,,0
hbc,hbc-twitter4j,/hbc-twitter4j/src/test/java/com/twitter/hbc/twitter4j/BaseTwitter4jClientTest.java,com.twitter.hbc.twitter4j.BaseTwitter4jClientTest,testRetweetListener,()V,void testRetweetListener(),org.junit.Test,3,3,8,JSONObject createEvent(String eventName; String target; String source; String targetObject)|Object any(Class clazz)|Object verify(Object mock)|int anyInt()|void onRetweet(long sitestreamUser; User source; User target; Status tweet)|void processMessage(long sitestreamUser; JSONObject json),6,,0,,0,2,4,0,0,java.io.IOException|twitter4j.JSONException|twitter4j.TwitterException,0,0,,0,,0
hbc,hbc-twitter4j,/hbc-twitter4j/src/test/java/com/twitter/hbc/twitter4j/BaseTwitter4jClientTest.java,com.twitter.hbc.twitter4j.BaseTwitter4jClientTest,testFollowListener,()V,void testFollowListener(),org.junit.Test,3,3,7,JSONObject createEvent(String eventName; String target; String source; String targetObject)|Object any(Class clazz)|Object verify(Object mock)|int anyInt()|void onFollow(long sitestreamUser; User source; User target)|void processMessage(long sitestreamUser; JSONObject json),6,,0,,0,3,5,0,0,java.io.IOException|twitter4j.JSONException|twitter4j.TwitterException,0,0,,0,,0
hbc,hbc-twitter4j,/hbc-twitter4j/src/test/java/com/twitter/hbc/twitter4j/BaseTwitter4jClientTest.java,com.twitter.hbc.twitter4j.BaseTwitter4jClientTest,testUnfollowListener,()V,void testUnfollowListener(),org.junit.Test,3,3,7,JSONObject createEvent(String eventName; String target; String source; String targetObject)|Object any(Class clazz)|Object verify(Object mock)|int anyInt()|void onUnfollow(long sitestreamUser; User source; User target)|void processMessage(long sitestreamUser; JSONObject json),6,,0,,0,3,5,0,0,java.io.IOException|twitter4j.JSONException|twitter4j.TwitterException,0,0,,0,,0
hbc,hbc-twitter4j,/hbc-twitter4j/src/test/java/com/twitter/hbc/twitter4j/BaseTwitter4jClientTest.java,com.twitter.hbc.twitter4j.BaseTwitter4jClientTest,testListMemberAddedListener,()V,void testListMemberAddedListener(),org.junit.Test,3,3,8,JSONObject createEvent(String eventName; String target; String source; String targetObject)|Object any(Class clazz)|Object verify(Object mock)|int anyInt()|void onUserListMemberAddition(long sitestreamUser; User addedMember; User owner; UserList userList)|void processMessage(long sitestreamUser; JSONObject json),6,,0,,0,2,4,0,0,java.io.IOException|twitter4j.JSONException|twitter4j.TwitterException,0,0,,0,,0
hbc,hbc-twitter4j,/hbc-twitter4j/src/test/java/com/twitter/hbc/twitter4j/BaseTwitter4jClientTest.java,com.twitter.hbc.twitter4j.BaseTwitter4jClientTest,testListMemberDeletedListener,()V,void testListMemberDeletedListener(),org.junit.Test,3,3,8,JSONObject createEvent(String eventName; String target; String source; String targetObject)|Object any(Class clazz)|Object verify(Object mock)|int anyInt()|void onUserListMemberDeletion(long sitestreamUser; User deletedMember; User owner; UserList userList)|void processMessage(long sitestreamUser; JSONObject json),6,,0,,0,2,4,0,0,java.io.IOException|twitter4j.JSONException|twitter4j.TwitterException,0,0,,0,,0
hbc,hbc-twitter4j,/hbc-twitter4j/src/test/java/com/twitter/hbc/twitter4j/BaseTwitter4jClientTest.java,com.twitter.hbc.twitter4j.BaseTwitter4jClientTest,testListSubscribedListener,()V,void testListSubscribedListener(),org.junit.Test,3,3,8,JSONObject createEvent(String eventName; String target; String source; String targetObject)|Object any(Class clazz)|Object verify(Object mock)|int anyInt()|void onUserListSubscription(long sitestreamUser; User subscriber; User owner; UserList userList)|void processMessage(long sitestreamUser; JSONObject json),6,,0,,0,2,4,0,0,java.io.IOException|twitter4j.JSONException|twitter4j.TwitterException,0,0,,0,,0
hbc,hbc-twitter4j,/hbc-twitter4j/src/test/java/com/twitter/hbc/twitter4j/BaseTwitter4jClientTest.java,com.twitter.hbc.twitter4j.BaseTwitter4jClientTest,testListUnsubscribedListener,()V,void testListUnsubscribedListener(),org.junit.Test,3,3,8,JSONObject createEvent(String eventName; String target; String source; String targetObject)|Object any(Class clazz)|Object verify(Object mock)|int anyInt()|void onUserListUnsubscription(long sitestreamUser; User deletedMember; User owner; UserList userList)|void processMessage(long sitestreamUser; JSONObject json),6,,0,,0,2,4,0,0,java.io.IOException|twitter4j.JSONException|twitter4j.TwitterException,0,0,,0,,0
hbc,hbc-twitter4j,/hbc-twitter4j/src/test/java/com/twitter/hbc/twitter4j/BaseTwitter4jClientTest.java,com.twitter.hbc.twitter4j.BaseTwitter4jClientTest,testListCreatedListener,()V,void testListCreatedListener(),org.junit.Test,3,3,7,JSONObject createEvent(String eventName; String target; String source; String targetObject)|Object any(Class clazz)|Object verify(Object mock)|int anyInt()|void onUserListCreation(long sitestreamUser; User source; UserList userList)|void processMessage(long sitestreamUser; JSONObject json),6,,0,,0,2,4,0,0,java.io.IOException|twitter4j.JSONException|twitter4j.TwitterException,0,0,,0,,0
hbc,hbc-twitter4j,/hbc-twitter4j/src/test/java/com/twitter/hbc/twitter4j/BaseTwitter4jClientTest.java,com.twitter.hbc.twitter4j.BaseTwitter4jClientTest,testListDestroyedListener,()V,void testListDestroyedListener(),org.junit.Test,3,3,7,JSONObject createEvent(String eventName; String target; String source; String targetObject)|Object any(Class clazz)|Object verify(Object mock)|int anyInt()|void onUserListDeletion(long sitestreamUser; User source; UserList userList)|void processMessage(long sitestreamUser; JSONObject json),6,,0,,0,2,4,0,0,java.io.IOException|twitter4j.JSONException|twitter4j.TwitterException,0,0,,0,,0
hbc,hbc-twitter4j,/hbc-twitter4j/src/test/java/com/twitter/hbc/twitter4j/BaseTwitter4jClientTest.java,com.twitter.hbc.twitter4j.BaseTwitter4jClientTest,testListUpdatedListener,()V,void testListUpdatedListener(),org.junit.Test,3,3,7,JSONObject createEvent(String eventName; String target; String source; String targetObject)|Object any(Class clazz)|Object verify(Object mock)|int anyInt()|void onUserListUpdate(long sitestreamUser; User source; UserList userList)|void processMessage(long sitestreamUser; JSONObject json),6,,0,,0,2,4,0,0,java.io.IOException|twitter4j.JSONException|twitter4j.TwitterException,0,0,,0,,0
hbc,hbc-twitter4j,/hbc-twitter4j/src/test/java/com/twitter/hbc/twitter4j/BaseTwitter4jClientTest.java,com.twitter.hbc.twitter4j.BaseTwitter4jClientTest,testBlockedListener,()V,void testBlockedListener(),org.junit.Test,3,3,7,JSONObject createEvent(String eventName; String target; String source; String targetObject)|Object any(Class clazz)|Object verify(Object mock)|int anyInt()|void onBlock(long sitestreamUser; User source; User target)|void processMessage(long sitestreamUser; JSONObject json),6,,0,,0,2,4,0,0,java.io.IOException|twitter4j.JSONException|twitter4j.TwitterException,0,0,,0,,0
hbc,hbc-twitter4j,/hbc-twitter4j/src/test/java/com/twitter/hbc/twitter4j/BaseTwitter4jClientTest.java,com.twitter.hbc.twitter4j.BaseTwitter4jClientTest,testUnblockedListener,()V,void testUnblockedListener(),org.junit.Test,3,3,7,JSONObject createEvent(String eventName; String target; String source; String targetObject)|Object any(Class clazz)|Object verify(Object mock)|int anyInt()|void onUnblock(long sitestreamUser; User source; User target)|void processMessage(long sitestreamUser; JSONObject json),6,,0,,0,2,4,0,0,java.io.IOException|twitter4j.JSONException|twitter4j.TwitterException,0,0,,0,,0
hbc,hbc-twitter4j,/hbc-twitter4j/src/test/java/com/twitter/hbc/twitter4j/BaseTwitter4jClientTest.java,com.twitter.hbc.twitter4j.BaseTwitter4jClientTest,testUserUpdateListener,()V,void testUserUpdateListener(),org.junit.Test,3,3,6,JSONObject createEvent(String eventName; String target; String source; String targetObject)|Object any(Class clazz)|Object verify(Object mock)|int anyInt()|void onUserProfileUpdate(long sitestreamUser; User source)|void processMessage(long sitestreamUser; JSONObject json),6,,0,,0,2,4,0,0,java.io.IOException|twitter4j.JSONException|twitter4j.TwitterException,0,0,,0,,0
hbc,hbc-twitter4j,/hbc-twitter4j/src/test/java/com/twitter/hbc/twitter4j/BaseTwitter4jClientTest.java,com.twitter.hbc.twitter4j.BaseTwitter4jClientTest,testControlStreamMessage,()V,void testControlStreamMessage(),org.junit.Test,2,2,4,Object verify(Object mock)|String anyString()|void onControlStreamMessage(String streamId)|void processMessage(long sitestreamUser; JSONObject json),4,,0,,0,1,3,0,0,java.io.IOException|twitter4j.JSONException|twitter4j.TwitterException,0,0,,0,,0
hbc,hbc-twitter4j,/hbc-twitter4j/src/test/java/com/twitter/hbc/twitter4j/BaseTwitter4jClientTest.java,com.twitter.hbc.twitter4j.BaseTwitter4jClientTest,testDisconnectListener,()V,void testDisconnectListener(),org.junit.Test,2,2,4,Object any(Class clazz)|Object verify(Object mock)|void onDisconnectMessage(DisconnectMessage disconnectMessage)|void processMessage(long sitestreamUser; JSONObject json),4,,0,,0,1,3,0,0,java.io.IOException|twitter4j.JSONException|twitter4j.TwitterException,0,0,,0,,0
hbc,hbc-twitter4j,/hbc-twitter4j/src/test/java/com/twitter/hbc/twitter4j/JSONObjectParserTest.java,com.twitter.hbc.twitter4j.JSONObjectParserTest,testParseStatusDelete,()V,void testParseStatusDelete(),org.junit.Test,4,4,5,StatusDeletionNotice parseStatusDelete(JSONObject json)|long getStatusId()|long getUserId()|void assertEquals(long expected; long actual),4,,0,,0,1,1,0,0,twitter4j.JSONException,0,0,,0,,0
hbc,hbc-twitter4j,/hbc-twitter4j/src/test/java/com/twitter/hbc/twitter4j/JSONObjectParserTest.java,com.twitter.hbc.twitter4j.JSONObjectParserTest,testTrackLimitNotice,()V,void testTrackLimitNotice(),org.junit.Test,2,2,2,int parseTrackLimit(JSONObject json)|void assertEquals(int expected; int actual),2,,0,,0,1,1,0,0,twitter4j.JSONException,0,0,,0,,0
hbc,hbc-twitter4j,/hbc-twitter4j/src/test/java/com/twitter/hbc/twitter4j/JSONObjectParserTest.java,com.twitter.hbc.twitter4j.JSONObjectParserTest,testParseTestList,()V,void testParseTestList(),org.junit.Test,6,6,6,long[] parseFriendList(JSONObject json)|void assertEquals(int expected; int actual)|void assertEquals(long expected; long actual),3,,0,,0,1,1,0,0,twitter4j.JSONException,0,0,,0,,0
hbc,hbc-twitter4j,/hbc-twitter4j/src/test/java/com/twitter/hbc/twitter4j/JSONObjectParserTest.java,com.twitter.hbc.twitter4j.JSONObjectParserTest,testParseSitestreamUserId,()V,void testParseSitestreamUserId(),org.junit.Test,3,3,4,boolean hasSitestreamUser(JSONObject envelope)|long getSitestreamUser(JSONObject envelope)|void assertEquals(long expected; long actual)|void assertTrue(boolean condition),4,,0,,0,1,1,0,0,twitter4j.JSONException,0,0,,0,,0
hbc,hbc-twitter4j,/hbc-twitter4j/src/test/java/com/twitter/hbc/twitter4j/JSONObjectParserTest.java,com.twitter.hbc.twitter4j.JSONObjectParserTest,testParseSitestreamMessage,()V,void testParseSitestreamMessage(),org.junit.Test,8,8,9,JSONObject getSitestreamMessage(JSONObject envelope)|boolean hasSitestreamUser(JSONObject envelope)|long[] parseFriendList(JSONObject json)|void assertEquals(int expected; int actual)|void assertEquals(long expected; long actual)|void assertTrue(boolean condition),6,,0,,0,2,2,0,0,twitter4j.JSONException,0,0,,0,,0
hbc,hbc-twitter4j,/hbc-twitter4j/src/test/java/com/twitter/hbc/twitter4j/JSONObjectParserTest.java,com.twitter.hbc.twitter4j.JSONObjectParserTest,testMissingFields,()V,void testMissingFields(),org.junit.Test,1,4,2,int parseTrackLimit(JSONObject json)|void fail(),2,,0,,0,1,1,1,0,twitter4j.JSONException,0,0,,0,,0
hbc,hbc-twitter4j,/hbc-twitter4j/src/test/java/com/twitter/hbc/twitter4j/JSONObjectParserTest.java,com.twitter.hbc.twitter4j.JSONObjectParserTest,testParseControlStreamMessage,()V,void testParseControlStreamMessage(),org.junit.Test,5,5,6,String getStreamId(JSONObject message)|boolean hasSitestreamMessage(JSONObject envelope)|boolean hasSitestreamUser(JSONObject envelope)|void assertEquals(String expected; String actual)|void assertFalse(boolean condition),5,,0,,0,1,1,0,0,twitter4j.JSONException,0,0,,0,,0
hbc,hbc-twitter4j,/hbc-twitter4j/src/test/java/com/twitter/hbc/twitter4j/JSONObjectParserTest.java,com.twitter.hbc.twitter4j.JSONObjectParserTest,testParseDisconnectMessage,()V,void testParseDisconnectMessage(),org.junit.Test,7,7,11,DisconnectMessage parseDisconnectMessage(JSONObject message)|String getDisconnectReason()|String getStreamName()|boolean hasSitestreamMessage(JSONObject envelope)|boolean hasSitestreamUser(JSONObject envelope)|int getDisconnectCode()|void assertEquals(String expected; String actual)|void assertEquals(int expected; int actual)|void assertFalse(boolean condition),9,,0,,0,1,1,0,0,twitter4j.JSONException,0,0,,0,,0
