mainProjectName,projectName,filePath,typeName,methodName,methodShortSignature,methodVerboseSignature,methodAnnotations,numberOfFirstLevelStatements,numberOfStatements,numberOfMethodInvocations,distinctMethodInvocations,numberOfDistinctMethodInvocations,distinctMethodInvocationsInSameClass,numberOfDistinctMethodInvocationsInSameClass,distinctTestCaseMethodInvocationsInSameClass,numberOfDistinctTestCaseMethodInvocationsInSameClass,numberOfMethodInvocationsWithExceptions,numberOfExceptionsThrown,numberOfExceptionsThrownAndCaughtExact,numberOfExceptionsThrownAndCaughtPartial,exceptionsThrownInMethodInvocations,numberOfAssertions,numberOfAssertionsWithRecursion,distinctMethodsInSameClassThatCallThisOne,numberOfdistinctMethodsInSameClassThatCallThisOne,distinctTestCasesInSameClassThatCallThisOne,numberOfdistinctTestCasesInSameClassThatCallThisOne
hibernate-ogm,hibernate-ogm-core,/hibernate-ogm-core/src/test/java/org/hibernate/ogm/backendtck/associations/collection/manytomany/ManyToManyTest.java,org.hibernate.ogm.backendtck.associations.collection.manytomany.ManyToManyTest,testBidirectionalManyToMany,()V,void testBidirectionalManyToMany(),org.junit.Test,49,49,93,CollectionAssert assertThat(Collection actual)|CollectionAssert onProperty(String propertyName)|Iterator iterator()|LongAssert assertThat(long actual)|LongAssert isEqualTo(long expected)|Object contains(Object[] objects)|Object hasSize(int expected)|Object next()|OgmSession openSession()|Set<AccountOwner> getOwners()|Set<BankAccount> getBankAccounts()|String getId()|T get(Session session; Class<T> clazz; Serializable id)|Transaction beginTransaction()|boolean add(Object e)|boolean remove(Object o)|int expectedAssociationNumber()|long getNumberOfAssociations(SessionFactory sessionFactory)|long getNumberOfEntities(SessionFactory sessionFactory)|void checkCleanCache()|void clear()|void close()|void commit()|void delete(Object object)|void persist(Object object)|void setAccountNumber(String accountNumber)|void setSSN(String sSN),27,int expectedAssociationNumber(),1,,0,0,0,0,0,,0,0,,0,,0
hibernate-ogm,hibernate-ogm-core,/hibernate-ogm-core/src/test/java/org/hibernate/ogm/backendtck/associations/collection/manytomany/ManyToManyTest.java,org.hibernate.ogm.backendtck.associations.collection.manytomany.ManyToManyTest,testManyToManyCompositeId,()V,void testManyToManyCompositeId(),org.junit.Test,22,22,33,CarId getCarId()|CollectionAssert assertThat(Collection actual)|Iterator iterator()|Object contains(Object[] objects)|Object get(Class entityType; Serializable id)|Object hasSize(int expected)|Object next()|OgmSession openSession()|Set<Car> getCars()|Set<Tire> getTires()|Transaction beginTransaction()|boolean add(Object e)|void clear()|void close()|void commit()|void delete(Object object)|void persist(Object object)|void setCarId(CarId carId)|void setHp(Integer hp)|void setSize(Double size)|void setTireId(TireId tireId),21,,0,,0,0,0,0,0,,0,0,,0,,0
hibernate-ogm,hibernate-ogm-core,/hibernate-ogm-core/src/test/java/org/hibernate/ogm/backendtck/associations/collection/manytomany/ManyToManyExtraTest.java,org.hibernate.ogm.backendtck.associations.collection.manytomany.ManyToManyExtraTest,testUnidirectionalManyToMany2Entities1Association,()V,void testUnidirectionalManyToMany2Entities1Association(),org.junit.Test,5,11,17,List<Student> getStudents()|ListAssert assertThat(List actual)|LongAssert assertThat(long actual)|LongAssert isEqualTo(long expected)|Object containsOnly(Object[] objects)|Object isNotNull()|Object load(Class theClass; Serializable id)|ObjectAssert assertThat(Object actual)|boolean add(Object e)|long getNumberOfAssociations(SessionFactory sessionFactory)|long getNumberOfEntities(SessionFactory sessionFactory)|void inTransaction(Consumer<Session> consumer)|void persistAll(Session session; Object[] entities),13,,0,,0,0,0,0,0,,0,0,,0,,0
hibernate-ogm,hibernate-ogm-core,/hibernate-ogm-core/src/test/java/org/hibernate/ogm/backendtck/associations/collection/manytomany/ManyToManyExtraTest.java,org.hibernate.ogm.backendtck.associations.collection.manytomany.ManyToManyExtraTest,testUnidirectionalManyToMany3Entities1Association,()V,void testUnidirectionalManyToMany3Entities1Association(),org.junit.Test,6,13,19,List<Student> getStudents()|ListAssert assertThat(List actual)|LongAssert assertThat(long actual)|LongAssert isEqualTo(long expected)|Object containsOnly(Object[] objects)|Object isNotNull()|Object load(Class theClass; Serializable id)|ObjectAssert assertThat(Object actual)|boolean add(Object e)|long getNumberOfAssociations(SessionFactory sessionFactory)|long getNumberOfEntities(SessionFactory sessionFactory)|void inTransaction(Consumer<Session> consumer)|void persistAll(Session session; Object[] entities),13,,0,,0,0,0,0,0,,0,0,,0,,0
hibernate-ogm,hibernate-ogm-core,/hibernate-ogm-core/src/test/java/org/hibernate/ogm/backendtck/associations/collection/manytomany/ManyToManyExtraTest.java,org.hibernate.ogm.backendtck.associations.collection.manytomany.ManyToManyExtraTest,testUnidirectionalManyToMany4Entities1Association,()V,void testUnidirectionalManyToMany4Entities1Association(),org.junit.Test,6,16,23,List<Student> getStudents()|ListAssert assertThat(List actual)|LongAssert assertThat(long actual)|LongAssert isEqualTo(long expected)|Object containsOnly(Object[] objects)|Object isNotNull()|Object load(Class theClass; Serializable id)|ObjectAssert assertThat(Object actual)|boolean add(Object e)|long getNumberOfAssociations(SessionFactory sessionFactory)|long getNumberOfEntities(SessionFactory sessionFactory)|void inTransaction(Consumer<Session> consumer)|void isEmpty()|void persistAll(Session session; Object[] entities),14,,0,,0,0,0,0,0,,0,0,,0,,0
hibernate-ogm,hibernate-ogm-core,/hibernate-ogm-core/src/test/java/org/hibernate/ogm/backendtck/associations/collection/manytomany/ManyToManyExtraTest.java,org.hibernate.ogm.backendtck.associations.collection.manytomany.ManyToManyExtraTest,testUnidirectionalManyToMany4Entities2Association,()V,void testUnidirectionalManyToMany4Entities2Association(),org.junit.Test,6,17,25,List<Student> getStudents()|ListAssert assertThat(List actual)|LongAssert assertThat(long actual)|LongAssert isEqualTo(long expected)|Object containsOnly(Object[] objects)|Object isNotNull()|Object load(Class theClass; Serializable id)|ObjectAssert assertThat(Object actual)|boolean add(Object e)|long getNumberOfAssociations(SessionFactory sessionFactory)|long getNumberOfEntities(SessionFactory sessionFactory)|void inTransaction(Consumer<Session> consumer)|void persistAll(Session session; Object[] entities),13,,0,,0,0,0,0,0,,0,0,,0,,0
hibernate-ogm,hibernate-ogm-core,/hibernate-ogm-core/src/test/java/org/hibernate/ogm/backendtck/associations/collection/manytomany/ManyToManyExtraTest.java,org.hibernate.ogm.backendtck.associations.collection.manytomany.ManyToManyExtraTest,testUnidirectionalManyToMany5Entities2Association,()V,void testUnidirectionalManyToMany5Entities2Association(),org.junit.Test,7,20,29,List<Student> getStudents()|ListAssert assertThat(List actual)|LongAssert assertThat(long actual)|LongAssert isEqualTo(long expected)|Object containsOnly(Object[] objects)|Object isNotNull()|Object load(Class theClass; Serializable id)|ObjectAssert assertThat(Object actual)|boolean add(Object e)|long getNumberOfAssociations(SessionFactory sessionFactory)|long getNumberOfEntities(SessionFactory sessionFactory)|void inTransaction(Consumer<Session> consumer)|void persistAll(Session session; Object[] entities),13,,0,,0,0,0,0,0,,0,0,,0,,0
hibernate-ogm,hibernate-ogm-core,/hibernate-ogm-core/src/test/java/org/hibernate/ogm/backendtck/associations/collection/manytomany/ManyToManyExtraTest.java,org.hibernate.ogm.backendtck.associations.collection.manytomany.ManyToManyExtraTest,testUnidirectionalManyToMany6Entities3Association,()V,void testUnidirectionalManyToMany6Entities3Association(),org.junit.Test,7,23,33,List<Student> getStudents()|ListAssert assertThat(List actual)|LongAssert assertThat(long actual)|LongAssert isEqualTo(long expected)|Object containsOnly(Object[] objects)|Object isNotNull()|Object load(Class theClass; Serializable id)|ObjectAssert assertThat(Object actual)|boolean add(Object e)|long getNumberOfAssociations(SessionFactory sessionFactory)|long getNumberOfEntities(SessionFactory sessionFactory)|void inTransaction(Consumer<Session> consumer)|void persistAll(Session session; Object[] entities),13,,0,,0,0,0,0,0,,0,0,,0,,0
hibernate-ogm,hibernate-ogm-core,/hibernate-ogm-core/src/test/java/org/hibernate/ogm/backendtck/associations/collection/types/MapTest.java,org.hibernate.ogm.backendtck.associations.collection.types.MapTest,testMapOfEntity,()V,void testMapOfEntity(),org.junit.Test,24,24,37,Map<String;Address> getAddresses()|MapAssert assertThat(Map actual)|Object as(String description)|Object get(Class entityType; Serializable id)|Object get(Object key)|Object hasSize(int expected)|Object isEqualTo(Object expected)|Object load(Class theClass; Serializable id)|Object put(Object key; Object value)|OgmSession openSession()|String getCity()|String getId()|StringAssert assertThat(String actual)|Transaction beginTransaction()|void checkCleanCache()|void clear()|void close()|void commit()|void delete(Object object)|void persist(Object object)|void setCity(String city),21,,0,,0,0,0,0,0,,0,0,,0,,0
hibernate-ogm,hibernate-ogm-core,/hibernate-ogm-core/src/test/java/org/hibernate/ogm/backendtck/associations/collection/types/MapTest.java,org.hibernate.ogm.backendtck.associations.collection.types.MapTest,testSetElementCollectionStorageAndRemoval,()V,void testSetElementCollectionStorageAndRemoval(),org.junit.Test,29,31,50,CollectionAssert assertThat(Collection actual)|GridDialectType getCurrentDialectType()|LongAssert assertThat(long actual)|LongAssert isEqualTo(long expected)|Object containsOnly(Object[] objects)|Object describedAs(String description)|Object get(Class entityType; Serializable id)|OgmSession openSession()|Set<String> getNicknames()|String getId()|Transaction beginTransaction()|boolean add(Object e)|boolean isDocumentStore()|boolean remove(Object o)|long getNumberOfAssociations(SessionFactory sessionFactory; AssociationStorageType type)|void checkCleanCache()|void clear()|void close()|void commit()|void delete(Object object)|void persist(Object object),21,,0,,0,0,0,0,0,,0,0,,0,,0
hibernate-ogm,hibernate-ogm-core,/hibernate-ogm-core/src/test/java/org/hibernate/ogm/backendtck/associations/collection/types/MapTest.java,org.hibernate.ogm.backendtck.associations.collection.types.MapTest,testRemovalOfMapEntry,()V,void testRemovalOfMapEntry(),org.junit.Test,30,30,46,BooleanAssert assertThat(boolean actual)|Map<String;Address> getAddresses()|MapAssert assertThat(Map actual)|Object get(Class entityType; Serializable id)|Object get(Object key)|Object hasSize(int expected)|Object isEqualTo(Object expected)|Object load(Class theClass; Serializable id)|Object put(Object key; Object value)|Object remove(Object key)|OgmSession openSession()|String getCity()|String getId()|StringAssert assertThat(String actual)|Transaction beginTransaction()|boolean containsKey(Object key)|void checkCleanCache()|void clear()|void close()|void commit()|void delete(Object object)|void isTrue()|void persist(Object object)|void setCity(String city),24,,0,,0,0,0,0,0,,0,0,,0,,0
