mainProjectName,projectName,filePath,typeName,methodName,methodShortSignature,methodVerboseSignature,methodAnnotations,numberOfFirstLevelStatements,numberOfStatements,numberOfMethodInvocations,distinctMethodInvocations,numberOfDistinctMethodInvocations,distinctMethodInvocationsInSameClass,numberOfDistinctMethodInvocationsInSameClass,distinctTestCaseMethodInvocationsInSameClass,numberOfDistinctTestCaseMethodInvocationsInSameClass,numberOfMethodInvocationsWithExceptions,numberOfExceptionsThrown,numberOfExceptionsThrownAndCaughtExact,numberOfExceptionsThrownAndCaughtPartial,exceptionsThrownInMethodInvocations,numberOfAssertions,numberOfAssertionsWithRecursion,distinctMethodsInSameClassThatCallThisOne,numberOfdistinctMethodsInSameClassThatCallThisOne,distinctTestCasesInSameClassThatCallThisOne,numberOfdistinctTestCasesInSameClassThatCallThisOne
hibernate-ogm,hibernate-ogm-infinispan-embedded,/hibernate-ogm-infinispan-embedded/src/test/java/org/hibernate/ogm/datastore/infinispan/test/cachemapping/CachePerKindConfiguredViaOptionCacheMappingTest.java,org.hibernate.ogm.datastore.infinispan.test.cachemapping.CachePerKindConfiguredViaOptionCacheMappingTest,shouldUseCachePerTable,()V,void shouldUseCachePerTable(),org.junit.Test,8,8,16,Cache<?;Map<RowKey;Map<String;Object>>> getAssociationCache(String tableName; String[] columnNames)|Cache<?;Map<String;Object>> getEntityCache(String tableName; String[] columnNames)|Cache<?;Object> getIdSourceCache(String tableName)|Object isEqualTo(Object expected)|String getName()|StringAssert assertThat(String actual),6,,0,,0,0,0,0,0,,0,0,,0,,0
hibernate-ogm,hibernate-ogm-infinispan-embedded,/hibernate-ogm-infinispan-embedded/src/test/java/org/hibernate/ogm/datastore/infinispan/test/cachemapping/CachePerTableCacheMappingTest.java,org.hibernate.ogm.datastore.infinispan.test.cachemapping.CachePerTableCacheMappingTest,shouldUseCachePerTable,()V,void shouldUseCachePerTable(),org.junit.Test,8,8,16,Cache<?;Map<RowKey;Map<String;Object>>> getAssociationCache(String tableName; String[] columnNames)|Cache<?;Map<String;Object>> getEntityCache(String tableName; String[] columnNames)|Cache<?;Object> getIdSourceCache(String tableName)|Object isEqualTo(Object expected)|String getName()|StringAssert assertThat(String actual),6,,0,,0,0,0,0,0,,0,0,,0,,0
hibernate-ogm,hibernate-ogm-infinispan-embedded,/hibernate-ogm-infinispan-embedded/src/test/java/org/hibernate/ogm/datastore/infinispan/test/cachemapping/CachePerKindCacheMappingTest.java,org.hibernate.ogm.datastore.infinispan.test.cachemapping.CachePerKindCacheMappingTest,shouldUseCachePerTable,()V,void shouldUseCachePerTable(),org.junit.Test,8,8,16,Cache<?;Map<RowKey;Map<String;Object>>> getAssociationCache(String tableName; String[] columnNames)|Cache<?;Map<String;Object>> getEntityCache(String tableName; String[] columnNames)|Cache<?;Object> getIdSourceCache(String tableName)|Object isEqualTo(Object expected)|String getName()|StringAssert assertThat(String actual),6,,0,,0,0,0,0,0,,0,0,,0,,0
hibernate-ogm,hibernate-ogm-infinispan-embedded,/hibernate-ogm-infinispan-embedded/src/test/java/org/hibernate/ogm/datastore/infinispan/test/cachemapping/CacheMappingTestBase.java,org.hibernate.ogm.datastore.infinispan.test.cachemapping.CacheMappingTestBase,canStoreAndLoadEntitiesWithIdGeneratorAndAssociation,()V,void canStoreAndLoadEntitiesWithIdGeneratorAndAssociation(),org.junit.Test,13,13,19,List<Plant> getMembers()|ListAssert assertThat(List actual)|ListAssert containsExactly(Object[] objects)|ListAssert onProperty(String propertyName)|Object get(Class entityType; Serializable id)|Object isNotNull()|ObjectAssert assertThat(Object actual)|OgmSession openSession()|Transaction getTransaction()|void begin()|void close()|void commit()|void persist(Object object),13,,0,,0,0,0,0,0,,0,0,,0,,0
hibernate-ogm,hibernate-ogm-infinispan-embedded,/hibernate-ogm-infinispan-embedded/src/test/java/org/hibernate/ogm/datastore/infinispan/test/cachemapping/LocalDateTimeMappingTest.java,org.hibernate.ogm.datastore.infinispan.test.cachemapping.LocalDateTimeMappingTest,testLocalDateMapping,()V,void testLocalDateMapping(),org.junit.Test,2,2,6,FineGrainedAtomicMap<String;Object> fetchPropertyMap(SessionFactory sessionFactory; String cacheName; String keyColumnName; Object keyColumnValue)|Integer getId()|LocalDate getDay()|Object get(Object key)|Object isEqualTo(Object expected)|ObjectAssert assertThat(Object actual),6,,0,,0,0,0,0,0,,0,0,,0,,0
hibernate-ogm,hibernate-ogm-infinispan-embedded,/hibernate-ogm-infinispan-embedded/src/test/java/org/hibernate/ogm/datastore/infinispan/test/cachemapping/LocalDateTimeMappingTest.java,org.hibernate.ogm.datastore.infinispan.test.cachemapping.LocalDateTimeMappingTest,testLocalDateTimeMapping,()V,void testLocalDateTimeMapping(),org.junit.Test,2,2,6,FineGrainedAtomicMap<String;Object> fetchPropertyMap(SessionFactory sessionFactory; String cacheName; String keyColumnName; Object keyColumnValue)|Integer getId()|LocalDateTime getMoment()|Object get(Object key)|Object isEqualTo(Object expected)|ObjectAssert assertThat(Object actual),6,,0,,0,0,0,0,0,,0,0,,0,,0
hibernate-ogm,hibernate-ogm-infinispan-embedded,/hibernate-ogm-infinispan-embedded/src/test/java/org/hibernate/ogm/datastore/infinispan/test/cachemapping/LocalDateTimeMappingTest.java,org.hibernate.ogm.datastore.infinispan.test.cachemapping.LocalDateTimeMappingTest,testLocalTimeMapping,()V,void testLocalTimeMapping(),org.junit.Test,3,3,7,FineGrainedAtomicMap<String;Object> fetchPropertyMap(SessionFactory sessionFactory; String cacheName; String keyColumnName; Object keyColumnValue)|Integer getId()|LocalTime getTime()|Object get(Object key)|Object isEqualTo(Object expected)|ObjectAssert assertThat(Object actual)|Time valueOf(LocalTime time),7,,0,,0,0,0,0,0,,0,0,,0,,0
hibernate-ogm,hibernate-ogm-infinispan-embedded,/hibernate-ogm-infinispan-embedded/src/test/java/org/hibernate/ogm/datastore/infinispan/test/dialect/impl/AssociationKeyExternalizerTest.java,org.hibernate.ogm.datastore.infinispan.test.dialect.impl.AssociationKeyExternalizerTest,shouldSerializeAndDeserializeAssociationKey,()V,void shouldSerializeAndDeserializeAssociationKey(),org.junit.Test,12,12,25,Builder columnNames(String[] columnNames)|Builder table(String table)|DefaultAssociationKeyMetadata build()|IntAssert assertThat(int actual)|IntAssert isEqualTo(int expected)|Object isEqualTo(Object expected)|ObjectArrayAssert assertThat(Object[] actual)|ObjectArrayAssert isEqualTo(Object[] expected)|Object[] getColumnValues()|String getTable()|StringAssert assertThat(String actual)|String[] getColumnNames()|T unmarshall(byte[] bytes)|boolean equals(Object o)|byte[] marshall(T object)|int hashCode()|void assertTrue(boolean condition),17,,0,,0,2,2,0,0,java.lang.Exception,2,2,,0,,0
hibernate-ogm,hibernate-ogm-infinispan-embedded,/hibernate-ogm-infinispan-embedded/src/test/java/org/hibernate/ogm/datastore/infinispan/test/dialect/impl/InfinispanDialectWithClusteredConfigurationTest.java,org.hibernate.ogm.datastore.infinispan.test.dialect.impl.InfinispanDialectWithClusteredConfigurationTest,shouldWriteAndReadTupleInClusteredMode,()V,void shouldWriteAndReadTupleInClusteredMode(),org.junit.Test,9,9,9,Object get(String column)|Object isEqualTo(Object expected)|ObjectAssert assertThat(Object actual)|Tuple createTuple(EntityKey key; OperationContext operationContext)|Tuple getTuple(EntityKey key; OperationContext operationContext)|TupleContext emptyTupleContext()|void insertOrUpdateTuple(EntityKey key; TuplePointer tuplePointer; TupleContext tupleContext)|void put(String column; Object value),8,,0,,0,0,0,0,0,,0,0,,0,,0
hibernate-ogm,hibernate-ogm-infinispan-embedded,/hibernate-ogm-infinispan-embedded/src/test/java/org/hibernate/ogm/datastore/infinispan/test/dialect/impl/InfinispanDialectWithClusteredConfigurationTest.java,org.hibernate.ogm.datastore.infinispan.test.dialect.impl.InfinispanDialectWithClusteredConfigurationTest,shoulReadAndWriteSequenceInClusteredMode,()V,void shoulReadAndWriteSequenceInClusteredMode(),org.junit.Test,6,6,8,DefaultIdSourceKeyMetadata forTable(String table; String keyColumnName; String valueColumnName)|IdSourceKey forTable(IdSourceKeyMetadata metadata; String segmentName)|Number nextValue(NextValueRequest request)|Object isEqualTo(Object expected)|ObjectAssert assertThat(Object actual),5,,0,,0,0,0,0,0,,0,0,,0,,0
