mainProjectName,projectName,filePath,typeName,methodName,methodShortSignature,methodVerboseSignature,methodAnnotations,numberOfFirstLevelStatements,numberOfStatements,numberOfMethodInvocations,distinctMethodInvocations,numberOfDistinctMethodInvocations,distinctMethodInvocationsInSameClass,numberOfDistinctMethodInvocationsInSameClass,distinctTestCaseMethodInvocationsInSameClass,numberOfDistinctTestCaseMethodInvocationsInSameClass,numberOfMethodInvocationsWithExceptions,numberOfExceptionsThrown,numberOfExceptionsThrownAndCaughtExact,numberOfExceptionsThrownAndCaughtPartial,exceptionsThrownInMethodInvocations,numberOfAssertions,numberOfAssertionsWithRecursion,distinctMethodsInSameClassThatCallThisOne,numberOfdistinctMethodsInSameClassThatCallThisOne,distinctTestCasesInSameClassThatCallThisOne,numberOfdistinctTestCasesInSameClassThatCallThisOne
hibernate-ogm,hibernate-ogm-infinispan-remote,/hibernate-ogm-infinispan-remote/src/test/java/org/hibernate/ogm/datastore/infinispanremote/test/configuration/CacheConfigurationValidationTest.java,org.hibernate.ogm.datastore.infinispanremote.test.configuration.CacheConfigurationValidationTest,testNoConfigurationDefined,()V,void testNoConfigurationDefined(),org.junit.Test,3,6,6,InfinispanRemoteDatastoreProvider getProvider(SessionFactory sessionFactory)|OgmSessionFactory getDefaultTestSessionFactory(Class<?>[] entityTypes)|String getConfiguration(String cacheName)|String getSimpleName()|void assertNull(String message; Object object)|void verifyCacheExistThenRemoveIt(String cacheName),6,void verifyCacheExistThenRemoveIt(String cacheName),1,,0,0,0,0,0,,1,2,,0,,0
hibernate-ogm,hibernate-ogm-infinispan-remote,/hibernate-ogm-infinispan-remote/src/test/java/org/hibernate/ogm/datastore/infinispanremote/test/configuration/CacheConfigurationValidationTest.java,org.hibernate.ogm.datastore.infinispanremote.test.configuration.CacheConfigurationValidationTest,testConfigurationDefinedByAnnotation,()V,void testConfigurationDefinedByAnnotation(),org.junit.Test,3,6,6,InfinispanRemoteDatastoreProvider getProvider(SessionFactory sessionFactory)|OgmSessionFactory getDefaultTestSessionFactory(Class<?>[] entityTypes)|String getConfiguration(String cacheName)|String getSimpleName()|void assertEquals(String message; Object expected; Object actual)|void verifyCacheExistThenRemoveIt(String cacheName),6,void verifyCacheExistThenRemoveIt(String cacheName),1,,0,0,0,0,0,,1,2,,0,,0
hibernate-ogm,hibernate-ogm-infinispan-remote,/hibernate-ogm-infinispan-remote/src/test/java/org/hibernate/ogm/datastore/infinispanremote/test/configuration/CacheConfigurationValidationTest.java,org.hibernate.ogm.datastore.infinispanremote.test.configuration.CacheConfigurationValidationTest,testConfigurationDefinedByProperty,()V,void testConfigurationDefinedByProperty(),org.junit.Test,3,6,7,InfinispanRemoteDatastoreProvider getProvider(SessionFactory sessionFactory)|Map singletonMap(Object key; Object value)|OgmSessionFactory getDefaultTestSessionFactory(Map<String;Object> settings; Class<?>[] entityTypes)|String getConfiguration(String cacheName)|String getSimpleName()|void assertEquals(String message; Object expected; Object actual)|void verifyCacheExistThenRemoveIt(String cacheName),7,void verifyCacheExistThenRemoveIt(String cacheName),1,,0,0,0,0,0,,1,2,,0,,0
hibernate-ogm,hibernate-ogm-infinispan-remote,/hibernate-ogm-infinispan-remote/src/test/java/org/hibernate/ogm/datastore/infinispanremote/test/configuration/CacheConfigurationValidationTest.java,org.hibernate.ogm.datastore.infinispanremote.test.configuration.CacheConfigurationValidationTest,testConfigurationDefinedByPropertyOverridesConfigurationDefinedByAnnotation,()V,void testConfigurationDefinedByPropertyOverridesConfigurationDefinedByAnnotation(),org.junit.Test,3,6,7,InfinispanRemoteDatastoreProvider getProvider(SessionFactory sessionFactory)|Map singletonMap(Object key; Object value)|OgmSessionFactory getDefaultTestSessionFactory(Map<String;Object> settings; Class<?>[] entityTypes)|String getConfiguration(String cacheName)|String getSimpleName()|void assertEquals(String message; Object expected; Object actual)|void verifyCacheExistThenRemoveIt(String cacheName),7,void verifyCacheExistThenRemoveIt(String cacheName),1,,0,0,0,0,0,,1,2,,0,,0
hibernate-ogm,hibernate-ogm-infinispan-remote,/hibernate-ogm-infinispan-remote/src/test/java/org/hibernate/ogm/datastore/infinispanremote/test/configuration/CacheConfigurationValidationTest.java,org.hibernate.ogm.datastore.infinispanremote.test.configuration.CacheConfigurationValidationTest,testConfigurationDefinedByAnnotationButDoesNotExist,()V,void testConfigurationDefinedByAnnotationButDoesNotExist(),org.junit.Test,4,4,4,AssertionError fail(String message)|OgmSessionFactory getDefaultTestSessionFactory(Class<?>[] entityTypes)|void expect(Class type)|void expectMessage(String substring),4,,0,,0,0,0,0,0,,0,0,,0,,0
hibernate-ogm,hibernate-ogm-infinispan-remote,/hibernate-ogm-infinispan-remote/src/test/java/org/hibernate/ogm/datastore/infinispanremote/test/configuration/CacheConfigurationValidationTest.java,org.hibernate.ogm.datastore.infinispanremote.test.configuration.CacheConfigurationValidationTest,testConfigurationDefinedByPropertyButDoesNotExist,()V,void testConfigurationDefinedByPropertyButDoesNotExist(),org.junit.Test,4,4,5,AssertionError fail(String message)|Map singletonMap(Object key; Object value)|OgmSessionFactory getDefaultTestSessionFactory(Map<String;Object> settings; Class<?>[] entityTypes)|void expect(Class type)|void expectMessage(String substring),5,,0,,0,0,0,0,0,,0,0,,0,,0
hibernate-ogm,hibernate-ogm-infinispan-remote,/hibernate-ogm-infinispan-remote/src/test/java/org/hibernate/ogm/datastore/infinispanremote/test/initialize/WrongConfigurationBootTest.java,org.hibernate.ogm.datastore.infinispanremote.test.initialize.WrongConfigurationBootTest,testHotrodConnectionEstablished,()V,void testHotrodConnectionEstablished(),org.junit.Test,1,1,1,void tryBoot(String configurationResourceName),1,void tryBoot(String configurationResourceName),1,,0,0,0,0,0,,0,0,,0,,0
hibernate-ogm,hibernate-ogm-infinispan-remote,/hibernate-ogm-infinispan-remote/src/test/java/org/hibernate/ogm/datastore/infinispanremote/test/initialize/WrongConfigurationBootTest.java,org.hibernate.ogm.datastore.infinispanremote.test.initialize.WrongConfigurationBootTest,testIllegalConfigurationReported,()V,void testIllegalConfigurationReported(),org.junit.Test,4,6,4,Throwable getCause()|void expect(Class type)|void expectMessage(String substring)|void tryBoot(String configurationResourceName),4,void tryBoot(String configurationResourceName),1,,0,0,0,0,0,,0,0,,0,,0
hibernate-ogm,hibernate-ogm-infinispan-remote,/hibernate-ogm-infinispan-remote/src/test/java/org/hibernate/ogm/datastore/infinispanremote/test/initialize/MinimalHotRodConfigTest.java,org.hibernate.ogm.datastore.infinispanremote.test.initialize.MinimalHotRodConfigTest,insertEntity,()V,void insertEntity(),org.junit.Test,1,1,2,void inTransaction(Consumer<Session> consumer)|void persist(Object object),2,,0,,0,0,0,0,0,,0,0,,0,,0
hibernate-ogm,hibernate-ogm-infinispan-remote,/hibernate-ogm-infinispan-remote/src/test/java/org/hibernate/ogm/datastore/infinispanremote/test/initialize/InfinispanRemotePerformanceTest.java,org.hibernate.ogm.datastore.infinispanremote.test.initialize.InfinispanRemotePerformanceTest,testNumberOfCallsToDatastore,()V,void testNumberOfCallsToDatastore(),org.junit.Test|org.jboss.byteman.contrib.bmunit.BMRules,20,39,52,IntAssert assertThat(int actual)|IntAssert isEqualTo(int expected)|List<DisneyGrandChild> getGrandChildren()|ListAssert assertThat(List actual)|ListAssert containsExactly(Object[] objects)|ListAssert onProperty(String propertyName)|Object get(Class entityType; Serializable id)|Object remove(int index)|OgmSession openSession()|String getId()|Transaction beginTransaction()|boolean add(Object e)|int getAndResetInvocationCount(String counter)|void clear()|void commit()|void delete(Object object)|void persist(Object object)|void setName(String name),18,,0,,0,0,0,0,0,,0,0,,0,,0
hibernate-ogm,hibernate-ogm-infinispan-remote,/hibernate-ogm-infinispan-remote/src/test/java/org/hibernate/ogm/datastore/infinispanremote/test/initialize/InfinispanRemoteConfigurationTest.java,org.hibernate.ogm.datastore.infinispanremote.test.initialize.InfinispanRemoteConfigurationTest,shouldThrowExceptionWhenForceReturnValuesIsFalse,()V,void shouldThrowExceptionWhenForceReturnValuesIsFalse(),org.junit.Test,1,1,1,void assertExceptionIsThrown(String property; String expectedValue; String actualValue),1,void assertExceptionIsThrown(String property; String expectedValue; String actualValue),1,,0,0,0,0,0,,0,0,,0,,0
hibernate-ogm,hibernate-ogm-infinispan-remote,/hibernate-ogm-infinispan-remote/src/test/java/org/hibernate/ogm/datastore/infinispanremote/test/initialize/InfinispanRemoteConfigurationTest.java,org.hibernate.ogm.datastore.infinispanremote.test.initialize.InfinispanRemoteConfigurationTest,shouldThrowExceptionWhenAnotherMarshallerIsUsed,()V,void shouldThrowExceptionWhenAnotherMarshallerIsUsed(),org.junit.Test,1,1,3,String getName()|void assertExceptionIsThrown(String property; String expectedValue; String actualValue),2,void assertExceptionIsThrown(String property; String expectedValue; String actualValue),1,,0,0,0,0,0,,0,0,,0,,0
hibernate-ogm,hibernate-ogm-infinispan-remote,/hibernate-ogm-infinispan-remote/src/test/java/org/hibernate/ogm/datastore/infinispanremote/test/initialize/InfinispanRemoteConfigurationTest.java,org.hibernate.ogm.datastore.infinispanremote.test.initialize.InfinispanRemoteConfigurationTest,shouldUseDefaultProtoNameIfNoneIsSet,()V,void shouldUseDefaultProtoNameIfNoneIsSet(),org.junit.Test|org.hibernate.ogm.utils.TestForIssue,5,5,7,InfinispanRemoteConfiguration extractConfiguration(Map<String;Object> settings)|Object isEqualTo(Object expected)|Object put(Object key; Object value)|String getSchemaFileName()|String name()|StringAssert assertThat(String actual),6,InfinispanRemoteConfiguration extractConfiguration(Map<String;Object> settings),1,,0,0,0,0,0,,0,0,,0,,0
hibernate-ogm,hibernate-ogm-infinispan-remote,/hibernate-ogm-infinispan-remote/src/test/java/org/hibernate/ogm/datastore/infinispanremote/test/initialize/InfinispanRemoteConfigurationTest.java,org.hibernate.ogm.datastore.infinispanremote.test.initialize.InfinispanRemoteConfigurationTest,shouldUseDefaultConfigurationResourceIfNoneIsSet,()V,void shouldUseDefaultConfigurationResourceIfNoneIsSet(),org.junit.Test|org.hibernate.ogm.utils.TestForIssue,5,5,9,ClassLoader getContextClassLoader()|InfinispanRemoteConfiguration extractConfiguration(Map<String;Object> settings)|Object isEqualTo(Object expected)|Object put(Object key; Object value)|ObjectAssert assertThat(Object actual)|String name()|Thread currentThread()|URL getConfigurationResourceUrl()|URL getResource(String name),9,InfinispanRemoteConfiguration extractConfiguration(Map<String;Object> settings),1,,0,0,0,0,0,,0,0,,0,,0
