mainProjectName,projectName,filePath,typeName,methodName,methodShortSignature,methodVerboseSignature,methodAnnotations,numberOfFirstLevelStatements,numberOfStatements,numberOfMethodInvocations,distinctMethodInvocations,numberOfDistinctMethodInvocations,distinctMethodInvocationsInSameClass,numberOfDistinctMethodInvocationsInSameClass,distinctTestCaseMethodInvocationsInSameClass,numberOfDistinctTestCaseMethodInvocationsInSameClass,numberOfMethodInvocationsWithExceptions,numberOfExceptionsThrown,numberOfExceptionsThrownAndCaughtExact,numberOfExceptionsThrownAndCaughtPartial,exceptionsThrownInMethodInvocations,numberOfAssertions,numberOfAssertionsWithRecursion,distinctMethodsInSameClassThatCallThisOne,numberOfdistinctMethodsInSameClassThatCallThisOne,distinctTestCasesInSameClassThatCallThisOne,numberOfdistinctTestCasesInSameClassThatCallThisOne
hibernate-ogm,hibernate-ogm-integrationtest,/hibernate-ogm-integrationtest/src/test/java/org/hibernate/ogm/test/integration/mongodb/MongoDBModuleMemberRegistrationScenario.java,org.hibernate.ogm.test.integration.mongodb.MongoDBModuleMemberRegistrationScenario,shouldFindPersistedMemberByIdWithNativeQuery,()V,void shouldFindPersistedMemberByIdWithNativeQuery(),org.junit.Test,7,7,9,Long getId()|Member findWithNativeQuery(String nativeQuery)|Member getNewMember()|String getName()|void assertEquals(String message; Object expected; Object actual)|void assertNotNull(String message; Object object)|void register()|void setName(String name),8,,0,,0,0,0,0,0,,2,2,,0,,0
hibernate-ogm,hibernate-ogm-integrationtest,/hibernate-ogm-integrationtest/src/test/java/org/hibernate/ogm/test/integration/mongodb/MongoDBModuleMemberRegistrationScenario.java,org.hibernate.ogm.test.integration.mongodb.MongoDBModuleMemberRegistrationScenario,shouldPersistAndFindEntityUsingObjectId,()V,void shouldPersistAndFindEntityUsingObjectId(),org.junit.Test,3,3,5,PhoneNumber createPhoneNumber(String name; String value)|PhoneNumber getPhoneNumber(String name)|String getValue()|void assertEquals(Object expected; Object actual),4,,0,,0,0,0,0,0,,1,1,,0,,0
hibernate-ogm,hibernate-ogm-integrationtest,/hibernate-ogm-integrationtest/src/test/java/org/hibernate/ogm/test/integration/mongodb/MongoDBModuleMemberRegistrationScenario.java,org.hibernate.ogm.test.integration.mongodb.MongoDBModuleMemberRegistrationScenario,shouldInvokeRegisteredErrorHandler,()V,void shouldInvokeRegisteredErrorHandler(),org.junit.Test,3,14,23,EntityKeyMetadata getEntityKeyMetadata()|Iterable<GridDialectOperation> getAppliedGridDialectOperations()|Iterator iterator()|List asList(Object[] a)|List<RollbackContext> getOnRollbackInvocations()|Object next()|OperationType getType()|String getTable()|T as(Class<T> type)|boolean hasNext()|void assertEquals(Object expected; Object actual)|void assertFalse(boolean condition)|void fail(String message)|void persistContacts(List<PhoneNumber> phoneNumbers; List<EmailAddress> emailAddresses),14,,0,,0,0,0,0,0,,6,6,,0,,0
hibernate-ogm,hibernate-ogm-integrationtest,/hibernate-ogm-integrationtest/src/test/java/org/hibernate/ogm/test/integration/neo4j/Neo4jModuleMemberRegistrationScenario.java,org.hibernate.ogm.test.integration.neo4j.Neo4jModuleMemberRegistrationScenario,shouldFindPersistedMemberByIdWithNativeQuery,()V,void shouldFindPersistedMemberByIdWithNativeQuery(),org.junit.Test,7,7,9,Long getId()|Member findWithNativeQuery(String nativeQuery)|Member getNewMember()|String getName()|void assertEquals(String message; Object expected; Object actual)|void assertNotNull(String message; Object object)|void register()|void setName(String name),8,,0,,0,0,0,0,0,,2,2,,0,,0
hibernate-ogm,hibernate-ogm-integrationtest,/hibernate-ogm-integrationtest/src/test/java/org/hibernate/ogm/test/integration/neo4j/remote/http/HttpNeo4jResourceLocalModuleMemberRegistrationIT.java,org.hibernate.ogm.test.integration.neo4j.remote.http.HttpNeo4jResourceLocalModuleMemberRegistrationIT,shouldFindPersistedMemberByIdWithNativeQuery,()V,void shouldFindPersistedMemberByIdWithNativeQuery(),org.junit.Test,7,7,9,Long getId()|Member findWithNativeQuery(String nativeQuery)|Member getNewMember()|String getName()|void assertEquals(String message; Object expected; Object actual)|void assertNotNull(String message; Object object)|void register()|void setName(String name),8,,0,,0,0,0,0,0,,2,2,,0,,0
hibernate-ogm,hibernate-ogm-integrationtest,/hibernate-ogm-integrationtest/src/test/java/org/hibernate/ogm/test/integration/testcase/ModuleMemberRegistrationScenario.java,org.hibernate.ogm.test.integration.testcase.ModuleMemberRegistrationScenario,shouldGenerateAnId,()V,void shouldGenerateAnId(),org.junit.Test,4,4,5,Long getId()|Member getNewMember()|void assertNotNull(Object object)|void register()|void setName(String name),5,,0,,0,0,0,0,0,,1,1,,0,,0
hibernate-ogm,hibernate-ogm-integrationtest,/hibernate-ogm-integrationtest/src/test/java/org/hibernate/ogm/test/integration/testcase/ModuleMemberRegistrationScenario.java,org.hibernate.ogm.test.integration.testcase.ModuleMemberRegistrationScenario,shouldFindPersistedMemberById,()V,void shouldFindPersistedMemberById(),org.junit.Test,11,11,23,Date getRegistrationDate()|Iterator iterator()|List<Address> getAddresses()|Long getId()|Member find(Long id)|Member getNewMember()|Object next()|String getName()|String getStreet()|boolean add(Object e)|int size()|void assertEquals(String message; Object expected; Object actual)|void assertEquals(String message; long expected; long actual)|void assertNotNull(String message; Object object)|void register()|void setName(String name)|void setRegistrationDate(Date registrationDate),17,,0,,0,0,0,0,0,,5,5,,0,,0
hibernate-ogm,hibernate-ogm-integrationtest,/hibernate-ogm-integrationtest/src/test/java/org/hibernate/ogm/test/integration/testcase/ModuleMemberRegistrationScenario.java,org.hibernate.ogm.test.integration.testcase.ModuleMemberRegistrationScenario,shouldFindPersistedMemberByIdWithQuery,()V,void shouldFindPersistedMemberByIdWithQuery(),org.junit.Test,9,9,19,Iterator iterator()|List<Address> getAddresses()|Long getId()|Member findWithQuery(Long id)|Member getNewMember()|Object next()|String getName()|String getStreet()|boolean add(Object e)|int size()|void assertEquals(String message; Object expected; Object actual)|void assertEquals(String message; long expected; long actual)|void assertNotNull(String message; Object object)|void register()|void setName(String name),15,,0,,0,0,0,0,0,,4,4,,0,,0
hibernate-ogm,hibernate-ogm-integrationtest,/hibernate-ogm-integrationtest/src/test/java/org/hibernate/ogm/test/integration/testcase/ModuleMemberRegistrationScenario.java,org.hibernate.ogm.test.integration.testcase.ModuleMemberRegistrationScenario,shouldBeAbleToFindMemberByEmail,()V,void shouldBeAbleToFindMemberByEmail(),org.junit.Test,10,10,19,Iterator iterator()|List<Address> getAddresses()|Member findWithEmail(String string)|Member getNewMember()|Object next()|String getName()|String getStreet()|boolean add(Object e)|int size()|void assertEquals(String message; Object expected; Object actual)|void assertEquals(String message; long expected; long actual)|void assertNotNull(String message; Object object)|void register()|void setEmail(String email)|void setName(String name),15,,0,,0,0,0,0,0,,4,4,,0,,0
hibernate-ogm,hibernate-ogm-integrationtest,/hibernate-ogm-integrationtest/src/test/java/org/hibernate/ogm/test/integration/testcase/ModuleMemberRegistrationScenario.java,org.hibernate.ogm.test.integration.testcase.ModuleMemberRegistrationScenario,shouldReturnNullWhenIdDoesNotExist,()V,void shouldReturnNullWhenIdDoesNotExist(),org.junit.Test,2,2,2,Member find(Long id)|void assertNull(String message; Object object),2,,0,,0,0,0,0,0,,1,1,,0,,0
