mainProjectName,projectName,filePath,typeName,methodName,methodShortSignature,methodVerboseSignature,methodAnnotations,numberOfFirstLevelStatements,numberOfStatements,numberOfMethodInvocations,distinctMethodInvocations,numberOfDistinctMethodInvocations,distinctMethodInvocationsInSameClass,numberOfDistinctMethodInvocationsInSameClass,distinctTestCaseMethodInvocationsInSameClass,numberOfDistinctTestCaseMethodInvocationsInSameClass,numberOfMethodInvocationsWithExceptions,numberOfExceptionsThrown,numberOfExceptionsThrownAndCaughtExact,numberOfExceptionsThrownAndCaughtPartial,exceptionsThrownInMethodInvocations,numberOfAssertions,numberOfAssertionsWithRecursion,distinctMethodsInSameClassThatCallThisOne,numberOfdistinctMethodsInSameClassThatCallThisOne,distinctTestCasesInSameClassThatCallThisOne,numberOfdistinctTestCasesInSameClassThatCallThisOne
hibernate-ogm,hibernate-ogm-mongodb,/hibernate-ogm-mongodb/src/test/java/org/hibernate/ogm/datastore/mongodb/configuration/impl/MongoDBConfigurationTest.java,org.hibernate.ogm.datastore.mongodb.configuration.impl.MongoDBConfigurationTest,testDefaultWriteConcernGetsApplied,()V,void testDefaultWriteConcernGetsApplied(),org.junit.Test,2,2,3,MongoClientOptions createMongoClientOptions()|WriteConcern getWriteConcern()|void assertEquals(String message; Object expected; Object actual),3,MongoClientOptions createMongoClientOptions(),1,,0,0,0,0,0,,1,3,,0,,0
hibernate-ogm,hibernate-ogm-mongodb,/hibernate-ogm-mongodb/src/test/java/org/hibernate/ogm/datastore/mongodb/configuration/impl/MongoDBConfigurationTest.java,org.hibernate.ogm.datastore.mongodb.configuration.impl.MongoDBConfigurationTest,testDefaultReadConcernGetsApplied,()V,void testDefaultReadConcernGetsApplied(),org.junit.Test,2,2,3,MongoClientOptions createMongoClientOptions()|ReadConcern getReadConcern()|void assertEquals(String message; Object expected; Object actual),3,MongoClientOptions createMongoClientOptions(),1,,0,0,0,0,0,,1,3,,0,,0
hibernate-ogm,hibernate-ogm-mongodb,/hibernate-ogm-mongodb/src/test/java/org/hibernate/ogm/datastore/mongodb/configuration/impl/MongoDBConfigurationTest.java,org.hibernate.ogm.datastore.mongodb.configuration.impl.MongoDBConfigurationTest,testDefaultServerSelectionTimeoutIsApplied,()V,void testDefaultServerSelectionTimeoutIsApplied(),org.junit.Test,2,2,6,MongoClientOptions build()|MongoClientOptions createMongoClientOptions()|MongoClientOptions.Builder builder()|int getServerSelectionTimeout()|void assertEquals(String message; long expected; long actual),5,MongoClientOptions createMongoClientOptions(),1,,0,0,0,0,0,,1,3,,0,,0
hibernate-ogm,hibernate-ogm-mongodb,/hibernate-ogm-mongodb/src/test/java/org/hibernate/ogm/datastore/mongodb/configuration/impl/MongoDBConfigurationTest.java,org.hibernate.ogm.datastore.mongodb.configuration.impl.MongoDBConfigurationTest,testCustomServerSelectionTimeoutIsApplied,()V,void testCustomServerSelectionTimeoutIsApplied(),org.junit.Test,4,4,5,MongoClientOptions createMongoClientOptions()|Object put(Object key; Object value)|String valueOf(int i)|int getServerSelectionTimeout()|void assertEquals(String message; long expected; long actual),5,MongoClientOptions createMongoClientOptions(),1,,0,0,0,0,0,,1,3,,0,,0
hibernate-ogm,hibernate-ogm-mongodb,/hibernate-ogm-mongodb/src/test/java/org/hibernate/ogm/datastore/mongodb/test/BatchInsertTest.java,org.hibernate.ogm.datastore.mongodb.test.BatchInsertTest,testImplicitFlushWithInserts,()V,void testImplicitFlushWithInserts(),org.junit.Test,7,8,9,Helicopter helicopter(String name)|IntAssert assertThat(int actual)|IntAssert isEqualTo(int expected)|OgmSession openSession()|Transaction beginTransaction()|Transaction getTransaction()|void close()|void commit()|void persist(Object object),9,Helicopter helicopter(String name),1,,0,0,0,0,0,,0,0,,0,,0
hibernate-ogm,hibernate-ogm-mongodb,/hibernate-ogm-mongodb/src/test/java/org/hibernate/ogm/datastore/mongodb/test/BatchInsertTest.java,org.hibernate.ogm.datastore.mongodb.test.BatchInsertTest,testImplicitFlushWithUpdates,()V,void testImplicitFlushWithUpdates(),org.junit.Test,10,11,12,Helicopter helicopter(String name)|IntAssert assertThat(int actual)|IntAssert isEqualTo(int expected)|OgmSession openSession()|Transaction beginTransaction()|Transaction getTransaction()|void close()|void commit()|void persist(Object object)|void setName(String name),10,Helicopter helicopter(String name),1,,0,0,0,0,0,,0,0,,0,,0
hibernate-ogm,hibernate-ogm-mongodb,/hibernate-ogm-mongodb/src/test/java/org/hibernate/ogm/datastore/mongodb/test/BatchInsertTest.java,org.hibernate.ogm.datastore.mongodb.test.BatchInsertTest,testImplicitFlushWithDeletes,()V,void testImplicitFlushWithDeletes(),org.junit.Test,14,16,17,Helicopter helicopter(String name)|IntAssert assertThat(int actual)|IntAssert isEqualTo(int expected)|List list()|OgmSession openSession()|Query createQuery(String queryString)|Transaction beginTransaction()|Transaction getTransaction()|void close()|void commit()|void delete(Object object)|void persist(Object object),12,Helicopter helicopter(String name),1,,0,0,0,0,0,,0,0,,0,,0
hibernate-ogm,hibernate-ogm-mongodb,/hibernate-ogm-mongodb/src/test/java/org/hibernate/ogm/datastore/mongodb/test/BatchInsertTest.java,org.hibernate.ogm.datastore.mongodb.test.BatchInsertTest,testImplicitFlushWithInsertsAndDelete,()V,void testImplicitFlushWithInsertsAndDelete(),org.junit.Test,9,13,11,Helicopter helicopter(String name)|IntAssert assertThat(int actual)|IntAssert isEqualTo(int expected)|OgmSession openSession()|Transaction beginTransaction()|Transaction getTransaction()|boolean add(Object e)|void close()|void commit()|void delete(Object object)|void persist(Object object),11,Helicopter helicopter(String name),1,,0,0,0,0,0,,0,0,,0,,0
hibernate-ogm,hibernate-ogm-mongodb,/hibernate-ogm-mongodb/src/test/java/org/hibernate/ogm/datastore/mongodb/test/associations/OneToOneCollectionMappingTest.java,org.hibernate.ogm.datastore.mongodb.test.associations.OneToOneCollectionMappingTest,testAssociationStorageSettingIsIgnoredForBidirectionalManyToOneMapping,()V,void testAssociationStorageSettingIsIgnoredForBidirectionalManyToOneMapping(),org.junit.Test,21,21,23,Object get(Class entityType; Serializable id)|OgmSession openSession()|OgmSessionFactory getSessionFactory()|String getId()|Transaction beginTransaction()|void assertDocument(OgmSessionFactory sessionFactory; String collection; String queryDocument; String expectedDocument)|void clear()|void close()|void commit()|void delete(Object object)|void persist(Object object)|void setHusband(Husband husband)|void setName(String name)|void setWife(Wife wife),14,,0,,0,0,0,0,0,,0,0,,0,,0
hibernate-ogm,hibernate-ogm-mongodb,/hibernate-ogm-mongodb/src/test/java/org/hibernate/ogm/datastore/mongodb/test/associations/AssociationCompositeKeyMongoDBFormatTest.java,org.hibernate.ogm.datastore.mongodb.test.associations.AssociationCompositeKeyMongoDBFormatTest,testDefaultBiDirManyToOneCompositeKeyTest,()V,void testDefaultBiDirManyToOneCompositeKeyTest(),org.junit.Test,36,37,46,CollectionAssert assertThat(Collection actual)|CourtId getId()|GameId getId()|Object get(Class entityType; Serializable id)|Object hasSize(int expected)|OgmSession openSession()|OgmSessionFactory getSessionFactory()|Set<Game> getGames()|Transaction beginTransaction()|boolean add(Object e)|void assertDocument(OgmSessionFactory sessionFactory; String collection; String queryDocument; String expectedDocument)|void clear()|void close()|void commit()|void delete(Object object)|void flush()|void persist(Object object)|void setCategory(String category)|void setCountryCode(String countryCode)|void setId(CourtId id)|void setId(GameId id)|void setName(String name)|void setPlayedOn(Court playedOn)|void setSequenceNo(int sequenceNo),24,,0,,0,0,0,0,0,,0,0,,0,,0
hibernate-ogm,hibernate-ogm-mongodb,/hibernate-ogm-mongodb/src/test/java/org/hibernate/ogm/datastore/mongodb/test/associations/AssociationCompositeKeyMongoDBFormatTest.java,org.hibernate.ogm.datastore.mongodb.test.associations.AssociationCompositeKeyMongoDBFormatTest,testOrderedListAndCompositeId,()V,void testOrderedListAndCompositeId(),org.junit.Test,27,27,39,List<Runner> getRunnersByArrival()|ListAssert assertThat(List actual)|Object get(Class entityType; Serializable id)|Object get(int index)|Object hasSize(int expected)|Object isEqualTo(Object expected)|OgmSession openSession()|OgmSessionFactory getSessionFactory()|RaceId getRaceId()|RunnerId getRunnerId()|String getFirstname()|StringAssert assertThat(String actual)|Transaction beginTransaction()|boolean add(Object e)|void assertDocument(OgmSessionFactory sessionFactory; String collection; String queryDocument; String expectedDocument)|void clear()|void close()|void commit()|void delete(Object object)|void persist(Object object)|void setAge(int age)|void setRaceId(RaceId raceId)|void setRunnerId(RunnerId runnerId),23,,0,,0,0,0,0,0,,0,0,,0,,0
