mainProjectName,projectName,filePath,typeName,methodName,methodShortSignature,methodVerboseSignature,methodAnnotations,numberOfFirstLevelStatements,numberOfStatements,numberOfMethodInvocations,distinctMethodInvocations,numberOfDistinctMethodInvocations,distinctMethodInvocationsInSameClass,numberOfDistinctMethodInvocationsInSameClass,distinctTestCaseMethodInvocationsInSameClass,numberOfDistinctTestCaseMethodInvocationsInSameClass,numberOfMethodInvocationsWithExceptions,numberOfExceptionsThrown,numberOfExceptionsThrownAndCaughtExact,numberOfExceptionsThrownAndCaughtPartial,exceptionsThrownInMethodInvocations,numberOfAssertions,numberOfAssertionsWithRecursion,distinctMethodsInSameClassThatCallThisOne,numberOfdistinctMethodsInSameClassThatCallThisOne,distinctTestCasesInSameClassThatCallThisOne,numberOfdistinctTestCasesInSameClassThatCallThisOne
hibernate-ogm,hibernate-ogm-neo4j,/hibernate-ogm-neo4j/src/test/java/org/hibernate/ogm/datastore/neo4j/test/EmbeddedGraphDatabaseFactoryTest.java,org.hibernate.ogm.datastore.neo4j.test.EmbeddedGraphDatabaseFactoryTest,testLoadPropertiesFromUrl,()V,void testLoadPropertiesFromUrl(),org.junit.Test,6,6,7,GraphDatabaseService create()|Object put(Object key; Object value)|String toExternalForm()|URL neo4jPropertiesUrl()|void initialize(Map<?;?> properties)|void shutdown(),6,URL neo4jPropertiesUrl(),1,,0,0,0,0,0,,0,0,,0,,0
hibernate-ogm,hibernate-ogm-neo4j,/hibernate-ogm-neo4j/src/test/java/org/hibernate/ogm/datastore/neo4j/test/EmbeddedGraphDatabaseFactoryTest.java,org.hibernate.ogm.datastore.neo4j.test.EmbeddedGraphDatabaseFactoryTest,testLoadPropertiesFromFilePath,()V,void testLoadPropertiesFromFilePath(),org.junit.Test,6,6,7,GraphDatabaseService create()|Object put(Object key; Object value)|String getFile()|URL neo4jPropertiesUrl()|void initialize(Map<?;?> properties)|void shutdown(),6,URL neo4jPropertiesUrl(),1,,0,0,0,0,0,,0,0,,0,,0
hibernate-ogm,hibernate-ogm-neo4j,/hibernate-ogm-neo4j/src/test/java/org/hibernate/ogm/datastore/neo4j/test/EmbeddedGraphDatabaseFactoryTest.java,org.hibernate.ogm.datastore.neo4j.test.EmbeddedGraphDatabaseFactoryTest,testLoadMalformedPropertiesLocation,()V,void testLoadMalformedPropertiesLocation(),org.junit.Test,6,6,5,GraphDatabaseService create()|Object put(Object key; Object value)|void initialize(Map<?;?> properties)|void shutdown(),4,,0,,0,0,0,0,0,,0,0,,0,,0
hibernate-ogm,hibernate-ogm-neo4j,/hibernate-ogm-neo4j/src/test/java/org/hibernate/ogm/datastore/neo4j/test/Neo4jGraphDatabaseServiceLoaderTest.java,org.hibernate.ogm.datastore.neo4j.test.Neo4jGraphDatabaseServiceLoaderTest,testEmbeddedIsTheDefaultGraphDatabaseService,()V,void testEmbeddedIsTheDefaultGraphDatabaseService(),org.junit.Test,6,6,8,Class getClass()|GraphDatabaseService create()|GraphDatabaseServiceFactory load(Map<?;?> properties; ClassLoaderService classLoaderService)|Object isEqualTo(Object expected)|Object put(Object key; Object value)|ObjectAssert assertThat(Object actual)|String dbLocation()|void shutdown(),8,,0,,0,0,0,0,0,,0,0,,0,,0
hibernate-ogm,hibernate-ogm-neo4j,/hibernate-ogm-neo4j/src/test/java/org/hibernate/ogm/datastore/neo4j/test/Neo4jGraphDatabaseServiceLoaderTest.java,org.hibernate.ogm.datastore.neo4j.test.Neo4jGraphDatabaseServiceLoaderTest,testSelectedGraphDatabaseServiceIsLoaded,()V,void testSelectedGraphDatabaseServiceIsLoaded(),org.junit.Test,7,7,10,Class getClass()|GraphDatabaseService create()|GraphDatabaseServiceFactory load(Map<?;?> properties; ClassLoaderService classLoaderService)|Object isEqualTo(Object expected)|Object put(Object key; Object value)|ObjectAssert assertThat(Object actual)|String dbLocation()|String getName()|void shutdown(),9,,0,,0,0,0,0,0,,0,0,,0,,0
hibernate-ogm,hibernate-ogm-neo4j,/hibernate-ogm-neo4j/src/test/java/org/hibernate/ogm/datastore/neo4j/test/Neo4jGraphDatabaseServiceLoaderTest.java,org.hibernate.ogm.datastore.neo4j.test.Neo4jGraphDatabaseServiceLoaderTest,testPropertiesArePassed,()V,void testPropertiesArePassed(),org.junit.Test,7,7,9,GraphDatabaseService create()|GraphDatabaseServiceFactory load(Map<?;?> properties; ClassLoaderService classLoaderService)|Object put(Object key; Object value)|String dbLocation()|String getName()|boolean isConfigurationReadable()|void assertTrue(String message; boolean condition)|void shutdown(),8,,0,,0,0,0,0,0,,1,1,,0,,0
hibernate-ogm,hibernate-ogm-neo4j,/hibernate-ogm-neo4j/src/test/java/org/hibernate/ogm/datastore/neo4j/test/embedded/dialect/EmbeddedNeo4jBackendQueryResultIteratorTest.java,org.hibernate.ogm.datastore.neo4j.test.embedded.dialect.EmbeddedNeo4jBackendQueryResultIteratorTest,shouldCreateTupleWithCorrectOrderOfColumns,()V,void shouldCreateTupleWithCorrectOrderOfColumns(),org.junit.Test,9,11,18,CollectionAssert assertThat(Collection actual)|List asList(Object[] a)|List columns()|Map next()|Object get(int index)|Object isEqualTo(Object expected)|Object mock(Class classToMock)|Object put(Object key; Object value)|OngoingStubbing thenReturn(Object value)|OngoingStubbing when(Object methodCall)|Set<String> getColumnNames()|Tuple next(),12,,0,,0,0,0,0,0,,0,0,,0,,0
hibernate-ogm,hibernate-ogm-neo4j,/hibernate-ogm-neo4j/src/test/java/org/hibernate/ogm/datastore/neo4j/test/index/CypherQueriesCreationForIndexesTest.java,org.hibernate.ogm.datastore.neo4j.test.index.CypherQueriesCreationForIndexesTest,asCypherQueryForSingleProperty,()V,void asCypherQueryForSingleProperty(),org.junit.Test,2,2,5,Label label(String name)|List singletonList(Object o)|Object isEqualTo(Object expected)|String asCypherCreateQuery()|StringAssert assertThat(String actual),5,,0,,0,0,0,0,0,,0,0,,0,,0
hibernate-ogm,hibernate-ogm-neo4j,/hibernate-ogm-neo4j/src/test/java/org/hibernate/ogm/datastore/neo4j/test/index/CypherQueriesCreationForIndexesTest.java,org.hibernate.ogm.datastore.neo4j.test.index.CypherQueriesCreationForIndexesTest,asCypherQueryForSinglePropertyWithSpecialChars,()V,void asCypherQueryForSinglePropertyWithSpecialChars(),org.junit.Test,2,2,5,Label label(String name)|List singletonList(Object o)|Object isEqualTo(Object expected)|String asCypherCreateQuery()|StringAssert assertThat(String actual),5,,0,,0,0,0,0,0,,0,0,,0,,0
hibernate-ogm,hibernate-ogm-neo4j,/hibernate-ogm-neo4j/src/test/java/org/hibernate/ogm/datastore/neo4j/test/index/CypherQueriesCreationForIndexesTest.java,org.hibernate.ogm.datastore.neo4j.test.index.CypherQueriesCreationForIndexesTest,asCypherQueryForMultipleProperties,()V,void asCypherQueryForMultipleProperties(),org.junit.Test,2,2,5,Label label(String name)|List asList(Object[] a)|Object isEqualTo(Object expected)|String asCypherCreateQuery()|StringAssert assertThat(String actual),5,,0,,0,0,0,0,0,,0,0,,0,,0
