mainProjectName,projectName,filePath,typeName,methodName,methodShortSignature,methodVerboseSignature,methodAnnotations,numberOfFirstLevelStatements,numberOfStatements,numberOfMethodInvocations,distinctMethodInvocations,numberOfDistinctMethodInvocations,distinctMethodInvocationsInSameClass,numberOfDistinctMethodInvocationsInSameClass,distinctTestCaseMethodInvocationsInSameClass,numberOfDistinctTestCaseMethodInvocationsInSameClass,numberOfMethodInvocationsWithExceptions,numberOfExceptionsThrown,numberOfExceptionsThrownAndCaughtExact,numberOfExceptionsThrownAndCaughtPartial,exceptionsThrownInMethodInvocations,numberOfAssertions,numberOfAssertionsWithRecursion,distinctMethodsInSameClassThatCallThisOne,numberOfdistinctMethodsInSameClassThatCallThisOne,distinctTestCasesInSameClassThatCallThisOne,numberOfdistinctTestCasesInSameClassThatCallThisOne
hibernate-search,hibernate-search-backend-jgroups,/hibernate-search-backend-jgroups/src/test/java/org/hibernate/search/backend/jgroups/impl/JGroupsBackendQueueProcessorTest.java,org.hibernate.search.backend.jgroups.impl.JGroupsBackendQueueProcessorTest,testCheckingForNullWork,()V,void testCheckingForNullWork(),org.junit.Test,1,4,2,Object createNiceMock(Class toMock)|void applyWork(List<LuceneWork> workList; IndexingMonitor monitor),2,,0,,0,0,0,0,0,,0,0,,0,,0
hibernate-search,hibernate-search-backend-jgroups,/hibernate-search-backend-jgroups/src/test/java/org/hibernate/search/backend/jgroups/impl/JGroupsConfigurationTest.java,org.hibernate.search.backend.jgroups.impl.JGroupsConfigurationTest,refuseConfigurationFileOnDefaultIndex,()V,void refuseConfigurationFileOnDefaultIndex(),org.junit.Test,4,4,5,SearchConfigurationForTest addProperty(String key; String value)|void expect(Class type)|void expectMessage(String substring)|void init(SearchConfigurationForTest cfg),4,void init(SearchConfigurationForTest cfg),1,,0,1,1,0,0,java.lang.Throwable,0,0,,0,,0
hibernate-search,hibernate-search-backend-jgroups,/hibernate-search-backend-jgroups/src/test/java/org/hibernate/search/backend/jgroups/impl/JGroupsConfigurationTest.java,org.hibernate.search.backend.jgroups.impl.JGroupsConfigurationTest,refuseConfigurationFileOnSpecificIndex,()V,void refuseConfigurationFileOnSpecificIndex(),org.junit.Test,4,4,5,SearchConfigurationForTest addProperty(String key; String value)|void expect(Class type)|void expectMessage(String substring)|void init(SearchConfigurationForTest cfg),4,void init(SearchConfigurationForTest cfg),1,,0,1,1,0,0,java.lang.Throwable,0,0,,0,,0
hibernate-search,hibernate-search-backend-jgroups,/hibernate-search-backend-jgroups/src/test/java/org/hibernate/search/backend/jgroups/impl/JGroupsConfigurationTest.java,org.hibernate.search.backend.jgroups.impl.JGroupsConfigurationTest,acceptConfigurationFile,()V,void acceptConfigurationFile(),org.junit.Test,4,4,5,SearchConfigurationForTest addProperty(String key; String value)|void expect(Class type)|void expectMessage(String substring)|void init(SearchConfigurationForTest cfg),4,void init(SearchConfigurationForTest cfg),1,,0,1,1,0,0,java.lang.Throwable,0,0,,0,,0
hibernate-search,hibernate-search-backend-jgroups,/hibernate-search-backend-jgroups/src/test/java/org/hibernate/search/backend/jgroups/impl/SyncJGroupsBackendTest.java,org.hibernate.search.backend.jgroups.impl.SyncJGroupsBackendTest,testSynchAsConfigured,()V,void testSynchAsConfigured(),org.junit.Test,12,19,23,JGroupsBackendQueueProcessor extractJGroupsBackend(String indexName)|JGroupsReceivingMockBackendQueueProcessor extractMockBackend(String indexName)|boolean blocksForACK()|boolean wasSomethingReceived()|int releaseBlockedThreads()|long convert(long sourceDuration; TimeUnit sourceUnit)|long nanoTime()|void assertFalse(String message; boolean condition)|void assertTrue(String message; boolean condition)|void println(String x)|void resetThreadTrap()|void storeDvd(int id; String dvdTitle),12,JGroupsBackendQueueProcessor extractJGroupsBackend(String indexName)|JGroupsReceivingMockBackendQueueProcessor extractMockBackend(String indexName)|void storeDvd(int id; String dvdTitle),3,,0,0,0,0,0,,5,10,,0,,0
hibernate-search,hibernate-search-backend-jgroups,/hibernate-search-backend-jgroups/src/test/java/org/hibernate/search/backend/jgroups/impl/SyncJGroupsBackendTest.java,org.hibernate.search.backend.jgroups.impl.SyncJGroupsBackendTest,alternativeBackendConfiguration,()V,void alternativeBackendConfiguration(),org.junit.Test,4,4,4,BackendQueueProcessor extractBackendQueue(SearchFactoryHolder node; String indexName)|BackendQueueProcessor getExistingDelegate()|JGroupsBackendQueueProcessor getDelegate()|void assertTrue(String message; boolean condition),4,BackendQueueProcessor extractBackendQueue(SearchFactoryHolder node; String indexName),1,,0,0,0,0,0,,1,1,,0,,0
hibernate-search,hibernate-search-backend-jgroups,/hibernate-search-backend-jgroups/src/test/java/org/hibernate/search/backend/jgroups/impl/SyncJGroupsBackendTest.java,org.hibernate.search.backend.jgroups.impl.SyncJGroupsBackendTest,alternativeJGroupsTimeoutConfiguration,()V,void alternativeJGroupsTimeoutConfiguration(),org.junit.Test,4,4,3,BackendQueueProcessor extractBackendQueue(SearchFactoryHolder node; String indexName)|long getMessageTimeout()|void assertEquals(String message; long expected; long actual),3,BackendQueueProcessor extractBackendQueue(SearchFactoryHolder node; String indexName),1,,0,0,0,0,0,,1,1,,0,,0
hibernate-search,hibernate-search-backend-jgroups,/hibernate-search-backend-jgroups/src/test/java/org/hibernate/search/backend/jgroups/impl/AutoNodeSelectorTest.java,org.hibernate.search.backend.jgroups.impl.AutoNodeSelectorTest,testIndexNameUsed,()V,void testIndexNameUsed(),org.junit.Test,3,3,6,int hashCode()|void assertTrue(boolean condition),2,,0,,0,0,0,0,0,,3,3,,0,,0
hibernate-search,hibernate-search-backend-jgroups,/hibernate-search-backend-jgroups/src/test/java/org/hibernate/search/backend/jgroups/impl/AutoNodeSelectorTest.java,org.hibernate.search.backend.jgroups.impl.AutoNodeSelectorTest,testNegativeHashCodeIndex,()V,void testNegativeHashCodeIndex(),org.junit.Test,1,1,1,void performTest(String index),1,void performTest(String index),1,,0,0,0,0,0,,0,1,,0,,0
hibernate-search,hibernate-search-backend-jgroups,/hibernate-search-backend-jgroups/src/test/java/org/hibernate/search/backend/jgroups/impl/AutoNodeSelectorTest.java,org.hibernate.search.backend.jgroups.impl.AutoNodeSelectorTest,testPositiveHashCodeIndex,()V,void testPositiveHashCodeIndex(),org.junit.Test,1,1,1,void performTest(String index),1,void performTest(String index),1,,0,0,0,0,0,,0,1,,0,,0
