mainProjectName,projectName,filePath,typeName,methodName,methodShortSignature,methodVerboseSignature,methodAnnotations,numberOfFirstLevelStatements,numberOfStatements,numberOfMethodInvocations,distinctMethodInvocations,numberOfDistinctMethodInvocations,distinctMethodInvocationsInSameClass,numberOfDistinctMethodInvocationsInSameClass,distinctTestCaseMethodInvocationsInSameClass,numberOfDistinctTestCaseMethodInvocationsInSameClass,numberOfMethodInvocationsWithExceptions,numberOfExceptionsThrown,numberOfExceptionsThrownAndCaughtExact,numberOfExceptionsThrownAndCaughtPartial,exceptionsThrownInMethodInvocations,numberOfAssertions,numberOfAssertionsWithRecursion,distinctMethodsInSameClassThatCallThisOne,numberOfdistinctMethodsInSameClassThatCallThisOne,distinctTestCasesInSameClassThatCallThisOne,numberOfdistinctTestCasesInSameClassThatCallThisOne
hibernate-search,hibernate-search-backend-lucene,/hibernate-search-backend-lucene/src/test/java/org/hibernate/search/backend/lucene/orchestration/impl/LuceneWriteWorkProcessorTest.java,org.hibernate.search.backend.lucene.orchestration.impl.LuceneWriteWorkProcessorTest,simple,()V,void simple(),org.junit.Test,30,30,30,CompletableFuture<?> endBatch()|void beginBatch()|void commit()|void replayAll()|void resetAll()|void testSuccessfulWorkSet(int workCount; DocumentCommitStrategy commitStrategy; DocumentRefreshStrategy refreshStrategy; boolean expectCommit)|void verifyAll(),7,void testSuccessfulWorkSet(int workCount; DocumentCommitStrategy commitStrategy; DocumentRefreshStrategy refreshStrategy; boolean expectCommit),1,,0,14,14,0,0,java.io.IOException,0,0,,0,,0
hibernate-search,hibernate-search-backend-lucene,/hibernate-search-backend-lucene/src/test/java/org/hibernate/search/backend/lucene/orchestration/impl/LuceneWriteWorkProcessorTest.java,org.hibernate.search.backend.lucene.orchestration.impl.LuceneWriteWorkProcessorTest,error_workExecute_commitNone,()V,void error_workExecute_commitNone(),org.junit.Test,29,29,46,AbstractAssert isEqualTo(Object expected)|AbstractAssert isSameAs(Object expected)|AbstractStringAssert assertThat(String actual)|AbstractStringAssert isEqualTo(String expected)|AbstractThrowableAssert assertThat(Throwable actual)|AbstractThrowableAssert<?;Throwable> assertThrown()|Capture newInstance()|CompletableFuture<?> endBatch()|ExceptionThrowingSubTest expectException(Callable<?> callable)|IExpectationSetters andThrow(Throwable throwable)|IExpectationSetters expect(Object value)|List<Object> getUncommittedOperations()|ListAssert assertThat(List actual)|ListAssert containsExactly(Object[] values)|LuceneWriteWork<T> createWorkMock()|Object anyObject()|Object capture(Capture captured)|Object getFailingOperation()|Object getValue()|ObjectAssert assertThat(Object assertion)|String getIndexName()|String workInfo(int index)|T execute(LuceneWriteWorkExecutionContext context)|T submit(LuceneWriteWork<T> work)|Throwable getThrowable()|void beginBatch()|void commit()|void expectWorkGetInfo(int[] ids)|void forceLockRelease()|void handle(IndexFailureContext context)|void replayAll()|void resetAll()|void testSuccessfulWorkSet(int workCount; DocumentCommitStrategy commitStrategy; DocumentRefreshStrategy refreshStrategy; boolean expectCommit)|void testWorkSetBeginning(int workCount; DocumentCommitStrategy commitStrategy; DocumentRefreshStrategy refreshStrategy)|void verifyAll(),35,LuceneWriteWork<T> createWorkMock()|String workInfo(int index)|void expectWorkGetInfo(int[] ids)|void testSuccessfulWorkSet(int workCount; DocumentCommitStrategy commitStrategy; DocumentRefreshStrategy refreshStrategy; boolean expectCommit)|void testWorkSetBeginning(int workCount; DocumentCommitStrategy commitStrategy; DocumentRefreshStrategy refreshStrategy),5,,0,6,6,0,0,java.io.IOException,0,1,,0,,0
hibernate-search,hibernate-search-backend-lucene,/hibernate-search-backend-lucene/src/test/java/org/hibernate/search/backend/lucene/orchestration/impl/LuceneWriteWorkProcessorTest.java,org.hibernate.search.backend.lucene.orchestration.impl.LuceneWriteWorkProcessorTest,error_workExecute_commitForce,()V,void error_workExecute_commitForce(),org.junit.Test,29,29,46,AbstractAssert isEqualTo(Object expected)|AbstractAssert isSameAs(Object expected)|AbstractStringAssert assertThat(String actual)|AbstractStringAssert isEqualTo(String expected)|AbstractThrowableAssert assertThat(Throwable actual)|AbstractThrowableAssert<?;Throwable> assertThrown()|Capture newInstance()|CompletableFuture<?> endBatch()|ExceptionThrowingSubTest expectException(Callable<?> callable)|IExpectationSetters andThrow(Throwable throwable)|IExpectationSetters expect(Object value)|List<Object> getUncommittedOperations()|ListAssert assertThat(List actual)|ListAssert containsExactly(Object[] values)|LuceneWriteWork<T> createWorkMock()|Object anyObject()|Object capture(Capture captured)|Object getFailingOperation()|Object getValue()|ObjectAssert assertThat(Object assertion)|String getIndexName()|String workInfo(int index)|T execute(LuceneWriteWorkExecutionContext context)|T submit(LuceneWriteWork<T> work)|Throwable getThrowable()|void beginBatch()|void commit()|void expectWorkGetInfo(int[] ids)|void forceLockRelease()|void handle(IndexFailureContext context)|void replayAll()|void resetAll()|void testSuccessfulWorkSet(int workCount; DocumentCommitStrategy commitStrategy; DocumentRefreshStrategy refreshStrategy; boolean expectCommit)|void testWorkSetBeginning(int workCount; DocumentCommitStrategy commitStrategy; DocumentRefreshStrategy refreshStrategy)|void verifyAll(),35,LuceneWriteWork<T> createWorkMock()|String workInfo(int index)|void expectWorkGetInfo(int[] ids)|void testSuccessfulWorkSet(int workCount; DocumentCommitStrategy commitStrategy; DocumentRefreshStrategy refreshStrategy; boolean expectCommit)|void testWorkSetBeginning(int workCount; DocumentCommitStrategy commitStrategy; DocumentRefreshStrategy refreshStrategy),5,,0,6,6,0,0,java.io.IOException,0,1,,0,,0
hibernate-search,hibernate-search-backend-lucene,/hibernate-search-backend-lucene/src/test/java/org/hibernate/search/backend/lucene/orchestration/impl/LuceneWriteWorkProcessorTest.java,org.hibernate.search.backend.lucene.orchestration.impl.LuceneWriteWorkProcessorTest,error_workExecuteAndForceLockRelease,()V,void error_workExecuteAndForceLockRelease(),org.junit.Test,32,32,57,AbstractAssert isEqualTo(Object expected)|AbstractAssert isSameAs(Object expected)|AbstractAssert satisfies(Consumer requirements)|AbstractObjectArrayAssert hasSize(int expected)|AbstractStringAssert assertThat(String actual)|AbstractStringAssert isEqualTo(String expected)|AbstractThrowableAssert assertThat(Throwable actual)|AbstractThrowableAssert hasCause(Throwable cause)|AbstractThrowableAssert hasMessageContaining(String description)|AbstractThrowableAssert<?;Throwable> assertThrown()|Capture newInstance()|CompletableFuture<?> endBatch()|ExceptionThrowingSubTest expectException(Callable<?> callable)|IExpectationSetters andThrow(Throwable throwable)|IExpectationSetters expect(Object value)|IExpectationSetters expectLastCall()|List<Object> getUncommittedOperations()|ListAssert assertThat(List actual)|ListAssert containsExactly(Object[] values)|LuceneWriteWork<T> createWorkMock()|Object anyObject()|Object capture(Capture captured)|Object getFailingOperation()|Object getValue()|ObjectArrayAssert assertThat(Object[] actual)|ObjectAssert assertThat(Object assertion)|String getIndexName()|String workInfo(int index)|T execute(LuceneWriteWorkExecutionContext context)|T submit(LuceneWriteWork<T> work)|Throwable getThrowable()|Throwable[] getSuppressed()|void beginBatch()|void commit()|void expectWorkGetInfo(int[] ids)|void forceLockRelease()|void handle(IndexFailureContext context)|void replayAll()|void resetAll()|void testSuccessfulWorkSet(int workCount; DocumentCommitStrategy commitStrategy; DocumentRefreshStrategy refreshStrategy; boolean expectCommit)|void testWorkSetBeginning(int workCount; DocumentCommitStrategy commitStrategy; DocumentRefreshStrategy refreshStrategy)|void verifyAll(),42,LuceneWriteWork<T> createWorkMock()|String workInfo(int index)|void expectWorkGetInfo(int[] ids)|void testSuccessfulWorkSet(int workCount; DocumentCommitStrategy commitStrategy; DocumentRefreshStrategy refreshStrategy; boolean expectCommit)|void testWorkSetBeginning(int workCount; DocumentCommitStrategy commitStrategy; DocumentRefreshStrategy refreshStrategy),5,,0,6,6,0,0,java.io.IOException,0,1,,0,,0
hibernate-search,hibernate-search-backend-lucene,/hibernate-search-backend-lucene/src/test/java/org/hibernate/search/backend/lucene/orchestration/impl/LuceneWriteWorkProcessorTest.java,org.hibernate.search.backend.lucene.orchestration.impl.LuceneWriteWorkProcessorTest,error_workSetCommit,()V,void error_workSetCommit(),org.junit.Test,27,27,48,AbstractAssert isInstanceOf(Class type)|AbstractCharSequenceAssert contains(CharSequence[] values)|AbstractStringAssert asString()|AbstractStringAssert assertThat(String actual)|AbstractStringAssert isEqualTo(String expected)|AbstractThrowableAssert assertThat(Throwable actual)|AbstractThrowableAssert hasCause(Throwable cause)|AbstractThrowableAssert hasMessageContaining(String description)|AbstractThrowableAssert<?;Throwable> assertThrown()|Capture newInstance()|CompletableFuture<?> endBatch()|ExceptionThrowingSubTest expectException(Runnable runnable)|IExpectationSetters andThrow(Throwable throwable)|IExpectationSetters expectLastCall()|List<Object> getUncommittedOperations()|ListAssert assertThat(List actual)|ListAssert containsExactly(Object[] values)|Object capture(Capture captured)|Object getFailingOperation()|Object getValue()|ObjectAssert assertThat(Object assertion)|String getIndexName()|String workInfo(int index)|Throwable getThrowable()|void afterSuccessfulWorkSet()|void beginBatch()|void commit()|void expectWorkGetInfo(int[] ids)|void forceLockRelease()|void handle(IndexFailureContext context)|void replayAll()|void resetAll()|void testSuccessfulWorkSet(int workCount; DocumentCommitStrategy commitStrategy; DocumentRefreshStrategy refreshStrategy; boolean expectCommit)|void testWorkSetBeginning(int workCount; DocumentCommitStrategy commitStrategy; DocumentRefreshStrategy refreshStrategy)|void verifyAll(),35,String workInfo(int index)|void expectWorkGetInfo(int[] ids)|void testSuccessfulWorkSet(int workCount; DocumentCommitStrategy commitStrategy; DocumentRefreshStrategy refreshStrategy; boolean expectCommit)|void testWorkSetBeginning(int workCount; DocumentCommitStrategy commitStrategy; DocumentRefreshStrategy refreshStrategy),4,,0,5,5,0,0,java.io.IOException,0,1,,0,,0
hibernate-search,hibernate-search-backend-lucene,/hibernate-search-backend-lucene/src/test/java/org/hibernate/search/backend/lucene/orchestration/impl/LuceneWriteWorkProcessorTest.java,org.hibernate.search.backend.lucene.orchestration.impl.LuceneWriteWorkProcessorTest,error_workSetCommitAndForceLockRelease,()V,void error_workSetCommitAndForceLockRelease(),org.junit.Test,30,30,59,AbstractAssert isInstanceOf(Class type)|AbstractAssert satisfies(Consumer requirements)|AbstractCharSequenceAssert contains(CharSequence[] values)|AbstractObjectArrayAssert hasSize(int expected)|AbstractStringAssert asString()|AbstractStringAssert assertThat(String actual)|AbstractStringAssert isEqualTo(String expected)|AbstractThrowableAssert assertThat(Throwable actual)|AbstractThrowableAssert hasCause(Throwable cause)|AbstractThrowableAssert hasMessageContaining(String description)|AbstractThrowableAssert<?;Throwable> assertThrown()|Capture newInstance()|CompletableFuture<?> endBatch()|ExceptionThrowingSubTest expectException(Runnable runnable)|IExpectationSetters andThrow(Throwable throwable)|IExpectationSetters expectLastCall()|List<Object> getUncommittedOperations()|ListAssert assertThat(List actual)|ListAssert containsExactly(Object[] values)|Object capture(Capture captured)|Object getFailingOperation()|Object getValue()|ObjectArrayAssert assertThat(Object[] actual)|ObjectAssert assertThat(Object assertion)|String getIndexName()|String workInfo(int index)|Throwable getThrowable()|Throwable[] getSuppressed()|void afterSuccessfulWorkSet()|void beginBatch()|void commit()|void expectWorkGetInfo(int[] ids)|void forceLockRelease()|void handle(IndexFailureContext context)|void replayAll()|void resetAll()|void testSuccessfulWorkSet(int workCount; DocumentCommitStrategy commitStrategy; DocumentRefreshStrategy refreshStrategy; boolean expectCommit)|void testWorkSetBeginning(int workCount; DocumentCommitStrategy commitStrategy; DocumentRefreshStrategy refreshStrategy)|void verifyAll(),39,String workInfo(int index)|void expectWorkGetInfo(int[] ids)|void testSuccessfulWorkSet(int workCount; DocumentCommitStrategy commitStrategy; DocumentRefreshStrategy refreshStrategy; boolean expectCommit)|void testWorkSetBeginning(int workCount; DocumentCommitStrategy commitStrategy; DocumentRefreshStrategy refreshStrategy),4,,0,5,5,0,0,java.io.IOException,0,1,,0,,0
hibernate-search,hibernate-search-backend-lucene,/hibernate-search-backend-lucene/src/test/java/org/hibernate/search/backend/lucene/orchestration/impl/LuceneWriteWorkProcessorTest.java,org.hibernate.search.backend.lucene.orchestration.impl.LuceneWriteWorkProcessorTest,error_batchCommit,()V,void error_batchCommit(),org.junit.Test,23,23,46,AbstractAssert isInstanceOf(Class type)|AbstractCharSequenceAssert contains(CharSequence[] values)|AbstractStringAssert asString()|AbstractStringAssert assertThat(String actual)|AbstractStringAssert isEqualTo(String expected)|AbstractThrowableAssert assertThat(Throwable actual)|AbstractThrowableAssert hasCause(Throwable cause)|AbstractThrowableAssert hasMessageContaining(String description)|Capture newInstance()|CompletableFuture<?> endBatch()|IExpectationSetters andThrow(Throwable throwable)|IExpectationSetters expectLastCall()|List<Object> getUncommittedOperations()|ListAssert assertThat(List actual)|ListAssert containsExactly(Object[] values)|Object capture(Capture captured)|Object getFailingOperation()|Object getValue()|ObjectAssert assertThat(Object assertion)|String getIndexName()|String workInfo(int index)|Throwable getThrowable()|void beginBatch()|void commit()|void expectWorkGetInfo(int[] ids)|void forceLockRelease()|void handle(IndexFailureContext context)|void replayAll()|void resetAll()|void testSuccessfulWorkSet(int workCount; DocumentCommitStrategy commitStrategy; DocumentRefreshStrategy refreshStrategy; boolean expectCommit)|void verifyAll(),31,String workInfo(int index)|void expectWorkGetInfo(int[] ids)|void testSuccessfulWorkSet(int workCount; DocumentCommitStrategy commitStrategy; DocumentRefreshStrategy refreshStrategy; boolean expectCommit),3,,0,5,5,0,0,java.io.IOException,0,0,,0,,0
hibernate-search,hibernate-search-backend-lucene,/hibernate-search-backend-lucene/src/test/java/org/hibernate/search/backend/lucene/orchestration/impl/LuceneWriteWorkProcessorTest.java,org.hibernate.search.backend.lucene.orchestration.impl.LuceneWriteWorkProcessorTest,error_batchCommitAndForceLockRelease,()V,void error_batchCommitAndForceLockRelease(),org.junit.Test,27,27,61,AbstractAssert isInstanceOf(Class type)|AbstractAssert satisfies(Consumer requirements)|AbstractCharSequenceAssert contains(CharSequence[] values)|AbstractObjectArrayAssert hasSize(int expected)|AbstractStringAssert asString()|AbstractStringAssert assertThat(String actual)|AbstractStringAssert isEqualTo(String expected)|AbstractThrowableAssert assertThat(Throwable actual)|AbstractThrowableAssert hasCause(Throwable cause)|AbstractThrowableAssert hasMessageContaining(String description)|Capture newInstance()|CompletableFuture<?> endBatch()|IExpectationSetters andThrow(Throwable throwable)|IExpectationSetters expectLastCall()|List<Object> getUncommittedOperations()|ListAssert assertThat(List actual)|ListAssert containsExactly(Object[] values)|Object capture(Capture captured)|Object getFailingOperation()|Object getValue()|ObjectArrayAssert assertThat(Object[] actual)|ObjectAssert assertThat(Object assertion)|String getIndexName()|String workInfo(int index)|Throwable getThrowable()|Throwable[] getSuppressed()|void beginBatch()|void commit()|void expectWorkGetInfo(int[] ids)|void forceLockRelease()|void handle(IndexFailureContext context)|void replayAll()|void resetAll()|void testSuccessfulWorkSet(int workCount; DocumentCommitStrategy commitStrategy; DocumentRefreshStrategy refreshStrategy; boolean expectCommit)|void verifyAll(),35,String workInfo(int index)|void expectWorkGetInfo(int[] ids)|void testSuccessfulWorkSet(int workCount; DocumentCommitStrategy commitStrategy; DocumentRefreshStrategy refreshStrategy; boolean expectCommit),3,,0,5,5,0,0,java.io.IOException,0,0,,0,,0
hibernate-search,hibernate-search-backend-lucene,/hibernate-search-backend-lucene/src/test/java/org/hibernate/search/backend/lucene/work/execution/impl/LuceneIndexingPlanWriteWorkSetTest.java,org.hibernate.search.backend.lucene.work.execution.impl.LuceneIndexingPlanWriteWorkSetTest,success_commitNone_refreshNone,()V,void success_commitNone_refreshNone(),org.junit.Test,1,1,1,void doTestSuccess(DocumentCommitStrategy commitStrategy; DocumentRefreshStrategy refreshStrategy),1,void doTestSuccess(DocumentCommitStrategy commitStrategy; DocumentRefreshStrategy refreshStrategy),1,,0,0,0,0,0,,0,0,,0,,0
hibernate-search,hibernate-search-backend-lucene,/hibernate-search-backend-lucene/src/test/java/org/hibernate/search/backend/lucene/work/execution/impl/LuceneIndexingPlanWriteWorkSetTest.java,org.hibernate.search.backend.lucene.work.execution.impl.LuceneIndexingPlanWriteWorkSetTest,success_commitForce_refreshNone,()V,void success_commitForce_refreshNone(),org.junit.Test,1,1,1,void doTestSuccess(DocumentCommitStrategy commitStrategy; DocumentRefreshStrategy refreshStrategy),1,void doTestSuccess(DocumentCommitStrategy commitStrategy; DocumentRefreshStrategy refreshStrategy),1,,0,0,0,0,0,,0,0,,0,,0
