mainProjectName,projectName,filePath,typeName,methodName,methodShortSignature,methodVerboseSignature,methodAnnotations,numberOfFirstLevelStatements,numberOfStatements,numberOfMethodInvocations,distinctMethodInvocations,numberOfDistinctMethodInvocations,distinctMethodInvocationsInSameClass,numberOfDistinctMethodInvocationsInSameClass,distinctTestCaseMethodInvocationsInSameClass,numberOfDistinctTestCaseMethodInvocationsInSameClass,numberOfMethodInvocationsWithExceptions,numberOfExceptionsThrown,numberOfExceptionsThrownAndCaughtExact,numberOfExceptionsThrownAndCaughtPartial,exceptionsThrownInMethodInvocations,numberOfAssertions,numberOfAssertionsWithRecursion,distinctMethodsInSameClassThatCallThisOne,numberOfdistinctMethodsInSameClassThatCallThisOne,distinctTestCasesInSameClassThatCallThisOne,numberOfdistinctTestCasesInSameClassThatCallThisOne
hibernate-search,hibernate-search-documentation,/hibernate-search-documentation/src/test/java/org/hibernate/search/documentation/analysis/AnalysisIT.java,org.hibernate.search.documentation.analysis.AnalysisIT,simple,()V,void simple(),org.junit.Test,3,10,43,AbstractIterableAssert hasSize(int expected)|C start()|C withProperties(String propertyFilePath)|HibernateOrmSearchQueryHitTypeStep<T> search(Class<T> type)|List<H> fetchHits(Integer limit)|ListAssert assertThat(List actual)|MatchPredicateFieldStep<?> match()|N field(String absoluteFieldPath)|N matching(Object value)|N predicate(Function<? super PDF;? extends PredicateFinalStep> predicateContributor)|ProgrammaticMappingConfigurationContext programmaticMapping()|PropertyMappingFullTextFieldOptionsStep analyzer(String analyzerName)|PropertyMappingFullTextFieldOptionsStep fullTextField(String relativeFieldName)|PropertyMappingKeywordFieldOptionsStep keywordField(String relativeFieldName)|PropertyMappingKeywordFieldOptionsStep normalizer(String normalizerName)|PropertyMappingStep property(String propertyName)|SearchSession session(EntityManager entityManager)|SessionFactory setup(Class<?>[] annotatedTypes)|SetupContext withProperty(String key; Object value)|TypeMappingStep type(Class<?> clazz)|void persist(Object entity)|void setText(String text)|void withinJPATransaction(EntityManagerFactory entityManagerFactory; Consumer<EntityManager> action),23,,0,,0,0,0,0,0,,0,0,,0,,0
hibernate-search,hibernate-search-documentation,/hibernate-search-documentation/src/test/java/org/hibernate/search/documentation/analysis/AnalysisIT.java,org.hibernate.search.documentation.analysis.AnalysisIT,lucene_advanced,()V,void lucene_advanced(),org.junit.Test,4,9,24,AbstractIterableAssert hasSize(int expected)|C start()|C withBackendProperty(String backendName; String keyRadical; Object value)|HibernateOrmSearchQueryHitTypeStep<T> search(Class<T> type)|List<H> fetchHits(Integer limit)|ListAssert assertThat(List actual)|MatchPredicateFieldStep<?> match()|N field(String absoluteFieldPath)|N matching(Object value)|N predicate(Function<? super PDF;? extends PredicateFinalStep> predicateContributor)|ProgrammaticMappingConfigurationContext programmaticMapping()|PropertyMappingFullTextFieldOptionsStep analyzer(String analyzerName)|PropertyMappingFullTextFieldOptionsStep fullTextField(String relativeFieldName)|PropertyMappingStep property(String propertyName)|SearchSession session(EntityManager entityManager)|SessionFactory setup(Class<?>[] annotatedTypes)|SetupContext withProperty(String key; Object value)|TypeMappingStep type(Class<?> clazz)|void assumeTrue(boolean b)|void persist(Object entity)|void setText(String text)|void withinJPATransaction(EntityManagerFactory entityManagerFactory; Consumer<EntityManager> action),22,,0,,0,0,0,0,0,,0,0,,0,,0
hibernate-search,hibernate-search-documentation,/hibernate-search-documentation/src/test/java/org/hibernate/search/documentation/analysis/AnalysisIT.java,org.hibernate.search.documentation.analysis.AnalysisIT,elasticsearch_advanced,()V,void elasticsearch_advanced(),org.junit.Test,4,9,24,AbstractIterableAssert hasSize(int expected)|C start()|C withBackendProperty(String backendName; String keyRadical; Object value)|HibernateOrmSearchQueryHitTypeStep<T> search(Class<T> type)|List<H> fetchHits(Integer limit)|ListAssert assertThat(List actual)|MatchPredicateFieldStep<?> match()|N field(String absoluteFieldPath)|N matching(Object value)|N predicate(Function<? super PDF;? extends PredicateFinalStep> predicateContributor)|ProgrammaticMappingConfigurationContext programmaticMapping()|PropertyMappingFullTextFieldOptionsStep analyzer(String analyzerName)|PropertyMappingFullTextFieldOptionsStep fullTextField(String relativeFieldName)|PropertyMappingStep property(String propertyName)|SearchSession session(EntityManager entityManager)|SessionFactory setup(Class<?>[] annotatedTypes)|SetupContext withProperty(String key; Object value)|TypeMappingStep type(Class<?> clazz)|void assumeTrue(boolean b)|void persist(Object entity)|void setText(String text)|void withinJPATransaction(EntityManagerFactory entityManagerFactory; Consumer<EntityManager> action),22,,0,,0,0,0,0,0,,0,0,,0,,0
hibernate-search,hibernate-search-documentation,/hibernate-search-documentation/src/test/java/org/hibernate/search/documentation/backend/elasticsearch/type/asnative/ElasticsearchNativeTypeIT.java,org.hibernate.search.documentation.backend.elasticsearch.type.asnative.ElasticsearchNativeTypeIT,smoke,()V,void smoke(),org.junit.Test,2,8,13,AbstractIterableAssert hasSize(int expected)|ElasticsearchExtension<H;R;E> get()|HibernateOrmSearchQueryHitTypeStep<T> search(Class<T> type)|List<H> fetchHits(Integer limit)|ListAssert assertThat(List actual)|N predicate(Function<? super PDF;? extends PredicateFinalStep> predicateContributor)|PredicateFinalStep fromJson(String jsonString)|SearchSession session(EntityManager entityManager)|T extension(SearchQueryDslExtension<T;R;E> extension)|void persist(Object entity)|void setIpAddress(String ipAddress)|void withinJPATransaction(EntityManagerFactory entityManagerFactory; Consumer<EntityManager> action),12,,0,,0,0,0,0,0,,0,0,,0,,0
hibernate-search,hibernate-search-documentation,/hibernate-search-documentation/src/test/java/org/hibernate/search/documentation/backend/lucene/type/asnative/LuceneNativeTypeIT.java,org.hibernate.search.documentation.backend.lucene.type.asnative.LuceneNativeTypeIT,smoke,()V,void smoke(),org.junit.Test,2,18,31,AbstractIterableAssert containsExactly(Object[] values)|AbstractIterableAssert hasSize(int expected)|AbstractListAssert extracting(ThrowingExtractor extractor)|CompositeProjectionOptionsStep<?;T> composite(BiFunction<P1;P2;T> transformer; ProjectionFinalStep<P1> dslFinalStep1; ProjectionFinalStep<P2> dslFinalStep2)|EntityProjectionOptionsStep<?;E> entity()|FieldProjectionOptionsStep<?;T> field(String absoluteFieldPath; Class<T> type)|HibernateOrmSearchQueryHitTypeStep<T> search(Class<T> type)|List<H> fetchHits(Integer limit)|ListAssert assertThat(List actual)|LuceneExtension<H;R;E> get()|LuceneSearchQueryPredicateStep<P> asProjection(Function<? super LuceneSearchProjectionFactory<R;E>;? extends ProjectionFinalStep<P>> projectionContributor)|N predicate(Function<? super PDF;? extends PredicateFinalStep> predicateContributor)|PredicateFinalStep fromLuceneQuery(Query query)|Query newSaturationQuery(String fieldName; String featureName)|SearchSession session(EntityManager entityManager)|T extension(SearchQueryDslExtension<T;R;E> extension)|void persist(Object entity)|void setId(Integer id)|void setPageRank(Float pageRank)|void withinJPATransaction(EntityManagerFactory entityManagerFactory; Consumer<EntityManager> action),20,,0,,0,0,0,0,0,,0,0,,0,,0
hibernate-search,hibernate-search-documentation,/hibernate-search-documentation/src/test/java/org/hibernate/search/documentation/gettingstarted/withhsearch/withanalysis/GettingStartedWithAnalysisIT.java,org.hibernate.search.documentation.gettingstarted.withhsearch.withanalysis.GettingStartedWithAnalysisIT,test,()V,void test(),org.junit.Test,4,20,38,AbstractIterableAssert containsExactlyInAnyOrder(Object[] values)|AbstractListAssert as(String description; Object[] args)|AbstractListAssert extracting(String propertyOrField)|HibernateOrmSearchQueryHitTypeStep<T> search(Class<T> type)|Integer getId()|List<H> getHits()|ListAssert assertThat(List actual)|MatchPredicateFieldStep<?> match()|N fields(String[] absoluteFieldPaths)|N matching(Object value)|N predicate(Function<? super PDF;? extends PredicateFinalStep> predicateContributor)|Object get()|SearchResult<H> fetch(Integer limit)|SearchSession session(EntityManager entityManager)|Set<Author> getAuthors()|Set<Book> getBooks()|boolean add(Object e)|void persist(Object entity)|void set(Object newValue)|void setName(String name)|void setTitle(String title)|void withinJPATransaction(EntityManagerFactory entityManagerFactory; Consumer<EntityManager> action),22,,0,,0,0,0,0,0,,0,0,,0,,0
hibernate-search,hibernate-search-documentation,/hibernate-search-documentation/src/test/java/org/hibernate/search/documentation/gettingstarted/withhsearch/withoutanalysis/GettingStartedWithoutAnalysisIT.java,org.hibernate.search.documentation.gettingstarted.withhsearch.withoutanalysis.GettingStartedWithoutAnalysisIT,test,()V,void test(),org.junit.Test,6,40,82,AbstractIterableAssert containsExactlyInAnyOrder(Object[] values)|AbstractListAssert extracting(String propertyOrField)|AbstractLongAssert assertThat(long actual)|AbstractLongAssert isEqualTo(long expected)|HibernateOrmSearchQueryHitTypeStep<T> search(Class<T> type)|HibernateOrmSearchQueryHitTypeStep<T> search(SearchScope<T> scope)|Integer getId()|List<H> fetchHits(Integer limit)|List<H> getHits()|ListAssert assertThat(List actual)|MassIndexer massIndexer(Class<?>[] types)|MassIndexer threadsToLoadObjects(int numberOfThreads)|MatchPredicateFieldStep<?> match()|N fields(String[] absoluteFieldPaths)|N matching(Object value)|N predicate(Function<? super PDF;? extends PredicateFinalStep> predicateContributor)|N predicate(SearchPredicate predicate)|Object get()|SearchPredicate toPredicate()|SearchPredicateFactory predicate()|SearchResult<H> fetch(Integer limit)|SearchScope<T> scope(Class<T> type)|SearchSession session(EntityManager entityManager)|Set<Author> getAuthors()|Set<Book> getBooks()|boolean add(Object e)|long fetchTotalHitCount()|long getTotalHitCount()|void assertEquals(long expected; long actual)|void persist(Object entity)|void set(Object newValue)|void setName(String name)|void setTitle(String title)|void startAndWait()|void withinJPATransaction(EntityManagerFactory entityManagerFactory; Consumer<EntityManager> action),35,,0,,0,1,1,1,0,java.lang.InterruptedException,1,1,,0,,0
hibernate-search,hibernate-search-documentation,/hibernate-search-documentation/src/test/java/org/hibernate/search/documentation/gettingstarted/withouthsearch/GettingStartedWithoutHibernateSearchIT.java,org.hibernate.search.documentation.gettingstarted.withouthsearch.GettingStartedWithoutHibernateSearchIT,test,()V,void test(),org.junit.Test,3,16,19,AbstractIterableAssert containsExactlyInAnyOrder(Object[] values)|AbstractListAssert extracting(String propertyOrField)|Integer getId()|List getResultList()|ListAssert assertThat(List actual)|Object get()|Set<Author> getAuthors()|Set<Book> getBooks()|TypedQuery createQuery(String qlString; Class resultClass)|TypedQuery setParameter(int position; Object value)|boolean add(Object e)|void persist(Object entity)|void set(Object newValue)|void setName(String name)|void setTitle(String title)|void withinJPATransaction(EntityManagerFactory entityManagerFactory; Consumer<EntityManager> action),16,,0,,0,0,0,0,0,,0,0,,0,,0
hibernate-search,hibernate-search-documentation,/hibernate-search-documentation/src/test/java/org/hibernate/search/documentation/mapper/orm/bridge/document/model/dsl/object/DocumentModelDslObjectIT.java,org.hibernate.search.documentation.mapper.orm.bridge.document.model.dsl.object.DocumentModelDslObjectIT,smoke,()V,void smoke(),org.junit.Test,2,11,39,AbstractIterableAssert hasSize(int expected)|BooleanPredicateClausesStep<?> bool()|HibernateOrmSearchQueryHitTypeStep<T> search(Class<T> type)|List<H> fetchHits(Integer limit)|List<InvoiceLineItem> getLineItems()|ListAssert assertThat(List actual)|MatchPredicateFieldStep<?> match()|N atLeast(Object lowerBoundValue)|N atMost(Object upperBoundValue)|N between(Object lowerBound; Object upperBound)|N field(String absoluteFieldPath)|N matching(Object value)|N nest(PredicateFinalStep dslFinalStep)|N objectField(String absoluteFieldPath)|N predicate(Function<? super PDF;? extends PredicateFinalStep> predicateContributor)|NestedPredicateFieldStep<?> nested()|RangePredicateFieldStep<?> range()|S must(PredicateFinalStep dslFinalStep)|SearchSession session(EntityManager entityManager)|boolean add(Object e)|void persist(Object entity)|void withinJPATransaction(EntityManagerFactory entityManagerFactory; Consumer<EntityManager> action),22,,0,,0,0,0,0,0,,0,0,,0,,0
hibernate-search,hibernate-search-documentation,/hibernate-search-documentation/src/test/java/org/hibernate/search/documentation/mapper/orm/bridge/document/model/dsl/simple/DocumentModelDslSimpleIT.java,org.hibernate.search.documentation.mapper.orm.bridge.document.model.dsl.simple.DocumentModelDslSimpleIT,smoke,()V,void smoke(),org.junit.Test,2,12,34,AbstractIterableAssert hasSize(int expected)|BooleanPredicateClausesStep<?> bool()|HibernateOrmSearchQueryHitTypeStep<T> search(Collection<? extends Class<? extends T>> types)|ISBN parse(String string)|List asList(Object[] a)|List<H> fetchHits(Integer limit)|ListAssert assertThat(List actual)|MatchPredicateFieldStep<?> match()|N field(String absoluteFieldPath)|N matching(Object value)|N predicate(Function<? super PDF;? extends PredicateFinalStep> predicateContributor)|S must(PredicateFinalStep dslFinalStep)|S should(PredicateFinalStep dslFinalStep)|SearchSession session(EntityManager entityManager)|void persist(Object entity)|void setFirstName(String firstName)|void setIsbn(ISBN isbn)|void setLastName(String lastName)|void withinJPATransaction(EntityManagerFactory entityManagerFactory; Consumer<EntityManager> action),19,,0,,0,0,0,0,0,,0,0,,0,,0
