mainProjectName,projectName,filePath,typeName,methodName,methodShortSignature,methodVerboseSignature,methodAnnotations,numberOfFirstLevelStatements,numberOfStatements,numberOfMethodInvocations,distinctMethodInvocations,numberOfDistinctMethodInvocations,distinctMethodInvocationsInSameClass,numberOfDistinctMethodInvocationsInSameClass,distinctTestCaseMethodInvocationsInSameClass,numberOfDistinctTestCaseMethodInvocationsInSameClass,numberOfMethodInvocationsWithExceptions,numberOfExceptionsThrown,numberOfExceptionsThrownAndCaughtExact,numberOfExceptionsThrownAndCaughtPartial,exceptionsThrownInMethodInvocations,numberOfAssertions,numberOfAssertionsWithRecursion,distinctMethodsInSameClassThatCallThisOne,numberOfdistinctMethodsInSameClassThatCallThisOne,distinctTestCasesInSameClassThatCallThisOne,numberOfdistinctTestCasesInSameClassThatCallThisOne
hibernate-search,hibernate-search-elasticsearch,/hibernate-search-elasticsearch/src/test/java/org/hibernate/search/elasticsearch/client/RequestTest.java,org.hibernate.search.elasticsearch.client.RequestTest,basicRequest,()V,void basicRequest(),org.junit.Test,9,9,28,Builder body(JsonObject object)|Builder param(String name; boolean value)|Builder param(String name; int value)|Builder pathComponent(URLEncodedString pathComponent)|Builder post()|ElasticsearchRequest build()|JsonBuilder.Object addProperty(String property; String value)|JsonBuilder.Object object()|JsonObject build()|List<JsonObject> getBodyParts()|Map<String;String> getParameters()|Object get(Object key)|Object get(int index)|String getMethod()|String getPath()|int size()|void assertEquals(Object expected; Object actual)|void assertEquals(long expected; long actual),18,,0,,0,0,0,0,0,,7,7,,0,,0
hibernate-search,hibernate-search-elasticsearch,/hibernate-search-elasticsearch/src/test/java/org/hibernate/search/elasticsearch/client/RequestTest.java,org.hibernate.search.elasticsearch.client.RequestTest,multiPathRequest,()V,void multiPathRequest(),org.junit.Test|org.hibernate.search.testsupport.TestForIssue,4,4,11,Builder delete()|Builder pathComponent(URLEncodedString pathComponent)|ElasticsearchRequest build()|Map<String;String> getParameters()|String getMethod()|String getPath()|int size()|void assertEquals(Object expected; Object actual)|void assertEquals(long expected; long actual),9,,0,,0,0,0,0,0,,3,3,,0,,0
hibernate-search,hibernate-search-elasticsearch,/hibernate-search-elasticsearch/src/test/java/org/hibernate/search/elasticsearch/client/RequestTest.java,org.hibernate.search.elasticsearch.client.RequestTest,multiValuedPathRequest,()V,void multiValuedPathRequest(),org.junit.Test,5,5,12,Builder multiValuedPathComponent(Iterable<URLEncodedString> indexNames)|Builder pathComponent(URLEncodedString pathComponent)|Builder post()|ElasticsearchRequest build()|String getPath()|URLEncodedString fromString(String string)|boolean add(Object e)|void assertEquals(Object expected; Object actual),8,,0,,0,0,0,0,0,,1,1,,0,,0
hibernate-search,hibernate-search-elasticsearch,/hibernate-search-elasticsearch/src/test/java/org/hibernate/search/elasticsearch/processor/impl/DefaultElasticsearchWorkBulkerTest.java,org.hibernate.search.elasticsearch.processor.impl.DefaultElasticsearchWorkBulkerTest,simple,()V,void simple(),org.junit.Test|java.lang.SuppressWarnings,31,31,41,BulkResultExtractionStep startBulkResultExtraction(CompletableFuture<BulkResult> bulkResultFuture)|BulkableElasticsearchWork<T> bulkableWork(int index)|Capture newCapture()|CompletableFuture<BulkResult> addBulkExecution(CompletableFuture<? extends ElasticsearchWork<BulkResult>> workFuture)|ElasticsearchWork<T> work(int index)|FutureAssert<T> assertThat(Future<T> future)|FutureAssert<T> isPending()|FutureAssert<T> isSuccessful(T expectedValue)|IExpectationSetters andReturn(Object value)|IExpectationSetters expect(Object value)|List asList(Object[] a)|Object apply(Object t)|Object capture(Capture captured)|Object getValue()|boolean flushBulked()|void add(BulkableElasticsearchWork<?> work)|void add(BulkableElasticsearchWork<T> bulkedWork; int index)|void flushBulk()|void replay()|void reset()|void verify(),21,BulkableElasticsearchWork<T> bulkableWork(int index)|ElasticsearchWork<T> work(int index)|void replay()|void reset()|void verify(),5,,0,0,0,0,0,,0,0,,0,,0
hibernate-search,hibernate-search-elasticsearch,/hibernate-search-elasticsearch/src/test/java/org/hibernate/search/elasticsearch/processor/impl/DefaultElasticsearchWorkBulkerTest.java,org.hibernate.search.elasticsearch.processor.impl.DefaultElasticsearchWorkBulkerTest,noBulkIfBelowThreshold,()V,void noBulkIfBelowThreshold(),org.junit.Test,17,17,16,BulkableElasticsearchWork<T> bulkableWork(int index)|boolean flushBulked()|void add(BulkableElasticsearchWork<?> work)|void addNonBulkExecution(ElasticsearchWork<T> work)|void flushBulk()|void replay()|void reset()|void verify(),8,BulkableElasticsearchWork<T> bulkableWork(int index)|void replay()|void reset()|void verify(),4,,0,0,0,0,0,,0,0,,0,,0
hibernate-search,hibernate-search-elasticsearch,/hibernate-search-elasticsearch/src/test/java/org/hibernate/search/elasticsearch/processor/impl/DefaultElasticsearchWorkBulkerTest.java,org.hibernate.search.elasticsearch.processor.impl.DefaultElasticsearchWorkBulkerTest,alwaysBulkIfAboveThreshold,()V,void alwaysBulkIfAboveThreshold(),java.lang.SuppressWarnings|org.junit.Test,25,25,35,BulkResultExtractionStep startBulkResultExtraction(CompletableFuture<BulkResult> bulkResultFuture)|BulkableElasticsearchWork<T> bulkableWork(int index)|Capture newCapture()|CompletableFuture<BulkResult> addBulkExecution(CompletableFuture<? extends ElasticsearchWork<BulkResult>> workFuture)|ElasticsearchWork<T> work(int index)|FutureAssert<T> assertThat(Future<T> future)|FutureAssert<T> isPending()|FutureAssert<T> isSuccessful(T expectedValue)|IExpectationSetters andReturn(Object value)|IExpectationSetters expect(Object value)|List asList(Object[] a)|Object apply(Object t)|Object capture(Capture captured)|Object getValue()|boolean flushBulked()|void add(BulkableElasticsearchWork<?> work)|void add(BulkableElasticsearchWork<T> bulkedWork; int index)|void flushBulk()|void replay()|void reset()|void verify(),21,BulkableElasticsearchWork<T> bulkableWork(int index)|ElasticsearchWork<T> work(int index)|void replay()|void reset()|void verify(),5,,0,0,0,0,0,,0,0,,0,,0
hibernate-search,hibernate-search-elasticsearch,/hibernate-search-elasticsearch/src/test/java/org/hibernate/search/elasticsearch/processor/impl/DefaultElasticsearchWorkBulkerTest.java,org.hibernate.search.elasticsearch.processor.impl.DefaultElasticsearchWorkBulkerTest,sameBulkOnFlushBulked,()V,void sameBulkOnFlushBulked(),org.junit.Test|java.lang.SuppressWarnings,44,44,60,BulkResultExtractionStep startBulkResultExtraction(CompletableFuture<BulkResult> bulkResultFuture)|BulkableElasticsearchWork<T> bulkableWork(int index)|Capture newCapture()|CompletableFuture<BulkResult> addBulkExecution(CompletableFuture<? extends ElasticsearchWork<BulkResult>> workFuture)|ElasticsearchWork<T> work(int index)|FutureAssert<T> assertThat(Future<T> future)|FutureAssert<T> isPending()|FutureAssert<T> isSuccessful(T expectedValue)|IExpectationSetters andReturn(Object value)|IExpectationSetters expect(Object value)|List asList(Object[] a)|Object apply(Object t)|Object capture(Capture captured)|Object getValue()|boolean flushBulked()|void add(BulkableElasticsearchWork<?> work)|void add(BulkableElasticsearchWork<T> bulkedWork; int index)|void flushBulk()|void replay()|void reset()|void verify(),21,BulkableElasticsearchWork<T> bulkableWork(int index)|ElasticsearchWork<T> work(int index)|void replay()|void reset()|void verify(),5,,0,0,0,0,0,,0,0,,0,,0
hibernate-search,hibernate-search-elasticsearch,/hibernate-search-elasticsearch/src/test/java/org/hibernate/search/elasticsearch/processor/impl/DefaultElasticsearchWorkBulkerTest.java,org.hibernate.search.elasticsearch.processor.impl.DefaultElasticsearchWorkBulkerTest,newBulkOnFlushBulk,()V,void newBulkOnFlushBulk(),org.junit.Test|java.lang.SuppressWarnings,53,53,74,BulkResultExtractionStep startBulkResultExtraction(CompletableFuture<BulkResult> bulkResultFuture)|BulkableElasticsearchWork<T> bulkableWork(int index)|Capture newCapture()|CompletableFuture<BulkResult> addBulkExecution(CompletableFuture<? extends ElasticsearchWork<BulkResult>> workFuture)|ElasticsearchWork<T> work(int index)|FutureAssert<T> assertThat(Future<T> future)|FutureAssert<T> isPending()|FutureAssert<T> isSuccessful(T expectedValue)|IExpectationSetters andReturn(Object value)|IExpectationSetters expect(Object value)|List asList(Object[] a)|Object apply(Object t)|Object capture(Capture captured)|Object getValue()|boolean flushBulked()|void add(BulkableElasticsearchWork<?> work)|void add(BulkableElasticsearchWork<T> bulkedWork; int index)|void flushBulk()|void replay()|void reset()|void verify(),21,BulkableElasticsearchWork<T> bulkableWork(int index)|ElasticsearchWork<T> work(int index)|void replay()|void reset()|void verify(),5,,0,0,0,0,0,,0,0,,0,,0
hibernate-search,hibernate-search-elasticsearch,/hibernate-search-elasticsearch/src/test/java/org/hibernate/search/elasticsearch/processor/impl/DefaultElasticsearchWorkBulkerTest.java,org.hibernate.search.elasticsearch.processor.impl.DefaultElasticsearchWorkBulkerTest,newBulkOnTooManyBulkedWorks,()V,void newBulkOnTooManyBulkedWorks(),org.junit.Test|java.lang.SuppressWarnings,42,46,61,BulkResultExtractionStep startBulkResultExtraction(CompletableFuture<BulkResult> bulkResultFuture)|BulkableElasticsearchWork<T> bulkableWork(int index)|Capture newCapture()|CompletableFuture<BulkResult> addBulkExecution(CompletableFuture<? extends ElasticsearchWork<BulkResult>> workFuture)|ElasticsearchWork<T> work(int index)|FutureAssert<T> assertThat(Future<T> future)|FutureAssert<T> isPending()|FutureAssert<T> isSuccessful(T expectedValue)|IExpectationSetters andReturn(Object value)|IExpectationSetters expect(Object value)|List asList(Object[] a)|Object apply(Object t)|Object capture(Capture captured)|Object get(int index)|Object getValue()|boolean add(Object e)|boolean flushBulked()|void add(BulkableElasticsearchWork<?> work)|void add(BulkableElasticsearchWork<T> bulkedWork; int index)|void flushBulk()|void replay()|void reset()|void verify(),23,BulkableElasticsearchWork<T> bulkableWork(int index)|ElasticsearchWork<T> work(int index)|void replay()|void reset()|void verify(),5,,0,0,0,0,0,,0,0,,0,,0
hibernate-search,hibernate-search-elasticsearch,/hibernate-search-elasticsearch/src/test/java/org/hibernate/search/elasticsearch/processor/impl/SerialChangesetsElasticsearchWorkOrchestratorTest.java,org.hibernate.search.elasticsearch.processor.impl.SerialChangesetsElasticsearchWorkOrchestratorTest,simple,()V,void simple(),org.junit.Test,28,28,41,AbstractAssert isSameAs(Object expected)|BulkableElasticsearchWork<?> bulkableWork(int index)|CompletableFuture<Void> build()|CompletableFuture<Void> flush()|CompletableFuture<Void> submit(Iterable<ElasticsearchWork<?>> nonBulkedWorks)|ElasticsearchWork<?> work(int index)|FutureAssert<T> assertThat(Future<T> future)|IAnswer<Void> bulkableAggregateAnswer(BulkableElasticsearchWork<?> mock)|IAnswer<Void> nonBulkableAggregateAnswer(ElasticsearchWork<?> mock)|IExpectationSetters andAnswer(IAnswer answer)|IExpectationSetters andReturn(Object value)|IExpectationSetters expect(Object value)|IExpectationSetters expectLastCall()|List asList(Object[] a)|Object anyObject()|boolean flushBulked()|void add(BulkableElasticsearchWork<?> work)|void addNonBulkExecution(ElasticsearchWork<T> work)|void aggregate(ElasticsearchWorkAggregator aggregator)|void flushBulk()|void init(CompletableFuture<?> previous)|void replay()|void reset()|void verify(),24,BulkableElasticsearchWork<?> bulkableWork(int index)|ElasticsearchWork<?> work(int index)|IAnswer<Void> bulkableAggregateAnswer(BulkableElasticsearchWork<?> mock)|IAnswer<Void> nonBulkableAggregateAnswer(ElasticsearchWork<?> mock)|void replay()|void reset()|void verify(),7,,0,0,0,0,0,,0,0,,0,,0
