mainProjectName,projectName,filePath,typeName,methodName,methodShortSignature,methodVerboseSignature,methodAnnotations,numberOfFirstLevelStatements,numberOfStatements,numberOfMethodInvocations,distinctMethodInvocations,numberOfDistinctMethodInvocations,distinctMethodInvocationsInSameClass,numberOfDistinctMethodInvocationsInSameClass,distinctTestCaseMethodInvocationsInSameClass,numberOfDistinctTestCaseMethodInvocationsInSameClass,numberOfMethodInvocationsWithExceptions,numberOfExceptionsThrown,numberOfExceptionsThrownAndCaughtExact,numberOfExceptionsThrownAndCaughtPartial,exceptionsThrownInMethodInvocations,numberOfAssertions,numberOfAssertionsWithRecursion,distinctMethodsInSameClassThatCallThisOne,numberOfdistinctMethodsInSameClassThatCallThisOne,distinctTestCasesInSameClassThatCallThisOne,numberOfdistinctTestCasesInSameClassThatCallThisOne
hibernate-search,hibernate-search-engine-legacy,/hibernate-search-engine-legacy/src/test/java/NoPackageAnnotationTest.java,NoPackageAnnotationTest,initializationSucceedsWithNotPackagedAnnotation,()V,void initializationSucceedsWithNotPackagedAnnotation(),org.junit.Test,3,3,4,ExtendedSearchIntegrator create(SearchConfiguration configuration)|IndexedTypeDescriptor getIndexedTypeDescriptor(IndexedTypeIdentifier typeId)|SearchConfigurationForTest addClasses(Class<?>[] classes)|void assertNotNull(Object object),4,,0,,0,0,0,0,0,,1,1,,0,,0
hibernate-search,hibernate-search-engine-legacy,/hibernate-search-engine-legacy/src/test/java/org/hibernate/search/test/analyzer/analyzerdef/AnalyzerDefAnnotationTest.java,org.hibernate.search.test.analyzer.analyzerdef.AnalyzerDefAnnotationTest,shouldBePossibleToAnnotatePackage,()V,void shouldBePossibleToAnnotatePackage(),org.junit.Test,2,2,2,void assertAnalyzerExists(String analyzerName)|void assertNormalizerExists(String normalizerName),2,void assertAnalyzerExists(String analyzerName)|void assertNormalizerExists(String normalizerName),2,,0,0,0,0,0,,0,2,,0,,0
hibernate-search,hibernate-search-engine-legacy,/hibernate-search-engine-legacy/src/test/java/org/hibernate/search/test/analyzer/analyzerdef/AnalyzerDefAnnotationTest.java,org.hibernate.search.test.analyzer.analyzerdef.AnalyzerDefAnnotationTest,shouldBePossibleToAnnotateClass,()V,void shouldBePossibleToAnnotateClass(),org.junit.Test,2,2,2,void assertAnalyzerExists(String analyzerName)|void assertNormalizerExists(String normalizerName),2,void assertAnalyzerExists(String analyzerName)|void assertNormalizerExists(String normalizerName),2,,0,0,0,0,0,,0,2,,0,,0
hibernate-search,hibernate-search-engine-legacy,/hibernate-search-engine-legacy/src/test/java/org/hibernate/search/test/analyzer/analyzerdef/AnalyzerDefAnnotationTest.java,org.hibernate.search.test.analyzer.analyzerdef.AnalyzerDefAnnotationTest,shouldContainOnlyTheDefinedAnalyzers,()V,void shouldContainOnlyTheDefinedAnalyzers(),org.junit.Test|org.junit.experimental.categories.Category,6,6,16,AnalyzerRegistry getAnalyzerRegistry()|ExtendedSearchIntegrator getSearchFactory()|IndexManagerType getIndexManagerType()|IndexedTypeMap<EntityIndexBinding> getIndexBindings()|IterableAssert assertThat(Iterable actual)|IterableAssert containsExactlyInAnyOrder(Object[] values)|Map<String;AnalyzerReference> getNamedAnalyzerReferences()|Map<String;AnalyzerReference> getNamedNormalizerReferences()|NormalizerRegistry getNormalizerRegistry()|SearchIntegration getIntegration(IndexManagerType indexManagerType)|Set keySet()|V get(Class<?> legacyPojoClass),12,,0,,0,0,0,0,0,,0,0,,0,,0
hibernate-search,hibernate-search-engine-legacy,/hibernate-search-engine-legacy/src/test/java/org/hibernate/search/test/analyzer/analyzerdef/AnalyzerDefAnnotationTest.java,org.hibernate.search.test.analyzer.analyzerdef.AnalyzerDefAnnotationTest,shouldNotBePossibleToHaveTwoAnalyzerDefsWithTheSameName,()V,void shouldNotBePossibleToHaveTwoAnalyzerDefsWithTheSameName(),org.junit.Test,4,4,3,ExtendedSearchIntegrator create(SearchConfiguration configuration)|SearchConfigurationForTest addClass(Class<?> indexed)|void expect(Class type),3,,0,,0,0,0,0,0,,0,0,,0,,0
hibernate-search,hibernate-search-engine-legacy,/hibernate-search-engine-legacy/src/test/java/org/hibernate/search/test/analyzer/analyzerdef/AnalyzerDefAnnotationTest.java,org.hibernate.search.test.analyzer.analyzerdef.AnalyzerDefAnnotationTest,shouldNotBePossibleToHaveTwoNormalizerDefsWithTheSameName,()V,void shouldNotBePossibleToHaveTwoNormalizerDefsWithTheSameName(),org.junit.Test,4,4,3,ExtendedSearchIntegrator create(SearchConfiguration configuration)|SearchConfigurationForTest addClass(Class<?> indexed)|void expect(Class type),3,,0,,0,0,0,0,0,,0,0,,0,,0
hibernate-search,hibernate-search-engine-legacy,/hibernate-search-engine-legacy/src/test/java/org/hibernate/search/test/analyzer/analyzerdef/AnalyzerDefInvalidTest.java,org.hibernate.search.test.analyzer.analyzerdef.AnalyzerDefInvalidTest,shouldNotBePossibleToHaveTwoAnalyzerParametersWithTheSameName,()V,void shouldNotBePossibleToHaveTwoAnalyzerParametersWithTheSameName(),org.junit.Test,5,5,4,ExtendedSearchIntegrator create(SearchConfiguration configuration)|SearchConfigurationForTest addClass(Class<?> indexed)|void expect(Class type)|void expectMessage(String substring),4,,0,,0,0,0,0,0,,0,0,,0,,0
hibernate-search,hibernate-search-engine-legacy,/hibernate-search-engine-legacy/src/test/java/org/hibernate/search/test/analyzer/analyzerdef/AnalyzerDefInvalidTest.java,org.hibernate.search.test.analyzer.analyzerdef.AnalyzerDefInvalidTest,shouldNotBePossibleToHaveTwoNormalizerParametersWithTheSameName,()V,void shouldNotBePossibleToHaveTwoNormalizerParametersWithTheSameName(),org.junit.Test,5,5,4,ExtendedSearchIntegrator create(SearchConfiguration configuration)|SearchConfigurationForTest addClass(Class<?> indexed)|void expect(Class type)|void expectMessage(String substring),4,,0,,0,0,0,0,0,,0,0,,0,,0
hibernate-search,hibernate-search-engine-legacy,/hibernate-search-engine-legacy/src/test/java/org/hibernate/search/test/analyzer/analyzerdef/AnalyzerDefInvalidTest.java,org.hibernate.search.test.analyzer.analyzerdef.AnalyzerDefInvalidTest,shouldNotBePossibleToHaveEmptyNormalizer,()V,void shouldNotBePossibleToHaveEmptyNormalizer(),org.junit.Test,7,7,6,ExtendedSearchIntegrator create(SearchConfiguration configuration)|SearchConfigurationForTest addClass(Class<?> indexed)|void expect(Class type)|void expectMessage(String substring),4,,0,,0,0,0,0,0,,0,0,,0,,0
hibernate-search,hibernate-search-engine-legacy,/hibernate-search-engine-legacy/src/test/java/org/hibernate/search/test/analyzer/analyzerdef/AnalyzerDefInvalidTest.java,org.hibernate.search.test.analyzer.analyzerdef.AnalyzerDefInvalidTest,shouldWarnOnTokenizingNormalizerDefinition,()V,void shouldWarnOnTokenizingNormalizerDefinition(),org.junit.Test|org.junit.experimental.categories.Category,8,8,4,ExtendedSearchIntegrator create(SearchConfiguration configuration)|SearchConfigurationForTest addClass(Class<?> indexed)|void add(Object entry; Serializable id)|void expectMessage(String containedString; String[] otherContainedStrings),4,,0,,0,0,0,0,0,,0,0,,0,,0
