mainProjectName,projectName,filePath,typeName,methodName,methodShortSignature,methodVerboseSignature,methodAnnotations,numberOfFirstLevelStatements,numberOfStatements,numberOfMethodInvocations,distinctMethodInvocations,numberOfDistinctMethodInvocations,distinctMethodInvocationsInSameClass,numberOfDistinctMethodInvocationsInSameClass,distinctTestCaseMethodInvocationsInSameClass,numberOfDistinctTestCaseMethodInvocationsInSameClass,numberOfMethodInvocationsWithExceptions,numberOfExceptionsThrown,numberOfExceptionsThrownAndCaughtExact,numberOfExceptionsThrownAndCaughtPartial,exceptionsThrownInMethodInvocations,numberOfAssertions,numberOfAssertionsWithRecursion,distinctMethodsInSameClassThatCallThisOne,numberOfdistinctMethodsInSameClassThatCallThisOne,distinctTestCasesInSameClassThatCallThisOne,numberOfdistinctTestCasesInSameClassThatCallThisOne
hibernate-search,hibernate-search-engine,/hibernate-search-engine/src/test/java/org/hibernate/search/engine/backend/orchestration/spi/BatchingExecutorTest.java,org.hibernate.search.engine.backend.orchestration.spi.BatchingExecutorTest,simple_batchCompletesImmediately,()V,void simple_batchCompletesImmediately(),org.junit.Test,19,19,23,CompletableFuture completedFuture(Object value)|CompletableFuture<?> endBatch()|IExpectationSetters andReturn(Object value)|IExpectationSetters expect(Object value)|Object createMock(Class toMock)|void beginBatch()|void createAndStartExecutor(int maxTasksPerBatch; boolean fair)|void replayAll()|void resetAll()|void submit(W workset)|void submitTo(P processor)|void verifyAllAsynchronously(),12,void createAndStartExecutor(int maxTasksPerBatch; boolean fair)|void verifyAllAsynchronously(),2,,0,2,2,0,0,java.lang.InterruptedException,0,0,,0,,0
hibernate-search,hibernate-search-engine,/hibernate-search-engine/src/test/java/org/hibernate/search/engine/backend/orchestration/spi/BatchingExecutorTest.java,org.hibernate.search.engine.backend.orchestration.spi.BatchingExecutorTest,simple_batchCompletesLater,()V,void simple_batchCompletesLater(),org.junit.Test,23,23,25,CompletableFuture<?> endBatch()|IExpectationSetters andReturn(Object value)|IExpectationSetters expect(Object value)|Object createMock(Class toMock)|boolean complete(Object value)|void beginBatch()|void createAndStartExecutor(int maxTasksPerBatch; boolean fair)|void replayAll()|void resetAll()|void submit(W workset)|void submitTo(P processor)|void verifyAllAsynchronously(),12,void createAndStartExecutor(int maxTasksPerBatch; boolean fair)|void verifyAllAsynchronously(),2,,0,3,3,0,0,java.lang.InterruptedException,0,0,,0,,0
hibernate-search,hibernate-search-engine,/hibernate-search-engine/src/test/java/org/hibernate/search/engine/backend/orchestration/spi/BatchingExecutorTest.java,org.hibernate.search.engine.backend.orchestration.spi.BatchingExecutorTest,beginBatchFailure,()V,void beginBatchFailure(),org.junit.Test,30,30,38,AbstractAssert isSameAs(Object expected)|AbstractCharSequenceAssert contains(CharSequence[] values)|AbstractStringAssert asString()|AbstractThrowableAssert assertThat(Throwable actual)|Capture newInstance()|CompletableFuture<?> endBatch()|IExpectationSetters andReturn(Object value)|IExpectationSetters andThrow(Throwable throwable)|IExpectationSetters expect(Object value)|IExpectationSetters expectLastCall()|Object capture(Capture captured)|Object createMock(Class toMock)|Object getFailingOperation()|Object getValue()|ObjectAssert assertThat(Object assertion)|Runnable blockExecutor()|Throwable getThrowable()|boolean complete(Object value)|void beginBatch()|void createAndStartExecutor(int maxTasksPerBatch; boolean fair)|void handle(FailureContext context)|void replayAll()|void resetAll()|void run()|void submit(W workset)|void submitTo(P processor)|void verifyAllAsynchronously(),27,Runnable blockExecutor()|void createAndStartExecutor(int maxTasksPerBatch; boolean fair)|void verifyAllAsynchronously(),3,,0,3,3,0,0,java.lang.InterruptedException,0,0,,0,,0
hibernate-search,hibernate-search-engine,/hibernate-search-engine/src/test/java/org/hibernate/search/engine/backend/orchestration/spi/BatchingExecutorTest.java,org.hibernate.search.engine.backend.orchestration.spi.BatchingExecutorTest,submitFailure,()V,void submitFailure(),org.junit.Test,31,31,33,CompletableFuture<?> endBatch()|IExpectationSetters andReturn(Object value)|IExpectationSetters andThrow(Throwable throwable)|IExpectationSetters expect(Object value)|IExpectationSetters expectLastCall()|Object createMock(Class toMock)|Runnable blockExecutor()|boolean complete(Object value)|void beginBatch()|void createAndStartExecutor(int maxTasksPerBatch; boolean fair)|void markAsFailed(Throwable t)|void replayAll()|void resetAll()|void run()|void submit(W workset)|void submitTo(P processor)|void verifyAllAsynchronously(),17,Runnable blockExecutor()|void createAndStartExecutor(int maxTasksPerBatch; boolean fair)|void verifyAllAsynchronously(),3,,0,5,5,0,0,java.lang.InterruptedException,0,0,,0,,0
hibernate-search,hibernate-search-engine,/hibernate-search-engine/src/test/java/org/hibernate/search/engine/backend/orchestration/spi/BatchingExecutorTest.java,org.hibernate.search.engine.backend.orchestration.spi.BatchingExecutorTest,endBatchFailure,()V,void endBatchFailure(),org.junit.Test,29,29,37,AbstractAssert isSameAs(Object expected)|AbstractCharSequenceAssert contains(CharSequence[] values)|AbstractStringAssert asString()|AbstractThrowableAssert assertThat(Throwable actual)|Capture newInstance()|CompletableFuture<?> endBatch()|IExpectationSetters andReturn(Object value)|IExpectationSetters andThrow(Throwable throwable)|IExpectationSetters expect(Object value)|Object capture(Capture captured)|Object createMock(Class toMock)|Object getFailingOperation()|Object getValue()|ObjectAssert assertThat(Object assertion)|Runnable blockExecutor()|Throwable getThrowable()|void beginBatch()|void createAndStartExecutor(int maxTasksPerBatch; boolean fair)|void handle(FailureContext context)|void replayAll()|void resetAll()|void run()|void submit(W workset)|void submitTo(P processor)|void verifyAllAsynchronously(),25,Runnable blockExecutor()|void createAndStartExecutor(int maxTasksPerBatch; boolean fair)|void verifyAllAsynchronously(),3,,0,4,4,0,0,java.lang.InterruptedException,0,0,,0,,0
hibernate-search,hibernate-search-engine,/hibernate-search-engine/src/test/java/org/hibernate/search/engine/backend/orchestration/spi/BatchingExecutorTest.java,org.hibernate.search.engine.backend.orchestration.spi.BatchingExecutorTest,completion,()V,void completion(),org.junit.Test,46,46,57,CompletableFuture<?> endBatch()|CompletableFuture<?> getCompletion()|FutureAssert<T> assertThat(Future<T> future)|FutureAssert<T> isPending()|FutureAssert<T> isSuccessful()|IExpectationSetters andReturn(Object value)|IExpectationSetters expect(Object value)|Object createMock(Class toMock)|boolean complete(Object value)|void beginBatch()|void createAndStartExecutor(int maxTasksPerBatch; boolean fair)|void replayAll()|void resetAll()|void submit(W workset)|void submitTo(P processor)|void verifyAllAsynchronously(),16,void createAndStartExecutor(int maxTasksPerBatch; boolean fair)|void verifyAllAsynchronously(),2,,0,2,2,0,0,java.lang.InterruptedException,0,0,,0,,0
hibernate-search,hibernate-search-engine,/hibernate-search-engine/src/test/java/org/hibernate/search/engine/cfg/spi/ConfigurationPropertyInvalidSimpleValuesTest.java,org.hibernate.search.engine.cfg.spi.ConfigurationPropertyInvalidSimpleValuesTest,withDefault,()V,void withDefault(),org.junit.Test,16,16,37,AbstractThrowableAssert hasMessageContaining(String description)|AbstractThrowableAssert<?;Throwable> assertThrown()|ConfigurationProperty<T> build()|DefaultedPropertyContext<T> withDefault(T defaultValue)|ExceptionThrowingSubTest expectException(Callable<?> callable)|IExpectationSetters andReturn(Object value)|IExpectationSetters expect(Object value)|KeyContext forKey(String key)|Object apply(Object t)|Optional of(Object value)|Optional<?> get(String key)|Optional<String> resolve(String key)|T get(ConfigurationPropertySource source)|void replayAll()|void resetAll()|void verifyAll(),16,,0,,0,0,0,0,0,,0,2,,0,,0
hibernate-search,hibernate-search-engine,/hibernate-search-engine/src/test/java/org/hibernate/search/engine/cfg/spi/ConfigurationPropertyInvalidSimpleValuesTest.java,org.hibernate.search.engine.cfg.spi.ConfigurationPropertyInvalidSimpleValuesTest,withoutDefault,()V,void withoutDefault(),org.junit.Test,16,16,36,AbstractThrowableAssert hasMessageContaining(String description)|AbstractThrowableAssert<?;Throwable> assertThrown()|ExceptionThrowingSubTest expectException(Callable<?> callable)|IExpectationSetters andReturn(Object value)|IExpectationSetters expect(Object value)|KeyContext forKey(String key)|Object apply(Object t)|Optional of(Object value)|Optional<?> get(String key)|Optional<String> resolve(String key)|OptionalConfigurationProperty<T> build()|T get(ConfigurationPropertySource source)|void replayAll()|void resetAll()|void verifyAll(),15,,0,,0,0,0,0,0,,0,2,,0,,0
hibernate-search,hibernate-search-engine,/hibernate-search-engine/src/test/java/org/hibernate/search/engine/cfg/spi/ConfigurationPropertyInvalidSimpleValuesTest.java,org.hibernate.search.engine.cfg.spi.ConfigurationPropertyInvalidSimpleValuesTest,multiValued,()V,void multiValued(),org.junit.Test,30,30,72,AbstractThrowableAssert hasCauseInstanceOf(Class type)|AbstractThrowableAssert hasMessageContaining(String description)|AbstractThrowableAssert<?;Throwable> assertThrown()|Collection<T> createCollection(T[] values)|ExceptionThrowingSubTest expectException(Callable<?> callable)|IExpectationSetters andReturn(Object value)|IExpectationSetters expect(Object value)|KeyContext forKey(String key)|Object apply(Object t)|Optional of(Object value)|Optional<?> get(String key)|Optional<String> resolve(String key)|OptionalConfigurationProperty<T> build()|OptionalPropertyContext<List<T>> multivalued()|T get(ConfigurationPropertySource source)|void replayAll()|void resetAll()|void verifyAll(),18,Collection<T> createCollection(T[] values),1,,0,0,0,0,0,,0,4,,0,,0
hibernate-search,hibernate-search-engine,/hibernate-search-engine/src/test/java/org/hibernate/search/engine/cfg/spi/ConfigurationPropertyBeanReferenceTest.java,org.hibernate.search.engine.cfg.spi.ConfigurationPropertyBeanReferenceTest,withDefault,()V,void withDefault(),org.junit.Test,33,33,65,AbstractAssert isEqualTo(Object expected)|BeanHolder<T> of(T instance)|BeanHolder<T> resolve(BeanResolver beanResolver)|BeanHolder<T> resolve(Class<T> typeReference)|BeanHolder<T> resolve(Class<T> typeReference; String nameReference)|BeanReference<T> of(Class<T> type)|BeanReference<T> of(Class<T> type; String name)|ConfigurationProperty<T> build()|DefaultedPropertyContext<T> withDefault(T defaultValue)|IExpectationSetters andReturn(Object value)|IExpectationSetters expect(Object value)|KeyContext forKey(String key)|ObjectAssert assertThat(Object assertion)|Optional empty()|Optional of(Object value)|Optional<?> get(String key)|OptionalPropertyContext<BeanReference<? extends T>> asBeanReference(Class<T> expectedBeanType)|T get(ConfigurationPropertySource source)|void replayAll()|void resetAll()|void verifyAll(),21,,0,,0,0,0,0,0,,0,0,,0,,0
