mainProjectName,projectName,filePath,typeName,methodName,methodShortSignature,methodVerboseSignature,methodAnnotations,numberOfFirstLevelStatements,numberOfStatements,numberOfMethodInvocations,distinctMethodInvocations,numberOfDistinctMethodInvocations,distinctMethodInvocationsInSameClass,numberOfDistinctMethodInvocationsInSameClass,distinctTestCaseMethodInvocationsInSameClass,numberOfDistinctTestCaseMethodInvocationsInSameClass,numberOfMethodInvocationsWithExceptions,numberOfExceptionsThrown,numberOfExceptionsThrownAndCaughtExact,numberOfExceptionsThrownAndCaughtPartial,exceptionsThrownInMethodInvocations,numberOfAssertions,numberOfAssertionsWithRecursion,distinctMethodsInSameClassThatCallThisOne,numberOfdistinctMethodsInSameClassThatCallThisOne,distinctTestCasesInSameClassThatCallThisOne,numberOfdistinctTestCasesInSameClassThatCallThisOne
hibernate-search,hibernate-search-integrationtest-backend-elasticsearch,/hibernate-search-integrationtest-backend-elasticsearch/src/test/java/org/hibernate/search/integrationtest/backend/elasticsearch/ElasticsearchExtensionIT.java,org.hibernate.search.integrationtest.backend.elasticsearch.ElasticsearchExtensionIT,queryContext,()V,void queryContext(),org.junit.Test|java.lang.SuppressWarnings,14,14,42,CompositeProjectionOptionsStep<?;T> composite(BiFunction<P1;P2;T> transformer; ProjectionFinalStep<P1> dslFinalStep1; ProjectionFinalStep<P2> dslFinalStep2)|DocumentReferenceProjectionOptionsStep<?> documentReference()|ElasticsearchExtension<H;R;E> get()|ElasticsearchSearchQuery<H> toQuery()|ElasticsearchSearchQueryPredicateStep<E> asEntity()|ElasticsearchSearchQueryPredicateStep<List<?>> asProjections(SearchProjection<?>[] projections)|ElasticsearchSearchQueryPredicateStep<P> asProjection(Function<? super ElasticsearchSearchProjectionFactory<R;E>;? extends ProjectionFinalStep<P>> projectionContributor)|ElasticsearchSearchQueryPredicateStep<P> asProjection(SearchProjection<P> projection)|ElasticsearchSearchQueryPredicateStep<R> asEntityReference()|N predicate(Function<? super PDF;? extends PredicateFinalStep> predicateContributor)|PredicateFinalStep fromJson(String jsonString)|ProjectionFinalStep<JsonObject> source()|R fetchAll()|S sort(Function<? super SF;? extends SortFinalStep> sortContributor)|SearchProjection<T> toProjection()|SearchProjectionFactory<R;E> projection()|SearchQueryHitTypeStep<?;DocumentReference;DocumentReference;?;?> query()|SearchResultAssert<H> assertThat(SearchResult<? extends H> actual)|SearchResultAssert<H> fromQuery(SearchQuery<?> query)|SearchResultAssert<H> hasDocRefHitsAnyOrder(String indexName; String firstId; String[] otherIds)|SearchResultAssert<H> hasTotalHitCount(long expected)|SortThenStep fromJson(String jsonString)|StubMappingScope createScope()|T extension(SearchQueryDslExtension<T;R;E> extension),24,,0,,0,0,0,0,0,,0,0,,0,,0
hibernate-search,hibernate-search-integrationtest-backend-elasticsearch,/hibernate-search-integrationtest-backend-elasticsearch/src/test/java/org/hibernate/search/integrationtest/backend/elasticsearch/ElasticsearchExtensionIT.java,org.hibernate.search.integrationtest.backend.elasticsearch.ElasticsearchExtensionIT,query,()V,void query(),org.junit.Test,6,6,17,AbstractAssert isInstanceOf(Class type)|AbstractThrowableAssert<?;Throwable> assertThrown()|ElasticsearchExtension<H;R;E> get()|ExceptionThrowingSubTest expectException(Callable<?> callable)|MatchAllPredicateOptionsStep<?> matchAll()|N predicate(Function<? super PDF;? extends PredicateFinalStep> predicateContributor)|Optional empty()|Q extension(SearchQueryExtension<Q;H> extension)|R fetchAll()|SearchQuery<H> toQuery()|SearchQueryHitTypeStep<?;DocumentReference;DocumentReference;?;?> query()|SearchResultAssert<H> assertThat(SearchResult<? extends H> actual)|SearchResultAssert<H> fromQuery(SearchQuery<?> query)|SearchResultAssert<H> hasDocRefHitsAnyOrder(String indexName; String firstId; String[] otherIds)|SearchResultAssert<H> hasTotalHitCount(long expected)|StubMappingScope createScope(),16,,0,,0,0,0,0,0,,0,1,,0,,0
hibernate-search,hibernate-search-integrationtest-backend-elasticsearch,/hibernate-search-integrationtest-backend-elasticsearch/src/test/java/org/hibernate/search/integrationtest/backend/elasticsearch/ElasticsearchExtensionIT.java,org.hibernate.search.integrationtest.backend.elasticsearch.ElasticsearchExtensionIT,query_tookAndTimedOut,()V,void query_tookAndTimedOut(),org.junit.Test,7,7,14,Duration getTook()|ElasticsearchExtension<H;R;E> get()|MatchAllPredicateOptionsStep<?> matchAll()|N predicate(Function<? super PDF;? extends PredicateFinalStep> predicateContributor)|Q extension(SearchQueryExtension<Q;H> extension)|R fetchAll()|SearchQuery<H> toQuery()|SearchQueryHitTypeStep<?;DocumentReference;DocumentReference;?;?> query()|StubMappingScope createScope()|boolean isTimedOut()|void assertFalse(boolean condition)|void assertNotNull(Object object),12,,0,,0,0,0,0,0,,3,3,,0,,0
hibernate-search,hibernate-search-integrationtest-backend-elasticsearch,/hibernate-search-integrationtest-backend-elasticsearch/src/test/java/org/hibernate/search/integrationtest/backend/elasticsearch/ElasticsearchExtensionIT.java,org.hibernate.search.integrationtest.backend.elasticsearch.ElasticsearchExtensionIT,query_gsonResponseBody,()V,void query_gsonResponseBody(),org.junit.Test,3,3,13,AbstractAssert isInstanceOf(Class type)|AbstractAssert isNotNull()|AbstractObjectAssert extracting(Function extractor)|ElasticsearchExtension<H;R;E> get()|JsonElement get(String memberName)|JsonObject getResponseBody()|MatchAllPredicateOptionsStep<?> matchAll()|N predicate(Function<? super PDF;? extends PredicateFinalStep> predicateContributor)|ObjectAssert assertThat(Object assertion)|R fetchAll()|SearchQueryHitTypeStep<?;DocumentReference;DocumentReference;?;?> query()|StubMappingScope createScope()|T extension(SearchQueryDslExtension<T;R;E> extension),13,,0,,0,0,0,0,0,,0,0,,0,,0
hibernate-search,hibernate-search-integrationtest-backend-elasticsearch,/hibernate-search-integrationtest-backend-elasticsearch/src/test/java/org/hibernate/search/integrationtest/backend/elasticsearch/ElasticsearchExtensionIT.java,org.hibernate.search.integrationtest.backend.elasticsearch.ElasticsearchExtensionIT,query_explain_singleIndex,()V,void query_explain_singleIndex(),org.junit.Test,4,4,18,AbstractCharSequenceAssert contains(CharSequence[] values)|AbstractStringAssert asString()|ElasticsearchExtension<H;R;E> get()|ElasticsearchSearchQuery<H> toQuery()|JsonObject explain(String id)|MatchIdPredicateMatchingStep<?> id()|N matching(Object value)|N predicate(Function<? super PDF;? extends PredicateFinalStep> predicateContributor)|ObjectAssert assertThat(Object assertion)|SearchQueryHitTypeStep<?;DocumentReference;DocumentReference;?;?> query()|StubMappingScope createScope()|T extension(SearchQueryDslExtension<T;R;E> extension),12,,0,,0,0,0,0,0,,0,0,,0,,0
hibernate-search,hibernate-search-integrationtest-backend-elasticsearch,/hibernate-search-integrationtest-backend-elasticsearch/src/test/java/org/hibernate/search/integrationtest/backend/elasticsearch/ElasticsearchExtensionIT.java,org.hibernate.search.integrationtest.backend.elasticsearch.ElasticsearchExtensionIT,query_explain_singleIndex_invalidId,()V,void query_explain_singleIndex_invalidId(),org.junit.Test,3,3,18,AbstractAssert has(Condition condition)|AbstractThrowableAssert<?;Throwable> assertThrown()|ElasticsearchExtension<H;R;E> get()|ElasticsearchSearchQuery<H> toQuery()|ExceptionMatcherBuilder causedBy(Class<? extends Throwable> clazz)|ExceptionMatcherBuilder isException(Class<? extends Throwable> clazz)|ExceptionMatcherBuilder withMessage(String contained)|ExceptionThrowingSubTest expectException(Callable<?> callable)|JsonObject explain(String id)|MatchIdPredicateMatchingStep<?> id()|Matcher<? super Throwable> build()|N matching(Object value)|N predicate(Function<? super PDF;? extends PredicateFinalStep> predicateContributor)|SearchQueryHitTypeStep<?;DocumentReference;DocumentReference;?;?> query()|String normalize(String indexName)|StubMappingScope createScope()|T extension(SearchQueryDslExtension<T;R;E> extension),17,,0,,0,0,0,0,0,,0,1,,0,,0
hibernate-search,hibernate-search-integrationtest-backend-elasticsearch,/hibernate-search-integrationtest-backend-elasticsearch/src/test/java/org/hibernate/search/integrationtest/backend/elasticsearch/ElasticsearchExtensionIT.java,org.hibernate.search.integrationtest.backend.elasticsearch.ElasticsearchExtensionIT,query_explain_multipleIndexes,()V,void query_explain_multipleIndexes(),org.junit.Test,4,4,18,AbstractCharSequenceAssert contains(CharSequence[] values)|AbstractStringAssert asString()|ElasticsearchExtension<H;R;E> get()|ElasticsearchSearchQuery<H> toQuery()|JsonObject explain(String indexName; String id)|MatchIdPredicateMatchingStep<?> id()|N matching(Object value)|N predicate(Function<? super PDF;? extends PredicateFinalStep> predicateContributor)|ObjectAssert assertThat(Object assertion)|SearchQueryHitTypeStep<?;DocumentReference;DocumentReference;?;?> query()|StubMappingScope createScope(StubMappingIndexManager[] others)|T extension(SearchQueryDslExtension<T;R;E> extension),12,,0,,0,0,0,0,0,,0,0,,0,,0
hibernate-search,hibernate-search-integrationtest-backend-elasticsearch,/hibernate-search-integrationtest-backend-elasticsearch/src/test/java/org/hibernate/search/integrationtest/backend/elasticsearch/ElasticsearchExtensionIT.java,org.hibernate.search.integrationtest.backend.elasticsearch.ElasticsearchExtensionIT,query_explain_multipleIndexes_missingIndexName,()V,void query_explain_multipleIndexes_missingIndexName(),org.junit.Test,3,3,16,AbstractAssert isInstanceOf(Class type)|AbstractThrowableAssert hasMessageContaining(String description)|AbstractThrowableAssert<?;Throwable> assertThrown()|ElasticsearchExtension<H;R;E> get()|ElasticsearchSearchQuery<H> toQuery()|ExceptionThrowingSubTest expectException(Callable<?> callable)|JsonObject explain(String id)|MatchIdPredicateMatchingStep<?> id()|N matching(Object value)|N predicate(Function<? super PDF;? extends PredicateFinalStep> predicateContributor)|SearchQueryHitTypeStep<?;DocumentReference;DocumentReference;?;?> query()|String normalize(String indexName)|StubMappingScope createScope(StubMappingIndexManager[] others)|T extension(SearchQueryDslExtension<T;R;E> extension),14,,0,,0,0,0,0,0,,0,1,,0,,0
hibernate-search,hibernate-search-integrationtest-backend-elasticsearch,/hibernate-search-integrationtest-backend-elasticsearch/src/test/java/org/hibernate/search/integrationtest/backend/elasticsearch/ElasticsearchExtensionIT.java,org.hibernate.search.integrationtest.backend.elasticsearch.ElasticsearchExtensionIT,query_explain_multipleIndexes_invalidIndexName,()V,void query_explain_multipleIndexes_invalidIndexName(),org.junit.Test,3,3,15,AbstractAssert isInstanceOf(Class type)|AbstractThrowableAssert hasMessageContaining(String description)|AbstractThrowableAssert<?;Throwable> assertThrown()|ElasticsearchExtension<H;R;E> get()|ElasticsearchSearchQuery<H> toQuery()|ExceptionThrowingSubTest expectException(Callable<?> callable)|JsonObject explain(String indexName; String id)|MatchIdPredicateMatchingStep<?> id()|N matching(Object value)|N predicate(Function<? super PDF;? extends PredicateFinalStep> predicateContributor)|SearchQueryHitTypeStep<?;DocumentReference;DocumentReference;?;?> query()|String normalize(String indexName)|StubMappingScope createScope(StubMappingIndexManager[] others)|T extension(SearchQueryDslExtension<T;R;E> extension),14,,0,,0,0,0,0,0,,0,1,,0,,0
hibernate-search,hibernate-search-integrationtest-backend-elasticsearch,/hibernate-search-integrationtest-backend-elasticsearch/src/test/java/org/hibernate/search/integrationtest/backend/elasticsearch/ElasticsearchExtensionIT.java,org.hibernate.search.integrationtest.backend.elasticsearch.ElasticsearchExtensionIT,predicate_nativeField,()V,void predicate_nativeField(),org.junit.Test,3,3,10,MatchPredicateFieldStep<?> match()|N field(String absoluteFieldPath)|N matching(Object value)|N predicate(Function<? super PDF;? extends PredicateFinalStep> predicateContributor)|SearchQuery<H> toQuery()|SearchQueryHitTypeStep<?;DocumentReference;DocumentReference;?;?> query()|SearchResultAssert<H> assertThat(SearchQuery<? extends H> searchQuery)|SearchResultAssert<H> hasDocRefHitsAnyOrder(String indexName; String firstId; String[] otherIds)|SearchResultAssert<H> hasTotalHitCount(long expected)|StubMappingScope createScope(),10,,0,,0,0,0,0,0,,0,0,,0,,0
