mainProjectName,projectName,filePath,typeName,methodName,methodShortSignature,methodVerboseSignature,methodAnnotations,numberOfFirstLevelStatements,numberOfStatements,numberOfMethodInvocations,distinctMethodInvocations,numberOfDistinctMethodInvocations,distinctMethodInvocationsInSameClass,numberOfDistinctMethodInvocationsInSameClass,distinctTestCaseMethodInvocationsInSameClass,numberOfDistinctTestCaseMethodInvocationsInSameClass,numberOfMethodInvocationsWithExceptions,numberOfExceptionsThrown,numberOfExceptionsThrownAndCaughtExact,numberOfExceptionsThrownAndCaughtPartial,exceptionsThrownInMethodInvocations,numberOfAssertions,numberOfAssertionsWithRecursion,distinctMethodsInSameClassThatCallThisOne,numberOfdistinctMethodsInSameClassThatCallThisOne,distinctTestCasesInSameClassThatCallThisOne,numberOfdistinctTestCasesInSameClassThatCallThisOne
hibernate-search,hibernate-search-integrationtest-backend-tck,/hibernate-search-integrationtest-backend-tck/src/main/java/org/hibernate/search/integrationtest/backend/tck/ObjectFieldStorageIT.java,org.hibernate.search.integrationtest.backend.tck.ObjectFieldStorageIT,index_error_invalidFieldForDocumentElement_root,()V,void index_error_invalidFieldForDocumentElement_root(),org.junit.Test,6,8,10,CompletableFuture<?> execute()|DocumentElement addObject(IndexObjectFieldReference fieldReference)|DocumentReferenceProvider referenceProvider(String identifier)|IndexIndexingPlan<? extends DocumentElement> createIndexingPlan()|Object join()|void add(DocumentReferenceProvider documentReferenceProvider; DocumentContributor<D> documentContributor)|void addValue(IndexFieldReference<F> fieldReference; F value)|void expect(Class type)|void expectMessage(String substring),9,,0,,0,0,0,0,0,,0,0,,0,,0
hibernate-search,hibernate-search-integrationtest-backend-tck,/hibernate-search-integrationtest-backend-tck/src/main/java/org/hibernate/search/integrationtest/backend/tck/ObjectFieldStorageIT.java,org.hibernate.search.integrationtest.backend.tck.ObjectFieldStorageIT,index_error_invalidFieldForDocumentElement_flattened,()V,void index_error_invalidFieldForDocumentElement_flattened(),org.junit.Test,6,7,9,CompletableFuture<?> execute()|DocumentReferenceProvider referenceProvider(String identifier)|IndexIndexingPlan<? extends DocumentElement> createIndexingPlan()|Object join()|void add(DocumentReferenceProvider documentReferenceProvider; DocumentContributor<D> documentContributor)|void addValue(IndexFieldReference<F> fieldReference; F value)|void expect(Class type)|void expectMessage(String substring),8,,0,,0,0,0,0,0,,0,0,,0,,0
hibernate-search,hibernate-search-integrationtest-backend-tck,/hibernate-search-integrationtest-backend-tck/src/main/java/org/hibernate/search/integrationtest/backend/tck/ObjectFieldStorageIT.java,org.hibernate.search.integrationtest.backend.tck.ObjectFieldStorageIT,index_error_invalidFieldForDocumentElement_nested,()V,void index_error_invalidFieldForDocumentElement_nested(),org.junit.Test,6,7,9,CompletableFuture<?> execute()|DocumentReferenceProvider referenceProvider(String identifier)|IndexIndexingPlan<? extends DocumentElement> createIndexingPlan()|Object join()|void add(DocumentReferenceProvider documentReferenceProvider; DocumentContributor<D> documentContributor)|void addValue(IndexFieldReference<F> fieldReference; F value)|void expect(Class type)|void expectMessage(String substring),8,,0,,0,0,0,0,0,,0,0,,0,,0
hibernate-search,hibernate-search-integrationtest-backend-tck,/hibernate-search-integrationtest-backend-tck/src/main/java/org/hibernate/search/integrationtest/backend/tck/ObjectFieldStorageIT.java,org.hibernate.search.integrationtest.backend.tck.ObjectFieldStorageIT,search_match,()V,void search_match(),org.junit.Test,5,5,50,BooleanPredicateClausesStep<?> bool()|MatchPredicateFieldStep<?> match()|N field(String absoluteFieldPath)|N matching(Object value)|N nest(PredicateFinalStep dslFinalStep)|N objectField(String absoluteFieldPath)|N predicate(Function<? super PDF;? extends PredicateFinalStep> predicateContributor)|NestedPredicateFieldStep<?> nested()|S must(PredicateFinalStep dslFinalStep)|SearchQuery<H> toQuery()|SearchQueryHitTypeStep<?;DocumentReference;DocumentReference;?;?> query()|SearchResultAssert<H> assertThat(SearchQuery<? extends H> searchQuery)|SearchResultAssert<H> hasDocRefHitsAnyOrder(String indexName; String firstId; String[] otherIds)|SearchResultAssert<H> hasTotalHitCount(long expected)|StubMappingScope createScope(),15,,0,,0,0,0,0,0,,0,0,,0,,0
hibernate-search,hibernate-search-integrationtest-backend-tck,/hibernate-search-integrationtest-backend-tck/src/main/java/org/hibernate/search/integrationtest/backend/tck/ObjectFieldStorageIT.java,org.hibernate.search.integrationtest.backend.tck.ObjectFieldStorageIT,search_range,()V,void search_range(),org.junit.Test,5,5,46,BooleanPredicateClausesStep<?> bool()|LocalDate minusDays(long daysToSubtract)|LocalDate plusDays(long daysToAdd)|N between(Object lowerBound; Object upperBound)|N field(String absoluteFieldPath)|N nest(PredicateFinalStep dslFinalStep)|N objectField(String absoluteFieldPath)|N predicate(Function<? super PDF;? extends PredicateFinalStep> predicateContributor)|NestedPredicateFieldStep<?> nested()|RangePredicateFieldStep<?> range()|S must(PredicateFinalStep dslFinalStep)|SearchQuery<H> toQuery()|SearchQueryHitTypeStep<?;DocumentReference;DocumentReference;?;?> query()|SearchResultAssert<H> assertThat(SearchQuery<? extends H> searchQuery)|SearchResultAssert<H> hasDocRefHitsAnyOrder(String indexName; String firstId; String[] otherIds)|SearchResultAssert<H> hasTotalHitCount(long expected)|StubMappingScope createScope(),17,,0,,0,0,0,0,0,,0,0,,0,,0
hibernate-search,hibernate-search-integrationtest-backend-tck,/hibernate-search-integrationtest-backend-tck/src/main/java/org/hibernate/search/integrationtest/backend/tck/ObjectFieldStorageIT.java,org.hibernate.search.integrationtest.backend.tck.ObjectFieldStorageIT,search_error_nonNestedField,()V,void search_error_nonNestedField(),org.junit.Test,5,5,7,N objectField(String absoluteFieldPath)|NestedPredicateFieldStep<?> nested()|SearchPredicateFactory predicate()|StubMappingScope createScope()|void expect(Class type)|void expectMessage(String substring),6,,0,,0,0,0,0,0,,0,0,,0,,0
hibernate-search,hibernate-search-integrationtest-backend-tck,/hibernate-search-integrationtest-backend-tck/src/main/java/org/hibernate/search/integrationtest/backend/tck/ObjectFieldStorageIT.java,org.hibernate.search.integrationtest.backend.tck.ObjectFieldStorageIT,search_error_nonObjectField,()V,void search_error_nonObjectField(),org.junit.Test,5,5,7,N objectField(String absoluteFieldPath)|NestedPredicateFieldStep<?> nested()|SearchPredicateFactory predicate()|StubMappingScope createScope()|void expect(Class type)|void expectMessage(String substring),6,,0,,0,0,0,0,0,,0,0,,0,,0
hibernate-search,hibernate-search-integrationtest-backend-tck,/hibernate-search-integrationtest-backend-tck/src/main/java/org/hibernate/search/integrationtest/backend/tck/ObjectFieldStorageIT.java,org.hibernate.search.integrationtest.backend.tck.ObjectFieldStorageIT,search_error_missingField,()V,void search_error_missingField(),org.junit.Test,5,5,7,N objectField(String absoluteFieldPath)|NestedPredicateFieldStep<?> nested()|SearchPredicateFactory predicate()|StubMappingScope createScope()|void expect(Class type)|void expectMessage(String substring),6,,0,,0,0,0,0,0,,0,0,,0,,0
hibernate-search,hibernate-search-integrationtest-backend-tck,/hibernate-search-integrationtest-backend-tck/src/main/java/org/hibernate/search/integrationtest/backend/tck/SmokeIT.java,org.hibernate.search.integrationtest.backend.tck.SmokeIT,predicate_match,()V,void predicate_match(),org.junit.Test,11,11,47,LocalDate of(int year; int month; int dayOfMonth)|MatchPredicateFieldStep<?> match()|N field(String absoluteFieldPath)|N matching(Object value)|N predicate(Function<? super PDF;? extends PredicateFinalStep> predicateContributor)|SearchQuery<H> toQuery()|SearchQueryHitTypeStep<?;DocumentReference;DocumentReference;?;?> query()|SearchResultAssert<H> assertThat(SearchQuery<? extends H> searchQuery)|SearchResultAssert<H> hasDocRefHitsAnyOrder(String indexName; String firstId; String[] otherIds)|SearchResultAssert<H> hasTotalHitCount(long expected)|StubMappingScope createScope(),11,,0,,0,0,0,0,0,,0,0,,0,,0
hibernate-search,hibernate-search-integrationtest-backend-tck,/hibernate-search-integrationtest-backend-tck/src/main/java/org/hibernate/search/integrationtest/backend/tck/SmokeIT.java,org.hibernate.search.integrationtest.backend.tck.SmokeIT,predicate_range,()V,void predicate_range(),org.junit.Test,11,11,48,LocalDate of(int year; int month; int dayOfMonth)|N between(Object lowerBound; Object upperBound)|N field(String absoluteFieldPath)|N predicate(Function<? super PDF;? extends PredicateFinalStep> predicateContributor)|RangePredicateFieldStep<?> range()|SearchQuery<H> toQuery()|SearchQueryHitTypeStep<?;DocumentReference;DocumentReference;?;?> query()|SearchResultAssert<H> assertThat(SearchQuery<? extends H> searchQuery)|SearchResultAssert<H> hasDocRefHitsAnyOrder(String indexName; String firstId; String[] otherIds)|SearchResultAssert<H> hasTotalHitCount(long expected)|StubMappingScope createScope(),11,,0,,0,0,0,0,0,,0,0,,0,,0
