mainProjectName,projectName,filePath,typeName,methodName,methodShortSignature,methodVerboseSignature,methodAnnotations,numberOfFirstLevelStatements,numberOfStatements,numberOfMethodInvocations,distinctMethodInvocations,numberOfDistinctMethodInvocations,distinctMethodInvocationsInSameClass,numberOfDistinctMethodInvocationsInSameClass,distinctTestCaseMethodInvocationsInSameClass,numberOfDistinctTestCaseMethodInvocationsInSameClass,numberOfMethodInvocationsWithExceptions,numberOfExceptionsThrown,numberOfExceptionsThrownAndCaughtExact,numberOfExceptionsThrownAndCaughtPartial,exceptionsThrownInMethodInvocations,numberOfAssertions,numberOfAssertionsWithRecursion,distinctMethodsInSameClassThatCallThisOne,numberOfdistinctMethodsInSameClassThatCallThisOne,distinctTestCasesInSameClassThatCallThisOne,numberOfdistinctTestCasesInSameClassThatCallThisOne
hibernate-search,hibernate-search-integrationtest-elasticsearch,/hibernate-search-integrationtest-elasticsearch/src/test/java/org/hibernate/search/elasticsearch/test/ElasticsearchAnalysisDefinitionProviderIT.java,org.hibernate.search.elasticsearch.test.ElasticsearchAnalysisDefinitionProviderIT,simple,()V,void simple(),org.junit.Test,9,9,18,AbstractAssert isNotNull()|AbstractObjectAssert as(String description; Object[] args)|AnalyzerReference getAnalyzerReference(String name)|AnalyzerReference getNamedNormalizerReference(String name)|AnalyzerRegistry getAnalyzerRegistry()|AssertBuildingHSQueryContext assertThat(String fieldName; String value)|AssertHSQueryContext matchesExactlyIds(Serializable[] expectedIds)|ExtendedSearchIntegrator init(Class<?> providerClass; Class<?>[] entityClasses)|NormalizerRegistry getNormalizerRegistry()|ObjectAssert assertThat(Object assertion)|SearchIntegration getIntegration(IndexManagerType indexManagerType)|void add(Object[] entries),12,ExtendedSearchIntegrator init(Class<?> providerClass; Class<?>[] entityClasses),1,,0,0,0,0,0,,0,0,,0,,0
hibernate-search,hibernate-search-integrationtest-elasticsearch,/hibernate-search-integrationtest-elasticsearch/src/test/java/org/hibernate/search/elasticsearch/test/ElasticsearchAnalysisDefinitionProviderIT.java,org.hibernate.search.elasticsearch.test.ElasticsearchAnalysisDefinitionProviderIT,override,()V,void override(),org.junit.Test,9,9,18,AbstractAssert isNotNull()|AbstractObjectAssert as(String description; Object[] args)|AnalyzerReference getAnalyzerReference(String name)|AnalyzerReference getNamedNormalizerReference(String name)|AnalyzerRegistry getAnalyzerRegistry()|AssertBuildingHSQueryContext assertThat(String fieldName; String value)|AssertHSQueryContext matchesExactlyIds(Serializable[] expectedIds)|ExtendedSearchIntegrator init(Class<?> providerClass; Class<?>[] entityClasses)|NormalizerRegistry getNormalizerRegistry()|ObjectAssert assertThat(Object assertion)|SearchIntegration getIntegration(IndexManagerType indexManagerType)|void add(Object[] entries),12,ExtendedSearchIntegrator init(Class<?> providerClass; Class<?>[] entityClasses),1,,0,0,0,0,0,,0,0,,0,,0
hibernate-search,hibernate-search-integrationtest-elasticsearch,/hibernate-search-integrationtest-elasticsearch/src/test/java/org/hibernate/search/elasticsearch/test/ElasticsearchAnalysisDefinitionProviderIT.java,org.hibernate.search.elasticsearch.test.ElasticsearchAnalysisDefinitionProviderIT,searchFactoryIncrement,()V,void searchFactoryIncrement(),org.junit.Test,12,12,19,AbstractAssert isNotNull()|AbstractObjectAssert as(String description; Object[] args)|AnalyzerReference getAnalyzerReference(String name)|AnalyzerReference getNamedNormalizerReference(String name)|AnalyzerRegistry getAnalyzerRegistry()|AssertBuildingHSQueryContext assertThat(String fieldName; String value)|AssertHSQueryContext matchesExactlyIds(Serializable[] expectedIds)|ExtendedSearchIntegrator init(Class<?> providerClass; Class<?>[] entityClasses)|NormalizerRegistry getNormalizerRegistry()|ObjectAssert assertThat(Object assertion)|SearchIntegration getIntegration(IndexManagerType indexManagerType)|void add(Object[] entries)|void addClasses(Class<?>[] classes),13,ExtendedSearchIntegrator init(Class<?> providerClass; Class<?>[] entityClasses),1,,0,0,0,0,0,,0,0,,0,,0
hibernate-search,hibernate-search-integrationtest-elasticsearch,/hibernate-search-integrationtest-elasticsearch/src/test/java/org/hibernate/search/elasticsearch/test/ElasticsearchAnalysisDefinitionProviderIT.java,org.hibernate.search.elasticsearch.test.ElasticsearchAnalysisDefinitionProviderIT,unreferencedAnalyzer,()V,void unreferencedAnalyzer(),org.junit.Test,2,2,7,AbstractAssert isNotNull()|AbstractObjectAssert as(String description; Object[] args)|AnalyzerReference getAnalyzerReference(String name)|AnalyzerRegistry getAnalyzerRegistry()|ExtendedSearchIntegrator init(Class<?> providerClass; Class<?>[] entityClasses)|ObjectAssert assertThat(Object assertion)|SearchIntegration getIntegration(IndexManagerType indexManagerType),7,ExtendedSearchIntegrator init(Class<?> providerClass; Class<?>[] entityClasses),1,,0,0,0,0,0,,0,0,,0,,0
hibernate-search,hibernate-search-integrationtest-elasticsearch,/hibernate-search-integrationtest-elasticsearch/src/test/java/org/hibernate/search/elasticsearch/test/ElasticsearchAnalysisDefinitionProviderIT.java,org.hibernate.search.elasticsearch.test.ElasticsearchAnalysisDefinitionProviderIT,instantiation_factorymethod,()V,void instantiation_factorymethod(),org.junit.Test,2,2,7,AbstractAssert isNotNull()|AbstractObjectAssert as(String description; Object[] args)|AnalyzerReference getAnalyzerReference(String name)|AnalyzerRegistry getAnalyzerRegistry()|ExtendedSearchIntegrator init(Class<?> providerClass; Class<?>[] entityClasses)|ObjectAssert assertThat(Object assertion)|SearchIntegration getIntegration(IndexManagerType indexManagerType),7,ExtendedSearchIntegrator init(Class<?> providerClass; Class<?>[] entityClasses),1,,0,0,0,0,0,,0,0,,0,,0
hibernate-search,hibernate-search-integrationtest-elasticsearch,/hibernate-search-integrationtest-elasticsearch/src/test/java/org/hibernate/search/elasticsearch/test/ElasticsearchAnalysisDefinitionProviderIT.java,org.hibernate.search.elasticsearch.test.ElasticsearchAnalysisDefinitionProviderIT,invalid_notAClass,()V,void invalid_notAClass(),org.junit.Test,6,6,5,ExtendedSearchIntegrator create(SearchConfiguration configuration)|SearchConfigurationForTest addClass(Class<?> indexed)|SearchConfigurationForTest addProperty(String key; String value)|void expect(Class type)|void expectMessage(String substring),5,,0,,0,0,0,0,0,,0,0,,0,,0
hibernate-search,hibernate-search-integrationtest-elasticsearch,/hibernate-search-integrationtest-elasticsearch/src/test/java/org/hibernate/search/elasticsearch/test/ElasticsearchAnalysisDefinitionProviderIT.java,org.hibernate.search.elasticsearch.test.ElasticsearchAnalysisDefinitionProviderIT,invalid_luceneProvider,()V,void invalid_luceneProvider(),org.junit.Test,6,6,6,ExtendedSearchIntegrator create(SearchConfiguration configuration)|SearchConfigurationForTest addClass(Class<?> indexed)|SearchConfigurationForTest addProperty(String key; String value)|String getName()|void expect(Class type)|void expectMessage(String substring),6,,0,,0,0,0,0,0,,0,0,,0,,0
hibernate-search,hibernate-search-integrationtest-elasticsearch,/hibernate-search-integrationtest-elasticsearch/src/test/java/org/hibernate/search/elasticsearch/test/ElasticsearchAnalysisDefinitionProviderIT.java,org.hibernate.search.elasticsearch.test.ElasticsearchAnalysisDefinitionProviderIT,namingConflict_withinProvider_analyzer,()V,void namingConflict_withinProvider_analyzer(),org.junit.Test,3,3,3,ExtendedSearchIntegrator init(Class<?> providerClass; Class<?>[] entityClasses)|void expect(Class type)|void expectMessage(String substring),3,ExtendedSearchIntegrator init(Class<?> providerClass; Class<?>[] entityClasses),1,,0,0,0,0,0,,0,0,,0,,0
hibernate-search,hibernate-search-integrationtest-elasticsearch,/hibernate-search-integrationtest-elasticsearch/src/test/java/org/hibernate/search/elasticsearch/test/ElasticsearchAnalysisDefinitionProviderIT.java,org.hibernate.search.elasticsearch.test.ElasticsearchAnalysisDefinitionProviderIT,namingConflict_withinProvider_normalizer,()V,void namingConflict_withinProvider_normalizer(),org.junit.Test,3,3,3,ExtendedSearchIntegrator init(Class<?> providerClass; Class<?>[] entityClasses)|void expect(Class type)|void expectMessage(String substring),3,ExtendedSearchIntegrator init(Class<?> providerClass; Class<?>[] entityClasses),1,,0,0,0,0,0,,0,0,,0,,0
hibernate-search,hibernate-search-integrationtest-elasticsearch,/hibernate-search-integrationtest-elasticsearch/src/test/java/org/hibernate/search/elasticsearch/test/ElasticsearchAnalysisDefinitionProviderIT.java,org.hibernate.search.elasticsearch.test.ElasticsearchAnalysisDefinitionProviderIT,namingConflict_withinProvider_tokenizer,()V,void namingConflict_withinProvider_tokenizer(),org.junit.Test,3,3,3,ExtendedSearchIntegrator init(Class<?> providerClass; Class<?>[] entityClasses)|void expect(Class type)|void expectMessage(String substring),3,ExtendedSearchIntegrator init(Class<?> providerClass; Class<?>[] entityClasses),1,,0,0,0,0,0,,0,0,,0,,0
