mainProjectName,projectName,filePath,typeName,methodName,methodShortSignature,methodVerboseSignature,methodAnnotations,numberOfFirstLevelStatements,numberOfStatements,numberOfMethodInvocations,distinctMethodInvocations,numberOfDistinctMethodInvocations,distinctMethodInvocationsInSameClass,numberOfDistinctMethodInvocationsInSameClass,distinctTestCaseMethodInvocationsInSameClass,numberOfDistinctTestCaseMethodInvocationsInSameClass,numberOfMethodInvocationsWithExceptions,numberOfExceptionsThrown,numberOfExceptionsThrownAndCaughtExact,numberOfExceptionsThrownAndCaughtPartial,exceptionsThrownInMethodInvocations,numberOfAssertions,numberOfAssertionsWithRecursion,distinctMethodsInSameClassThatCallThisOne,numberOfdistinctMethodsInSameClassThatCallThisOne,distinctTestCasesInSameClassThatCallThisOne,numberOfdistinctTestCasesInSameClassThatCallThisOne
hibernate-search,hibernate-search-integrationtest-jsr352,/hibernate-search-integrationtest-jsr352/src/test/java/org/hibernate/search/jsr352/massindexing/BatchIndexingJobIT.java,org.hibernate.search.jsr352.massindexing.BatchIndexingJobIT,simple,()V,void simple(),org.junit.Test,19,19,29,JobExecution getJobExecution(long executionId)|JobExecution waitForTermination(JobOperator jobOperator; JobExecution jobExecution; int timeoutInMs)|List<T> findIndexedResults(EntityManagerFactory emf; Class<T> clazz; String key; String value)|ParametersBuilder checkpointInterval(int checkpointInterval)|ParametersBuilder forEntities(Class<?> entityType; Class<?>[] entityTypes)|ParametersBuilderInitialStep parameters()|Properties build()|int size()|long start(String jobXMLName; Properties jobParameters)|void assertCompletion(long executionId)|void assertEquals(long expected; long actual)|void assertProgress(long executionId; Class<?> entityType; int progressValue),12,void assertCompletion(long executionId)|void assertProgress(long executionId; Class<?> entityType; int progressValue),2,,0,3,5,0,0,java.lang.InterruptedException|javax.batch.operations.JobSecurityException|javax.batch.operations.JobStartException|javax.batch.operations.NoSuchJobExecutionException,6,10,,0,,0
hibernate-search,hibernate-search-integrationtest-jsr352,/hibernate-search-integrationtest-jsr352/src/test/java/org/hibernate/search/jsr352/massindexing/BatchIndexingJobIT.java,org.hibernate.search.jsr352.massindexing.BatchIndexingJobIT,simple_defaultCheckpointInterval,()V,void simple_defaultCheckpointInterval(),org.junit.Test,19,19,28,JobExecution getJobExecution(long executionId)|JobExecution waitForTermination(JobOperator jobOperator; JobExecution jobExecution; int timeoutInMs)|List<T> findIndexedResults(EntityManagerFactory emf; Class<T> clazz; String key; String value)|ParametersBuilder forEntities(Class<?> entityType; Class<?>[] entityTypes)|ParametersBuilderInitialStep parameters()|Properties build()|int size()|long start(String jobXMLName; Properties jobParameters)|void assertCompletion(long executionId)|void assertEquals(long expected; long actual)|void assertProgress(long executionId; Class<?> entityType; int progressValue),11,void assertCompletion(long executionId)|void assertProgress(long executionId; Class<?> entityType; int progressValue),2,,0,3,5,0,0,java.lang.InterruptedException|javax.batch.operations.JobSecurityException|javax.batch.operations.JobStartException|javax.batch.operations.NoSuchJobExecutionException,6,10,,0,,0
hibernate-search,hibernate-search-integrationtest-jsr352,/hibernate-search-integrationtest-jsr352/src/test/java/org/hibernate/search/jsr352/massindexing/BatchIndexingJobIT.java,org.hibernate.search.jsr352.massindexing.BatchIndexingJobIT,indexedEmbeddedCollection,()V,void indexedEmbeddedCollection(),org.junit.Test|org.hibernate.search.testsupport.TestForIssue,19,39,51,CriteriaBuilder getCriteriaBuilder()|CriteriaQuery createQuery(Class resultClass)|CriteriaQuery orderBy(Order[] o)|EntityManager createEntityManager()|EntityTransaction getTransaction()|EntityType getModel()|JobExecution getJobExecution(long executionId)|JobExecution waitForTermination(JobOperator jobOperator; JobExecution jobExecution; int timeoutInMs)|List getResultList()|List<T> findIndexedResults(EntityManagerFactory emf; Class<T> clazz; String key; String value)|Object get(int index)|Order asc(Expression x)|ParametersBuilder checkpointInterval(int checkpointInterval)|ParametersBuilder forEntities(Class<?> entityType; Class<?>[] entityTypes)|ParametersBuilderInitialStep parameters()|Path get(SingularAttribute attribute)|Properties build()|Root from(Class entityClass)|SingularAttribute getId(Class type)|TypedQuery createQuery(CriteriaQuery criteriaQuery)|boolean add(Object e)|int size()|long start(String jobXMLName; Properties jobParameters)|void assertCompletion(long executionId)|void assertEquals(long expected; long actual)|void assertProgress(long executionId; Class<?> entityType; int progressValue)|void begin()|void close()|void commit()|void forEach(Consumer action),30,void assertCompletion(long executionId)|void assertProgress(long executionId; Class<?> entityType; int progressValue),2,,0,3,5,0,0,java.lang.InterruptedException|javax.batch.operations.JobSecurityException|javax.batch.operations.JobStartException|javax.batch.operations.NoSuchJobExecutionException,6,8,,0,,0
hibernate-search,hibernate-search-integrationtest-jsr352,/hibernate-search-integrationtest-jsr352/src/test/java/org/hibernate/search/jsr352/massindexing/BatchIndexingJobIT.java,org.hibernate.search.jsr352.massindexing.BatchIndexingJobIT,criteria,()V,void criteria(),org.junit.Test,9,9,29,JobExecution getJobExecution(long executionId)|JobExecution waitForTermination(JobOperator jobOperator; JobExecution jobExecution; int timeoutInMs)|List<T> findIndexedResults(EntityManagerFactory emf; Class<T> clazz; String key; String value)|LogicalExpression or(Criterion lhs; Criterion rhs)|ParametersBuilder checkpointInterval(int checkpointInterval)|ParametersBuilder forEntity(Class<?> entityType)|ParametersBuilder restrictedBy(Criterion criterion)|ParametersBuilderInitialStep parameters()|Properties build()|SimpleExpression like(String propertyName; Object value)|int size()|long start(String jobXMLName; Properties jobParameters)|void assertEquals(long expected; long actual),13,,0,,0,3,5,0,0,java.lang.InterruptedException|javax.batch.operations.JobSecurityException|javax.batch.operations.JobStartException|javax.batch.operations.NoSuchJobExecutionException,6,6,,0,,0
hibernate-search,hibernate-search-integrationtest-jsr352,/hibernate-search-integrationtest-jsr352/src/test/java/org/hibernate/search/jsr352/massindexing/BatchIndexingJobIT.java,org.hibernate.search.jsr352.massindexing.BatchIndexingJobIT,purge,()V,void purge(),org.junit.Test,8,8,16,JobExecution getJobExecution(long executionId)|JobExecution waitForTermination(JobOperator jobOperator; JobExecution jobExecution; int timeoutInMs)|ParametersBuilder forEntity(Class<?> entityType)|ParametersBuilder purgeAllOnStart(boolean purgeAllOnStart)|ParametersBuilder restrictedBy(Criterion criterion)|ParametersBuilderInitialStep parameters()|Properties build()|SimpleExpression eq(String propertyName; Object value)|int nbDocumentsInIndex(EntityManagerFactory emf; Class<T> clazz)|long start(String jobXMLName; Properties jobParameters)|void assertEquals(long expected; long actual)|void indexSomeCompanies(int count),12,,0,,0,3,5,0,0,java.lang.InterruptedException|javax.batch.operations.JobSecurityException|javax.batch.operations.JobStartException|javax.batch.operations.NoSuchJobExecutionException,3,3,,0,,0
hibernate-search,hibernate-search-integrationtest-jsr352,/hibernate-search-integrationtest-jsr352/src/test/java/org/hibernate/search/jsr352/massindexing/BatchIndexingJobIT.java,org.hibernate.search.jsr352.massindexing.BatchIndexingJobIT,noPurge,()V,void noPurge(),org.junit.Test,8,8,16,JobExecution getJobExecution(long executionId)|JobExecution waitForTermination(JobOperator jobOperator; JobExecution jobExecution; int timeoutInMs)|ParametersBuilder forEntity(Class<?> entityType)|ParametersBuilder purgeAllOnStart(boolean purgeAllOnStart)|ParametersBuilder restrictedBy(Criterion criterion)|ParametersBuilderInitialStep parameters()|Properties build()|SimpleExpression eq(String propertyName; Object value)|int nbDocumentsInIndex(EntityManagerFactory emf; Class<T> clazz)|long start(String jobXMLName; Properties jobParameters)|void assertEquals(long expected; long actual)|void indexSomeCompanies(int count),12,,0,,0,3,5,0,0,java.lang.InterruptedException|javax.batch.operations.JobSecurityException|javax.batch.operations.JobStartException|javax.batch.operations.NoSuchJobExecutionException,3,3,,0,,0
hibernate-search,hibernate-search-integrationtest-jsr352,/hibernate-search-integrationtest-jsr352/src/test/java/org/hibernate/search/jsr352/massindexing/BatchIndexingJobIT.java,org.hibernate.search.jsr352.massindexing.BatchIndexingJobIT,hql,()V,void hql(),org.junit.Test,9,9,26,JobExecution getJobExecution(long executionId)|JobExecution waitForTermination(JobOperator jobOperator; JobExecution jobExecution; int timeoutInMs)|List<T> findIndexedResults(EntityManagerFactory emf; Class<T> clazz; String key; String value)|ParametersBuilder checkpointInterval(int checkpointInterval)|ParametersBuilder forEntity(Class<?> entityType)|ParametersBuilder restrictedBy(String hql)|ParametersBuilderInitialStep parameters()|Properties build()|int size()|long start(String jobXMLName; Properties jobParameters)|void assertEquals(long expected; long actual),11,,0,,0,3,5,0,0,java.lang.InterruptedException|javax.batch.operations.JobSecurityException|javax.batch.operations.JobStartException|javax.batch.operations.NoSuchJobExecutionException,6,6,,0,,0
hibernate-search,hibernate-search-integrationtest-jsr352,/hibernate-search-integrationtest-jsr352/src/test/java/org/hibernate/search/jsr352/massindexing/BatchIndexingJobIT.java,org.hibernate.search.jsr352.massindexing.BatchIndexingJobIT,criteria_maxResults,()V,void criteria_maxResults(),org.junit.Test,6,6,16,JobExecution getJobExecution(long executionId)|JobExecution waitForTermination(JobOperator jobOperator; JobExecution jobExecution; int timeoutInMs)|LogicalExpression or(Criterion lhs; Criterion rhs)|ParametersBuilder checkpointInterval(int checkpointInterval)|ParametersBuilder forEntity(Class<?> entityType)|ParametersBuilder maxResultsPerEntity(int maxResultsPerEntity)|ParametersBuilder restrictedBy(Criterion criterion)|ParametersBuilderInitialStep parameters()|Properties build()|SimpleExpression like(String propertyName; Object value)|int nbDocumentsInIndex(EntityManagerFactory emf; Class<T> clazz)|long start(String jobXMLName; Properties jobParameters)|void assertEquals(long expected; long actual),13,,0,,0,3,5,0,0,java.lang.InterruptedException|javax.batch.operations.JobSecurityException|javax.batch.operations.JobStartException|javax.batch.operations.NoSuchJobExecutionException,2,2,,0,,0
hibernate-search,hibernate-search-integrationtest-jsr352,/hibernate-search-integrationtest-jsr352/src/test/java/org/hibernate/search/jsr352/massindexing/BatchIndexingJobIT.java,org.hibernate.search.jsr352.massindexing.BatchIndexingJobIT,hql_maxResults,()V,void hql_maxResults(),org.junit.Test,6,6,13,JobExecution getJobExecution(long executionId)|JobExecution waitForTermination(JobOperator jobOperator; JobExecution jobExecution; int timeoutInMs)|ParametersBuilder checkpointInterval(int checkpointInterval)|ParametersBuilder forEntity(Class<?> entityType)|ParametersBuilder maxResultsPerEntity(int maxResultsPerEntity)|ParametersBuilder restrictedBy(String hql)|ParametersBuilderInitialStep parameters()|Properties build()|int nbDocumentsInIndex(EntityManagerFactory emf; Class<T> clazz)|long start(String jobXMLName; Properties jobParameters)|void assertEquals(long expected; long actual),11,,0,,0,3,5,0,0,java.lang.InterruptedException|javax.batch.operations.JobSecurityException|javax.batch.operations.JobStartException|javax.batch.operations.NoSuchJobExecutionException,2,2,,0,,0
hibernate-search,hibernate-search-integrationtest-jsr352,/hibernate-search-integrationtest-jsr352/src/test/java/org/hibernate/search/jsr352/massindexing/BatchIndexingJobIT.java,org.hibernate.search.jsr352.massindexing.BatchIndexingJobIT,partitioned,()V,void partitioned(),org.junit.Test,22,22,42,AbstractMapAssert as(String description; Object[] args)|AbstractMapAssert hasSize(int expected)|JobExecution getJobExecution(long executionId)|JobExecution waitForTermination(JobOperator jobOperator; JobExecution jobExecution; int timeoutInMs)|List<T> findIndexedResults(EntityManagerFactory emf; Class<T> clazz; String key; String value)|Map<Integer;Long> getPartitionProgress()|MapAssert assertThat(Map actual)|MapAssert contains(Map.Entry[] entries)|MapEntry entry(Object key; Object value)|ParametersBuilder checkpointInterval(int checkpointInterval)|ParametersBuilder forEntities(Class<?> entityType; Class<?>[] entityTypes)|ParametersBuilder rowsPerPartition(int rowsPerPartition)|ParametersBuilderInitialStep parameters()|Properties build()|StepProgress getMainStepProgress(long executionId)|int size()|long start(String jobXMLName; Properties jobParameters)|void assertCompletion(long executionId)|void assertEquals(long expected; long actual)|void assertProgress(long executionId; Class<?> entityType; int progressValue),20,StepProgress getMainStepProgress(long executionId)|void assertCompletion(long executionId)|void assertProgress(long executionId; Class<?> entityType; int progressValue),3,,0,3,5,0,0,java.lang.InterruptedException|javax.batch.operations.JobSecurityException|javax.batch.operations.JobStartException|javax.batch.operations.NoSuchJobExecutionException,6,10,,0,,0
