mainProjectName,projectName,filePath,typeName,methodName,methodShortSignature,methodVerboseSignature,methodAnnotations,numberOfFirstLevelStatements,numberOfStatements,numberOfMethodInvocations,distinctMethodInvocations,numberOfDistinctMethodInvocations,distinctMethodInvocationsInSameClass,numberOfDistinctMethodInvocationsInSameClass,distinctTestCaseMethodInvocationsInSameClass,numberOfDistinctTestCaseMethodInvocationsInSameClass,numberOfMethodInvocationsWithExceptions,numberOfExceptionsThrown,numberOfExceptionsThrownAndCaughtExact,numberOfExceptionsThrownAndCaughtPartial,exceptionsThrownInMethodInvocations,numberOfAssertions,numberOfAssertionsWithRecursion,distinctMethodsInSameClassThatCallThisOne,numberOfdistinctMethodsInSameClassThatCallThisOne,distinctTestCasesInSameClassThatCallThisOne,numberOfdistinctTestCasesInSameClassThatCallThisOne
hibernate-search,hibernate-search-integrationtest-mapper-orm,/hibernate-search-integrationtest-mapper-orm/src/test/java/org/hibernate/search/integrationtest/mapper/orm/automaticindexing/AutomaticIndexingMappedSuperclassIT.java,org.hibernate.search.integrationtest.mapper.orm.automaticindexing.AutomaticIndexingMappedSuperclassIT,inversePathHandlesMappedSuperclassDefinedAssociations,()V,void inversePathHandlesMappedSuperclassDefinedAssociations(),org.junit.Test,4,17,24,BackendMock processedThenExecuted()|Builder field(String relativeFieldName; Object value)|Builder objectField(String relativeFieldName; Consumer<Builder> contributor)|DocumentWorkCallListContext add(String id; Consumer<StubDocumentNode.Builder> documentContributor)|DocumentWorkCallListContext expectWorks(String indexName)|DocumentWorkCallListContext update(String id; Consumer<StubDocumentNode.Builder> documentContributor)|List<IndexedEntity> getContainingAsSingle()|Object get(Class arg0; Serializable arg1)|boolean add(Object e)|void persist(Object arg0)|void setContainedSingle(ContainedEntity containedSingle)|void setId(Integer id)|void setIncludedInSingle(String includedInSingle)|void verifyExpectationsMet()|void withinTransaction(SessionFactory entityManagerFactory; Consumer<Session> action),15,,0,,0,0,0,0,0,,0,2,,0,,0
hibernate-search,hibernate-search-integrationtest-mapper-orm,/hibernate-search-integrationtest-mapper-orm/src/test/java/org/hibernate/search/integrationtest/mapper/orm/automaticindexing/AutomaticIndexingEmbeddableIT.java,org.hibernate.search.integrationtest.mapper.orm.automaticindexing.AutomaticIndexingEmbeddableIT,indirectEmbeddedUpdate_embeddedSingle,()V,void indirectEmbeddedUpdate_embeddedSingle(),org.junit.Test,8,38,69,BackendMock processedThenExecuted()|Builder field(String relativeFieldName; Object value)|Builder objectField(String relativeFieldName; Consumer<Builder> contributor)|ContainedEntity getContainedSingle()|DocumentWorkCallListContext add(String id; Consumer<StubDocumentNode.Builder> documentContributor)|DocumentWorkCallListContext expectWorks(String indexName)|DocumentWorkCallListContext update(String id; Consumer<StubDocumentNode.Builder> documentContributor)|List<ContainingEntity> getContainingAsEmbeddedSingle()|Object get(Class arg0; Serializable arg1)|SingleContainingEmbeddable getContainedEmbeddedSingle()|boolean add(Object e)|void clear()|void persist(Object arg0)|void setChild(ContainingEntity child)|void setContainedEmbeddedSingle(SingleContainingEmbeddable containedEmbeddedSingle)|void setId(Integer id)|void setIncludedInEmbeddedSingle(String includedInEmbeddedSingle)|void setParent(IndexedEntity parent)|void verifyExpectationsMet()|void withinTransaction(SessionFactory entityManagerFactory; Consumer<Session> action),20,,0,,0,0,0,0,0,,0,4,,0,,0
hibernate-search,hibernate-search-integrationtest-mapper-orm,/hibernate-search-integrationtest-mapper-orm/src/test/java/org/hibernate/search/integrationtest/mapper/orm/automaticindexing/AutomaticIndexingEmbeddableIT.java,org.hibernate.search.integrationtest.mapper.orm.automaticindexing.AutomaticIndexingEmbeddableIT,indirectAssociationUpdate_embeddedSingle,()V,void indirectAssociationUpdate_embeddedSingle(),org.junit.Test,6,34,62,BackendMock processedThenExecuted()|Builder field(String relativeFieldName; Object value)|Builder objectField(String relativeFieldName; Consumer<Builder> contributor)|ContainedEntity getContainedSingle()|DocumentWorkCallListContext add(String id; Consumer<StubDocumentNode.Builder> documentContributor)|DocumentWorkCallListContext expectWorks(String indexName)|DocumentWorkCallListContext update(String id; Consumer<StubDocumentNode.Builder> documentContributor)|List<ContainingEntity> getContainingAsEmbeddedSingle()|Object get(Class arg0; Serializable arg1)|SingleContainingEmbeddable getContainedEmbeddedSingle()|boolean add(Object e)|void clear()|void persist(Object arg0)|void setChild(ContainingEntity child)|void setContainedEmbeddedSingle(SingleContainingEmbeddable containedEmbeddedSingle)|void setContainedSingle(ContainedEntity containedSingle)|void setId(Integer id)|void setIncludedInEmbeddedSingle(String includedInEmbeddedSingle)|void setParent(IndexedEntity parent)|void verifyExpectationsMet()|void withinTransaction(SessionFactory entityManagerFactory; Consumer<Session> action),21,,0,,0,0,0,0,0,,0,3,,0,,0
hibernate-search,hibernate-search-integrationtest-mapper-orm,/hibernate-search-integrationtest-mapper-orm/src/test/java/org/hibernate/search/integrationtest/mapper/orm/automaticindexing/AutomaticIndexingEmbeddableIT.java,org.hibernate.search.integrationtest.mapper.orm.automaticindexing.AutomaticIndexingEmbeddableIT,indirectValueUpdate_embeddedSingle,()V,void indirectValueUpdate_embeddedSingle(),org.junit.Test,6,26,40,BackendMock processedThenExecuted()|Builder field(String relativeFieldName; Object value)|Builder objectField(String relativeFieldName; Consumer<Builder> contributor)|DocumentWorkCallListContext add(String id; Consumer<StubDocumentNode.Builder> documentContributor)|DocumentWorkCallListContext expectWorks(String indexName)|DocumentWorkCallListContext update(String id; Consumer<StubDocumentNode.Builder> documentContributor)|List<ContainingEntity> getContainingAsEmbeddedSingle()|Object get(Class arg0; Serializable arg1)|boolean add(Object e)|void persist(Object arg0)|void setChild(ContainingEntity child)|void setContainedEmbeddedSingle(SingleContainingEmbeddable containedEmbeddedSingle)|void setExcludedFromAll(String excludedFromAll)|void setId(Integer id)|void setIncludedInEmbeddedSingle(String includedInEmbeddedSingle)|void setParent(IndexedEntity parent)|void verifyExpectationsMet()|void withinTransaction(SessionFactory entityManagerFactory; Consumer<Session> action),18,,0,,0,0,0,0,0,,0,3,,0,,0
hibernate-search,hibernate-search-integrationtest-mapper-orm,/hibernate-search-integrationtest-mapper-orm/src/test/java/org/hibernate/search/integrationtest/mapper/orm/automaticindexing/AutomaticIndexingEmbeddableIT.java,org.hibernate.search.integrationtest.mapper.orm.automaticindexing.AutomaticIndexingEmbeddableIT,indirectEmbeddedUpdate_embeddedList,()V,void indirectEmbeddedUpdate_embeddedList(),org.junit.Test,8,38,71,BackendMock processedThenExecuted()|Builder field(String relativeFieldName; Object value)|Builder objectField(String relativeFieldName; Consumer<Builder> contributor)|DocumentWorkCallListContext add(String id; Consumer<StubDocumentNode.Builder> documentContributor)|DocumentWorkCallListContext expectWorks(String indexName)|DocumentWorkCallListContext update(String id; Consumer<StubDocumentNode.Builder> documentContributor)|List<ContainedEntity> getContainedList()|List<ContainingEntity> getContainingAsEmbeddedList()|ListContainingEmbeddable getContainedEmbeddedList()|Object get(Class arg0; Serializable arg1)|Object get(int index)|boolean add(Object e)|void clear()|void persist(Object arg0)|void setChild(ContainingEntity child)|void setContainedEmbeddedList(ListContainingEmbeddable containedEmbeddedList)|void setId(Integer id)|void setIncludedInEmbeddedList(String includedInEmbeddedList)|void setParent(IndexedEntity parent)|void verifyExpectationsMet()|void withinTransaction(SessionFactory entityManagerFactory; Consumer<Session> action),21,,0,,0,0,0,0,0,,0,4,,0,,0
hibernate-search,hibernate-search-integrationtest-mapper-orm,/hibernate-search-integrationtest-mapper-orm/src/test/java/org/hibernate/search/integrationtest/mapper/orm/automaticindexing/AutomaticIndexingEmbeddableIT.java,org.hibernate.search.integrationtest.mapper.orm.automaticindexing.AutomaticIndexingEmbeddableIT,indirectAssociationUpdate_embeddedList,()V,void indirectAssociationUpdate_embeddedList(),org.junit.Test,8,38,77,BackendMock processedThenExecuted()|Builder field(String relativeFieldName; Object value)|Builder objectField(String relativeFieldName; Consumer<Builder> contributor)|DocumentWorkCallListContext add(String id; Consumer<StubDocumentNode.Builder> documentContributor)|DocumentWorkCallListContext expectWorks(String indexName)|DocumentWorkCallListContext update(String id; Consumer<StubDocumentNode.Builder> documentContributor)|List<ContainedEntity> getContainedList()|List<ContainingEntity> getContainingAsEmbeddedList()|ListContainingEmbeddable getContainedEmbeddedList()|Object get(Class arg0; Serializable arg1)|Object get(int index)|boolean add(Object e)|boolean remove(Object o)|void clear()|void persist(Object arg0)|void setChild(ContainingEntity child)|void setId(Integer id)|void setIncludedInEmbeddedList(String includedInEmbeddedList)|void setParent(IndexedEntity parent)|void verifyExpectationsMet()|void withinTransaction(SessionFactory entityManagerFactory; Consumer<Session> action),21,,0,,0,0,0,0,0,,0,4,,0,,0
hibernate-search,hibernate-search-integrationtest-mapper-orm,/hibernate-search-integrationtest-mapper-orm/src/test/java/org/hibernate/search/integrationtest/mapper/orm/automaticindexing/AutomaticIndexingEmbeddableIT.java,org.hibernate.search.integrationtest.mapper.orm.automaticindexing.AutomaticIndexingEmbeddableIT,indirectValueUpdate_embeddedList,()V,void indirectValueUpdate_embeddedList(),org.junit.Test,6,26,40,BackendMock processedThenExecuted()|Builder field(String relativeFieldName; Object value)|Builder objectField(String relativeFieldName; Consumer<Builder> contributor)|DocumentWorkCallListContext add(String id; Consumer<StubDocumentNode.Builder> documentContributor)|DocumentWorkCallListContext expectWorks(String indexName)|DocumentWorkCallListContext update(String id; Consumer<StubDocumentNode.Builder> documentContributor)|List<ContainingEntity> getContainingAsEmbeddedList()|Object get(Class arg0; Serializable arg1)|boolean add(Object e)|void persist(Object arg0)|void setChild(ContainingEntity child)|void setContainedEmbeddedList(ListContainingEmbeddable containedEmbeddedList)|void setExcludedFromAll(String excludedFromAll)|void setId(Integer id)|void setIncludedInEmbeddedList(String includedInEmbeddedList)|void setParent(IndexedEntity parent)|void verifyExpectationsMet()|void withinTransaction(SessionFactory entityManagerFactory; Consumer<Session> action),18,,0,,0,0,0,0,0,,0,3,,0,,0
hibernate-search,hibernate-search-integrationtest-mapper-orm,/hibernate-search-integrationtest-mapper-orm/src/test/java/org/hibernate/search/integrationtest/mapper/orm/automaticindexing/AutomaticIndexingEmbeddableIT.java,org.hibernate.search.integrationtest.mapper.orm.automaticindexing.AutomaticIndexingEmbeddableIT,indirectEmbeddedUpdate_elementCollection,()V,void indirectEmbeddedUpdate_elementCollection(),org.junit.Test,8,38,78,BackendMock processedThenExecuted()|Builder field(String relativeFieldName; Object value)|Builder objectField(String relativeFieldName; Consumer<Builder> contributor)|ContainedEntity getContainedSingle()|DocumentWorkCallListContext add(String id; Consumer<StubDocumentNode.Builder> documentContributor)|DocumentWorkCallListContext expectWorks(String indexName)|DocumentWorkCallListContext update(String id; Consumer<StubDocumentNode.Builder> documentContributor)|List<ContainingEntity> getContainingAsElementCollection()|List<SingleContainingEmbeddable> getContainedElementCollection()|Object get(Class arg0; Serializable arg1)|Object get(int index)|boolean add(Object e)|boolean remove(Object o)|void clear()|void persist(Object arg0)|void setChild(ContainingEntity child)|void setId(Integer id)|void setIncludedInElementCollection(String includedInElementCollection)|void setParent(IndexedEntity parent)|void verifyExpectationsMet()|void withinTransaction(SessionFactory entityManagerFactory; Consumer<Session> action),21,,0,,0,0,0,0,0,,0,4,,0,,0
hibernate-search,hibernate-search-integrationtest-mapper-orm,/hibernate-search-integrationtest-mapper-orm/src/test/java/org/hibernate/search/integrationtest/mapper/orm/automaticindexing/AutomaticIndexingEmbeddableIT.java,org.hibernate.search.integrationtest.mapper.orm.automaticindexing.AutomaticIndexingEmbeddableIT,indirectAssociationUpdate_elementCollection,()V,void indirectAssociationUpdate_elementCollection(),org.junit.Test,8,46,85,BackendMock processedThenExecuted()|Builder field(String relativeFieldName; Object value)|Builder objectField(String relativeFieldName; Consumer<Builder> contributor)|ContainedEntity getContainedSingle()|DocumentWorkCallListContext add(String id; Consumer<StubDocumentNode.Builder> documentContributor)|DocumentWorkCallListContext expectWorks(String indexName)|DocumentWorkCallListContext update(String id; Consumer<StubDocumentNode.Builder> documentContributor)|List<ContainingEntity> getContainingAsElementCollection()|List<SingleContainingEmbeddable> getContainedElementCollection()|Object get(Class arg0; Serializable arg1)|Object get(int index)|boolean add(Object e)|void clear()|void persist(Object arg0)|void setChild(ContainingEntity child)|void setContainedSingle(ContainedEntity containedSingle)|void setId(Integer id)|void setIncludedInElementCollection(String includedInElementCollection)|void setParent(IndexedEntity parent)|void verifyExpectationsMet()|void withinTransaction(SessionFactory entityManagerFactory; Consumer<Session> action),21,,0,,0,0,0,0,0,,0,4,,0,,0
hibernate-search,hibernate-search-integrationtest-mapper-orm,/hibernate-search-integrationtest-mapper-orm/src/test/java/org/hibernate/search/integrationtest/mapper/orm/automaticindexing/AutomaticIndexingEmbeddableIT.java,org.hibernate.search.integrationtest.mapper.orm.automaticindexing.AutomaticIndexingEmbeddableIT,indirectValueUpdate_elementCollection,()V,void indirectValueUpdate_elementCollection(),org.junit.Test,6,26,43,BackendMock processedThenExecuted()|Builder field(String relativeFieldName; Object value)|Builder objectField(String relativeFieldName; Consumer<Builder> contributor)|DocumentWorkCallListContext add(String id; Consumer<StubDocumentNode.Builder> documentContributor)|DocumentWorkCallListContext expectWorks(String indexName)|DocumentWorkCallListContext update(String id; Consumer<StubDocumentNode.Builder> documentContributor)|List<ContainingEntity> getContainingAsElementCollection()|List<SingleContainingEmbeddable> getContainedElementCollection()|Object get(Class arg0; Serializable arg1)|boolean add(Object e)|void persist(Object arg0)|void setChild(ContainingEntity child)|void setExcludedFromAll(String excludedFromAll)|void setId(Integer id)|void setIncludedInElementCollection(String includedInElementCollection)|void setParent(IndexedEntity parent)|void verifyExpectationsMet()|void withinTransaction(SessionFactory entityManagerFactory; Consumer<Session> action),18,,0,,0,0,0,0,0,,0,3,,0,,0
