mainProjectName,projectName,filePath,typeName,methodName,methodShortSignature,methodVerboseSignature,methodAnnotations,numberOfFirstLevelStatements,numberOfStatements,numberOfMethodInvocations,distinctMethodInvocations,numberOfDistinctMethodInvocations,distinctMethodInvocationsInSameClass,numberOfDistinctMethodInvocationsInSameClass,distinctTestCaseMethodInvocationsInSameClass,numberOfDistinctTestCaseMethodInvocationsInSameClass,numberOfMethodInvocationsWithExceptions,numberOfExceptionsThrown,numberOfExceptionsThrownAndCaughtExact,numberOfExceptionsThrownAndCaughtPartial,exceptionsThrownInMethodInvocations,numberOfAssertions,numberOfAssertionsWithRecursion,distinctMethodsInSameClassThatCallThisOne,numberOfdistinctMethodsInSameClassThatCallThisOne,distinctTestCasesInSameClassThatCallThisOne,numberOfdistinctTestCasesInSameClassThatCallThisOne
hibernate-search,hibernate-search-integrationtest-mapper-pojo-base,/hibernate-search-integrationtest-mapper-pojo-base/src/test/java/org/hibernate/search/integrationtest/mapper/pojo/bootstrap/FailureReportIT.java,org.hibernate.search.integrationtest.mapper.pojo.bootstrap.FailureReportIT,multipleFailuresSameContext,()V,void multipleFailuresSameContext(),org.junit.Test,9,2,0,,0,,0,,0,0,0,0,0,,0,0,,0,,0
hibernate-search,hibernate-search-integrationtest-mapper-pojo-base,/hibernate-search-integrationtest-mapper-pojo-base/src/test/java/org/hibernate/search/integrationtest/mapper/pojo/bootstrap/FailureReportIT.java,org.hibernate.search.integrationtest.mapper.pojo.bootstrap.FailureReportIT,multipleFailuresMultipleProperties,()V,void multipleFailuresMultipleProperties(),org.junit.Test,9,2,0,,0,,0,,0,0,0,0,0,,0,0,,0,,0
hibernate-search,hibernate-search-integrationtest-mapper-pojo-base,/hibernate-search-integrationtest-mapper-pojo-base/src/test/java/org/hibernate/search/integrationtest/mapper/pojo/bootstrap/FailureReportIT.java,org.hibernate.search.integrationtest.mapper.pojo.bootstrap.FailureReportIT,multipleFailuresMultipleTypes,()V,void multipleFailuresMultipleTypes(),org.junit.Test,11,2,0,,0,,0,,0,0,0,0,0,,0,0,,0,,0
hibernate-search,hibernate-search-integrationtest-mapper-pojo-base,/hibernate-search-integrationtest-mapper-pojo-base/src/test/java/org/hibernate/search/integrationtest/mapper/pojo/bootstrap/FailureReportIT.java,org.hibernate.search.integrationtest.mapper.pojo.bootstrap.FailureReportIT,failuresFromBackend,()V,void failuresFromBackend(),org.junit.Test,9,2,0,,0,,0,,0,0,0,0,0,,0,0,,0,,0
hibernate-search,hibernate-search-integrationtest-mapper-pojo-base,/hibernate-search-integrationtest-mapper-pojo-base/src/test/java/org/hibernate/search/integrationtest/mapper/pojo/lifecycle/CleanupIT.java,org.hibernate.search.integrationtest.mapper.pojo.lifecycle.CleanupIT,successfulBuilding,()V,void successfulBuilding(),org.junit.Test,20,26,49,BackendMock expectAnySchema(String indexName)|Binder<Object> binder(CounterKeys counterKeys)|Binder<T> binder(Class<T> bridgeInputType; CounterKeys counterKeys)|PropertyMappingDocumentIdOptionsStep documentId()|PropertyMappingDocumentIdOptionsStep identifierBinder(IdentifierBinder binder)|PropertyMappingGenericFieldOptionsStep genericField(String relativeFieldName)|PropertyMappingStep binder(PropertyBinder binder)|PropertyMappingStep property(String propertyName)|S extractor(String extractorName)|S valueBinder(ValueBinder binder)|TypeMappingStep binder(TypeBinder binder)|TypeMappingStep indexed(String indexName)|TypeMappingStep routingKeyBinder(RoutingKeyBinder binder)|TypeMappingStep type(Class<?> clazz)|int get(Key key)|void assertEquals(long expected; long actual)|void assertRuntimeComponentsClosed()|void close()|void startup(Consumer<ProgrammaticMappingConfigurationContext> additionalMappingContributor)|void verifyExpectationsMet(),20,void assertRuntimeComponentsClosed()|void startup(Consumer<ProgrammaticMappingConfigurationContext> additionalMappingContributor),2,,0,0,0,0,0,,13,26,,0,,0
hibernate-search,hibernate-search-integrationtest-mapper-pojo-base,/hibernate-search-integrationtest-mapper-pojo-base/src/test/java/org/hibernate/search/integrationtest/mapper/pojo/lifecycle/CleanupIT.java,org.hibernate.search.integrationtest.mapper.pojo.lifecycle.CleanupIT,failingRoutingKeyBinding,()V,void failingRoutingKeyBinding(),org.junit.Test,11,17,37,Binder<Object> binder(CounterKeys counterKeys)|Binder<T> binder(Class<T> bridgeInputType; CounterKeys counterKeys)|PropertyMappingDocumentIdOptionsStep documentId()|PropertyMappingDocumentIdOptionsStep identifierBinder(IdentifierBinder binder)|PropertyMappingGenericFieldOptionsStep genericField(String relativeFieldName)|PropertyMappingStep binder(PropertyBinder binder)|PropertyMappingStep property(String propertyName)|S extractor(String extractorName)|S valueBinder(ValueBinder binder)|TypeMappingStep binder(TypeBinder binder)|TypeMappingStep indexed(String indexName)|TypeMappingStep routingKeyBinder(RoutingKeyBinder binder)|TypeMappingStep type(Class<?> clazz)|int get(Key key)|void assertEquals(long expected; long actual)|void assertNotEquals(long unexpected; long actual)|void assertRuntimeComponentsClosed()|void failingStartup(Consumer<ProgrammaticMappingConfigurationContext> additionalMappingContributor),18,void assertRuntimeComponentsClosed()|void failingStartup(Consumer<ProgrammaticMappingConfigurationContext> additionalMappingContributor),2,,0,0,0,0,0,,9,22,,0,,0
hibernate-search,hibernate-search-integrationtest-mapper-pojo-base,/hibernate-search-integrationtest-mapper-pojo-base/src/test/java/org/hibernate/search/integrationtest/mapper/pojo/lifecycle/CleanupIT.java,org.hibernate.search.integrationtest.mapper.pojo.lifecycle.CleanupIT,failingTypeBinding,()V,void failingTypeBinding(),org.junit.Test,11,17,37,Binder<Object> binder(CounterKeys counterKeys)|Binder<T> binder(Class<T> bridgeInputType; CounterKeys counterKeys)|PropertyMappingDocumentIdOptionsStep documentId()|PropertyMappingDocumentIdOptionsStep identifierBinder(IdentifierBinder binder)|PropertyMappingGenericFieldOptionsStep genericField(String relativeFieldName)|PropertyMappingStep binder(PropertyBinder binder)|PropertyMappingStep property(String propertyName)|S extractor(String extractorName)|S valueBinder(ValueBinder binder)|TypeMappingStep binder(TypeBinder binder)|TypeMappingStep indexed(String indexName)|TypeMappingStep routingKeyBinder(RoutingKeyBinder binder)|TypeMappingStep type(Class<?> clazz)|int get(Key key)|void assertEquals(long expected; long actual)|void assertNotEquals(long unexpected; long actual)|void assertRuntimeComponentsClosed()|void failingStartup(Consumer<ProgrammaticMappingConfigurationContext> additionalMappingContributor),18,void assertRuntimeComponentsClosed()|void failingStartup(Consumer<ProgrammaticMappingConfigurationContext> additionalMappingContributor),2,,0,0,0,0,0,,9,22,,0,,0
hibernate-search,hibernate-search-integrationtest-mapper-pojo-base,/hibernate-search-integrationtest-mapper-pojo-base/src/test/java/org/hibernate/search/integrationtest/mapper/pojo/lifecycle/CleanupIT.java,org.hibernate.search.integrationtest.mapper.pojo.lifecycle.CleanupIT,failingIdentifierBinding,()V,void failingIdentifierBinding(),org.junit.Test,11,17,37,Binder<Object> binder(CounterKeys counterKeys)|Binder<T> binder(Class<T> bridgeInputType; CounterKeys counterKeys)|PropertyMappingDocumentIdOptionsStep documentId()|PropertyMappingDocumentIdOptionsStep identifierBinder(IdentifierBinder binder)|PropertyMappingGenericFieldOptionsStep genericField(String relativeFieldName)|PropertyMappingStep binder(PropertyBinder binder)|PropertyMappingStep property(String propertyName)|S extractor(String extractorName)|S valueBinder(ValueBinder binder)|TypeMappingStep binder(TypeBinder binder)|TypeMappingStep indexed(String indexName)|TypeMappingStep routingKeyBinder(RoutingKeyBinder binder)|TypeMappingStep type(Class<?> clazz)|int get(Key key)|void assertEquals(long expected; long actual)|void assertNotEquals(long unexpected; long actual)|void assertRuntimeComponentsClosed()|void failingStartup(Consumer<ProgrammaticMappingConfigurationContext> additionalMappingContributor),18,void assertRuntimeComponentsClosed()|void failingStartup(Consumer<ProgrammaticMappingConfigurationContext> additionalMappingContributor),2,,0,0,0,0,0,,9,22,,0,,0
hibernate-search,hibernate-search-integrationtest-mapper-pojo-base,/hibernate-search-integrationtest-mapper-pojo-base/src/test/java/org/hibernate/search/integrationtest/mapper/pojo/lifecycle/CleanupIT.java,org.hibernate.search.integrationtest.mapper.pojo.lifecycle.CleanupIT,failingPropertyBinding,()V,void failingPropertyBinding(),org.junit.Test,11,17,37,Binder<Object> binder(CounterKeys counterKeys)|Binder<T> binder(Class<T> bridgeInputType; CounterKeys counterKeys)|PropertyMappingDocumentIdOptionsStep documentId()|PropertyMappingDocumentIdOptionsStep identifierBinder(IdentifierBinder binder)|PropertyMappingGenericFieldOptionsStep genericField(String relativeFieldName)|PropertyMappingStep binder(PropertyBinder binder)|PropertyMappingStep property(String propertyName)|S extractor(String extractorName)|S valueBinder(ValueBinder binder)|TypeMappingStep binder(TypeBinder binder)|TypeMappingStep indexed(String indexName)|TypeMappingStep routingKeyBinder(RoutingKeyBinder binder)|TypeMappingStep type(Class<?> clazz)|int get(Key key)|void assertEquals(long expected; long actual)|void assertNotEquals(long unexpected; long actual)|void assertRuntimeComponentsClosed()|void failingStartup(Consumer<ProgrammaticMappingConfigurationContext> additionalMappingContributor),18,void assertRuntimeComponentsClosed()|void failingStartup(Consumer<ProgrammaticMappingConfigurationContext> additionalMappingContributor),2,,0,0,0,0,0,,9,22,,0,,0
hibernate-search,hibernate-search-integrationtest-mapper-pojo-base,/hibernate-search-integrationtest-mapper-pojo-base/src/test/java/org/hibernate/search/integrationtest/mapper/pojo/lifecycle/CleanupIT.java,org.hibernate.search.integrationtest.mapper.pojo.lifecycle.CleanupIT,failingValueBinding,()V,void failingValueBinding(),org.junit.Test,11,17,41,Binder<Object> binder(CounterKeys counterKeys)|Binder<T> binder(Class<T> bridgeInputType; CounterKeys counterKeys)|PropertyMappingDocumentIdOptionsStep documentId()|PropertyMappingDocumentIdOptionsStep identifierBinder(IdentifierBinder binder)|PropertyMappingGenericFieldOptionsStep genericField(String relativeFieldName)|PropertyMappingStep binder(PropertyBinder binder)|PropertyMappingStep property(String propertyName)|S extractor(String extractorName)|S valueBinder(ValueBinder binder)|TypeMappingStep binder(TypeBinder binder)|TypeMappingStep indexed(String indexName)|TypeMappingStep routingKeyBinder(RoutingKeyBinder binder)|TypeMappingStep type(Class<?> clazz)|int get(Key key)|void assertEquals(long expected; long actual)|void assertNotEquals(long unexpected; long actual)|void assertRuntimeComponentsClosed()|void failingStartup(Consumer<ProgrammaticMappingConfigurationContext> additionalMappingContributor),18,void assertRuntimeComponentsClosed()|void failingStartup(Consumer<ProgrammaticMappingConfigurationContext> additionalMappingContributor),2,,0,0,0,0,0,,9,22,,0,,0
