mainProjectName,projectName,filePath,typeName,methodName,methodShortSignature,methodVerboseSignature,methodAnnotations,numberOfFirstLevelStatements,numberOfStatements,numberOfMethodInvocations,distinctMethodInvocations,numberOfDistinctMethodInvocations,distinctMethodInvocationsInSameClass,numberOfDistinctMethodInvocationsInSameClass,distinctTestCaseMethodInvocationsInSameClass,numberOfDistinctTestCaseMethodInvocationsInSameClass,numberOfMethodInvocationsWithExceptions,numberOfExceptionsThrown,numberOfExceptionsThrownAndCaughtExact,numberOfExceptionsThrownAndCaughtPartial,exceptionsThrownInMethodInvocations,numberOfAssertions,numberOfAssertionsWithRecursion,distinctMethodsInSameClassThatCallThisOne,numberOfdistinctMethodsInSameClassThatCallThisOne,distinctTestCasesInSameClassThatCallThisOne,numberOfdistinctTestCasesInSameClassThatCallThisOne
hibernate-search,hibernate-search-integrationtest-showcase-library,/hibernate-search-integrationtest-showcase-library/src/test/java/org/hibernate/search/integrationtest/showcase/library/LibraryShowcaseTransactionIT.java,org.hibernate.search.integrationtest.showcase.library.LibraryShowcaseTransactionIT,innerTransactionRollback,()V,void innerTransactionRollback(),org.junit.Test|org.hibernate.search.util.impl.test.annotation.TestForIssue,7,7,7,Optional<Book> getByIsbn(String isbnAsString)|boolean isPresent()|void assertFalse(boolean condition)|void assertTrue(boolean condition)|void doOuter(String outerIsbn; String nestedIsbn),5,,0,,0,0,0,0,0,,2,2,,0,,0
hibernate-search,hibernate-search-integrationtest-showcase-library,/hibernate-search-integrationtest-showcase-library/src/test/java/org/hibernate/search/integrationtest/showcase/library/LibraryShowcaseTransactionIT.java,org.hibernate.search.integrationtest.showcase.library.LibraryShowcaseTransactionIT,innerTransactionRollback_flushBeforeInner,()V,void innerTransactionRollback_flushBeforeInner(),org.junit.Test|org.hibernate.search.util.impl.test.annotation.TestForIssue,7,7,7,Optional<Book> getByIsbn(String isbnAsString)|boolean isPresent()|void assertFalse(boolean condition)|void assertTrue(boolean condition)|void doOuterFlushBeforeInner(String outerIsbn; String nestedIsbn),5,,0,,0,0,0,0,0,,2,2,,0,,0
hibernate-search,hibernate-search-integrationtest-showcase-library,/hibernate-search-integrationtest-showcase-library/src/test/java/org/hibernate/search/integrationtest/showcase/library/LibraryShowcaseMassIndexingIT.java,org.hibernate.search.integrationtest.showcase.library.LibraryShowcaseMassIndexingIT,testMassIndexing,()V,void testMassIndexing(),org.junit.Test,4,6,10,AbstractLongAssert assertThat(long actual)|AbstractLongAssert isEqualTo(long expected)|MassIndexer createMassIndexer()|Object fail(String failureMessage)|String getMessage()|long countIndexed()|void startAndWait(),7,,0,,0,1,1,1,0,java.lang.InterruptedException,0,0,,0,,0
hibernate-search,hibernate-search-integrationtest-showcase-library,/hibernate-search-integrationtest-showcase-library/src/test/java/org/hibernate/search/integrationtest/showcase/library/LibraryShowcaseMassIndexingIT.java,org.hibernate.search.integrationtest.showcase.library.LibraryShowcaseMassIndexingIT,testMassIndexingMonitor,()V,void testMassIndexingMonitor(),org.junit.Test,4,11,15,AbstractLongAssert assertThat(long actual)|AbstractLongAssert isEqualTo(long expected)|LogExpectation expectMessage(String containedString)|MassIndexer batchSizeToLoadObjects(int batchSize)|MassIndexer createMassIndexer()|Object fail(String failureMessage)|String getMessage()|long countIndexed()|void startAndWait()|void times(int expectedCount),10,,0,,0,1,1,1,0,java.lang.InterruptedException,0,0,,0,,0
hibernate-search,hibernate-search-integrationtest-showcase-library,/hibernate-search-integrationtest-showcase-library/src/test/java/org/hibernate/search/integrationtest/showcase/library/LibraryShowcaseOutOfSyncIndexIT.java,org.hibernate.search.integrationtest.showcase.library.LibraryShowcaseOutOfSyncIndexIT,search_skipDeletedEntitiesInHits,()V,void search_skipDeletedEntitiesInHits(),org.junit.Test|org.hibernate.search.util.impl.test.annotation.TestForIssue,10,10,17,AbstractIterableAssert doesNotContainNull()|AbstractIterableAssert hasSize(int expected)|AbstractLongAssert assertThat(long actual)|AbstractLongAssert isEqualTo(long expected)|AbstractLongAssert isGreaterThan(long other)|List<Document<?>> findAllIndexed()|ListAssert assertThat(List actual)|long count()|long countIndexed()|void executeHql(String hql; Object[] parameters),10,,0,,0,0,0,0,0,,0,0,,0,,0
hibernate-search,hibernate-search-integrationtest-showcase-library,/hibernate-search-integrationtest-showcase-library/src/test/java/org/hibernate/search/integrationtest/showcase/library/LibraryShowcaseBaseIT.java,org.hibernate.search.integrationtest.showcase.library.LibraryShowcaseBaseIT,search_library,()V,void search_library(),org.junit.Test,10,10,20,AbstractIterableAssert containsExactly(Object[] values)|AbstractListAssert extracting(ThrowingExtractor extractor)|List<Library> search(String terms; int offset; int limit)|ListAssert assertThat(List actual),4,,0,,0,0,0,0,0,,0,0,,0,,0
hibernate-search,hibernate-search-integrationtest-showcase-library,/hibernate-search-integrationtest-showcase-library/src/test/java/org/hibernate/search/integrationtest/showcase/library/LibraryShowcaseBaseIT.java,org.hibernate.search.integrationtest.showcase.library.LibraryShowcaseBaseIT,search_person,()V,void search_person(),org.junit.Test,6,6,12,AbstractIterableAssert containsExactly(Object[] values)|AbstractListAssert extracting(ThrowingExtractor extractor)|List<Person> searchPerson(String terms; int offset; int limit)|ListAssert assertThat(List actual),4,,0,,0,0,0,0,0,,0,0,,0,,0
hibernate-search,hibernate-search-integrationtest-showcase-library,/hibernate-search-integrationtest-showcase-library/src/test/java/org/hibernate/search/integrationtest/showcase/library/LibraryShowcaseBaseIT.java,org.hibernate.search.integrationtest.showcase.library.LibraryShowcaseBaseIT,search_single,()V,void search_single(),org.junit.Test,11,11,24,AbstractIntegerAssert assertThat(Integer actual)|AbstractIntegerAssert isEqualTo(int expected)|Integer getId()|Object get()|Optional<Book> getByIsbn(String isbnAsString)|boolean isPresent()|void assertFalse(boolean condition)|void assertTrue(boolean condition),8,,0,,0,0,0,0,0,,4,4,,0,,0
hibernate-search,hibernate-search-integrationtest-showcase-library,/hibernate-search-integrationtest-showcase-library/src/test/java/org/hibernate/search/integrationtest/showcase/library/LibraryShowcaseBaseIT.java,org.hibernate.search.integrationtest.showcase.library.LibraryShowcaseBaseIT,searchByMedium,()V,void searchByMedium(),org.junit.Test,4,4,8,AbstractIterableAssert containsExactlyInAnyOrder(Object[] values)|AbstractListAssert extracting(ThrowingExtractor extractor)|List<Book> searchByMedium(String terms; BookMedium medium; int offset; int limit)|ListAssert assertThat(List actual),4,,0,,0,0,0,0,0,,0,0,,0,,0
hibernate-search,hibernate-search-integrationtest-showcase-library,/hibernate-search-integrationtest-showcase-library/src/test/java/org/hibernate/search/integrationtest/showcase/library/LibraryShowcaseBaseIT.java,org.hibernate.search.integrationtest.showcase.library.LibraryShowcaseBaseIT,searchAroundMe_spatial,()V,void searchAroundMe_spatial(),org.junit.Test,10,10,18,AbstractIterableAssert containsExactlyInAnyOrder(Object[] values)|AbstractListAssert extracting(ThrowingExtractor extractor)|GeoPoint of(double latitude; double longitude)|List<Document<?>> searchAroundMe(String terms; String tags; GeoPoint myLocation; Double maxDistanceInKilometers; List<LibraryServiceOption> options; int offset; int limit)|ListAssert assertThat(List actual),5,,0,,0,0,0,0,0,,0,0,,0,,0
hibernate-search,hibernate-search-integrationtest-showcase-library,/hibernate-search-integrationtest-showcase-library/src/test/java/org/hibernate/search/integrationtest/showcase/library/LibraryShowcaseBaseIT.java,org.hibernate.search.integrationtest.showcase.library.LibraryShowcaseBaseIT,searchAroundMe_nested,()V,void searchAroundMe_nested(),org.junit.Test,6,6,15,AbstractIterableAssert containsExactlyInAnyOrder(Object[] values)|AbstractListAssert extracting(ThrowingExtractor extractor)|List asList(Object[] a)|List singletonList(Object o)|List<Document<?>> searchAroundMe(String terms; String tags; GeoPoint myLocation; Double maxDistanceInKilometers; List<LibraryServiceOption> options; int offset; int limit)|ListAssert assertThat(List actual),6,,0,,0,0,0,0,0,,0,0,,0,,0
