mainProjectName,projectName,filePath,typeName,methodName,methodShortSignature,methodVerboseSignature,methodAnnotations,numberOfFirstLevelStatements,numberOfStatements,numberOfMethodInvocations,distinctMethodInvocations,numberOfDistinctMethodInvocations,distinctMethodInvocationsInSameClass,numberOfDistinctMethodInvocationsInSameClass,distinctTestCaseMethodInvocationsInSameClass,numberOfDistinctTestCaseMethodInvocationsInSameClass,numberOfMethodInvocationsWithExceptions,numberOfExceptionsThrown,numberOfExceptionsThrownAndCaughtExact,numberOfExceptionsThrownAndCaughtPartial,exceptionsThrownInMethodInvocations,numberOfAssertions,numberOfAssertionsWithRecursion,distinctMethodsInSameClassThatCallThisOne,numberOfdistinctMethodsInSameClassThatCallThisOne,distinctTestCasesInSameClassThatCallThisOne,numberOfdistinctTestCasesInSameClassThatCallThisOne
hibernate-search,hibernate-search-integrationtest-wildfly,/hibernate-search-integrationtest-wildfly/src/test/java/org/hibernate/search/test/integration/cmp/ContainerManagedPersistenceWithMassIndexerIT.java,org.hibernate.search.test.integration.cmp.ContainerManagedPersistenceWithMassIndexerIT,testMassIndexerWorksInCMP,()V,void testMassIndexerWorksInCMP(),org.junit.Test,9,9,16,List<?> listAllContacts()|List<?> searchAllContacts()|boolean rebuildIndex()|int size()|void assertEquals(String message; long expected; long actual)|void assertNotNull(Object object)|void assertTrue(String message; boolean condition)|void insertContact(String firstName; String lastName),8,,0,,0,1,1,0,0,java.lang.InterruptedException,5,5,,0,,0
hibernate-search,hibernate-search-integrationtest-wildfly,/hibernate-search-integrationtest-wildfly/src/test/java/org/hibernate/search/test/integration/elasticsearch/ElasticsearchModuleMemberRegistrationIT.java,org.hibernate.search.test.integration.elasticsearch.ElasticsearchModuleMemberRegistrationIT,HibernateSearchVersion,()V,void HibernateSearchVersion(),org.junit.Test,1,1,2,String getHibernateSearchVersionString()|void assertEquals(Object expected; Object actual),2,,0,,0,0,0,0,0,,1,1,,0,,0
hibernate-search,hibernate-search-integrationtest-wildfly,/hibernate-search-integrationtest-wildfly/src/test/java/org/hibernate/search/test/integration/elasticsearch/ElasticsearchModuleMemberRegistrationIT.java,org.hibernate.search.test.integration.elasticsearch.ElasticsearchModuleMemberRegistrationIT,testRegister,()V,void testRegister(),org.junit.Test,6,6,7,Long getId()|Member getNewMember()|void assertNotNull(Object object)|void register()|void setEmail(String email)|void setName(String name)|void setPhoneNumber(String phoneNumber),7,,0,,0,1,1,0,0,java.lang.Exception,1,1,,0,,0
hibernate-search,hibernate-search-integrationtest-wildfly,/hibernate-search-integrationtest-wildfly/src/test/java/org/hibernate/search/test/integration/elasticsearch/ElasticsearchModuleMemberRegistrationIT.java,org.hibernate.search.test.integration.elasticsearch.ElasticsearchModuleMemberRegistrationIT,testNewMemberSearch,()V,void testNewMemberSearch(),org.junit.Test,8,8,12,List<Member> search(String name)|Member getNewMember()|Object get(int index)|String getName()|boolean isEmpty()|void assertEquals(String message; Object expected; Object actual)|void assertFalse(String message; boolean condition)|void register()|void setEmail(String email)|void setName(String name)|void setPhoneNumber(String phoneNumber),11,,0,,0,1,1,0,0,java.lang.Exception,2,2,,0,,0
hibernate-search,hibernate-search-integrationtest-wildfly,/hibernate-search-integrationtest-wildfly/src/test/java/org/hibernate/search/test/integration/elasticsearch/ElasticsearchModuleMemberRegistrationIT.java,org.hibernate.search.test.integration.elasticsearch.ElasticsearchModuleMemberRegistrationIT,testUnexistingMember,()V,void testUnexistingMember(),org.junit.Test,3,3,4,List<Member> search(String name)|boolean isEmpty()|void assertNotNull(String message; Object object)|void assertTrue(String message; boolean condition),4,,0,,0,0,0,0,0,,2,2,,0,,0
hibernate-search,hibernate-search-integrationtest-wildfly,/hibernate-search-integrationtest-wildfly/src/test/java/org/hibernate/search/test/integration/jms/MasterSlaveTestTemplate.java,org.hibernate.search.test.integration.jms.MasterSlaveTestTemplate,deleteExistingMembers,()V,void deleteExistingMembers(),org.junit.Test|org.jboss.arquillian.junit.InSequence|org.jboss.arquillian.container.test.api.OperateOnDeployment,2,2,2,int deleteAllMembers()|void assertEquals(String message; long expected; long actual),2,,0,,0,1,1,0,0,java.lang.Exception,1,1,,0,,0
hibernate-search,hibernate-search-integrationtest-wildfly,/hibernate-search-integrationtest-wildfly/src/test/java/org/hibernate/search/test/integration/jms/MasterSlaveTestTemplate.java,org.hibernate.search.test.integration.jms.MasterSlaveTestTemplate,registerNewMemberOnSlave1,()V,void registerNewMemberOnSlave1(),org.junit.Test|org.jboss.arquillian.junit.InSequence|org.jboss.arquillian.container.test.api.OperateOnDeployment,6,6,8,Long getId()|RegisteredMember getNewMember()|void assertNotNull(String message; Object object)|void assertNull(String message; Object object)|void register()|void setEmail(String email)|void setName(String name),7,,0,,0,1,1,0,0,java.lang.Exception,2,2,,0,,0
hibernate-search,hibernate-search-integrationtest-wildfly,/hibernate-search-integrationtest-wildfly/src/test/java/org/hibernate/search/test/integration/jms/MasterSlaveTestTemplate.java,org.hibernate.search.test.integration.jms.MasterSlaveTestTemplate,registerNewMemberOnSlave2,()V,void registerNewMemberOnSlave2(),org.junit.Test|org.jboss.arquillian.junit.InSequence|org.jboss.arquillian.container.test.api.OperateOnDeployment,6,6,8,Long getId()|RegisteredMember getNewMember()|void assertNotNull(String message; Object object)|void assertNull(String message; Object object)|void register()|void setEmail(String email)|void setName(String name),7,,0,,0,1,1,0,0,java.lang.Exception,2,2,,0,,0
hibernate-search,hibernate-search-integrationtest-wildfly,/hibernate-search-integrationtest-wildfly/src/test/java/org/hibernate/search/test/integration/jms/MasterSlaveTestTemplate.java,org.hibernate.search.test.integration.jms.MasterSlaveTestTemplate,registerNewMemberOnMaster,()V,void registerNewMemberOnMaster(),org.junit.Test|org.jboss.arquillian.junit.InSequence|org.jboss.arquillian.container.test.api.OperateOnDeployment,6,6,8,Long getId()|RegisteredMember getNewMember()|void assertNotNull(String message; Object object)|void assertNull(String message; Object object)|void register()|void setEmail(String email)|void setName(String name),7,,0,,0,1,1,0,0,java.lang.Exception,2,2,,0,,0
hibernate-search,hibernate-search-integrationtest-wildfly,/hibernate-search-integrationtest-wildfly/src/test/java/org/hibernate/search/test/integration/jms/MasterSlaveTestTemplate.java,org.hibernate.search.test.integration.jms.MasterSlaveTestTemplate,searchNewMembersAfterSynchronizationOnSlave1,()V,void searchNewMembersAfterSynchronizationOnSlave1(),org.junit.Test|org.jboss.arquillian.junit.InSequence|org.jboss.arquillian.container.test.api.OperateOnDeployment,3,3,6,void assertSearchResult(String expectedResult; String searchString)|void pollAssertion(ThrowingRunnable<E> runnable),2,void assertSearchResult(String expectedResult; String searchString),1,,0,3,3,0,0,java.lang.RuntimeException,0,6,,0,,0
