mainProjectName,projectName,filePath,typeName,methodName,methodShortSignature,methodVerboseSignature,methodAnnotations,numberOfFirstLevelStatements,numberOfStatements,numberOfMethodInvocations,distinctMethodInvocations,numberOfDistinctMethodInvocations,distinctMethodInvocationsInSameClass,numberOfDistinctMethodInvocationsInSameClass,distinctTestCaseMethodInvocationsInSameClass,numberOfDistinctTestCaseMethodInvocationsInSameClass,numberOfMethodInvocationsWithExceptions,numberOfExceptionsThrown,numberOfExceptionsThrownAndCaughtExact,numberOfExceptionsThrownAndCaughtPartial,exceptionsThrownInMethodInvocations,numberOfAssertions,numberOfAssertionsWithRecursion,distinctMethodsInSameClassThatCallThisOne,numberOfdistinctMethodsInSameClassThatCallThisOne,distinctTestCasesInSameClassThatCallThisOne,numberOfdistinctTestCasesInSameClassThatCallThisOne
hibernate-search,hibernate-search-jsr352-core,/hibernate-search-jsr352-core/src/test/java/org/hibernate/search/jsr352/massindexing/MassIndexingJobParametersBuilderTest.java,org.hibernate.search.jsr352.massindexing.MassIndexingJobParametersBuilderTest,testJobParamsAll,()V,void testJobParamsAll(),org.junit.Test,18,18,60,CacheMode valueOf(String name)|List asList(Object[] a)|ParametersBuilder cacheMode(CacheMode cacheMode)|ParametersBuilder checkpointInterval(int checkpointInterval)|ParametersBuilder entityFetchSize(int entityFetchSize)|ParametersBuilder entityManagerFactoryReference(String reference)|ParametersBuilder forEntities(Class<?> entityType; Class<?>[] entityTypes)|ParametersBuilder idFetchSize(int idFetchSize)|ParametersBuilder maxResultsPerEntity(int maxResultsPerEntity)|ParametersBuilder maxThreads(int maxThreads)|ParametersBuilder optimizeAfterPurge(boolean optimizeAfterPurge)|ParametersBuilder optimizeOnFinish(boolean optimizeOnFinish)|ParametersBuilder purgeAllOnStart(boolean purgeAllOnStart)|ParametersBuilder rowsPerPartition(int rowsPerPartition)|ParametersBuilder tenantId(String tenantId)|ParametersBuilderInitialStep parameters()|Properties build()|String getName()|String getProperty(String key)|String trim()|String[] split(String regex)|boolean contains(Object o)|boolean parseBoolean(String s)|int parseInt(String s)|void assertEquals(Object expected; Object actual)|void assertEquals(long expected; long actual)|void assertTrue(boolean condition)|void forEach(Consumer action),28,,0,,0,6,6,0,0,java.lang.NumberFormatException,14,14,,0,,0
hibernate-search,hibernate-search-jsr352-core,/hibernate-search-jsr352-core/src/test/java/org/hibernate/search/jsr352/massindexing/MassIndexingJobParametersBuilderTest.java,org.hibernate.search.jsr352.massindexing.MassIndexingJobParametersBuilderTest,testForEntities_notNull,()V,void testForEntities_notNull(),org.junit.Test,6,6,15,List asList(Object[] a)|ParametersBuilder entityManagerFactoryReference(String reference)|ParametersBuilder forEntities(Class<?> entityType; Class<?>[] entityTypes)|ParametersBuilderInitialStep parameters()|Properties build()|String getName()|String getProperty(String key)|String trim()|String[] split(String regex)|boolean contains(Object o)|void assertTrue(boolean condition)|void forEach(Consumer action),12,,0,,0,0,0,0,0,,2,2,,0,,0
hibernate-search,hibernate-search-jsr352-core,/hibernate-search-jsr352-core/src/test/java/org/hibernate/search/jsr352/massindexing/MassIndexingJobParametersBuilderTest.java,org.hibernate.search.jsr352.massindexing.MassIndexingJobParametersBuilderTest,testForEntity_notNull,()V,void testForEntity_notNull(),org.junit.Test,5,5,11,List asList(Object[] a)|ParametersBuilder forEntity(Class<?> entityType)|ParametersBuilderInitialStep parameters()|Properties build()|String getName()|String getProperty(String key)|String trim()|String[] split(String regex)|boolean contains(Object o)|void assertTrue(boolean condition)|void forEach(Consumer action),11,,0,,0,0,0,0,0,,1,1,,0,,0
hibernate-search,hibernate-search-jsr352-core,/hibernate-search-jsr352-core/src/test/java/org/hibernate/search/jsr352/massindexing/MassIndexingJobParametersBuilderTest.java,org.hibernate.search.jsr352.massindexing.MassIndexingJobParametersBuilderTest,testForEntity_null,()V,void testForEntity_null(),org.junit.Test,1,1,2,ParametersBuilder forEntity(Class<?> entityType)|ParametersBuilderInitialStep parameters(),2,,0,,0,0,0,0,0,,0,0,,0,,0
hibernate-search,hibernate-search-jsr352-core,/hibernate-search-jsr352-core/src/test/java/org/hibernate/search/jsr352/massindexing/MassIndexingJobParametersBuilderTest.java,org.hibernate.search.jsr352.massindexing.MassIndexingJobParametersBuilderTest,testRestrictedBy_stringNull,()V,void testRestrictedBy_stringNull(),org.junit.Test,1,1,3,ParametersBuilder forEntity(Class<?> entityType)|ParametersBuilder restrictedBy(String hql)|ParametersBuilderInitialStep parameters(),3,,0,,0,0,0,0,0,,0,0,,0,,0
hibernate-search,hibernate-search-jsr352-core,/hibernate-search-jsr352-core/src/test/java/org/hibernate/search/jsr352/massindexing/MassIndexingJobParametersBuilderTest.java,org.hibernate.search.jsr352.massindexing.MassIndexingJobParametersBuilderTest,testRestrictedBy_criterionNull,()V,void testRestrictedBy_criterionNull(),org.junit.Test,1,1,3,ParametersBuilder forEntity(Class<?> entityType)|ParametersBuilder restrictedBy(Criterion criterion)|ParametersBuilderInitialStep parameters(),3,,0,,0,0,0,0,0,,0,0,,0,,0
hibernate-search,hibernate-search-jsr352-core,/hibernate-search-jsr352-core/src/test/java/org/hibernate/search/jsr352/massindexing/MassIndexingJobParametersBuilderTest.java,org.hibernate.search.jsr352.massindexing.MassIndexingJobParametersBuilderTest,testSessionClearInterval_greaterThanCheckpointInterval,()V,void testSessionClearInterval_greaterThanCheckpointInterval(),org.junit.Test,1,1,5,ParametersBuilder checkpointInterval(int checkpointInterval)|ParametersBuilder forEntity(Class<?> entityType)|ParametersBuilder sessionClearInterval(int sessionClearInterval)|ParametersBuilderInitialStep parameters()|Properties build(),5,,0,,0,0,0,0,0,,0,0,,0,,0
hibernate-search,hibernate-search-jsr352-core,/hibernate-search-jsr352-core/src/test/java/org/hibernate/search/jsr352/massindexing/MassIndexingJobParametersBuilderTest.java,org.hibernate.search.jsr352.massindexing.MassIndexingJobParametersBuilderTest,testSessionClearInterval_defaultGreaterThanCheckpointInterval,()V,void testSessionClearInterval_defaultGreaterThanCheckpointInterval(),org.junit.Test,1,1,4,ParametersBuilder checkpointInterval(int checkpointInterval)|ParametersBuilder forEntity(Class<?> entityType)|ParametersBuilderInitialStep parameters()|Properties build(),4,,0,,0,0,0,0,0,,0,0,,0,,0
hibernate-search,hibernate-search-jsr352-core,/hibernate-search-jsr352-core/src/test/java/org/hibernate/search/jsr352/massindexing/MassIndexingJobParametersBuilderTest.java,org.hibernate.search.jsr352.massindexing.MassIndexingJobParametersBuilderTest,testSessionClearInterval_greaterThanDefaultCheckpointInterval,()V,void testSessionClearInterval_greaterThanDefaultCheckpointInterval(),org.junit.Test,1,1,4,ParametersBuilder forEntity(Class<?> entityType)|ParametersBuilder sessionClearInterval(int sessionClearInterval)|ParametersBuilderInitialStep parameters()|Properties build(),4,,0,,0,0,0,0,0,,0,0,,0,,0
hibernate-search,hibernate-search-jsr352-core,/hibernate-search-jsr352-core/src/test/java/org/hibernate/search/jsr352/massindexing/MassIndexingJobParametersBuilderTest.java,org.hibernate.search.jsr352.massindexing.MassIndexingJobParametersBuilderTest,testCheckpointInterval_greaterThanRowsPerPartitions,()V,void testCheckpointInterval_greaterThanRowsPerPartitions(),org.junit.Test,1,1,5,ParametersBuilder checkpointInterval(int checkpointInterval)|ParametersBuilder forEntity(Class<?> entityType)|ParametersBuilder rowsPerPartition(int rowsPerPartition)|ParametersBuilderInitialStep parameters()|Properties build(),5,,0,,0,0,0,0,0,,0,0,,0,,0
hibernate-search,hibernate-search-jsr352-core,/hibernate-search-jsr352-core/src/test/java/org/hibernate/search/jsr352/massindexing/MassIndexingJobParametersBuilderTest.java,org.hibernate.search.jsr352.massindexing.MassIndexingJobParametersBuilderTest,testCheckpointInterval_defaultGreaterThanRowsPerPartitions,()V,void testCheckpointInterval_defaultGreaterThanRowsPerPartitions(),org.junit.Test,1,1,4,ParametersBuilder forEntity(Class<?> entityType)|ParametersBuilder rowsPerPartition(int rowsPerPartition)|ParametersBuilderInitialStep parameters()|Properties build(),4,,0,,0,0,0,0,0,,0,0,,0,,0
