mainProjectName,projectName,filePath,typeName,methodName,methodShortSignature,methodVerboseSignature,methodAnnotations,numberOfFirstLevelStatements,numberOfStatements,numberOfMethodInvocations,distinctMethodInvocations,numberOfDistinctMethodInvocations,distinctMethodInvocationsInSameClass,numberOfDistinctMethodInvocationsInSameClass,distinctTestCaseMethodInvocationsInSameClass,numberOfDistinctTestCaseMethodInvocationsInSameClass,numberOfMethodInvocationsWithExceptions,numberOfExceptionsThrown,numberOfExceptionsThrownAndCaughtExact,numberOfExceptionsThrownAndCaughtPartial,exceptionsThrownInMethodInvocations,numberOfAssertions,numberOfAssertionsWithRecursion,distinctMethodsInSameClassThatCallThisOne,numberOfdistinctMethodsInSameClassThatCallThisOne,distinctTestCasesInSameClassThatCallThisOne,numberOfdistinctTestCasesInSameClassThatCallThisOne
hibernate-search,hibernate-search-mapper-orm,/hibernate-search-mapper-orm/src/test/java/org/hibernate/search/mapper/orm/HibernateOrmExtensionTest.java,org.hibernate.search.mapper.orm.HibernateOrmExtensionTest,identifierBridge,()V,void identifierBridge(),org.junit.Test,10,10,14,AbstractAssert isSameAs(Object expected)|HibernateOrmExtension get()|ObjectAssert assertThat(Object assertion)|T extension(IdentifierBridgeFromDocumentIdentifierContextExtension<T> extension)|T extension(IdentifierBridgeToDocumentIdentifierContextExtension<T> extension)|void replayAll()|void resetAll()|void verifyAll(),8,,0,,0,0,0,0,0,,0,0,,0,,0
hibernate-search,hibernate-search-mapper-orm,/hibernate-search-mapper-orm/src/test/java/org/hibernate/search/mapper/orm/HibernateOrmExtensionTest.java,org.hibernate.search.mapper.orm.HibernateOrmExtensionTest,routingKeyBridge,()V,void routingKeyBridge(),org.junit.Test,5,5,7,AbstractAssert isSameAs(Object expected)|HibernateOrmExtension get()|ObjectAssert assertThat(Object assertion)|T extension(RoutingKeyBridgeToRoutingKeyContextExtension<T> extension)|void replayAll()|void resetAll()|void verifyAll(),7,,0,,0,0,0,0,0,,0,0,,0,,0
hibernate-search,hibernate-search-mapper-orm,/hibernate-search-mapper-orm/src/test/java/org/hibernate/search/mapper/orm/HibernateOrmExtensionTest.java,org.hibernate.search.mapper.orm.HibernateOrmExtensionTest,typeBridge,()V,void typeBridge(),org.junit.Test,5,5,7,AbstractAssert isSameAs(Object expected)|HibernateOrmExtension get()|ObjectAssert assertThat(Object assertion)|T extension(TypeBridgeWriteContextExtension<T> extension)|void replayAll()|void resetAll()|void verifyAll(),7,,0,,0,0,0,0,0,,0,0,,0,,0
hibernate-search,hibernate-search-mapper-orm,/hibernate-search-mapper-orm/src/test/java/org/hibernate/search/mapper/orm/HibernateOrmExtensionTest.java,org.hibernate.search.mapper.orm.HibernateOrmExtensionTest,propertyBridge,()V,void propertyBridge(),org.junit.Test,5,5,7,AbstractAssert isSameAs(Object expected)|HibernateOrmExtension get()|ObjectAssert assertThat(Object assertion)|T extension(PropertyBridgeWriteContextExtension<T> extension)|void replayAll()|void resetAll()|void verifyAll(),7,,0,,0,0,0,0,0,,0,0,,0,,0
hibernate-search,hibernate-search-mapper-orm,/hibernate-search-mapper-orm/src/test/java/org/hibernate/search/mapper/orm/HibernateOrmExtensionTest.java,org.hibernate.search.mapper.orm.HibernateOrmExtensionTest,valueBridge,()V,void valueBridge(),org.junit.Test,10,10,14,AbstractAssert isSameAs(Object expected)|HibernateOrmExtension get()|ObjectAssert assertThat(Object assertion)|T extension(ValueBridgeFromIndexedValueContextExtension<T> extension)|T extension(ValueBridgeToIndexedValueContextExtension<T> extension)|void replayAll()|void resetAll()|void verifyAll(),8,,0,,0,0,0,0,0,,0,0,,0,,0
hibernate-search,hibernate-search-mapper-orm,/hibernate-search-mapper-orm/src/test/java/org/hibernate/search/mapper/orm/HibernateOrmExtensionTest.java,org.hibernate.search.mapper.orm.HibernateOrmExtensionTest,toIndexValueConverter,()V,void toIndexValueConverter(),org.junit.Test,5,5,7,AbstractAssert isSameAs(Object expected)|HibernateOrmExtension get()|ObjectAssert assertThat(Object assertion)|T extension(ToDocumentFieldValueConvertContextExtension<T> extension)|void replayAll()|void resetAll()|void verifyAll(),7,,0,,0,0,0,0,0,,0,0,,0,,0
hibernate-search,hibernate-search-mapper-orm,/hibernate-search-mapper-orm/src/test/java/org/hibernate/search/mapper/orm/HibernateOrmExtensionTest.java,org.hibernate.search.mapper.orm.HibernateOrmExtensionTest,fromIndexValueConverter,()V,void fromIndexValueConverter(),org.junit.Test,5,5,7,AbstractAssert isSameAs(Object expected)|HibernateOrmExtension get()|ObjectAssert assertThat(Object assertion)|T extension(FromDocumentFieldValueConvertContextExtension<T> extension)|void replayAll()|void resetAll()|void verifyAll(),7,,0,,0,0,0,0,0,,0,0,,0,,0
hibernate-search,hibernate-search-mapper-orm,/hibernate-search-mapper-orm/src/test/java/org/hibernate/search/mapper/orm/model/impl/HibernateOrmBootstrapIntrospectorAnnotationReadingTest.java,org.hibernate.search.mapper.orm.model.impl.HibernateOrmBootstrapIntrospectorAnnotationReadingTest,singleAnnotation,()V,void singleAnnotation(),org.junit.Test,5,5,12,AbstractAssert isEqualTo(Object expected)|AbstractIterableAssert allSatisfy(Consumer requirements)|AbstractIterableAssert hasSize(int expected)|AbstractObjectAssert extracting(Function extractor)|HibernateOrmBootstrapIntrospector createIntrospector(Class<?>[] entityClasses)|HibernateOrmClassRawTypeModel<T> getTypeModel(Class<T> clazz)|ListAssert assertThat(Stream actual)|ObjectAssert assertThat(Object assertion)|PojoPropertyModel<?> getProperty(String propertyName)|Stream flatMap(Function mapper)|Stream<Annotation> getAnnotations()|ValueReadHandleFactory getAnnotationValueReadHandleFactory(),12,,0,,0,0,0,0,0,,0,0,,0,,0
hibernate-search,hibernate-search-mapper-orm,/hibernate-search-mapper-orm/src/test/java/org/hibernate/search/mapper/orm/model/impl/HibernateOrmBootstrapIntrospectorAnnotationReadingTest.java,org.hibernate.search.mapper.orm.model.impl.HibernateOrmBootstrapIntrospectorAnnotationReadingTest,repeatedAnnotation,()V,void repeatedAnnotation(),org.junit.Test|org.hibernate.search.util.impl.test.annotation.TestForIssue,5,5,12,AbstractAssert isEqualTo(Object expected)|AbstractIterableAssert allSatisfy(Consumer requirements)|AbstractIterableAssert hasSize(int expected)|AbstractObjectAssert extracting(Function extractor)|HibernateOrmBootstrapIntrospector createIntrospector(Class<?>[] entityClasses)|HibernateOrmClassRawTypeModel<T> getTypeModel(Class<T> clazz)|ListAssert assertThat(Stream actual)|ObjectAssert assertThat(Object assertion)|PojoPropertyModel<?> getProperty(String propertyName)|Stream flatMap(Function mapper)|Stream<Annotation> getAnnotations()|ValueReadHandleFactory getAnnotationValueReadHandleFactory(),12,,0,,0,0,0,0,0,,0,0,,0,,0
hibernate-search,hibernate-search-mapper-orm,/hibernate-search-mapper-orm/src/test/java/org/hibernate/search/mapper/orm/model/impl/HibernateOrmBootstrapIntrospectorAccessTypeTest.java,org.hibernate.search.mapper.orm.model.impl.HibernateOrmBootstrapIntrospectorAccessTypeTest,entity_defaultFieldAccess,()V,void entity_defaultFieldAccess(),org.junit.Test,2,2,2,HibernateOrmBootstrapIntrospector createIntrospector(Class<?>[] entityClasses)|void testEntityWithDefaultFieldAccess(HibernateOrmBootstrapIntrospector introspector),2,void testEntityWithDefaultFieldAccess(HibernateOrmBootstrapIntrospector introspector),1,,0,0,0,0,0,,0,0,,0,,0
