mainProjectName,projectName,filePath,typeName,methodName,methodShortSignature,methodVerboseSignature,methodAnnotations,numberOfFirstLevelStatements,numberOfStatements,numberOfMethodInvocations,distinctMethodInvocations,numberOfDistinctMethodInvocations,distinctMethodInvocationsInSameClass,numberOfDistinctMethodInvocationsInSameClass,distinctTestCaseMethodInvocationsInSameClass,numberOfDistinctTestCaseMethodInvocationsInSameClass,numberOfMethodInvocationsWithExceptions,numberOfExceptionsThrown,numberOfExceptionsThrownAndCaughtExact,numberOfExceptionsThrownAndCaughtPartial,exceptionsThrownInMethodInvocations,numberOfAssertions,numberOfAssertionsWithRecursion,distinctMethodsInSameClassThatCallThisOne,numberOfdistinctMethodsInSameClassThatCallThisOne,distinctTestCasesInSameClassThatCallThisOne,numberOfdistinctTestCasesInSameClassThatCallThisOne
hibernate-search,hibernate-search-mapper-pojo-base,/hibernate-search-mapper-pojo-base/src/test/java/org/hibernate/search/mapper/pojo/automaticindexing/building/impl/PojoAssociationPathInverterTest.java,org.hibernate.search.mapper.pojo.automaticindexing.building.impl.PojoAssociationPathInverterTest,detectInfiniteRecursion,()V,void detectInfiniteRecursion(),org.junit.Test,47,51,98,BoundContainerExtractorPath<C;?> bindPath(PojoGenericTypeModel<C> sourceType; ContainerExtractorPath extractorPath)|BoundContainerExtractorPath<V;V> noExtractors(PojoGenericTypeModel<V> sourceType)|BoundPojoModelPathOriginalTypeNode<T> root(PojoTypeModel<T> typeModel)|BoundPojoModelPathPropertyNode<T;?> property(String propertyName)|BoundPojoModelPathValueNode<T;P;V> value(BoundContainerExtractorPath<P;V> extractorPath)|Builder builder()|Builder property(String propertyName)|Builder value(ContainerExtractorPath extractorPath)|ContainerExtractorPath noExtractors()|IExpectationSetters expect(Object value)|Object anyObject()|Object createMock(String name; Class toMock)|Object eq(Object value)|Object[] getCurrentArguments()|Optional empty()|Optional<PojoModelPathValueNode> getInverseSidePath()|Optional<PojoModelPathValueNode> invertPath(PojoTypeModel<?> inverseSideEntityType; BoundPojoModelPathValueNode<?;?;?> pathToInvert)|PojoModelPathValueNode toValuePath()|PojoPropertyAdditionalMetadata getPropertyAdditionalMetadata(String name)|PojoRawTypeModel<? super T> getRawType()|PojoTypeAdditionalMetadata get(PojoRawTypeModel<?> typeModel)|PojoValueAdditionalMetadata getValueAdditionalMetadata(ContainerExtractorPath extractorPath)|String getName()|String toPathString()|boolean isDefaultExtractorPath(PojoGenericTypeModel<?> sourceType; ContainerExtractorPath extractorPath)|void andStubAnswer(IAnswer answer)|void andStubReturn(Object value)|void expect(Class type)|void expectMessage(String substring)|void replayAll()|void resetAll()|void setupPropertyStub(PojoTypeModel<?> holdingTypeMock; String propertyName; PojoGenericTypeModel<?> propertyTypeMock)|void setupSingletonEmbeddedPropertiesAdditionalMetadataStub(PojoTypeAdditionalMetadata typeAdditionalMetadata; String propertyName)|void verifyAll(),34,void setupPropertyStub(PojoTypeModel<?> holdingTypeMock; String propertyName; PojoGenericTypeModel<?> propertyTypeMock)|void setupSingletonEmbeddedPropertiesAdditionalMetadataStub(PojoTypeAdditionalMetadata typeAdditionalMetadata; String propertyName),2,,0,0,0,0,0,,0,0,,0,,0
hibernate-search,hibernate-search-mapper-pojo-base,/hibernate-search-mapper-pojo-base/src/test/java/org/hibernate/search/mapper/pojo/model/path/PojoModelPathTest.java,org.hibernate.search.mapper.pojo.model.path.PojoModelPathTest,ofProperty,()V,void ofProperty(),org.junit.Test,3,3,12,AbstractAssert isInstanceOf(Class type)|AbstractAssert satisfies(Consumer requirements)|AbstractThrowableAssert<?;Throwable> assertThrown()|Consumer<T> isPath(Object[] pathComponents)|ExceptionThrowingSubTest expectException(Callable<?> callable)|ObjectAssert assertThat(Object assertion)|PojoModelPathPropertyNode ofProperty(String propertyName),7,Consumer<T> isPath(Object[] pathComponents),1,,0,0,0,0,0,,0,2,,0,,0
hibernate-search,hibernate-search-mapper-pojo-base,/hibernate-search-mapper-pojo-base/src/test/java/org/hibernate/search/mapper/pojo/model/path/PojoModelPathTest.java,org.hibernate.search.mapper.pojo.model.path.PojoModelPathTest,ofValue_property,()V,void ofValue_property(),org.junit.Test,3,3,13,AbstractAssert isInstanceOf(Class type)|AbstractAssert satisfies(Consumer requirements)|AbstractThrowableAssert<?;Throwable> assertThrown()|Consumer<T> isPath(Object[] pathComponents)|ContainerExtractorPath defaultExtractors()|ExceptionThrowingSubTest expectException(Callable<?> callable)|ObjectAssert assertThat(Object assertion)|PojoModelPathValueNode ofValue(String propertyName),8,Consumer<T> isPath(Object[] pathComponents),1,,0,0,0,0,0,,0,2,,0,,0
hibernate-search,hibernate-search-mapper-pojo-base,/hibernate-search-mapper-pojo-base/src/test/java/org/hibernate/search/mapper/pojo/model/path/PojoModelPathTest.java,org.hibernate.search.mapper.pojo.model.path.PojoModelPathTest,ofValue_propertyAndContainerExtractorPath,()V,void ofValue_propertyAndContainerExtractorPath(),org.junit.Test,4,4,20,AbstractAssert isInstanceOf(Class type)|AbstractAssert satisfies(Consumer requirements)|AbstractThrowableAssert<?;Throwable> assertThrown()|Consumer<T> isPath(Object[] pathComponents)|ContainerExtractorPath explicitExtractor(String extractorName)|ExceptionThrowingSubTest expectException(Callable<?> callable)|ObjectAssert assertThat(Object assertion)|PojoModelPathValueNode ofValue(String propertyName; ContainerExtractorPath extractorPath),8,Consumer<T> isPath(Object[] pathComponents),1,,0,0,0,0,0,,0,3,,0,,0
hibernate-search,hibernate-search-mapper-pojo-base,/hibernate-search-mapper-pojo-base/src/test/java/org/hibernate/search/mapper/pojo/model/path/PojoModelPathTest.java,org.hibernate.search.mapper.pojo.model.path.PojoModelPathTest,parse,()V,void parse(),org.junit.Test,6,6,27,AbstractAssert isInstanceOf(Class type)|AbstractAssert satisfies(Consumer requirements)|AbstractThrowableAssert<?;Throwable> assertThrown()|Consumer<T> isPath(Object[] pathComponents)|ContainerExtractorPath defaultExtractors()|ExceptionThrowingSubTest expectException(Callable<?> callable)|ObjectAssert assertThat(Object assertion)|PojoModelPathValueNode parse(String dotSeparatedPath),8,Consumer<T> isPath(Object[] pathComponents),1,,0,0,0,0,0,,0,4,,0,,0
hibernate-search,hibernate-search-mapper-pojo-base,/hibernate-search-mapper-pojo-base/src/test/java/org/hibernate/search/mapper/pojo/model/path/PojoModelPathTest.java,org.hibernate.search.mapper.pojo.model.path.PojoModelPathTest,builder,()V,void builder(),org.junit.Test,6,6,41,AbstractAssert satisfies(Consumer requirements)|Builder builder()|Builder property(String propertyName)|Builder value(ContainerExtractorPath extractorPath)|Builder value(String extractorName)|Builder valueWithDefaultExtractors()|Builder valueWithoutExtractors()|Consumer<T> isPath(Object[] pathComponents)|ContainerExtractorPath defaultExtractors()|ContainerExtractorPath explicitExtractor(String extractorName)|ContainerExtractorPath explicitExtractors(List<String> extractorNames)|ContainerExtractorPath noExtractors()|List asList(Object[] a)|ObjectAssert assertThat(Object assertion)|PojoModelPathPropertyNode toPropertyPath()|PojoModelPathValueNode toValuePath(),16,Consumer<T> isPath(Object[] pathComponents),1,,0,0,0,0,0,,0,0,,0,,0
hibernate-search,hibernate-search-mapper-pojo-base,/hibernate-search-mapper-pojo-base/src/test/java/org/hibernate/search/mapper/pojo/model/path/PojoModelPathTest.java,org.hibernate.search.mapper.pojo.model.path.PojoModelPathTest,builder_missingContainerExtractorPath_middle,()V,void builder_missingContainerExtractorPath_middle(),org.junit.Test,3,3,10,AbstractAssert satisfies(Consumer requirements)|Builder builder()|Builder property(String propertyName)|Builder value(String extractorName)|Consumer<T> isPath(Object[] pathComponents)|ContainerExtractorPath defaultExtractors()|ContainerExtractorPath explicitExtractor(String extractorName)|ObjectAssert assertThat(Object assertion)|PojoModelPathValueNode toValuePath(),9,Consumer<T> isPath(Object[] pathComponents),1,,0,0,0,0,0,,0,0,,0,,0
hibernate-search,hibernate-search-mapper-pojo-base,/hibernate-search-mapper-pojo-base/src/test/java/org/hibernate/search/mapper/pojo/model/path/PojoModelPathTest.java,org.hibernate.search.mapper.pojo.model.path.PojoModelPathTest,builder_missingContainerExtractorPath_end,()V,void builder_missingContainerExtractorPath_end(),org.junit.Test,6,6,19,AbstractAssert satisfies(Consumer requirements)|Builder builder()|Builder property(String propertyName)|Builder value(String extractorName)|Consumer<T> isPath(Object[] pathComponents)|ContainerExtractorPath defaultExtractors()|ContainerExtractorPath explicitExtractor(String extractorName)|ObjectAssert assertThat(Object assertion)|PojoModelPathPropertyNode toPropertyPath()|PojoModelPathValueNode toValuePath(),10,Consumer<T> isPath(Object[] pathComponents),1,,0,0,0,0,0,,0,0,,0,,0
hibernate-search,hibernate-search-mapper-pojo-base,/hibernate-search-mapper-pojo-base/src/test/java/org/hibernate/search/mapper/pojo/model/path/PojoModelPathTest.java,org.hibernate.search.mapper.pojo.model.path.PojoModelPathTest,builder_missingPropertyName,()V,void builder_missingPropertyName(),org.junit.Test,8,8,38,AbstractAssert isInstanceOf(Class type)|AbstractThrowableAssert hasMessageContaining(String description)|AbstractThrowableAssert<?;Throwable> assertThrown()|Builder builder()|Builder value(String extractorName)|Builder valueWithDefaultExtractors()|Builder valueWithoutExtractors()|ExceptionThrowingSubTest expectException(Callable<?> callable)|ObjectAssert assertThat(Object assertion)|PojoModelPathPropertyNode toPropertyPath()|PojoModelPathPropertyNode toPropertyPathOrNull()|PojoModelPathValueNode toValuePath()|PojoModelPathValueNode toValuePathOrNull()|void isNull(),14,,0,,0,0,0,0,0,,0,5,,0,,0
hibernate-search,hibernate-search-mapper-pojo-base,/hibernate-search-mapper-pojo-base/src/test/java/org/hibernate/search/mapper/pojo/model/path/PojoModelPathTest.java,org.hibernate.search.mapper.pojo.model.path.PojoModelPathTest,builder_chainedContainerExtractors,()V,void builder_chainedContainerExtractors(),org.junit.Test,3,3,13,AbstractAssert satisfies(Consumer requirements)|Builder builder()|Builder property(String propertyName)|Builder value(String extractorName)|Consumer<T> isPath(Object[] pathComponents)|ContainerExtractorPath explicitExtractor(String extractorName)|ContainerExtractorPath explicitExtractors(List<String> extractorNames)|List asList(Object[] a)|ObjectAssert assertThat(Object assertion)|PojoModelPathValueNode toValuePath(),10,Consumer<T> isPath(Object[] pathComponents),1,,0,0,0,0,0,,0,0,,0,,0
