mainProjectName,projectName,filePath,typeName,methodName,methodShortSignature,methodVerboseSignature,methodAnnotations,numberOfFirstLevelStatements,numberOfStatements,numberOfMethodInvocations,distinctMethodInvocations,numberOfDistinctMethodInvocations,distinctMethodInvocationsInSameClass,numberOfDistinctMethodInvocationsInSameClass,distinctTestCaseMethodInvocationsInSameClass,numberOfDistinctTestCaseMethodInvocationsInSameClass,numberOfMethodInvocationsWithExceptions,numberOfExceptionsThrown,numberOfExceptionsThrownAndCaughtExact,numberOfExceptionsThrownAndCaughtPartial,exceptionsThrownInMethodInvocations,numberOfAssertions,numberOfAssertionsWithRecursion,distinctMethodsInSameClassThatCallThisOne,numberOfdistinctMethodsInSameClassThatCallThisOne,distinctTestCasesInSameClassThatCallThisOne,numberOfdistinctTestCasesInSameClassThatCallThisOne
hibernate-search,hibernate-search-orm,/hibernate-search-orm/src/test/java/NoPackageTest.java,NoPackageTest,testMultipleEntitiesPerIndex,()V,void testMultipleEntitiesPerIndex(),org.junit.Test,2,11,14,FullTextQuery createFullTextQuery(org.apache.lucene.search.Query luceneQuery; Class<?>[] entities)|FullTextSession getFullTextSession(Session session)|List list()|Session openSession()|Transaction getTransaction()|int size()|void assertEquals(long expected; long actual)|void begin()|void commit()|void persist(Object object),10,,0,,0,0,0,0,0,,1,1,,0,,0
hibernate-search,hibernate-search-orm,/hibernate-search-orm/src/test/java/org/hibernate/search/test/backend/OptimizationTriggerTest.java,org.hibernate.search.test.backend.OptimizationTriggerTest,testOptimizationIsTriggered,()V,void testOptimizationIsTriggered(),org.junit.Test,20,27,31,DirectoryBasedIndexManager getSingleIndexManager(Class<?> clazz)|FullTextQuery createFullTextQuery(org.apache.lucene.search.Query luceneQuery; Class<?>[] entities)|FullTextSession getFullTextSession(Session session)|MassIndexer createIndexer(Class<?>[] types)|MassIndexer optimizeAfterPurge(boolean optimize)|MassIndexer optimizeOnFinish(boolean optimize)|OptimizerStrategy getOptimizerStrategy()|SearchFactory getSearchFactory()|Session openSession()|Transaction beginTransaction()|int getResultSize()|long getOptimizationsPerformed()|void assertEquals(String message; long expected; long actual)|void assertTrue(String message; boolean condition)|void clear()|void close()|void commit()|void optimize(Class<?> entityType)|void persist(Object object)|void startAndWait(),20,DirectoryBasedIndexManager getSingleIndexManager(Class<?> clazz),1,,0,1,1,0,0,java.lang.InterruptedException,7,8,,0,,0
hibernate-search,hibernate-search-orm,/hibernate-search-orm/src/test/java/org/hibernate/search/test/backend/WorkQueueLengthConfiguredTest.java,org.hibernate.search.test.backend.WorkQueueLengthConfiguredTest,testNothingTest,()V,void testNothingTest(),org.junit.Test,7,7,14,IndexManagerSelector getIndexManagerSelector()|IndexedTypeMap<EntityIndexBinding> getIndexBindings()|Iterator iterator()|LuceneBackendResources getIndexResources()|Object next()|SearchFactory getSearchFactory()|Set<IndexManager> all()|T unwrap(Class<T> cls)|V get(Class<?> legacyPojoClass)|WorkspaceHolder getWorkspaceHolder()|int getMaxQueueLength()|int size()|void assertEquals(long expected; long actual),13,,0,,0,0,0,0,0,,2,2,,0,,0
hibernate-search,hibernate-search-orm,/hibernate-search-orm/src/test/java/org/hibernate/search/test/backend/SyncBackendLongWorkListStressTest.java,org.hibernate.search.test.backend.SyncBackendLongWorkListStressTest,testWorkLongerThanMaxQueueSize,()V,void testWorkLongerThanMaxQueueSize(),org.junit.Test,16,21,26,Criteria createCriteria(Class persistentClass)|Criteria setProjection(Projection projection)|FullTextQuery createFullTextQuery(org.apache.lucene.search.Query luceneQuery; Class<?>[] entities)|FullTextSession getFullTextSession(Session session)|Object uniqueResult()|Projection rowCount()|Session openSession()|Transaction beginTransaction()|int getResultSize()|int intValue()|void assertEquals(long expected; long actual)|void clear()|void close()|void closeSessionFactory()|void commit()|void openSessionFactory()|void persist(Object object)|void purgeAll(Class<T> entityType),18,,0,,0,1,1,0,0,org.hibernate.HibernateException,2,2,,0,,0
hibernate-search,hibernate-search-orm,/hibernate-search-orm/src/test/java/org/hibernate/search/test/batchindexing/SearchIndexerTest.java,org.hibernate.search.test.batchindexing.SearchIndexerTest,testEntityHierarchy,()V,void testEntityHierarchy(),org.junit.Test,9,23,53,FullTextSession openFullTextSession()|FullTextSessionBuilder addAnnotatedClass(Class annotatedClass)|FullTextSessionBuilder build()|SearchFactory getSearchFactory()|Set<Class<?>> getRootEntities()|T unwrap(Class<T> cls)|boolean contains(Object o)|int size()|void assertEquals(long expected; long actual)|void assertFalse(boolean condition)|void assertTrue(boolean condition)|void close(),12,,0,,0,0,0,0,0,,14,14,,0,,0
hibernate-search,hibernate-search-orm,/hibernate-search-orm/src/test/java/org/hibernate/search/test/batchindexing/SearchIndexerTest.java,org.hibernate.search.test.batchindexing.SearchIndexerTest,testIdentifierNaming,()V,void testIdentifierNaming(),org.junit.Test|org.hibernate.search.testsupport.TestForIssue,8,29,38,FullTextSession openFullTextSession()|FullTextSessionBuilder addAnnotatedClass(Class annotatedClass)|FullTextSessionBuilder build()|FullTextSessionBuilder setProperty(String key; String value)|MassIndexer createIndexer(Class<?>[] types)|Serializable save(Object object)|String getName()|Transaction beginTransaction()|int countResults(Query query; FullTextSessionBuilder ftSessionBuilder; Class<?> type)|void assertEquals(long expected; long actual)|void close()|void commit()|void persist(Object object)|void setFirstPublishedIn(Nation firstPublishedIn)|void setId(String id)|void setTitle(String title)|void startAndWait(),17,int countResults(Query query; FullTextSessionBuilder ftSessionBuilder; Class<?> type),1,,0,2,2,0,0,java.lang.InterruptedException,4,4,,0,,0
hibernate-search,hibernate-search-orm,/hibernate-search-orm/src/test/java/org/hibernate/search/test/batchindexing/SearchIndexerTest.java,org.hibernate.search.test.batchindexing.SearchIndexerTest,testExtendedIdentifierNaming,()V,void testExtendedIdentifierNaming(),org.junit.Test,6,18,25,FullTextSession openFullTextSession()|FullTextSessionBuilder addAnnotatedClass(Class annotatedClass)|FullTextSessionBuilder build()|FullTextSessionBuilder setProperty(String key; String value)|MassIndexer createIndexer(Class<?>[] types)|NumericRangeQuery newLongRange(String field; Long min; Long max; boolean minInclusive; boolean maxInclusive)|String getName()|Transaction beginTransaction()|int countResults(Query query; FullTextSessionBuilder ftSessionBuilder; Class<?> type)|void assertEquals(long expected; long actual)|void close()|void commit()|void persist(Object object)|void startAndWait(),14,int countResults(Query query; FullTextSessionBuilder ftSessionBuilder; Class<?> type),1,,0,1,1,0,0,java.lang.InterruptedException,4,4,,0,,0
hibernate-search,hibernate-search-orm,/hibernate-search-orm/src/test/java/org/hibernate/search/test/batchindexing/SearchIndexerTest.java,org.hibernate.search.test.batchindexing.SearchIndexerTest,testNonConfiguredEntityHierarchy,()V,void testNonConfiguredEntityHierarchy(),org.junit.Test,2,8,15,FullTextSession openFullTextSession()|FullTextSessionBuilder addAnnotatedClass(Class annotatedClass)|FullTextSessionBuilder build()|FullTextSessionBuilder setProperty(String key; String value)|MassIndexer createIndexer(Class<?>[] types)|String getName()|void expect(Class type)|void expectMessage(String substring),8,,0,,0,0,0,0,0,,0,0,,0,,0
hibernate-search,hibernate-search-orm,/hibernate-search-orm/src/test/java/org/hibernate/search/test/batchindexing/SearchIndexerTest.java,org.hibernate.search.test.batchindexing.SearchIndexerTest,testNonIndexedEntityHierarchy,()V,void testNonIndexedEntityHierarchy(),org.junit.Test,2,8,16,FullTextSession openFullTextSession()|FullTextSessionBuilder addAnnotatedClass(Class annotatedClass)|FullTextSessionBuilder build()|FullTextSessionBuilder setProperty(String key; String value)|MassIndexer createIndexer(Class<?>[] types)|String getName()|void expect(Class type)|void expectMessage(String substring),8,,0,,0,0,0,0,0,,0,0,,0,,0
hibernate-search,hibernate-search-orm,/hibernate-search-orm/src/test/java/org/hibernate/search/test/batchindexing/DatabaseMultitenancyTest.java,org.hibernate.search.test.batchindexing.DatabaseMultitenancyTest,shouldOnlyFindMetamecModels,()V,void shouldOnlyFindMetamecModels(),org.junit.Test,3,3,5,AbstractIterableAssert isNotEmpty()|List<Clock> searchAll(String tenantId)|ListAssert assertThat(List actual)|ListAssert containsExactlyInAnyOrder(Object[] values),4,List<Clock> searchAll(String tenantId),1,,0,0,0,0,0,,0,0,,0,,0
