mainProjectName,projectName,filePath,typeName,methodName,methodShortSignature,methodVerboseSignature,methodAnnotations,numberOfFirstLevelStatements,numberOfStatements,numberOfMethodInvocations,distinctMethodInvocations,numberOfDistinctMethodInvocations,distinctMethodInvocationsInSameClass,numberOfDistinctMethodInvocationsInSameClass,distinctTestCaseMethodInvocationsInSameClass,numberOfDistinctTestCaseMethodInvocationsInSameClass,numberOfMethodInvocationsWithExceptions,numberOfExceptionsThrown,numberOfExceptionsThrownAndCaughtExact,numberOfExceptionsThrownAndCaughtPartial,exceptionsThrownInMethodInvocations,numberOfAssertions,numberOfAssertionsWithRecursion,distinctMethodsInSameClassThatCallThisOne,numberOfdistinctMethodsInSameClassThatCallThisOne,distinctTestCasesInSameClassThatCallThisOne,numberOfdistinctTestCasesInSameClassThatCallThisOne
hibernate-search,hibernate-search-serialization-avro,/hibernate-search-serialization-avro/src/test/java/org/hibernate/search/test/serialization/SerializationProviderTest.java,org.hibernate.search.test.serialization.SerializationProviderTest,testCorrectSerializationProviderType,()V,void testCorrectSerializationProviderType(),org.junit.Test,1,1,1,void assertTrue(String message; boolean condition),1,,0,,0,0,0,0,0,,1,1,,0,,0
hibernate-search,hibernate-search-serialization-avro,/hibernate-search-serialization-avro/src/test/java/org/hibernate/search/test/serialization/SerializationProviderTest.java,org.hibernate.search.test.serialization.SerializationProviderTest,testCorrectSerializationProviderVersion,()V,void testCorrectSerializationProviderVersion(),org.junit.Test,1,1,4,String toString()|boolean contains(CharSequence s)|void assertTrue(String message; boolean condition),3,,0,,0,0,0,0,0,,1,1,,0,,0
hibernate-search,hibernate-search-serialization-avro,/hibernate-search-serialization-avro/src/test/java/org/hibernate/search/test/serialization/SerializationTest.java,org.hibernate.search.test.serialization.SerializationTest,testWorkSerialization,()V,void testWorkSerialization(),org.junit.Test,5,6,10,AbstractIterableAssert hasSize(int expected)|List<LuceneWork> buildLuceneWorkList()|List<LuceneWork> toLuceneWorks(byte[] data)|ListAssert assertThat(List actual)|Object get(int index)|byte[] toSerializedModel(List<LuceneWork> works)|int size()|void assertLuceneWork(LuceneWork work; LuceneWork copy),8,List<LuceneWork> buildLuceneWorkList(),1,,0,1,1,0,0,java.lang.Exception,0,7,,0,,0
hibernate-search,hibernate-search-serialization-avro,/hibernate-search-serialization-avro/src/test/java/org/hibernate/search/test/serialization/DocValuesSerializationTest.java,org.hibernate.search.test.serialization.DocValuesSerializationTest,testSerializationOfSortedSetDocValuesField,()V,void testSerializationOfSortedSetDocValuesField(),org.junit.Test,5,5,4,List<LuceneWork> buildLuceneWorks(Document document)|void add(IndexableField field)|void serializeDeserializeAndAssert(List<LuceneWork> expectedWorkList),3,List<LuceneWork> buildLuceneWorks(Document document)|void serializeDeserializeAndAssert(List<LuceneWork> expectedWorkList),2,,0,0,0,0,0,,0,7,,0,,0
hibernate-search,hibernate-search-serialization-avro,/hibernate-search-serialization-avro/src/test/java/org/hibernate/search/test/serialization/DocValuesSerializationTest.java,org.hibernate.search.test.serialization.DocValuesSerializationTest,testSerializationOfSortedDocValuesField,()V,void testSerializationOfSortedDocValuesField(),org.junit.Test,4,4,3,List<LuceneWork> buildLuceneWorks(Document document)|void add(IndexableField field)|void serializeDeserializeAndAssert(List<LuceneWork> expectedWorkList),3,List<LuceneWork> buildLuceneWorks(Document document)|void serializeDeserializeAndAssert(List<LuceneWork> expectedWorkList),2,,0,0,0,0,0,,0,7,,0,,0
hibernate-search,hibernate-search-serialization-avro,/hibernate-search-serialization-avro/src/test/java/org/hibernate/search/test/serialization/DocValuesSerializationTest.java,org.hibernate.search.test.serialization.DocValuesSerializationTest,testSerializationOfBinaryDocValuesField,()V,void testSerializationOfBinaryDocValuesField(),org.junit.Test,4,4,3,List<LuceneWork> buildLuceneWorks(Document document)|void add(IndexableField field)|void serializeDeserializeAndAssert(List<LuceneWork> expectedWorkList),3,List<LuceneWork> buildLuceneWorks(Document document)|void serializeDeserializeAndAssert(List<LuceneWork> expectedWorkList),2,,0,0,0,0,0,,0,7,,0,,0
hibernate-search,hibernate-search-serialization-avro,/hibernate-search-serialization-avro/src/test/java/org/hibernate/search/test/serialization/DocValuesSerializationTest.java,org.hibernate.search.test.serialization.DocValuesSerializationTest,testSerializationOfNumericDocValuesField,()V,void testSerializationOfNumericDocValuesField(),org.junit.Test,4,4,3,List<LuceneWork> buildLuceneWorks(Document document)|void add(IndexableField field)|void serializeDeserializeAndAssert(List<LuceneWork> expectedWorkList),3,List<LuceneWork> buildLuceneWorks(Document document)|void serializeDeserializeAndAssert(List<LuceneWork> expectedWorkList),2,,0,0,0,0,0,,0,7,,0,,0
hibernate-search,hibernate-search-serialization-avro,/hibernate-search-serialization-avro/src/test/java/org/hibernate/search/test/serialization/DocValuesSerializationTest.java,org.hibernate.search.test.serialization.DocValuesSerializationTest,testSerializationOfMultipleDocValuesFields,()V,void testSerializationOfMultipleDocValuesFields(),org.junit.Test,8,8,7,List<LuceneWork> buildLuceneWorks(Document document)|void add(IndexableField field)|void serializeDeserializeAndAssert(List<LuceneWork> expectedWorkList),3,List<LuceneWork> buildLuceneWorks(Document document)|void serializeDeserializeAndAssert(List<LuceneWork> expectedWorkList),2,,0,0,0,0,0,,0,7,,0,,0
hibernate-search,hibernate-search-serialization-avro,/hibernate-search-serialization-avro/src/test/java/org/hibernate/search/test/serialization/ConcurrentServiceTest.java,org.hibernate.search.test.serialization.ConcurrentServiceTest,concurrentSerialization,()V,void concurrentSerialization(),org.junit.Test,1,2,1,ServiceReference<LuceneWorkSerializer> extractSerializer(),1,ServiceReference<LuceneWorkSerializer> extractSerializer(),1,,0,0,0,0,0,,0,0,,0,,0
hibernate-search,hibernate-search-serialization-avro,/hibernate-search-serialization-avro/src/test/java/org/hibernate/search/test/serialization/ConcurrentServiceTest.java,org.hibernate.search.test.serialization.ConcurrentServiceTest,concurrentDeserialization,()V,void concurrentDeserialization(),org.junit.Test,1,3,4,List<LuceneWork> buildLuceneWorkList()|S get()|ServiceReference<LuceneWorkSerializer> extractSerializer()|byte[] toSerializedModel(List<LuceneWork> works),4,List<LuceneWork> buildLuceneWorkList()|ServiceReference<LuceneWorkSerializer> extractSerializer(),2,,0,1,1,0,0,java.lang.Exception,0,0,,0,,0
