mainProjectName,projectName,filePath,typeName,methodName,methodShortSignature,methodVerboseSignature,methodAnnotations,numberOfFirstLevelStatements,numberOfStatements,numberOfMethodInvocations,distinctMethodInvocations,numberOfDistinctMethodInvocations,distinctMethodInvocationsInSameClass,numberOfDistinctMethodInvocationsInSameClass,distinctTestCaseMethodInvocationsInSameClass,numberOfDistinctTestCaseMethodInvocationsInSameClass,numberOfMethodInvocationsWithExceptions,numberOfExceptionsThrown,numberOfExceptionsThrownAndCaughtExact,numberOfExceptionsThrownAndCaughtPartial,exceptionsThrownInMethodInvocations,numberOfAssertions,numberOfAssertionsWithRecursion,distinctMethodsInSameClassThatCallThisOne,numberOfdistinctMethodsInSameClassThatCallThisOne,distinctTestCasesInSameClassThatCallThisOne,numberOfdistinctTestCasesInSameClassThatCallThisOne
hibernate-search,hibernate-search-util-common,/hibernate-search-util-common/src/test/java/org/hibernate/search/util/common/impl/CloserTest.java,org.hibernate.search.util.common.impl.CloserTest,nullCloseable,()V,void nullCloseable(),org.junit.Test,1,2,1,S push(ClosingOperator<T;? extends E> operator; T objectToClose),1,,0,,0,0,0,0,0,,0,0,,0,,0
hibernate-search,hibernate-search-util-common,/hibernate-search-util-common/src/test/java/org/hibernate/search/util/common/impl/CloserTest.java,org.hibernate.search.util.common.impl.CloserTest,javaIOCloseable,()V,void javaIOCloseable(),org.junit.Test,5,9,6,ExceptionMatcherBuilder isException(Throwable throwable)|ExceptionMatcherBuilder withSuppressed(Throwable throwable)|Matcher<? super Throwable> build()|S push(ClosingOperator<T;? extends E> operator; T objectToClose)|void expect(Matcher matcher),5,,0,,0,0,0,0,0,,0,0,,0,,0
hibernate-search,hibernate-search-util-common,/hibernate-search-util-common/src/test/java/org/hibernate/search/util/common/impl/CloserTest.java,org.hibernate.search.util.common.impl.CloserTest,autoCloseable,()V,void autoCloseable(),org.junit.Test,5,9,6,ExceptionMatcherBuilder isException(Throwable throwable)|ExceptionMatcherBuilder withSuppressed(Throwable throwable)|Matcher<? super Throwable> build()|S push(ClosingOperator<T;? extends E> operator; T objectToClose)|void expect(Matcher matcher),5,,0,,0,0,0,0,0,,0,0,,0,,0
hibernate-search,hibernate-search-util-common,/hibernate-search-util-common/src/test/java/org/hibernate/search/util/common/impl/CloserTest.java,org.hibernate.search.util.common.impl.CloserTest,runtimeException,()V,void runtimeException(),org.junit.Test,5,11,8,ExceptionMatcherBuilder isException(Throwable throwable)|ExceptionMatcherBuilder withSuppressed(Throwable throwable)|Matcher<? super Throwable> build()|S push(ClosingOperator<T;? extends E> operator; T objectToClose)|void expect(Matcher matcher),5,,0,,0,0,0,0,0,,0,0,,0,,0
hibernate-search,hibernate-search-util-common,/hibernate-search-util-common/src/test/java/org/hibernate/search/util/common/impl/CloserTest.java,org.hibernate.search.util.common.impl.CloserTest,nonFailingCloseables,()V,void nonFailingCloseables(),org.junit.Test,5,14,11,ExceptionMatcherBuilder isException(Throwable throwable)|ExceptionMatcherBuilder withSuppressed(Throwable throwable)|Matcher<? super Throwable> build()|S push(ClosingOperator<T;? extends E> operator; T objectToClose)|void expect(Matcher matcher),5,,0,,0,0,0,0,0,,0,0,,0,,0
hibernate-search,hibernate-search-util-common,/hibernate-search-util-common/src/test/java/org/hibernate/search/util/common/impl/CloserTest.java,org.hibernate.search.util.common.impl.CloserTest,customCloseable,()V,void customCloseable(),org.junit.Test,5,9,6,ExceptionMatcherBuilder isException(Throwable throwable)|ExceptionMatcherBuilder withSuppressed(Throwable throwable)|Matcher<? super Throwable> build()|S push(ClosingOperator<T;? extends E> operator; T objectToClose)|void expect(Matcher matcher),5,,0,,0,0,0,0,0,,0,0,,0,,0
hibernate-search,hibernate-search-util-common,/hibernate-search-util-common/src/test/java/org/hibernate/search/util/common/impl/CloserTest.java,org.hibernate.search.util.common.impl.CloserTest,iterable,()V,void iterable(),org.junit.Test,7,12,8,ExceptionMatcherBuilder isException(Throwable throwable)|ExceptionMatcherBuilder withSuppressed(Throwable throwable)|List asList(Object[] a)|Matcher<? super Throwable> build()|S pushAll(ClosingOperator<T;? extends E> operator; Iterable<T> objectsToClose)|void expect(Matcher matcher),6,,0,,0,0,0,0,0,,0,0,,0,,0
hibernate-search,hibernate-search-util-common,/hibernate-search-util-common/src/test/java/org/hibernate/search/util/common/impl/CloserTest.java,org.hibernate.search.util.common.impl.CloserTest,split,()V,void split(),org.junit.Test,5,11,10,Closer<E2> split()|ExceptionMatcherBuilder isException(Throwable throwable)|ExceptionMatcherBuilder withSuppressed(Throwable throwable)|Matcher<? super Throwable> build()|S push(ClosingOperator<T;? extends E> operator; T objectToClose)|void expect(Matcher matcher),6,,0,,0,0,0,0,0,,0,0,,0,,0
hibernate-search,hibernate-search-util-common,/hibernate-search-util-common/src/test/java/org/hibernate/search/util/common/impl/CloserTest.java,org.hibernate.search.util.common.impl.CloserTest,split_transitive,()V,void split_transitive(),org.junit.Test,5,11,10,Closer<E2> split()|ExceptionMatcherBuilder isException(Throwable throwable)|ExceptionMatcherBuilder withSuppressed(Throwable throwable)|Matcher<? super Throwable> build()|S push(ClosingOperator<T;? extends E> operator; T objectToClose)|void expect(Matcher matcher),6,,0,,0,0,0,0,0,,0,0,,0,,0
hibernate-search,hibernate-search-util-common,/hibernate-search-util-common/src/test/java/org/hibernate/search/util/common/impl/SuppressingCloserTest.java,org.hibernate.search.util.common.impl.SuppressingCloserTest,nullCloseable,()V,void nullCloseable(),org.junit.Test,5,5,6,AbstractThrowableAssert assertThat(Throwable actual)|AbstractThrowableAssert hasNoSuppressedExceptions()|List asList(Object[] a)|SuppressingCloser push(AutoCloseable closeable)|SuppressingCloser pushAll(AutoCloseable[] closeables)|SuppressingCloser pushAll(Iterable<? extends AutoCloseable> closeables),6,,0,,0,0,0,0,0,,0,0,,0,,0
