mainProjectName,projectName,filePath,typeName,methodName,methodShortSignature,methodVerboseSignature,methodAnnotations,numberOfFirstLevelStatements,numberOfStatements,numberOfMethodInvocations,distinctMethodInvocations,numberOfDistinctMethodInvocations,distinctMethodInvocationsInSameClass,numberOfDistinctMethodInvocationsInSameClass,distinctTestCaseMethodInvocationsInSameClass,numberOfDistinctTestCaseMethodInvocationsInSameClass,numberOfMethodInvocationsWithExceptions,numberOfExceptionsThrown,numberOfExceptionsThrownAndCaughtExact,numberOfExceptionsThrownAndCaughtPartial,exceptionsThrownInMethodInvocations,numberOfAssertions,numberOfAssertionsWithRecursion,distinctMethodsInSameClassThatCallThisOne,numberOfdistinctMethodsInSameClassThatCallThisOne,distinctTestCasesInSameClassThatCallThisOne,numberOfdistinctTestCasesInSameClassThatCallThisOne
hollow,hollow,/hollow/src/test/java/com/netflix/hollow/api/client/HollowClientUpdaterTest.java,com.netflix.hollow.api.client.HollowClientUpdaterTest,testUpdateTo_noVersions,()V,void testUpdateTo_noVersions(),org.junit.Test,7,7,16,Collection<String> getAllTypes()|HollowReadStateEngine getStateEngine()|OngoingStubbing thenReturn(Object value)|OngoingStubbing when(Object methodCall)|boolean allowDoubleSnapshot()|boolean isEmpty()|boolean shouldCreateSnapshotPlan()|boolean updateTo(long requestedVersion)|void assertTrue(String message; boolean condition)|void assertTrue(boolean condition),10,,0,,0,2,2,0,0,java.lang.Throwable,5,5,,0,,0
hollow,hollow,/hollow/src/test/java/com/netflix/hollow/api/client/HollowClientUpdaterTest.java,com.netflix.hollow.api.client.HollowClientUpdaterTest,testUpdateTo_updateToLatestButNoVersionsRetrieved_throwsException,()V,void testUpdateTo_updateToLatestButNoVersionsRetrieved_throwsException(),org.junit.Test,3,3,3,boolean updateTo(long requestedVersion)|void expect(Class type)|void expectMessage(String substring),3,,0,,0,1,1,0,0,java.lang.Throwable,0,0,,0,,0
hollow,hollow,/hollow/src/test/java/com/netflix/hollow/api/client/HollowClientUpdaterTest.java,com.netflix.hollow.api.client.HollowClientUpdaterTest,testUpdateTo_updateToArbitraryVersionButNoVersionsRetrieved_throwsException,()V,void testUpdateTo_updateToArbitraryVersionButNoVersionsRetrieved_throwsException(),org.junit.Test,4,4,4,String format(String format; Object[] args)|boolean updateTo(long requestedVersion)|void expect(Class type)|void expectMessage(String substring),4,,0,,0,1,1,0,0,java.lang.Throwable,0,0,,0,,0
hollow,hollow,/hollow/src/test/java/com/netflix/hollow/api/client/HollowClientUpdaterTest.java,com.netflix.hollow.api.client.HollowClientUpdaterTest,initialLoad_beforeFirst,()V,void initialLoad_beforeFirst(),org.junit.Test,4,4,7,CompletableFuture<Long> getInitialLoad()|boolean isCancelled()|boolean isCompletedExceptionally()|boolean isDone()|void assertFalse(boolean condition),5,,0,,0,0,0,0,0,,3,3,,0,,0
hollow,hollow,/hollow/src/test/java/com/netflix/hollow/api/client/HollowClientUpdaterTest.java,com.netflix.hollow.api.client.HollowClientUpdaterTest,initialLoad_firstFailed,()V,void initialLoad_firstFailed(),org.junit.Test,3,5,9,CompletableFuture<Long> getInitialLoad()|HollowConsumer.Blob retrieveSnapshotBlob(long desiredVersion)|OngoingStubbing thenThrow(Throwable[] throwables)|OngoingStubbing when(Object methodCall)|boolean isCompletedExceptionally()|boolean updateTo(long requestedVersion)|long anyLong()|void assertFalse(boolean condition)|void fail(String message),9,,0,,0,1,1,1,0,java.lang.Throwable,2,2,,0,,0
hollow,hollow,/hollow/src/test/java/com/netflix/hollow/api/client/HollowClientUpdaterTest.java,com.netflix.hollow.api.client.HollowClientUpdaterTest,initialLoad_firstSucceeded,()V,void initialLoad_firstSucceeded(),org.junit.Test,10,10,19,CompletableFuture<Long> getInitialLoad()|HollowConsumer.Blob retrieveSnapshotBlob(long desiredVersion)|HollowWriteStateEngine build()|HollowWriteStateEngineBuilder add(Object[] objects)|InputStream getInputStream()|Object mock(Class classToMock)|OngoingStubbing thenReturn(Object value)|OngoingStubbing when(Object methodCall)|boolean isDone()|boolean isSnapshot()|boolean updateTo(long requestedVersion)|byte[] toByteArray()|long anyLong()|void assertTrue(boolean condition)|void writeSnapshot(OutputStream os),15,,0,,0,3,3,0,0,java.io.IOException|java.lang.Throwable,1,1,,0,,0
hollow,hollow,/hollow/src/test/java/com/netflix/hollow/api/client/HollowClientTest.java,com.netflix.hollow.api.client.HollowClientTest,testClientAPIHoldsLongLivedReferences,()V,void testClientAPIHoldsLongLivedReferences(),org.junit.Test,10,10,15,HollowAPI getAPI()|HollowDataAccess getDataAccess()|HollowTypeDataAccess getTypeDataAccess(String typeName)|String readString(int ordinal; int fieldIndex)|int readInt(int ordinal; int fieldIndex)|void assertEquals(Object expected; Object actual)|void assertEquals(long expected; long actual)|void triggerRefreshTo(long version),8,,0,,0,0,0,0,0,,4,4,,0,,0
hollow,hollow,/hollow/src/test/java/com/netflix/hollow/api/codegen/HollowDataAccessorAPIGeneratorTest.java,com.netflix.hollow.api.codegen.HollowDataAccessorAPIGeneratorTest,test,()V,void test(),org.junit.Test,1,1,2,B withAggressiveSubstitutions(boolean useAggressiveSubstitutions)|void runGenerator(String apiClassName; String packageName; Class<?> clazz; UnaryOperator<HollowAPIGenerator.Builder> generatorCustomizer),2,,0,,0,1,1,0,0,java.lang.Exception,0,0,,0,,0
hollow,hollow,/hollow/src/test/java/com/netflix/hollow/api/codegen/HollowDataAccessorAPIGeneratorTest.java,com.netflix.hollow.api.codegen.HollowDataAccessorAPIGeneratorTest,testGenerateWithPostfix,()V,void testGenerateWithPostfix(),org.junit.Test,1,1,3,B withClassPostfix(String classPostfix)|B withPackageGrouping()|void runGenerator(String apiClassName; String packageName; Class<?> clazz; UnaryOperator<HollowAPIGenerator.Builder> generatorCustomizer),3,,0,,0,1,1,0,0,java.lang.Exception,0,0,,0,,0
hollow,hollow,/hollow/src/test/java/com/netflix/hollow/api/codegen/HollowPackageErgonomicsAPIGeneratorTest.java,com.netflix.hollow.api.codegen.HollowPackageErgonomicsAPIGeneratorTest,test,()V,void test(),org.junit.Test,1,1,1,void runGenerator(String apiClassName; String packageName; Class<?> clazz; UnaryOperator<HollowAPIGenerator.Builder> generatorCustomizer),1,,0,,0,1,1,0,0,java.lang.Exception,0,0,,0,,0
