mainProjectName,projectName,filePath,typeName,methodName,methodShortSignature,methodVerboseSignature,methodAnnotations,numberOfFirstLevelStatements,numberOfStatements,numberOfMethodInvocations,distinctMethodInvocations,numberOfDistinctMethodInvocations,distinctMethodInvocationsInSameClass,numberOfDistinctMethodInvocationsInSameClass,distinctTestCaseMethodInvocationsInSameClass,numberOfDistinctTestCaseMethodInvocationsInSameClass,numberOfMethodInvocationsWithExceptions,numberOfExceptionsThrown,numberOfExceptionsThrownAndCaughtExact,numberOfExceptionsThrownAndCaughtPartial,exceptionsThrownInMethodInvocations,numberOfAssertions,numberOfAssertionsWithRecursion,distinctMethodsInSameClassThatCallThisOne,numberOfdistinctMethodsInSameClassThatCallThisOne,distinctTestCasesInSameClassThatCallThisOne,numberOfdistinctTestCasesInSameClassThatCallThisOne
hraven,hraven-core,/hraven-core/src/test/java/com/twitter/hraven/TestFlowKey.java,com.twitter.hraven.TestFlowKey,testToString,()V,void testToString(),org.junit.Test,3,3,2,String toString()|void assertEquals(String expected; String actual),2,,0,,0,0,0,0,0,,0,0,,0,,0
hraven,hraven-core,/hraven-core/src/test/java/com/twitter/hraven/TestJobKey.java,com.twitter.hraven.TestJobKey,testKeySerialization,()V,void testKeySerialization(),org.junit.Test,33,33,62,JobId getJobId()|JobKey fromBytes(byte[] bytes)|String getAppId()|String getCluster()|String getUserName()|byte[] join(byte[] separator; byte[][] components)|byte[] toBytes(JobKey jobKey)|byte[] toBytes(String s)|byte[] toBytes(long val)|byte[][] split(byte[] source; byte[] separator)|long getJobEpoch()|long getJobSequence()|long getRunId()|long toLong(byte[] bytes)|void assertEquals(Object expected; Object actual)|void assertEquals(String expected; String actual)|void assertEquals(int expected; int actual)|void assertEquals(long expected; long actual)|void assertKey(JobKey expected; JobKey actual),19,void assertKey(JobKey expected; JobKey actual),1,,0,0,0,0,0,,0,0,,0,,0
hraven,hraven-core,/hraven-core/src/test/java/com/twitter/hraven/TestJobKey.java,com.twitter.hraven.TestJobKey,testPlainConstructor,()V,void testPlainConstructor(),org.junit.Test,13,13,25,JobId getJobId()|JobKey fromBytes(byte[] bytes)|String getAppId()|String getCluster()|String getJobIdString()|String getUserName()|byte[] toBytes(JobKey jobKey)|long getRunId()|void assertEquals(Object expected; Object actual)|void assertEquals(String expected; String actual)|void assertEquals(long expected; long actual),11,,0,,0,0,0,0,0,,0,0,,0,,0
hraven,hraven-core,/hraven-core/src/test/java/com/twitter/hraven/TestJobKey.java,com.twitter.hraven.TestJobKey,testJobDescConstructor,()V,void testJobDescConstructor(),org.junit.Test,14,14,25,JobId getJobId()|JobKey fromBytes(byte[] bytes)|String getAppId()|String getCluster()|String getJobIdString()|String getUserName()|byte[] toBytes(JobKey jobKey)|long getRunId()|void assertEquals(Object expected; Object actual)|void assertEquals(String expected; String actual)|void assertEquals(long expected; long actual),11,,0,,0,0,0,0,0,,0,0,,0,,0
hraven,hraven-core,/hraven-core/src/test/java/com/twitter/hraven/TestJobKey.java,com.twitter.hraven.TestJobKey,testEncodedRunId,()V,void testEncodedRunId(),org.junit.Test,13,13,20,JobId getJobId()|JobKey fromBytes(byte[] bytes)|String getAppId()|String getCluster()|String getJobIdString()|String getUserName()|byte[] join(byte[] separator; byte[][] components)|byte[] toBytes(JobId jobId)|byte[] toBytes(String s)|byte[] toBytes(long val)|int putBytes(byte[] tgtBytes; int tgtOffset; byte[] srcBytes; int srcOffset; int srcLength)|long currentTimeMillis()|long toLong(byte[] bytes)|void assertEquals(String expected; String actual)|void info(Object message),15,,0,,0,0,0,0,0,,0,0,,0,,0
hraven,hraven-core,/hraven-core/src/test/java/com/twitter/hraven/TestJobKey.java,com.twitter.hraven.TestJobKey,testOrdering,()V,void testOrdering(),org.junit.Test,12,12,10,byte[] toBytes(JobKey jobKey)|int compareTo(byte[] left; byte[] right)|void assertTrue(boolean condition),3,,0,,0,0,0,0,0,,0,0,,0,,0
hraven,hraven-core,/hraven-core/src/test/java/com/twitter/hraven/TestJobKey.java,com.twitter.hraven.TestJobKey,testToString,()V,void testToString(),org.junit.Test,3,3,2,String toString()|void assertEquals(String expected; String actual),2,,0,,0,0,0,0,0,,0,0,,0,,0
hraven,hraven-core,/hraven-core/src/test/java/com/twitter/hraven/TestPigJobDescFactory.java,com.twitter.hraven.TestPigJobDescFactory,testJobNameToBatchDesc,()V,void testJobNameToBatchDesc(),org.junit.Test,2,6,2,String getAppIdFromJobName(String jobName)|void assertEquals(String message; String expected; String actual),2,,0,,0,0,0,0,0,,0,0,,0,,0
hraven,hraven-core,/hraven-core/src/test/java/com/twitter/hraven/TestPigJobDescFactory.java,com.twitter.hraven.TestPigJobDescFactory,testLogFileToStartTime,()V,void testLogFileToStartTime(),org.junit.Test,1,5,2,long getScriptStartTimeFromLogfileName(String pigLogfile)|void assertEquals(String message; long expected; long actual),2,,0,,0,0,0,0,0,,0,0,,0,,0
hraven,hraven-core,/hraven-core/src/test/java/com/twitter/hraven/TestCounterMap.java,com.twitter.hraven.TestCounterMap,testIterator,()V,void testIterator(),org.junit.Test,23,23,17,Counter add(Counter counter)|Counter getCounter(String group; String name)|void addAll(Iterable<Counter> counters)|void assertEquals(Object expected; Object actual)|void assertNotNull(Object object),5,,0,,0,0,0,0,0,,8,8,,0,,0
