mainProjectName,projectName,filePath,typeName,methodName,methodShortSignature,methodVerboseSignature,methodAnnotations,numberOfFirstLevelStatements,numberOfStatements,numberOfMethodInvocations,distinctMethodInvocations,numberOfDistinctMethodInvocations,distinctMethodInvocationsInSameClass,numberOfDistinctMethodInvocationsInSameClass,distinctTestCaseMethodInvocationsInSameClass,numberOfDistinctTestCaseMethodInvocationsInSameClass,numberOfMethodInvocationsWithExceptions,numberOfExceptionsThrown,numberOfExceptionsThrownAndCaughtExact,numberOfExceptionsThrownAndCaughtPartial,exceptionsThrownInMethodInvocations,numberOfAssertions,numberOfAssertionsWithRecursion,distinctMethodsInSameClassThatCallThisOne,numberOfdistinctMethodsInSameClassThatCallThisOne,distinctTestCasesInSameClassThatCallThisOne,numberOfdistinctTestCasesInSameClassThatCallThisOne
hraven,hraven-etl,/hraven-etl/src/test/java/com/twitter/hraven/TestJobFile.java,com.twitter.hraven.TestJobFile,testJobConfFile,()V,void testJobConfFile(),org.junit.Test,35,35,52,String getJobid()|boolean isJobConfFile()|boolean isJobHistoryFile()|void assertEquals(Object expected; Object actual)|void assertFalse(String message; boolean condition)|void assertTrue(String message; boolean condition),6,,0,,0,0,0,0,0,,26,26,,0,,0
hraven,hraven-etl,/hraven-etl/src/test/java/com/twitter/hraven/etl/TestFileLister.java,com.twitter.hraven.etl.TestFileLister,testPruneFileListBySize,()V,void testPruneFileListBySize(),org.junit.Test,37,37,38,Configuration getConfiguration()|FileStatus getFileStatus(Path f)|FileStatus[] pruneFileListBySize(long maxFileSize; FileStatus[] origList; FileSystem hdfs; Path inputPath)|FileSystem get(Configuration conf)|String getName()|URI toURI()|URI toUri()|boolean createNewFile(Path f)|boolean exists(Path f)|boolean mkdirs(Path f)|void assertNotNull(Object object)|void assertTrue(boolean condition)|void copyFromLocalFile(Path src; Path dst),13,,0,,0,15,15,0,0,java.io.IOException,12,12,,0,,0
hraven,hraven-etl,/hraven-etl/src/test/java/com/twitter/hraven/etl/TestFileLister.java,com.twitter.hraven.etl.TestFileLister,testPruneFileListRemovingConfFromPruneList,()V,void testPruneFileListRemovingConfFromPruneList(),org.junit.Test,26,26,26,Configuration getConfiguration()|FileStatus getFileStatus(Path f)|FileStatus[] pruneFileListBySize(long maxFileSize; FileStatus[] origList; FileSystem hdfs; Path inputPath)|FileSystem get(Configuration conf)|String getName()|URI toURI()|URI toUri()|boolean createNewFile(Path f)|boolean exists(Path f)|boolean mkdirs(Path f)|void assertNotNull(Object object)|void assertTrue(boolean condition)|void copyFromLocalFile(Path src; Path dst),13,,0,,0,11,11,0,0,java.io.IOException,9,9,,0,,0
hraven,hraven-etl,/hraven-etl/src/test/java/com/twitter/hraven/etl/TestFileLister.java,com.twitter.hraven.etl.TestFileLister,testPruneFileListMultipleFilesAlreadyMovedCases,()V,void testPruneFileListMultipleFilesAlreadyMovedCases(),org.junit.Test,75,75,84,Configuration getConfiguration()|FileStatus getFileStatus(Path f)|FileStatus[] pruneFileListBySize(long maxFileSize; FileStatus[] origList; FileSystem hdfs; Path inputPath)|FileSystem get(Configuration conf)|String getName()|URI toURI()|URI toUri()|boolean createNewFile(Path f)|boolean exists(Path f)|boolean mkdirs(Path f)|void assertNotNull(Object object)|void assertTrue(boolean condition)|void copyFromLocalFile(Path src; Path dst),13,,0,,0,41,41,0,0,java.io.IOException,24,24,,0,,0
hraven,hraven-etl,/hraven-etl/src/test/java/com/twitter/hraven/etl/TestFileLister.java,com.twitter.hraven.etl.TestFileLister,testGetJobIdFromPath,()V,void testGetJobIdFromPath(),org.junit.Test,16,16,9,String getJobIdFromPath(Path aPath)|URI toURI()|void assertEquals(Object expected; Object actual),3,,0,,0,0,0,0,0,,3,3,,0,,0
hraven,hraven-etl,/hraven-etl/src/test/java/com/twitter/hraven/etl/TestFileLister.java,com.twitter.hraven.etl.TestFileLister,testGetJobIdFromIncorrectPath,()V,void testGetJobIdFromIncorrectPath(),org.junit.Test,4,4,2,String getJobIdFromPath(Path aPath)|URI toURI(),2,,0,,0,0,0,0,0,,0,0,,0,,0
hraven,hraven-etl,/hraven-etl/src/test/java/com/twitter/hraven/etl/TestFileStatusModificationTimeComparator.java,com.twitter.hraven.etl.TestFileStatusModificationTimeComparator,testCompare,()V,void testCompare(),org.junit.Test,16,16,19,int compare(FileStatus fileStatus1; FileStatus fileStatus2)|void assertEquals(long expected; long actual)|void println(String x),3,,0,,0,0,0,0,0,,9,9,,0,,0
hraven,hraven-etl,/hraven-etl/src/test/java/com/twitter/hraven/etl/TestJobHistoryFileParserHadoop2.java,com.twitter.hraven.etl.TestJobHistoryFileParserHadoop2,testCreateJobHistoryFileParserCorrectCreation,()V,void testCreateJobHistoryFileParserCorrectCreation(),org.junit.Test,31,51,52,Collection values()|JobHistoryFileParser createJobHistoryFileParser(byte[] historyFileContents; Configuration jobConf)|JobKey fromBytes(byte[] bytes)|List asList(Object[] a)|List get(byte[] family; byte[] qualifier)|List<Put> getJobPuts()|List<Put> getTaskPuts()|Long getMegaByteMillis()|NavigableMap getFamilyMap()|Object get(int index)|String toLowerCase()|String toString()|String toString(byte[] b)|TaskKey fromBytes(byte[] bytes)|boolean contains(Object o)|byte[] getRow()|byte[] getValue()|byte[] toByteArray(File file)|byte[] toBytes(String s)|int size()|void addResource(Path file)|void assertEquals(Object expected; Object actual)|void assertEquals(long expected; long actual)|void assertFalse(boolean condition)|void assertNotNull(Object object)|void assertTrue(boolean condition)|void parse(byte[] historyFile; JobKey jobKey),27,,0,,0,2,2,0,0,java.io.IOException|java.lang.IllegalArgumentException,16,16,,0,,0
hraven,hraven-etl,/hraven-etl/src/test/java/com/twitter/hraven/etl/TestJobHistoryFileParserHadoop2.java,com.twitter.hraven.etl.TestJobHistoryFileParserHadoop2,testCreateJobHistoryFileParserNullConf,()V,void testCreateJobHistoryFileParserNullConf(),org.junit.Test,8,8,5,JobHistoryFileParser createJobHistoryFileParser(byte[] historyFileContents; Configuration jobConf)|byte[] toByteArray(File file)|void assertNotNull(Object object)|void assertTrue(boolean condition)|void parse(byte[] historyFile; JobKey jobKey),5,,0,,0,2,2,0,0,java.io.IOException|java.lang.IllegalArgumentException,2,2,,0,,0
hraven,hraven-etl,/hraven-etl/src/test/java/com/twitter/hraven/etl/TestJobHistoryFileParserHadoop2.java,com.twitter.hraven.etl.TestJobHistoryFileParserHadoop2,testMissingSlotMillis,()V,void testMissingSlotMillis(),org.junit.Test,20,20,13,Long getMegaByteMillis()|byte[] toByteArray(File file)|long getMapMbMillis()|long getReduceMbMillis()|void addResource(Path file)|void assertEquals(Object expected; Object actual)|void assertNotNull(Object object)|void parse(byte[] historyFileContents; JobKey jobKey),8,,0,,0,2,2,0,0,com.twitter.hraven.datasource.ProcessingException|java.io.IOException,7,7,,0,,0
