mainProjectName,projectName,filePath,typeName,methodName,methodShortSignature,methodVerboseSignature,methodAnnotations,numberOfFirstLevelStatements,numberOfStatements,numberOfMethodInvocations,distinctMethodInvocations,numberOfDistinctMethodInvocations,distinctMethodInvocationsInSameClass,numberOfDistinctMethodInvocationsInSameClass,distinctTestCaseMethodInvocationsInSameClass,numberOfDistinctTestCaseMethodInvocationsInSameClass,numberOfMethodInvocationsWithExceptions,numberOfExceptionsThrown,numberOfExceptionsThrownAndCaughtExact,numberOfExceptionsThrownAndCaughtPartial,exceptionsThrownInMethodInvocations,numberOfAssertions,numberOfAssertionsWithRecursion,distinctMethodsInSameClassThatCallThisOne,numberOfdistinctMethodsInSameClassThatCallThisOne,distinctTestCasesInSameClassThatCallThisOne,numberOfdistinctTestCasesInSameClassThatCallThisOne
initializr,initializr-actuator,/initializr-actuator/src/test/java/io/spring/initializr/actuate/ActuatorIntegrationTests.java,io.spring.initializr.actuate.ActuatorIntegrationTests,infoHasExternalProperties,()V,void infoHasExternalProperties(),org.junit.jupiter.api.Test,3,3,7,AbstractCharSequenceAssert contains(CharSequence[] values)|AbstractStringAssert assertThat(String actual)|Object getForObject(String url; Class responseType; Object[] uriVariables)|RestTemplate getRestTemplate()|String createUrl(String context),5,,0,,0,1,1,0,0,org.springframework.web.client.RestClientException,0,0,,0,,0
initializr,initializr-actuator,/initializr-actuator/src/test/java/io/spring/initializr/actuate/autoconfigure/InitializrActuatorEndpointsAutoConfigurationTests.java,io.spring.initializr.actuate.autoconfigure.InitializrActuatorEndpointsAutoConfigurationTests,autoConfigRegistersBomRangesInfoContributor,()V,void autoConfigRegistersBomRangesInfoContributor(),org.junit.jupiter.api.Test,1,1,3,AbstractApplicationContextRunner run(ContextConsumer consumer)|ApplicationContextAssert hasSingleBean(Class type)|Object assertThat(AssertProvider component),3,,0,,0,0,0,0,0,,0,0,,0,,0
initializr,initializr-actuator,/initializr-actuator/src/test/java/io/spring/initializr/actuate/autoconfigure/InitializrActuatorEndpointsAutoConfigurationTests.java,io.spring.initializr.actuate.autoconfigure.InitializrActuatorEndpointsAutoConfigurationTests,autoConfigRegistersDependencyRangesInfoContributor,()V,void autoConfigRegistersDependencyRangesInfoContributor(),org.junit.jupiter.api.Test,1,1,3,AbstractApplicationContextRunner run(ContextConsumer consumer)|ApplicationContextAssert hasSingleBean(Class type)|Object assertThat(AssertProvider component),3,,0,,0,0,0,0,0,,0,0,,0,,0
initializr,initializr-actuator,/initializr-actuator/src/test/java/io/spring/initializr/actuate/autoconfigure/InitializrStatsAutoConfigurationTests.java,io.spring.initializr.actuate.autoconfigure.InitializrStatsAutoConfigurationTests,autoConfigRegistersProjectGenerationStatPublisher,()V,void autoConfigRegistersProjectGenerationStatPublisher(),org.junit.jupiter.api.Test,1,1,4,AbstractApplicationContextRunner run(ContextConsumer consumer)|AbstractApplicationContextRunner withPropertyValues(String[] pairs)|ApplicationContextAssert hasSingleBean(Class type)|Object assertThat(AssertProvider component),4,,0,,0,0,0,0,0,,0,0,,0,,0
initializr,initializr-actuator,/initializr-actuator/src/test/java/io/spring/initializr/actuate/autoconfigure/InitializrStatsAutoConfigurationTests.java,io.spring.initializr.actuate.autoconfigure.InitializrStatsAutoConfigurationTests,autoConfigRegistersRetryTemplate,()V,void autoConfigRegistersRetryTemplate(),org.junit.jupiter.api.Test,1,1,4,AbstractApplicationContextRunner run(ContextConsumer consumer)|AbstractApplicationContextRunner withPropertyValues(String[] pairs)|ApplicationContextAssert hasSingleBean(Class type)|Object assertThat(AssertProvider component),4,,0,,0,0,0,0,0,,0,0,,0,,0
initializr,initializr-actuator,/initializr-actuator/src/test/java/io/spring/initializr/actuate/autoconfigure/InitializrStatsAutoConfigurationTests.java,io.spring.initializr.actuate.autoconfigure.InitializrStatsAutoConfigurationTests,statsRetryTemplateConditionalOnMissingBean,()V,void statsRetryTemplateConditionalOnMissingBean(),org.junit.jupiter.api.Test,1,5,10,AbstractApplicationContextRunner run(ContextConsumer consumer)|AbstractApplicationContextRunner withPropertyValues(String[] pairs)|AbstractApplicationContextRunner withUserConfiguration(Class[] configurationClasses)|AbstractDoubleAssert assertThat(double actual)|AbstractDoubleAssert isEqualTo(double expected)|ApplicationContextAssert hasSingleBean(Class type)|Object assertThat(AssertProvider component)|Object getBean(Class arg0)|Object getField(Object targetObject; String name)|double getMultiplier(),10,,0,,0,1,1,0,0,org.springframework.beans.BeansException,0,0,,0,,0
initializr,initializr-actuator,/initializr-actuator/src/test/java/io/spring/initializr/actuate/autoconfigure/InitializrStatsAutoConfigurationTests.java,io.spring.initializr.actuate.autoconfigure.InitializrStatsAutoConfigurationTests,customRestTemplateBuilderIsUsed,()V,void customRestTemplateBuilderIsUsed(),org.junit.jupiter.api.Test,1,4,10,AbstractApplicationContextRunner run(ContextConsumer consumer)|AbstractApplicationContextRunner withPropertyValues(String[] pairs)|AbstractApplicationContextRunner withUserConfiguration(Class[] configurationClasses)|AbstractAssert isSameAs(Object expected)|ApplicationContextAssert hasSingleBean(Class type)|Object assertThat(AssertProvider component)|Object getBean(Class arg0)|Object getPropertyValue(String propertyName)|ObjectAssert assertThat(Object assertion)|ResponseErrorHandler getErrorHandler(),10,,0,,0,2,2,0,0,org.springframework.beans.BeansException,0,0,,0,,0
initializr,initializr-actuator,/initializr-actuator/src/test/java/io/spring/initializr/actuate/info/BomRangesInfoContributorTests.java,io.spring.initializr.actuate.info.BomRangesInfoContributorTests,noBom,()V,void noBom(),org.junit.jupiter.api.Test,3,3,6,Info getInfo(InitializrMetadata metadata)|InitializrMetadata build()|InitializrMetadataTestBuilder withDefaults()|Map getDetails()|MapAssert assertThat(Map actual)|MapAssert doesNotContainKeys(Object[] keys),6,Info getInfo(InitializrMetadata metadata),1,,0,0,0,0,0,,0,0,,0,,0
initializr,initializr-actuator,/initializr-actuator/src/test/java/io/spring/initializr/actuate/info/BomRangesInfoContributorTests.java,io.spring.initializr.actuate.info.BomRangesInfoContributorTests,noMapping,()V,void noMapping(),org.junit.jupiter.api.Test,4,4,8,BillOfMaterials create(String groupId; String artifactId; String version)|Info getInfo(InitializrMetadata metadata)|InitializrMetadata build()|InitializrMetadataTestBuilder addBom(String id; BillOfMaterials bom)|InitializrMetadataTestBuilder withDefaults()|Map getDetails()|MapAssert assertThat(Map actual)|MapAssert doesNotContainKeys(Object[] keys),8,Info getInfo(InitializrMetadata metadata),1,,0,0,0,0,0,,0,0,,0,,0
initializr,initializr-actuator,/initializr-actuator/src/test/java/io/spring/initializr/actuate/info/BomRangesInfoContributorTests.java,io.spring.initializr.actuate.info.BomRangesInfoContributorTests,withMappings,()V,void withMappings(),org.junit.jupiter.api.Test,10,10,23,BillOfMaterials create(String groupId; String artifactId; String version)|Info getInfo(InitializrMetadata metadata)|InitializrMetadata build()|InitializrMetadataTestBuilder addBom(String id; BillOfMaterials bom)|InitializrMetadataTestBuilder withDefaults()|List<Mapping> getMappings()|Map getDetails()|MapAssert assertThat(Map actual)|MapAssert containsExactly(Map.Entry[] entries)|MapAssert containsKeys(Object[] keys)|MapAssert containsOnlyKeys(Object[] keys)|MapEntry entry(Object key; Object value)|Mapping create(String range; String version)|Object get(Object key)|boolean add(Object e),15,Info getInfo(InitializrMetadata metadata),1,,0,0,0,0,0,,0,0,,0,,0
