mainProjectName,projectName,filePath,typeName,methodName,methodShortSignature,methodVerboseSignature,methodAnnotations,numberOfFirstLevelStatements,numberOfStatements,numberOfMethodInvocations,distinctMethodInvocations,numberOfDistinctMethodInvocations,distinctMethodInvocationsInSameClass,numberOfDistinctMethodInvocationsInSameClass,distinctTestCaseMethodInvocationsInSameClass,numberOfDistinctTestCaseMethodInvocationsInSameClass,numberOfMethodInvocationsWithExceptions,numberOfExceptionsThrown,numberOfExceptionsThrownAndCaughtExact,numberOfExceptionsThrownAndCaughtPartial,exceptionsThrownInMethodInvocations,numberOfAssertions,numberOfAssertionsWithRecursion,distinctMethodsInSameClassThatCallThisOne,numberOfdistinctMethodsInSameClassThatCallThisOne,distinctTestCasesInSameClassThatCallThisOne,numberOfdistinctTestCasesInSameClassThatCallThisOne
initializr,initializr-generator-spring,/initializr-generator-spring/src/test/java/io/spring/initializr/generator/spring/ProjectGeneratorIntegrationTests.java,io.spring.initializr.generator.spring.ProjectGeneratorIntegrationTests,customBaseDirectoryIsUsedWhenGeneratingProject,()V,void customBaseDirectoryIsUsedWhenGeneratingProject(),org.junit.jupiter.api.Test,8,8,11,ListAssert containsOnly(Object[] values)|ListAssert<String> filePaths()|MutableProjectDescription initProjectDescription()|Object assertThat(AssertProvider component)|ProjectStructure generate(MutableProjectDescription description)|Version parse(String text)|void setBaseDirectory(String baseDirectory)|void setBuildSystem(BuildSystem buildSystem)|void setGroupId(String groupId)|void setLanguage(Language language)|void setPlatformVersion(Version platformVersion),11,MutableProjectDescription initProjectDescription(),1,,0,0,0,0,0,,0,0,,0,,0
initializr,initializr-generator-spring,/initializr-generator-spring/src/test/java/io/spring/initializr/generator/spring/build/DependencyManagementBuildCustomizerTests.java,io.spring.initializr.generator.spring.build.DependencyManagementBuildCustomizerTests,contributeBom,()V,void contributeBom(),org.junit.jupiter.api.Test,10,10,20,AbstractIterableAssert hasSize(int expected)|BillOfMaterials create(String groupId; String artifactId; String version)|BomContainer boms()|Dependency withId(String id)|DependencyContainer dependencies()|InitializrMetadata build()|InitializrMetadataTestBuilder addBom(String id; BillOfMaterials bom)|InitializrMetadataTestBuilder addDependencyGroup(String name; Dependency[] dependencies)|InitializrMetadataTestBuilder withDefaults()|List<String> getAdditionalBoms()|ListAssert assertThat(Stream actual)|MavenBuild createBuild(InitializrMetadata metadata)|Stream<V> items()|String getId()|boolean add(Object e)|void add(I id)|void customizeBuild(Build build; InitializrMetadata metadata)|void setBom(String bom),18,MavenBuild createBuild(InitializrMetadata metadata)|void customizeBuild(Build build; InitializrMetadata metadata),2,,0,0,0,0,0,,0,0,,0,,0
initializr,initializr-generator-spring,/initializr-generator-spring/src/test/java/io/spring/initializr/generator/spring/build/DependencyManagementBuildCustomizerTests.java,io.spring.initializr.generator.spring.build.DependencyManagementBuildCustomizerTests,contributeRepositories,()V,void contributeRepositories(),org.junit.jupiter.api.Test,11,11,25,AbstractIterableAssert hasSize(int expected)|BillOfMaterials create(String groupId; String artifactId; String version)|Dependency withId(String id)|DependencyContainer dependencies()|InitializrMetadata build()|InitializrMetadataTestBuilder addBom(String id; BillOfMaterials bom)|InitializrMetadataTestBuilder addDependencyGroup(String name; Dependency[] dependencies)|InitializrMetadataTestBuilder addRepository(String id; String name; String url; boolean snapshotsEnabled)|InitializrMetadataTestBuilder withDefaults()|List<String> getRepositories()|ListAssert assertThat(Stream actual)|MavenBuild createBuild(InitializrMetadata metadata)|MavenRepositoryContainer pluginRepositories()|MavenRepositoryContainer repositories()|Stream<V> items()|String getId()|boolean add(Object e)|void add(I id)|void customizeBuild(Build build; InitializrMetadata metadata)|void isEmpty()|void setBom(String bom)|void setRepository(String repository),22,MavenBuild createBuild(InitializrMetadata metadata)|void customizeBuild(Build build; InitializrMetadata metadata),2,,0,0,0,0,0,,0,0,,0,,0
initializr,initializr-generator-spring,/initializr-generator-spring/src/test/java/io/spring/initializr/generator/spring/build/DefaultStarterBuildCustomizerTests.java,io.spring.initializr.generator.spring.build.DefaultStarterBuildCustomizerTests,defaultStarterIsAddedIfNoneExists,()V,void defaultStarterIsAddedIfNoneExists(),org.junit.jupiter.api.Test,7,7,13,Build createBuild(InitializrMetadata metadata)|Dependency withId(String id; String groupId; String artifactId)|DependencyContainer dependencies()|InitializrMetadata build()|InitializrMetadataTestBuilder addDependencyGroup(String name; Dependency[] dependencies)|InitializrMetadataTestBuilder withDefaults()|ListAssert assertThat(Stream actual)|ListAssert containsOnly(Object[] values)|Stream<I> ids()|void add(I id)|void customize(Build build)|void setStarter(boolean starter),12,Build createBuild(InitializrMetadata metadata),1,,0,0,0,0,0,,0,0,,0,,0
initializr,initializr-generator-spring,/initializr-generator-spring/src/test/java/io/spring/initializr/generator/spring/build/DefaultStarterBuildCustomizerTests.java,io.spring.initializr.generator.spring.build.DefaultStarterBuildCustomizerTests,defaultStarterIsAddedIfNoCompileScopedStarterExists,()V,void defaultStarterIsAddedIfNoCompileScopedStarterExists(),org.junit.jupiter.api.Test,6,6,12,Build createBuild(InitializrMetadata metadata)|Dependency withId(String id; String groupId; String artifactId; String version; String scope)|DependencyContainer dependencies()|InitializrMetadata build()|InitializrMetadataTestBuilder addDependencyGroup(String name; Dependency[] dependencies)|InitializrMetadataTestBuilder withDefaults()|ListAssert assertThat(Stream actual)|ListAssert containsOnly(Object[] values)|Stream<I> ids()|void add(I id)|void customize(Build build),11,Build createBuild(InitializrMetadata metadata),1,,0,0,0,0,0,,0,0,,0,,0
initializr,initializr-generator-spring,/initializr-generator-spring/src/test/java/io/spring/initializr/generator/spring/build/DefaultStarterBuildCustomizerTests.java,io.spring.initializr.generator.spring.build.DefaultStarterBuildCustomizerTests,defaultStarterIsNotAddedIfCompileScopedStarterExists,()V,void defaultStarterIsNotAddedIfCompileScopedStarterExists(),org.junit.jupiter.api.Test,5,5,11,Build createBuild(InitializrMetadata metadata)|DependencyContainer dependencies()|InitializrMetadata build()|InitializrMetadataTestBuilder addDependencyGroup(String name; String[] ids)|InitializrMetadataTestBuilder withDefaults()|ListAssert assertThat(Stream actual)|ListAssert containsOnly(Object[] values)|Stream<I> ids()|void add(I id)|void customize(Build build),10,Build createBuild(InitializrMetadata metadata),1,,0,0,0,0,0,,0,0,,0,,0
initializr,initializr-generator-spring,/initializr-generator-spring/src/test/java/io/spring/initializr/generator/spring/build/SimpleBuildCustomizerTests.java,io.spring.initializr.generator.spring.build.SimpleBuildCustomizerTests,customizeProjectCoordinates,()V,void customizeProjectCoordinates(),org.junit.jupiter.api.Test,6,6,12,AbstractStringAssert assertThat(String actual)|AbstractStringAssert isEqualTo(String expected)|MavenBuild customizeBuild(MutableProjectDescription description)|MavenBuildSettings getSettings()|MutableProjectDescription initializeDescription()|String getArtifact()|String getGroup()|void setArtifactId(String artifactId)|void setGroupId(String groupId),9,MavenBuild customizeBuild(MutableProjectDescription description)|MutableProjectDescription initializeDescription(),2,,0,0,0,0,0,,0,0,,0,,0
initializr,initializr-generator-spring,/initializr-generator-spring/src/test/java/io/spring/initializr/generator/spring/build/SimpleBuildCustomizerTests.java,io.spring.initializr.generator.spring.build.SimpleBuildCustomizerTests,customizeVersion,()V,void customizeVersion(),org.junit.jupiter.api.Test,4,4,7,AbstractStringAssert assertThat(String actual)|AbstractStringAssert isEqualTo(String expected)|MavenBuild customizeBuild(MutableProjectDescription description)|MavenBuildSettings getSettings()|MutableProjectDescription initializeDescription()|String getVersion()|void setVersion(String version),7,MavenBuild customizeBuild(MutableProjectDescription description)|MutableProjectDescription initializeDescription(),2,,0,0,0,0,0,,0,0,,0,,0
initializr,initializr-generator-spring,/initializr-generator-spring/src/test/java/io/spring/initializr/generator/spring/build/SimpleBuildCustomizerTests.java,io.spring.initializr.generator.spring.build.SimpleBuildCustomizerTests,customizeWithNoDependency,()V,void customizeWithNoDependency(),org.junit.jupiter.api.Test,4,4,10,DependencyContainer dependencies()|ListAssert assertThat(Stream actual)|MavenBuild customizeBuild(MutableProjectDescription description)|MutableProjectDescription initializeDescription()|Stream<I> ids()|Stream<V> items()|void isEmpty(),7,MavenBuild customizeBuild(MutableProjectDescription description)|MutableProjectDescription initializeDescription(),2,,0,0,0,0,0,,0,0,,0,,0
initializr,initializr-generator-spring,/initializr-generator-spring/src/test/java/io/spring/initializr/generator/spring/build/SimpleBuildCustomizerTests.java,io.spring.initializr.generator.spring.build.SimpleBuildCustomizerTests,customizeDependencies,()V,void customizeDependencies(),org.junit.jupiter.api.Test,8,8,18,B scope(DependencyScope scope)|Builder<?> withCoordinates(String groupId; String artifactId)|Dependency addDependency(String id; Dependency dependency)|Dependency build()|DependencyContainer dependencies()|ListAssert assertThat(Stream actual)|ListAssert containsExactly(Object[] values)|MavenBuild customizeBuild(MutableProjectDescription description)|MutableProjectDescription initializeDescription()|Stream<I> ids()|Stream<V> items(),11,MavenBuild customizeBuild(MutableProjectDescription description)|MutableProjectDescription initializeDescription(),2,,0,0,0,0,0,,0,0,,0,,0
