mainProjectName,projectName,filePath,typeName,methodName,methodShortSignature,methodVerboseSignature,methodAnnotations,numberOfFirstLevelStatements,numberOfStatements,numberOfMethodInvocations,distinctMethodInvocations,numberOfDistinctMethodInvocations,distinctMethodInvocationsInSameClass,numberOfDistinctMethodInvocationsInSameClass,distinctTestCaseMethodInvocationsInSameClass,numberOfDistinctTestCaseMethodInvocationsInSameClass,numberOfMethodInvocationsWithExceptions,numberOfExceptionsThrown,numberOfExceptionsThrownAndCaughtExact,numberOfExceptionsThrownAndCaughtPartial,exceptionsThrownInMethodInvocations,numberOfAssertions,numberOfAssertionsWithRecursion,distinctMethodsInSameClassThatCallThisOne,numberOfdistinctMethodsInSameClassThatCallThisOne,distinctTestCasesInSameClassThatCallThisOne,numberOfdistinctTestCasesInSameClassThatCallThisOne
initializr,initializr-generator,/initializr-generator/src/test/java/io/spring/initializr/generator/buildsystem/BuildTests.java,io.spring.initializr.generator.buildsystem.BuildTests,buildWithDefaultBuildItemResolver,()V,void buildWithDefaultBuildItemResolver(),org.junit.jupiter.api.Test,4,4,15,BomContainer boms()|DependencyContainer dependencies()|MavenRepositoryContainer repositories()|ThrowableAssertAlternative isThrownBy(ThrowableAssert.ThrowingCallable throwingCallable)|ThrowableAssertAlternative withMessageContaining(String description)|ThrowableTypeAssert assertThatIllegalArgumentException()|void add(I id),7,,0,,0,0,0,0,0,,0,0,,0,,0
initializr,initializr-generator,/initializr-generator/src/test/java/io/spring/initializr/generator/buildsystem/BuildTests.java,io.spring.initializr.generator.buildsystem.BuildTests,buildWithCustomBuildItemResolverResolveDependency,()V,void buildWithCustomBuildItemResolverResolveDependency(),org.junit.jupiter.api.Test,7,7,15,AbstractIterableAssert hasSize(int expected)|BDDMockito.BDDMyOngoingStubbing given(Object methodCall)|BDDMockito.BDDMyOngoingStubbing willReturn(Object value)|Dependency resolveDependency(String id)|DependencyContainer dependencies()|ListAssert assertThat(Stream actual)|ListAssert containsExactly(Object[] values)|Object mock(Class classToMock)|Stream<I> ids()|Stream<V> items()|void add(I id),11,,0,,0,0,0,0,0,,0,0,,0,,0
initializr,initializr-generator,/initializr-generator/src/test/java/io/spring/initializr/generator/buildsystem/BuildTests.java,io.spring.initializr.generator.buildsystem.BuildTests,buildWithCustomBuildItemResolverResolveBom,()V,void buildWithCustomBuildItemResolverResolveBom(),org.junit.jupiter.api.Test,7,7,15,AbstractIterableAssert hasSize(int expected)|BDDMockito.BDDMyOngoingStubbing given(Object methodCall)|BDDMockito.BDDMyOngoingStubbing willReturn(Object value)|BillOfMaterials resolveBom(String id)|BomContainer boms()|ListAssert assertThat(Stream actual)|ListAssert containsExactly(Object[] values)|Object mock(Class classToMock)|Stream<I> ids()|Stream<V> items()|void add(I id),11,,0,,0,0,0,0,0,,0,0,,0,,0
initializr,initializr-generator,/initializr-generator/src/test/java/io/spring/initializr/generator/buildsystem/BuildTests.java,io.spring.initializr.generator.buildsystem.BuildTests,buildWithCustomBuildItemResolverResolveRepository,()V,void buildWithCustomBuildItemResolverResolveRepository(),org.junit.jupiter.api.Test,7,7,15,AbstractIterableAssert hasSize(int expected)|BDDMockito.BDDMyOngoingStubbing given(Object methodCall)|BDDMockito.BDDMyOngoingStubbing willReturn(Object value)|ListAssert assertThat(Stream actual)|ListAssert containsExactly(Object[] values)|MavenRepository resolveRepository(String id)|MavenRepositoryContainer repositories()|Object mock(Class classToMock)|Stream<I> ids()|Stream<V> items()|void add(I id),11,,0,,0,0,0,0,0,,0,0,,0,,0
initializr,initializr-generator,/initializr-generator/src/test/java/io/spring/initializr/generator/buildsystem/BomContainerTests.java,io.spring.initializr.generator.buildsystem.BomContainerTests,addBom,()V,void addBom(),org.junit.jupiter.api.Test,12,12,33,AbstractAssert isEqualTo(Object expected)|AbstractAssert isNotNull()|AbstractBooleanAssert assertThat(boolean actual)|AbstractBooleanAssert isFalse()|AbstractBooleanAssert isTrue()|AbstractIntegerAssert assertThat(int actual)|AbstractIntegerAssert isEqualTo(int expected)|AbstractIterableAssert hasSize(int expected)|AbstractStringAssert assertThat(String actual)|AbstractStringAssert isEqualTo(String expected)|BomContainer createTestContainer()|Builder version(VersionReference version)|Builder withCoordinates(String groupId; String artifactId)|ListAssert assertThat(Stream actual)|ListAssert containsOnly(Object[] values)|ObjectAssert assertThat(Object assertion)|Stream<I> ids()|Stream<V> items()|String getArtifactId()|String getGroupId()|V get(I id)|VersionReference getVersion()|VersionReference ofProperty(String internalProperty)|boolean has(I id)|boolean isEmpty()|int getOrder()|void add(String id; BillOfMaterials.Builder builder),27,BomContainer createTestContainer(),1,,0,0,0,0,0,,0,0,,0,,0
initializr,initializr-generator,/initializr-generator/src/test/java/io/spring/initializr/generator/buildsystem/BomContainerTests.java,io.spring.initializr.generator.buildsystem.BomContainerTests,addBomWithOrder,()V,void addBomWithOrder(),org.junit.jupiter.api.Test,12,12,34,AbstractAssert isEqualTo(Object expected)|AbstractAssert isNotNull()|AbstractBooleanAssert assertThat(boolean actual)|AbstractBooleanAssert isFalse()|AbstractBooleanAssert isTrue()|AbstractIntegerAssert assertThat(int actual)|AbstractIntegerAssert isEqualTo(int expected)|AbstractIterableAssert hasSize(int expected)|AbstractStringAssert assertThat(String actual)|AbstractStringAssert isEqualTo(String expected)|BomContainer createTestContainer()|Builder order(int order)|Builder version(VersionReference version)|Builder withCoordinates(String groupId; String artifactId)|ListAssert assertThat(Stream actual)|ListAssert containsOnly(Object[] values)|ObjectAssert assertThat(Object assertion)|Stream<I> ids()|Stream<V> items()|String getArtifactId()|String getGroupId()|V get(I id)|VersionReference getVersion()|VersionReference ofValue(String value)|boolean has(I id)|boolean isEmpty()|int getOrder()|void add(String id; BillOfMaterials.Builder builder),28,BomContainer createTestContainer(),1,,0,0,0,0,0,,0,0,,0,,0
initializr,initializr-generator,/initializr-generator/src/test/java/io/spring/initializr/generator/buildsystem/BuildSystemTests.java,io.spring.initializr.generator.buildsystem.BuildSystemTests,gradleBuildSystem,()V,void gradleBuildSystem(),org.junit.jupiter.api.Test,4,4,9,AbstractAssert isInstanceOf(Class type)|AbstractStringAssert assertThat(String actual)|AbstractStringAssert isEqualTo(String expected)|BuildSystem forId(String id)|ObjectAssert assertThat(Object assertion)|String id()|String toString(),7,,0,,0,0,0,0,0,,0,0,,0,,0
initializr,initializr-generator,/initializr-generator/src/test/java/io/spring/initializr/generator/buildsystem/BuildSystemTests.java,io.spring.initializr.generator.buildsystem.BuildSystemTests,mavenBuildSystem,()V,void mavenBuildSystem(),org.junit.jupiter.api.Test,4,4,9,AbstractAssert isInstanceOf(Class type)|AbstractStringAssert assertThat(String actual)|AbstractStringAssert isEqualTo(String expected)|BuildSystem forId(String id)|ObjectAssert assertThat(Object assertion)|String id()|String toString(),7,,0,,0,0,0,0,0,,0,0,,0,,0
initializr,initializr-generator,/initializr-generator/src/test/java/io/spring/initializr/generator/buildsystem/BuildSystemTests.java,io.spring.initializr.generator.buildsystem.BuildSystemTests,defaultMainSource,(QPath;)V,void defaultMainSource(Path directory),org.junit.jupiter.api.Test,3,3,10,AbstractAssert isEqualTo(Object expected)|AbstractPathAssert assertThat(Path actual)|BuildSystem forId(String id)|Path getRootDirectory()|Path getSourcesDirectory()|Path resolve(String other)|SourceStructure getMainSource(Path projectRoot; Language language),7,,0,,0,0,0,0,0,,0,0,,0,,0
initializr,initializr-generator,/initializr-generator/src/test/java/io/spring/initializr/generator/buildsystem/BuildSystemTests.java,io.spring.initializr.generator.buildsystem.BuildSystemTests,defaultTestSource,(QPath;)V,void defaultTestSource(Path directory),org.junit.jupiter.api.Test,3,3,10,AbstractAssert isEqualTo(Object expected)|AbstractPathAssert assertThat(Path actual)|BuildSystem forId(String id)|Path getRootDirectory()|Path getSourcesDirectory()|Path resolve(String other)|SourceStructure getTestSource(Path projectRoot; Language language),7,,0,,0,0,0,0,0,,0,0,,0,,0
